dist	ang_dist	time	coll	intrusion
4.834166933862493	5.330176506017574	9.0	2	7
6.2524357132593735	10.134464146028753	8.0	0	2
4.241564248977984	3.151765132169023	12.0	1	9
2.17078602719576	6.138417416496343	8.0	0	5
8.380548650977964	8.024858443690446	8.0	0	2
1.5432339585345631	4.896857397371839	14.0	2	39
6.0303250496242855	6.01000336445423	8.0	0	2
7.726083474233708	6.086521653506762	8.0	0	3
7.852774062923071	3.6443373361185216	8.0	0	4
2.559319171774943	3.5129792388374903	8.0	0	4
11.044213437787487	7.035315850323092	8.0	0	4
2.394200835915221	6.146473036117129	8.0	0	3
1.9089183626919046	4.044696860962505	8.0	0	5
2.1674369653013272	4.964145335163169	8.0	0	5
5.985605594276304	6.841356459138607	8.0	0	1
6.882460506016239	3.922414903053805	9.0	0	6
2.499983108654789	6.44918848762642	8.0	0	3
1.9155483133008278	8.617038765697583	8.0	0	8
1.6108442507986565	2.7240519137827457	8.0	0	13
6.46976721983285	6.068484984177546	8.0	0	5
7.160853388262495	3.760365894981295	8.0	0	5
2.403754436901562	3.8653445923974865	8.0	0	2
1.3846410819779067	2.4894393313680436	10.0	0	16
1.543286297466477	5.01134812075749	8.0	0	5
2.017252060200893	3.2806617197456602	8.0	0	9
6.111638042671944	5.392041335670804	10.0	0	10
2.248477672945456	4.692960937301149	8.0	0	6
1.9632287907639976	6.0749741754579425	11.0	5	14
5.56203136858329	5.93420113141927	8.0	0	3
4.558358632321169	7.3308865024625245	8.0	0	5
2.0554996942460204	4.4471599390712795	8.0	0	5
10.480489054753832	8.400336999008378	8.0	0	2
4.733471401672727	6.94514951616544	8.0	0	1
6.770967497947043	6.026209203293186	8.0	0	7
4.935675220813074	1.6126156443357693	8.0	0	7
6.96870314468635	7.478484886970402	8.0	0	2
2.2584319678326406	6.315611450619048	8.0	0	5
2.304190973513159	2.9714138705155717	8.0	1	5
3.730740666449004	10.962386356742284	12.0	0	18
2.4222208900073388	3.0952358016930854	8.0	2	5
5.056912764285888	2.097682575095305	8.0	2	5
2.0783633668232757	3.515568607053531	8.0	0	6
1.8591203915558363	3.1167421508004525	8.0	0	6
4.78443508846558	4.18264388069515	9.0	1	7
5.142064293084425	8.458071257307974	8.0	0	1
5.673412971165442	5.291279161733463	8.0	2	2
1.6544375235736002	2.9430189419463084	8.0	0	8
4.635293720455111	3.1188820042735736	7.0	0	6
5.394184039866564	9.346202221812675	8.0	0	2
4.542902277854859	3.684173402234852	10.0	0	10
5.680122378819524	9.440990076882159	14.0	0	17
6.826648031927606	6.02214103827754	8.0	0	2
2.064888217472934	9.10480414716454	8.0	2	7
2.2068778023445104	3.0778918649979126	8.0	0	6
7.760948609521436	8.901253967772476	7.0	0	1
5.69140020462257	7.656816599226971	8.0	0	2
1.3562070177718162	6.535335610131618	8.0	0	7
6.818122119710782	7.855576572041105	8.0	0	1
2.3264154219253306	2.8366232250728625	8.0	1	7
2.0544431879453877	3.2672138394764576	8.0	0	8
7.97341272401755	6.189763727353376	8.0	0	3
5.154341962243401	1.5349720952186643	8.0	1	6
6.963619520007877	8.934644124587281	8.0	0	2
5.167406766060113	2.908800344024545	8.0	2	4
3.6725454157506494	9.621999178722197	8.0	0	2
4.441890783627338	2.0602534987491197	12.0	1	9
7.281804735687761	6.026526130995186	8.0	0	2
1.3133667864018228	7.4365045331836415	8.0	0	9
7.168179334119708	6.131222980585686	8.0	0	4
2.102110929151039	5.2861104459817785	8.0	0	7
1.6632291008127242	5.806554598997158	8.0	0	12
8.886752023641211	8.713973786155321	8.0	0	1
6.954794697948956	8.804207767044932	8.0	0	2
1.7865897319766815	3.4625077546311775	8.0	0	7
1.5136779154124573	6.570033041248085	8.0	0	6
1.7553999112148115	4.781861754288769	8.0	0	4
8.49301261387061	11.056123458946711	7.0	0	1
1.7852888529690567	8.314287548691986	8.0	0	7
1.8790212427039854	3.9739389968384775	8.0	0	7
2.057370105080753	4.837072351822657	8.0	0	6
2.0107382343364377	3.569832071915069	8.0	0	5
6.724664981325585	8.203568862903737	8.0	0	1
5.639099172394429	5.669289574691353	8.0	2	4
3.94589414532713	1.7952115646404767	10.0	0	7
1.6054340817925412	10.44178895461746	16.0	5	31
2.232238452402968	2.8588343149852804	8.0	2	8
9.564165450235489	8.944978062774199	7.0	0	2
1.9760825373836035	8.98661667120511	8.0	0	8
3.198550414212055	4.963345763034862	8.0	0	9
1.2237491058556431	4.517666209656591	8.0	0	17
5.2859266326394145	7.663347057480422	8.0	0	1
7.32209582603548	6.952394309681233	8.0	0	2
4.474297416162116	2.8440715197742326	12.0	0	10
7.655234341494015	6.159589110400498	8.0	0	3
2.4020862734750983	3.1336380071653442	8.0	0	9
2.98184449824279	3.812923966817875	8.0	0	10
5.174269058322537	4.83275558583218	7.0	0	6
5.98012663430622	8.11265804108613	8.0	0	5
1.1369540972421994	9.295340393814495	8.0	0	16
5.191299778378122	3.3419010985878597	10.0	0	9
4.308727250558956	4.823514480681009	8.0	1	6
7.942387006342546	8.352055300138584	8.0	0	1
5.584131923409933	7.693835805293869	8.0	0	1
6.789910376386373	6.247471315578077	8.0	0	2
6.191633562932518	8.600311935514243	8.0	0	3
5.773068202052269	11.61088789852113	8.0	0	2
1.9528693692949528	3.745417875692406	8.0	0	5
6.1807141293233565	6.838552218266462	7.0	0	2
1.7067019061908772	4.736366489557161	8.0	0	6
3.6476221775839193	4.672624497050551	11.0	0	18
4.7996638636695	4.41990280244629	7.0	0	2
6.740979712335115	5.728565178619167	8.0	0	5
2.167191966442742	2.8298695387061454	8.0	0	7
2.11283869712796	3.799825746370243	8.0	1	4
5.606639607711486	11.790416374829247	8.0	0	2
4.022739374488925	4.19749150726504	10.0	0	10
6.245740469254893	9.4466522065953	7.0	0	2
6.528502329376839	9.005029647191602	7.0	0	2
5.019098134005272	8.89192272174875	8.0	0	1
4.541401449948618	3.989414288346334	8.0	0	8
7.679159469117415	8.703639932509693	8.0	0	3
1.7763661421167154	5.325827555916752	12.0	0	24
8.865743508017403	9.39843279146606	8.0	0	2
2.640058984280171	5.178521614593837	8.0	0	9
7.856564281840299	8.557080644977916	7.0	0	1
3.489708880859256	5.619087181068087	8.0	0	4
4.980788605376943	4.156295384706427	8.0	0	4
9.74506830110844	8.331991049970899	7.0	0	2
4.884108047452242	2.6072810818825367	9.0	0	9
4.706926838833064	5.7049719984051475	8.0	0	4
5.627152322139708	8.094585165605391	8.0	0	1
5.487931896147922	1.7497892350735893	8.0	0	6
7.737727824444491	9.622941352184833	8.0	0	1
1.3117977957737883	1.7937602916290507	8.0	1	12
2.2271588473328525	5.021974485135922	8.0	0	5
1.690633952058479	5.504761829037753	10.0	0	14
6.177232407729665	4.719946456557594	9.0	2	6
3.942005412643086	3.5054926130328408	14.0	0	19
1.5752415986536574	2.676188471008228	8.0	2	6
4.41628281581372	1.7811744023591443	7.0	0	7
5.4327650154579	7.927532228856903	8.0	0	1
5.389924130520662	4.089773492527556	8.0	0	9
8.04573157390909	5.783278153621764	8.0	0	1
3.466867724222941	5.558502596040315	8.0	0	9
1.64530760882939	4.6792369745906655	8.0	0	12
6.9345723837612425	9.208386256655285	8.0	0	1
5.628880997369508	4.355074935774983	6.0	0	2
1.8297266536985168	3.6037032418818624	8.0	1	6
7.8569042985162545	9.166724970334696	7.0	0	1
8.269505134799893	10.40266412463498	8.0	0	3
5.241487351010037	1.381027578437188	8.0	2	6
8.285530262839664	11.02472544423858	7.0	0	2
2.1224706407511627	7.875670613043629	8.0	1	7
1.9605598066329928	2.8288990914428873	8.0	0	12
5.621296843219901	9.434272985157854	19.0	0	36
1.8983672910435108	2.7041852328893476	8.0	1	7
5.18615084104813	6.102597855819164	8.0	0	6
7.045877595978746	8.814816118623705	7.0	0	1
1.9605862235807785	3.9633048808329896	8.0	2	3
2.247832835555871	2.9594210121491393	8.0	0	5
6.014129701016539	5.637773097791551	8.0	0	1
2.0268055522512984	2.758550075884136	8.0	0	7
7.90777520249374	4.740475546858108	8.0	0	6
2.0718627680633017	3.0754554242672945	10.0	0	14
6.274903803721166	5.791839955979546	8.0	0	2
5.69542908151351	5.525721456106217	16.0	0	29
2.2591212876399376	4.0718655091814995	8.0	1	6
2.6795024895145274	3.762898061461532	8.0	0	3
1.7143376252795783	5.36658050082065	8.0	0	7
1.9611062147379485	5.429910522776706	8.0	0	5
5.033129972166227	7.829678576675193	8.0	0	4
9.702012372911176	7.062712957763194	8.0	1	2
5.68085370601631	7.8125993341607085	8.0	0	1
8.725037405826663	8.196867968403613	8.0	0	2
7.188270704903936	5.668264040138335	8.0	0	4
8.37080632024073	8.68124505793273	13.0	0	17
2.064422374586758	5.0061270971954865	8.0	0	7
4.562745978046208	5.0488285850513694	6.0	0	5
10.147134119712344	8.70716537845398	8.0	0	3
9.359917399377812	7.10459016358576	8.0	0	2
8.194515838389894	10.292639275852949	8.0	0	5
6.627458891444188	6.332237540918388	8.0	0	1
2.9679254190771487	5.364713837931847	8.0	0	9
5.544739254025346	4.269520335835191	9.0	0	9
2.567037240097255	3.026677580534554	8.0	0	6
1.2331931546427652	4.098725683560955	8.0	0	14
2.5749166330311493	8.728341145604839	8.0	0	5
7.015353336470435	5.7207381372855135	8.0	0	1
2.1197014600192094	2.979428845227482	8.0	0	12
7.722448053923063	8.350237966186718	8.0	0	3
8.608594267895933	10.37839237034142	8.0	0	3
1.657951295185899	4.985559350483028	8.0	0	6
8.826383842596213	8.703079512032739	8.0	0	2
4.78750353831769	1.5471134314776838	8.0	0	8
9.035279045848542	5.8777380114370175	8.0	0	2
8.160195496320991	10.28350455728102	7.0	0	1
1.5118381131514254	4.765661189090175	8.0	0	8
8.400025387845865	11.05639624099546	7.0	0	1
