timestamp position0 velocity0 radius0 goal pref_speed theta position1 velocity1 radius1 position2 velocity2 radius2 position3 velocity3 radius3 position4 velocity4 radius4 position5 velocity5 radius5 position6 velocity6 radius6 0.10000000149011612 (1.938581943511963, 0.9574024677276611) (1.3858193159103394, 0.5740251541137695) 0.2199999988079071 1.5 0.3926990807533504 (1.938581943511963, 1.8) (0, 0) 0.3 (1.938581943511963, 0.3) (0, 0) 0.3 (2.2, 0.4) (0, 0) 0.3 (2.2, 0.775) (0, 0) 0.3 (2.2, 1.1500000000000001) (0, 0) 0.3 (2.2, 1.5250000000000001) (0, 0) 0.3 
1.5000000223517418 (1.5675548315048218, 1.1666994094848633) (-0.5740251541137695, -1.3858193159103394) 0.2199999988079071 1.5 -1.9634954075482471 (1.5675548315048218, 1.8) (0, 0) 0.3 (1.5675548315048218, 0.3) (0, 0) 0.3 (2.2, 0.4) (0, 0) 0.3 (2.2, 0.775) (0, 0) 0.3 (2.2, 1.1500000000000001) (0, 0) 0.3 (2.2, 1.5250000000000001) (0, 0) 0.3 
1.600000023841858 (1.5388535261154175, 1.097408413887024) (-0.28701257705688477, -0.6929096579551697) 0.2199999988079071 1.5 -1.9634954075482471 (1.5388535261154175, 1.8) (0, 0) 0.3 (1.5388535261154175, 0.3) (0, 0) 0.3 (2.2, 0.4) (0, 0) 0.3 (2.2, 0.775) (0, 0) 0.3 (2.2, 1.1500000000000001) (0, 0) 0.3 (2.2, 1.5250000000000001) (0, 0) 0.3 
1.700000025331974 (1.6081445217132568, 1.1261097192764282) (0.6929096579551697, 0.28701257705688477) 0.2199999988079071 1.5 0.3926990807533504 (1.6081445217132568, 1.8) (0, 0) 0.3 (1.6081445217132568, 0.3) (0, 0) 0.3 (2.2, 0.4) (0, 0) 0.3 (2.2, 0.775) (0, 0) 0.3 (2.2, 1.1500000000000001) (0, 0) 0.3 (2.2, 1.5250000000000001) (0, 0) 0.3 
1.8000000268220901 (1.5020785331726074, 1.0200437307357788) (-1.0606601238250732, -1.0606601238250732) 0.2199999988079071 1.5 -2.356194490192345 (1.5020785331726074, 1.8) (0, 0) 0.3 (1.5020785331726074, 0.3) (0, 0) 0.3 (2.2, 0.4) (0, 0) 0.3 (2.2, 0.775) (0, 0) 0.3 (2.2, 1.1500000000000001) (0, 0) 0.3 (2.2, 1.5250000000000001) (0, 0) 0.3 
1.9000000283122063 (1.5020785331726074, 1.0950437784194946) (4.5924253663221344e-17, 0.75) 0.2199999988079071 1.5 1.5707963267948966 (1.5020785331726074, 1.8) (0, 0) 0.3 (1.5020785331726074, 0.3) (0, 0) 0.3 (2.2, 0.4) (0, 0) 0.3 (2.2, 0.775) (0, 0) 0.3 (2.2, 1.1500000000000001) (0, 0) 0.3 (2.2, 1.5250000000000001) (0, 0) 0.3 
2.0000000298023224 (1.3634965419769287, 1.1524462699890137) (-1.3858193159103394, 0.5740251541137695) 0.2199999988079071 1.5 2.748893572836443 (1.3634965419769287, 1.8) (0, 0) 0.3 (1.3634965419769287, 0.3) (0, 0) 0.3 (2.2, 0.4) (0, 0) 0.3 (2.2, 0.775) (0, 0) 0.3 (2.2, 1.1500000000000001) (0, 0) 0.3 (2.2, 1.5250000000000001) (0, 0) 0.3 
2.1000000312924385 (1.4208990335464478, 1.2910282611846924) (0.5740251541137695, 1.3858193159103394) 0.2199999988079071 1.5 1.1780972460415462 (1.4208990335464478, 1.8) (0, 0) 0.3 (1.4208990335464478, 0.3) (0, 0) 0.3 (2.2, 0.4) (0, 0) 0.3 (2.2, 0.775) (0, 0) 0.3 (2.2, 1.1500000000000001) (0, 0) 0.3 (2.2, 1.5250000000000001) (0, 0) 0.3 
2.2000000327825546 (1.5594810247421265, 1.3484307527542114) (1.3858193159103394, 0.5740251541137695) 0.2199999988079071 1.5 0.3926990807533504 (1.5594810247421265, 1.8) (0, 0) 0.3 (1.5594810247421265, 0.3) (0, 0) 0.3 (2.2, 0.4) (0, 0) 0.3 (2.2, 0.775) (0, 0) 0.3 (2.2, 1.1500000000000001) (0, 0) 0.3 (2.2, 1.5250000000000001) (0, 0) 0.3 
2.3000000342726707 (1.4208990335464478, 1.4058332443237305) (-1.3858193159103394, 0.5740251541137695) 0.2199999988079071 1.5 2.748893572836443 (1.4208990335464478, 1.8) (0, 0) 0.3 (1.4208990335464478, 0.3) (0, 0) 0.3 (2.2, 0.4) (0, 0) 0.3 (2.2, 0.775) (0, 0) 0.3 (2.2, 1.1500000000000001) (0, 0) 0.3 (2.2, 1.5250000000000001) (0, 0) 0.3 
2.400000035762787 (1.4208990335464478, 1.3308331966400146) (-1.3777276760710893e-16, -0.75) 0.2199999988079071 1.5 -1.5707963267948968 (1.4208990335464478, 1.8) (0, 0) 0.3 (1.4208990335464478, 0.3) (0, 0) 0.3 (2.2, 0.4) (0, 0) 0.3 (2.2, 0.775) (0, 0) 0.3 (2.2, 1.1500000000000001) (0, 0) 0.3 (2.2, 1.5250000000000001) (0, 0) 0.3 
2.500000037252903 (1.490190029144287, 1.3021318912506104) (0.6929096579551697, -0.28701257705688477) 0.2199999988079071 1.5 -0.3926990807533504 (1.490190029144287, 1.8) (0, 0) 0.3 (1.490190029144287, 0.3) (0, 0) 0.3 (2.2, 0.4) (0, 0) 0.3 (2.2, 0.775) (0, 0) 0.3 (2.2, 1.1500000000000001) (0, 0) 0.3 (2.2, 1.5250000000000001) (0, 0) 0.3 
2.600000038743019 (1.490190029144287, 1.2271318435668945) (-1.3777276760710893e-16, -0.75) 0.2199999988079071 1.5 -1.5707963267948968 (1.490190029144287, 1.8) (0, 0) 0.3 (1.490190029144287, 0.3) (0, 0) 0.3 (2.2, 0.4) (0, 0) 0.3 (2.2, 0.775) (0, 0) 0.3 (2.2, 1.1500000000000001) (0, 0) 0.3 (2.2, 1.5250000000000001) (0, 0) 0.3 
2.7000000402331352 (1.4208990335464478, 1.2558331489562988) (-0.6929096579551697, 0.28701257705688477) 0.2199999988079071 1.5 2.748893572836443 (1.4208990335464478, 1.8) (0, 0) 0.3 (1.4208990335464478, 0.3) (0, 0) 0.3 (2.2, 0.4) (0, 0) 0.3 (2.2, 0.775) (0, 0) 0.3 (2.2, 1.1500000000000001) (0, 0) 0.3 (2.2, 1.5250000000000001) (0, 0) 0.3 
2.8000000417232513 (1.3921977281570435, 1.1865421533584595) (-0.28701257705688477, -0.6929096579551697) 0.2199999988079071 1.5 -1.9634954075482471 (1.3921977281570435, 1.8) (0, 0) 0.3 (1.3921977281570435, 0.3) (0, 0) 0.3 (2.2, 0.4) (0, 0) 0.3 (2.2, 0.775) (0, 0) 0.3 (2.2, 1.1500000000000001) (0, 0) 0.3 (2.2, 1.5250000000000001) (0, 0) 0.3 
2.9000000432133675 (1.286131739616394, 1.08047616481781) (-1.0606601238250732, -1.0606601238250732) 0.2199999988079071 1.5 -2.356194490192345 (1.286131739616394, 1.8) (0, 0) 0.3 (1.286131739616394, 0.3) (0, 0) 0.3 (2.2, 0.4) (0, 0) 0.3 (2.2, 0.775) (0, 0) 0.3 (2.2, 1.1500000000000001) (0, 0) 0.3 (2.2, 1.5250000000000001) (0, 0) 0.3 
3.0000000447034836 (1.3391647338867188, 1.0274431705474854) (0.5303300619125366, -0.5303300619125366) 0.2199999988079071 1.5 -0.7853981633974483 (1.3391647338867188, 1.8) (0, 0) 0.3 (1.3391647338867188, 0.3) (0, 0) 0.3 (2.2, 0.4) (0, 0) 0.3 (2.2, 0.775) (0, 0) 0.3 (2.2, 1.1500000000000001) (0, 0) 0.3 (2.2, 1.5250000000000001) (0, 0) 0.3 
3.1000000461935997 (1.4891647100448608, 1.0274431705474854) (1.5, 0.0) 0.2199999988079071 1.5 0.0 (1.4891647100448608, 1.8) (0, 0) 0.3 (1.4891647100448608, 0.3) (0, 0) 0.3 (2.2, 0.4) (0, 0) 0.3 (2.2, 0.775) (0, 0) 0.3 (2.2, 1.1500000000000001) (0, 0) 0.3 (2.2, 1.5250000000000001) (0, 0) 0.3 
3.200000047683716 (1.3830987215042114, 0.9213771224021912) (-1.0606601238250732, -1.0606601238250732) 0.2199999988079071 1.5 -2.356194490192345 (1.3830987215042114, 1.8) (0, 0) 0.3 (1.3830987215042114, 0.3) (0, 0) 0.3 (2.2, 0.4) (0, 0) 0.3 (2.2, 0.775) (0, 0) 0.3 (2.2, 1.1500000000000001) (0, 0) 0.3 (2.2, 1.5250000000000001) (0, 0) 0.3 
3.300000049173832 (1.5330986976623535, 0.9213771224021912) (1.5, 0.0) 0.2199999988079071 1.5 0.0 (1.5330986976623535, 1.8) (0, 0) 0.3 (1.5330986976623535, 0.3) (0, 0) 0.3 (2.2, 0.4) (0, 0) 0.3 (2.2, 0.775) (0, 0) 0.3 (2.2, 1.1500000000000001) (0, 0) 0.3 (2.2, 1.5250000000000001) (0, 0) 0.3 
3.400000050663948 (1.6830986738204956, 0.9213771224021912) (1.5, 0.0) 0.2199999988079071 1.5 0.0 (1.6830986738204956, 1.8) (0, 0) 0.3 (1.6830986738204956, 0.3) (0, 0) 0.3 (2.2, 0.4) (0, 0) 0.3 (2.2, 0.775) (0, 0) 0.3 (2.2, 1.1500000000000001) (0, 0) 0.3 (2.2, 1.5250000000000001) (0, 0) 0.3 
3.500000052154064 (1.5330986976623535, 0.9213771224021912) (-1.5, 1.8369701465288538e-16) 0.2199999988079071 1.5 3.141592653589793 (1.5330986976623535, 1.8) (0, 0) 0.3 (1.5330986976623535, 0.3) (0, 0) 0.3 (2.2, 0.4) (0, 0) 0.3 (2.2, 0.775) (0, 0) 0.3 (2.2, 1.1500000000000001) (0, 0) 0.3 (2.2, 1.5250000000000001) (0, 0) 0.3 
3.6000000536441803 (1.3945167064666748, 0.9787796139717102) (-1.3858193159103394, 0.5740251541137695) 0.2199999988079071 1.5 2.748893572836443 (1.3945167064666748, 1.8) (0, 0) 0.3 (1.3945167064666748, 0.3) (0, 0) 0.3 (2.2, 0.4) (0, 0) 0.3 (2.2, 0.775) (0, 0) 0.3 (2.2, 1.1500000000000001) (0, 0) 0.3 (2.2, 1.5250000000000001) (0, 0) 0.3 
