[[(2, 2.1), (0, 2.1), (0, 1.8), (2, 1.8)], [(2, 0.3), (0, 0.3), (0, 0), (2, 0)]]
timestamp position0 velocity0 radius0 goal pref_speed theta position1 velocity1 radius1 position2 velocity2 radius2 position3 velocity3 radius3 position4 velocity4 radius4 position5 velocity5 radius5 position6 velocity6 radius6
0 (1.03012,0.946779) (0,0) 0.149303 (5.98029,1.15206) 1.76499 0 (2.30469,0.466074) (0,0) 0.185515 (2.21214,0.864183) (0,0) 0.207977 (2.30141,1.27909) (0,0) 0.203944 (2.26577,1.65141) (0,0) 0.153153 (1.03012,1.8) (0,0) 0.001 (1.03012,0.3) (0,0) 0.001
0.25 (1.27989,0.957154) (0.999096,0.0415002) 0.149303 (5.98029,1.15206) 1.76499 0.0415139 (2.35061,0.457432) (0.183702,-0.0345678) 0.185515 (2.21372,0.86416) (0.00634536,-8.87525e-05) 0.207977 (2.35851,1.26873) (0.228394,-0.0414367) 0.203944 (2.30235,1.65448) (0.146345,0.0123121) 0.153153 (1.27989,1.8) (0,0) 0.001 (1.27989,0.3) (0,0) 0.001
0.5 (1.52088,0.996905) (0.96395,0.159001) 0.149303 (5.98029,1.15206) 1.76499 0.163476 (2.39654,0.448786) (0.183699,-0.0345812) 0.185515 (2.2218,0.839125) (0.0323004,-0.10014) 0.207977 (2.4128,1.24822) (0.217143,-0.0820351) 0.203944 (2.33815,1.64633) (0.143195,-0.0326134) 0.153153 (1.52088,1.8) (0,0) 0.001 (1.52088,0.3) (0,0) 0.001
0.75 (1.73128,1.05582) (0.841622,0.235668) 0.149303 (5.98029,1.15206) 1.76499 0.273024 (2.44246,0.440146) (0.183703,-0.0345627) 0.185515 (2.24118,0.814065) (0.0775282,-0.100241) 0.207977 (2.44864,1.20258) (0.143371,-0.182553) 0.203944 (2.37395,1.63817) (0.143191,-0.0326312) 0.153153 (1.73128,1.8) (0,0) 0.001 (1.73128,0.3) (0,0) 0.001
1 (1.8959,1.09778) (0.658457,0.167836) 0.149303 (5.98029,1.15206) 1.76499 0.249578 (2.48245,0.415951) (0.159922,-0.0967792) 0.185515 (2.26351,0.784751) (0.0893416,-0.117258) 0.207977 (2.48626,1.15839) (0.150464,-0.176752) 0.203944 (2.40975,1.63002) (0.143193,-0.0326214) 0.153153 (1.8959,1.8) (0,0) 0.001 (1.8959,0.3) (0,0) 0.001
1.25 (2.03296,1.12948) (0.54825,0.126799) 0.149303 (5.98029,1.15206) 1.76499 0.227283 (2.52167,0.390548) (0.156896,-0.101612) 0.185515 (2.29022,0.751836) (0.106818,-0.131659) 0.207977 (2.52538,1.11554) (0.156494,-0.171436) 0.203944 (2.44554,1.62186) (0.143192,-0.032627) 0.153153 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
1.5 (2.15272,1.15468) (0.479026,0.100812) 0.149303 (5.98029,1.15206) 1.76499 0.207425 (2.56067,0.364806) (0.15601,-0.102967) 0.185515 (2.31995,0.717861) (0.118931,-0.135901) 0.207977 (2.56583,1.07393) (0.161804,-0.166434) 0.203944 (2.48134,1.61371) (0.143193,-0.0326211) 0.153153 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
1.75 (2.26081,1.17546) (0.432368,0.083098) 0.149303 (5.98029,1.15206) 1.76499 0.189877 (2.59973,0.339155) (0.156248,-0.102605) 0.185515 (2.35187,0.684198) (0.127676,-0.134652) 0.207977 (2.60757,1.03361) (0.16696,-0.161261) 0.203944 (2.51714,1.60555) (0.143193,-0.0326207) 0.153153 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
2 (2.35983,1.19273) (0.396065,0.0690817) 0.149303 (5.98029,1.15206) 1.76499 0.172683 (2.63904,0.313881) (0.157228,-0.101097) 0.185515 (2.38552,0.65161) (0.134592,-0.13035) 0.207977 (2.65089,0.995001) (0.173287,-0.154443) 0.203944 (2.55294,1.59739) (0.143192,-0.032625) 0.153153 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
2.25 (2.44958,1.20635) (0.359029,0.054475) 0.149303 (5.98029,1.15206) 1.76499 0.15058 (2.67884,0.289394) (0.15921,-0.0979469) 0.185515 (2.42081,0.62076) (0.141147,-0.123399) 0.207977 (2.69074,0.952818) (0.159406,-0.168732) 0.203944 (2.58874,1.58924) (0.143194,-0.0326155) 0.153153 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
