[[(2, 2.1), (0, 2.1), (0, 1.8), (2, 1.8)], [(2, 0.3), (0, 0.3), (0, 0), (2, 0)]]
timestamp position0 velocity0 radius0 goal pref_speed theta position1 velocity1 radius1 position2 velocity2 radius2 position3 velocity3 radius3 position4 velocity4 radius4 position5 velocity5 radius5 position6 velocity6 radius6
0 (1.43074,1.05637) (0,0) 0.142566 (5.98029,1.15206) 1.68645 0 (2.35874,0.457082) (0,0) 0.173667 (2.21988,0.921413) (0,0) 0.152093 (2.23061,1.29326) (0,0) 0.151332 (2.31627,1.68479) (0,0) 0.201261 (1.43074,1.8) (0,0) 0.001 (1.43074,0.3) (0,0) 0.001
0.25 (1.44404,1.05906) (0.0531666,0.0107507) 0.142566 (5.98029,1.15206) 1.68645 0.199518 (2.41505,0.44644) (0.225232,-0.0425653) 0.173667 (2.23776,0.922613) (0.0715001,0.00479789) 0.152093 (2.24613,1.2911) (0.0620953,-0.00865165) 0.151332 (2.38546,1.66842) (0.276745,-0.0654828) 0.201261 (1.44404,1.8) (0,0) 0.001 (1.44404,0.3) (0,0) 0.001
0.5 (1.47212,1.05842) (0.112351,-0.00253379) 0.142566 (5.98029,1.15206) 1.68645 -0.0225486 (2.47136,0.435796) (0.22523,-0.0425753) 0.173667 (2.28007,0.92056) (0.169237,-0.00821038) 0.152093 (2.28025,1.29131) (0.136483,0.000864048) 0.151332 (2.45462,1.65194) (0.276637,-0.0659367) 0.201261 (1.47212,1.8) (0,0) 0.001 (1.47212,0.3) (0,0) 0.001
0.75 (1.51955,1.0502) (0.18969,-0.0329111) 0.142566 (5.98029,1.15206) 1.68645 -0.171789 (2.52766,0.425154) (0.22523,-0.0425715) 0.173667 (2.33863,0.915326) (0.234243,-0.0209379) 0.152093 (2.32549,1.29204) (0.180939,0.00290026) 0.151332 (2.52378,1.63546) (0.276646,-0.0658991) 0.201261 (1.51955,1.8) (0,0) 0.001 (1.51955,0.3) (0,0) 0.001
1 (1.5855,1.03825) (0.263801,-0.0478) 0.142566 (5.98029,1.15206) 1.68645 -0.179252 (2.58397,0.414507) (0.225228,-0.0425855) 0.173667 (2.41299,0.906445) (0.29744,-0.0355239) 0.152093 (2.37904,1.28982) (0.214222,-0.00885693) 0.151332 (2.59294,1.61898) (0.276642,-0.0659151) 0.201261 (1.5855,1.8) (0,0) 0.001 (1.5855,0.3) (0,0) 0.001
1.25 (1.66873,1.02139) (0.332941,-0.0674121) 0.142566 (5.98029,1.15206) 1.68645 -0.199774 (2.64028,0.40386) (0.225227,-0.0425891) 0.173667 (2.50272,0.900837) (0.35895,-0.0224295) 0.152093 (2.43089,1.27346) (0.207396,-0.0654324) 0.151332 (2.6621,1.6025) (0.27664,-0.0659244) 0.201261 (1.66873,1.8) (0,0) 0.001 (1.66873,0.3) (0,0) 0.001
1.5 (1.76994,0.995333) (0.404823,-0.104237) 0.142566 (5.98029,1.15206) 1.68645 -0.252014 (2.69658,0.393214) (0.225228,-0.0425829) 0.173667 (2.59264,0.900749) (0.359649,-0.000353076) 0.152093 (2.49234,1.25217) (0.245786,-0.0851952) 0.151332 (2.73126,1.58602) (0.276641,-0.0659194) 0.201261 (1.76994,1.8) (0,0) 0.001 (1.76994,0.3) (0,0) 0.001
1.75 (1.91334,0.928877) (0.573599,-0.265826) 0.142566 (5.98029,1.15206) 1.68645 -0.43397 (2.75289,0.382568) (0.225228,-0.042586) 0.173667 (2.68253,0.90268) (0.359567,0.00772415) 0.152093 (2.55774,1.22931) (0.261617,-0.0914136) 0.151332 (2.80042,1.56954) (0.276644,-0.0659081) 0.201261 (1.91334,1.8) (0,0) 0.001 (1.91334,0.3) (0,0) 0.001
2 (2.12286,0.854365) (0.838078,-0.298047) 0.142566 (5.98029,1.15206) 1.68645 -0.341683 (2.8092,0.371923) (0.225229,-0.0425798) 0.173667 (2.77242,0.904607) (0.359567,0.00770848) 0.152093 (2.6195,1.19943) (0.247036,-0.119515) 0.151332 (2.86958,1.55307) (0.276646,-0.0659013) 0.201261 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
2.25 (2.3279,0.795187) (0.820189,-0.236713) 0.142566 (5.98029,1.15206) 1.68645 -0.280972 (2.86125,0.347953) (0.208202,-0.0958795) 0.173667 (2.86231,0.906544) (0.359566,0.00774498) 0.152093 (2.6799,1.16613) (0.241596,-0.133224) 0.151332 (2.93874,1.53659) (0.276642,-0.0659147) 0.201261 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
