[[(2, 2.1), (0, 2.1), (0, 1.8), (2, 1.8)], [(2, 0.3), (0, 0.3), (0, 0), (2, 0)]]
timestamp position0 velocity0 radius0 goal pref_speed theta position1 velocity1 radius1 position2 velocity2 radius2 position3 velocity3 radius3 position4 velocity4 radius4 position5 velocity5 radius5 position6 velocity6 radius6
0 (1.11153,1.1662) (0,0) 0.21774 (5.98029,1.15206) 1.65475 0 (2.31635,0.485187) (0,0) 0.142245 (2.20301,0.84222) (0,0) 0.213529 (2.33363,1.31098) (0,0) 0.135539 (2.24879,1.54652) (0,0) 0.160727 (1.11153,1.8) (0,0) 0.001 (1.11153,0.3) (0,0) 0.001
0.25 (1.36153,1.16547) (0.99999,-0.00290859) 0.21774 (5.98029,1.15206) 1.65475 -0.00290861 (2.39541,0.469115) (0.316227,-0.0642892) 0.142245 (2.20982,0.843891) (0.0272657,0.00668149) 0.213529 (2.42185,1.29543) (0.352876,-0.0622134) 0.135539 (2.29465,1.58744) (0.183428,0.163681) 0.160727 (1.36153,1.8) (0,0) 0.001 (1.36153,0.3) (0,0) 0.001
0.5 (1.60923,1.18191) (0.990825,0.0657526) 0.21774 (5.98029,1.15206) 1.65475 0.0662643 (2.47447,0.45303) (0.316218,-0.0643364) 0.142245 (2.2502,0.83258) (0.161498,-0.0452413) 0.213529 (2.50636,1.26573) (0.338056,-0.118786) 0.135539 (2.35558,1.59544) (0.243748,0.0320029) 0.160727 (1.60923,1.8) (0,0) 0.001 (1.60923,0.3) (0,0) 0.001
0.75 (1.81455,1.1965) (0.821251,0.0583474) 0.21774 (5.98029,1.15206) 1.65475 0.0709277 (2.55352,0.436952) (0.316222,-0.0643149) 0.142245 (2.31075,0.820069) (0.242208,-0.0500448) 0.213529 (2.58419,1.22138) (0.311327,-0.177391) 0.135539 (2.41654,1.60332) (0.243808,0.0315379) 0.160727 (1.81455,1.8) (0,0) 0.001 (1.81455,0.3) (0,0) 0.001
1 (2.00794,1.21053) (0.77357,0.0561337) 0.21774 (5.98029,1.15206) 1.65475 0.0724374 (2.63227,0.419415) (0.31498,-0.0701467) 0.142245 (2.37825,0.799833) (0.269988,-0.0809435) 0.213529 (2.6606,1.17463) (0.305635,-0.187027) 0.135539 (2.47749,1.61121) (0.243808,0.0315379) 0.160727 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
1.25 (2.19598,1.22432) (0.75216,0.0551396) 0.21774 (5.98029,1.15206) 1.65475 0.0731775 (2.71035,0.399142) (0.312341,-0.0810907) 0.142245 (2.44811,0.777007) (0.279462,-0.0913069) 0.213529 (2.7371,1.12802) (0.306002,-0.186427) 0.135539 (2.53844,1.61909) (0.243808,0.0315379) 0.160727 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
1.5 (2.38046,1.23794) (0.737915,0.0544783) 0.21774 (5.98029,1.15206) 1.65475 0.0736936 (2.78792,0.376968) (0.310267,-0.0886965) 0.142245 (2.51843,0.757465) (0.281278,-0.078167) 0.213529 (2.8137,1.08158) (0.306404,-0.185766) 0.135539 (2.59939,1.62698) (0.243808,0.0315379) 0.160727 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
1.75 (2.5623,1.25143) (0.727371,0.0539888) 0.21774 (5.98029,1.15206) 1.65475 0.0740887 (2.86506,0.353345) (0.308552,-0.0944911) 0.142245 (2.58893,0.740586) (0.281978,-0.0675174) 0.213529 (2.8904,1.03529) (0.30677,-0.18516) 0.135539 (2.66035,1.63486) (0.243808,0.0315378) 0.160727 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
2 (2.74178,1.26482) (0.717935,0.0535507) 0.21774 (5.98029,1.15206) 1.65475 0.0744521 (2.94182,0.328532) (0.307052,-0.0992555) 0.142245 (2.65945,0.725972) (0.282108,-0.0584527) 0.213529 (2.96713,0.989065) (0.30693,-0.184895) 0.135539 (2.7213,1.64274) (0.243808,0.0315378) 0.160727 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
2.25 (2.9188,1.27898) (0.708067,0.0566315) 0.21774 (5.98029,1.15206) 1.65475 0.0798106 (3.01823,0.302646) (0.305633,-0.103543) 0.142245 (2.72991,0.713353) (0.281829,-0.0504759) 0.213529 (3.04353,0.9423) (0.305616,-0.187059) 0.135539 (2.78236,1.64971) (0.244254,0.0278728) 0.160727 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
