[[(7.0, 6.0), (0, 6.0), (0, 5.0), (7.0, 5.0)], [(7.0, 1.0), (0, 1.0), (0, 0), (7.0, 0)]]
timestamp position0 velocity0 radius0 heading0 goal pref_speed theta position1 velocity1 radius1 heading1 position2 velocity2 radius2 heading2 position3 velocity3 radius3 heading3 position4 velocity4 radius4 heading4 position5 velocity5 radius5 heading5 position6 velocity6 radius6 heading6 
0.0 (6.0,2.684953451156616) (0.0,0.0) 0.5 -0.3274579618010539 (10.0,3.4414336399483454) 3.0 0.0 (7.10750675201416,1.5) (0.0,0.0) 0.5 0.2829119848328029 (8.317841529846191,2.5) (0.0,0.0) 0.5 0.332047813036096 (7.2900190353393555,3.5) (0.0,0.0) 0.5 0.048801998940704416 (8.015974044799805,4.5) (0.0,0.0) 0.5 0.27800687669127855 (6.0,5.0) (0,0) 1e-07 -0.3274579618010539 (6.0,1.0) (0,0) 1e-07 -0.3274579618010539 
1.0 (6.3460283279418945,2.6295931339263916) (0.3460284173488617,-0.05536028742790222) 0.5 -0.3274579618010539 (10.0,3.4414336399483454) 3.0 -0.1586432601712324 (7.559412002563477,1.4004966020584106) (0.4519054889678955,-0.09950344264507294) 0.5 0.2829119848328029 (8.938690185546875,2.1766624450683594) (0.6208484172821045,-0.323337584733963) 0.5 0.332047813036096 (7.550509452819824,3.4565396308898926) (0.2604905962944031,-0.04346047341823578) 0.5 0.048801998940704416 (8.680411338806152,4.720278263092041) (0.6644377112388611,0.22027821838855743) 0.5 0.27800687669127855 (6.3460283279418945,5.0) (0,0) 1e-07 -0.3274579618010539 (6.3460283279418945,1.0) (0,0) 1e-07 -0.3274579618010539 
2.0 (6.883150100708008,2.651447057723999) (0.537121593952179,0.021853946149349213) 0.5 -0.3274579618010539 (10.0,3.4414336399483454) 3.0 0.0406647191823292 (8.217435836791992,1.161740779876709) (0.6580241322517395,-0.23875577747821808) 0.5 0.2829119848328029 (9.559538841247559,1.8533248901367188) (0.6208484172821045,-0.3233376145362854) 0.5 0.332047813036096 (8.237691879272461,3.5898823738098145) (0.6871824264526367,0.13334281742572784) 0.5 0.048801998940704416 (9.3448486328125,4.940556526184082) (0.6644377708435059,0.22027817368507385) 0.5 0.27800687669127855 (6.883150100708008,5.0) (0,0) 1e-07 -0.3274579618010539 (6.883150100708008,1.0) (0,0) 1e-07 -0.3274579618010539 
3.0 (7.398899078369141,2.680950164794922) (0.5157487988471985,0.02950301766395569) 0.5 -0.3274579618010539 (10.0,3.4414336399483454) 3.0 0.05714196448522716 (8.875459671020508,0.9229850769042969) (0.6580241322517395,-0.23875568807125092) 0.5 0.2829119848328029 (10.180387496948242,1.5299872159957886) (0.6208484172821045,-0.3233376741409302) 0.5 0.332047813036096 (8.924874305725098,3.7232251167297363) (0.6871824264526367,0.13334283232688904) 0.5 0.048801998940704416 (10.009286880493164,5.160834789276123) (0.6644377708435059,0.2202780842781067) 0.5 0.27800687669127855 (7.0,5.0) (0,0) 1e-07 -0.3274579618010539 (7.0,1.0) (0,0) 1e-07 -0.3274579618010539 
4.0 (7.956329345703125,2.7059905529022217) (0.5574300289154053,0.02504044398665428) 0.5 -0.3274579618010539 (10.0,3.4414336399483454) 3.0 0.04489105335520613 (9.533483505249023,0.6842294335365295) (0.6580241322517395,-0.23875562846660614) 0.5 0.2829119848328029 (10.801236152648926,1.2066494226455688) (0.6208484172821045,-0.32333776354789734) 0.5 0.332047813036096 (9.612056732177734,3.856567859649658) (0.6871824264526367,0.13334286212921143) 0.5 0.048801998940704416 (10.673725128173828,5.381113052368164) (0.6644377708435059,0.2202780842781067) 0.5 0.27800687669127855 (7.0,5.0) (0,0) 1e-07 -0.3274579618010539 (7.0,1.0) (0,0) 1e-07 -0.3274579618010539 
5.0 (8.550039291381836,2.735821485519409) (0.5937099456787109,0.029831038787961006) 0.5 -0.3274579618010539 (10.0,3.4414336399483454) 3.0 0.05020292047819276 (10.041230201721191,0.5) (0.5077470541000366,-0.18422943353652954) 0.5 0.2829119848328029 (11.215838432312012,1.0063366889953613) (0.41460204124450684,-0.20031270384788513) 0.5 0.332047813036096 (10.299239158630371,3.989910840988159) (0.6871824264526367,0.13334299623966217) 0.5 0.048801998940704416 (11.032330513000488,5.5) (0.3586057424545288,0.11888694763183594) 0.5 0.27800687669127855 (7.0,5.0) (0,0) 1e-07 -0.3274579618010539 (7.0,1.0) (0,0) 1e-07 -0.3274579618010539 
6.0 (9.2431640625,2.778211832046509) (0.6931243538856506,0.04239041358232498) 0.5 -0.3274579618010539 (10.0,3.4414336399483454) 3.0 0.061082372719321244 (10.041230201721191,0.5) (3.5033690437558107e-07,0.0) 0.5 0.2829119848328029 (11.398444175720215,1.090853214263916) (0.1826055496931076,0.08451658487319946) 0.5 0.332047813036096 (10.35123348236084,4.0) (0.05199434608221054,0.01008915901184082) 0.5 0.048801998940704416 (11.032330513000488,5.5) (3.724149735262472e-07,0.0) 0.5 0.27800687669127855 (7.0,5.0) (0,0) 1e-07 -0.3274579618010539 (7.0,1.0) (0,0) 1e-07 -0.3274579618010539 
7.0 (9.993678092956543,2.838984251022339) (0.750514030456543,0.06077250838279724) 0.5 -0.3274579618010539 (10.0,3.4414336399483454) 3.0 0.08079822653697574 (10.041230201721191,0.5) (3.5033690437558107e-07,0.0) 0.5 0.2829119848328029 (11.271745681762695,1.0323328971862793) (-0.1266980767250061,-0.0585203617811203) 0.5 0.332047813036096 (10.35123348236084,4.0) (2.2649226494309005e-08,0.0) 0.5 0.048801998940704416 (11.032330513000488,5.5) (3.724149735262472e-07,0.0) 0.5 0.27800687669127855 (7.0,5.0) (0,0) 1e-07 -0.3274579618010539 (7.0,1.0) (0,0) 1e-07 -0.3274579618010539 
8.0 (10.713248252868652,2.8968119621276855) (0.7195702791213989,0.0578276664018631) 0.5 -0.3274579618010539 (10.0,3.4414336399483454) 3.0 0.08019182681952332 (10.041230201721191,0.5) (3.5033690437558107e-07,0.0) 0.5 0.2829119848328029 (11.198028564453125,1.0) (-0.07371734082698822,-0.0323328971862793) 0.5 0.332047813036096 (10.35123348236084,4.0) (2.2649226494309005e-08,0.0) 0.5 0.048801998940704416 (11.032330513000488,5.5) (3.724149735262472e-07,0.0) 0.5 0.27800687669127855 (7.0,5.0) (0,0) 1e-07 -0.3274579618010539 (7.0,1.0) (0,0) 1e-07 -0.3274579618010539 
