[[(7.0, 6.0), (0, 6.0), (0, 5.0), (7.0, 5.0)], [(7.0, 1.0), (0, 1.0), (0, 0), (7.0, 0)]]
timestamp position0 velocity0 radius0 heading0 goal pref_speed theta position1 velocity1 radius1 heading1 position2 velocity2 radius2 heading2 position3 velocity3 radius3 heading3 position4 velocity4 radius4 heading4 position5 velocity5 radius5 heading5 position6 velocity6 radius6 heading6 
0.0 (6.0,3.4072487354278564) (0.0,0.0) 0.5 -0.24918553314984057 (10.0,2.5074256653367186) 3.0 0.0 (7.298058032989502,1.5) (0.0,0.0) 0.5 -0.1271236173163685 (8.090604782104492,2.5) (0.0,0.0) 0.5 -0.2408038896553531 (7.36661958694458,3.5) (0.0,0.0) 0.5 -0.33421738286388025 (8.3313570022583,4.5) (0.0,0.0) 0.5 -0.17149791705003348 (6.0,5.0) (0,0) 1e-07 -0.24918553314984057 (6.0,1.0) (0,0) 1e-07 -0.24918553314984057 
1.0 (5.974969387054443,3.2020788192749023) (-0.02503061294555664,-0.2051699161529541) 0.5 -0.24918553314984057 (10.0,2.5074256653367186) 3.0 -1.6921958316786447 (7.921599864959717,1.1818878650665283) (0.6235419511795044,-0.3181120753288269) 0.5 -0.1271236173163685 (8.717202186584473,2.1879496574401855) (0.6265975832939148,-0.31205040216445923) 0.5 -0.2408038896553531 (7.612605571746826,3.5332961082458496) (0.24598576128482819,0.03329602628946304) 0.5 -0.33421738286388025 (8.997823715209961,4.714059829711914) (0.6664670705795288,0.2140597403049469) 0.5 -0.17149791705003348 (5.974969387054443,5.0) (0,0) 1e-07 -0.24918553314984057 (5.974969387054443,1.0) (0,0) 1e-07 -0.24918553314984057 
2.0 (6.4625067710876465,3.013591766357422) (0.48753753304481506,-0.18848717212677002) 0.5 -0.24918553314984057 (10.0,2.5074256653367186) 3.0 -0.36891076013891794 (8.591495513916016,0.9788135290145874) (0.669896125793457,-0.2030743658542633) 0.5 -0.1271236173163685 (9.343799591064453,1.875899314880371) (0.6265975832939148,-0.31205040216445923) 0.5 -0.2408038896553531 (8.303814888000488,3.6438825130462646) (0.6912095546722412,0.1105864942073822) 0.5 -0.33421738286388025 (9.664290428161621,4.928119659423828) (0.6664670705795288,0.21405968070030212) 0.5 -0.17149791705003348 (6.4625067710876465,5.0) (0,0) 1e-07 -0.24918553314984057 (6.4625067710876465,1.0) (0,0) 1e-07 -0.24918553314984057 
3.0 (7.424308776855469,3.021533966064453) (0.9618019461631775,0.007942240685224533) 0.5 -0.24918553314984057 (10.0,2.5074256653367186) 3.0 0.0082574798269192 (9.261391639709473,0.7757391929626465) (0.669896125793457,-0.20307430624961853) 0.5 -0.1271236173163685 (9.970396995544434,1.5638489723205566) (0.6265975832939148,-0.31205037236213684) 0.5 -0.2408038896553531 (8.995024681091309,3.7544689178466797) (0.6912095546722412,0.1105865091085434) 0.5 -0.33421738286388025 (10.330757141113281,5.142179012298584) (0.6664671301841736,0.21405957639217377) 0.5 -0.17149791705003348 (7.0,5.0) (0,0) 1e-07 -0.24918553314984057 (7.0,1.0) (0,0) 1e-07 -0.24918553314984057 
4.0 (8.175727844238281,3.0090103149414062) (0.7514195442199707,-0.012523546814918518) 0.5 -0.24918553314984057 (10.0,2.5074256653367186) 3.0 -0.01666497436429704 (9.92283821105957,0.5466353297233582) (0.6614464521408081,-0.22910386323928833) 0.5 -0.1271236173163685 (10.60811710357666,1.2752083539962769) (0.6377198696136475,-0.2886405885219574) 0.5 -0.2408038896553531 (9.686234474182129,3.865055561065674) (0.6912094950675964,0.11058656126260757) 0.5 -0.33421738286388025 (10.997223854064941,5.356238842010498) (0.6664670705795288,0.21405963599681854) 0.5 -0.17149791705003348 (7.0,5.0) (0,0) 1e-07 -0.24918553314984057 (7.0,1.0) (0,0) 1e-07 -0.24918553314984057 
5.0 (8.725142478942871,2.957092761993408) (0.5494142770767212,-0.051917463541030884) 0.5 -0.24918553314984057 (10.0,2.5074256653367186) 3.0 -0.0942162519172748 (10.170992851257324,0.5) (0.2481546401977539,-0.046635329723358154) 0.5 -0.1271236173163685 (11.186772346496582,1.085862398147583) (0.5786551833152771,-0.18934592604637146) 0.5 -0.2408038896553531 (10.37744426727295,3.975642204284668) (0.6912095546722412,0.11058653891086578) 0.5 -0.33421738286388025 (11.444820404052734,5.5) (0.4475962817668915,0.14376115798950195) 0.5 -0.17149791705003348 (7.0,5.0) (0,0) 1e-07 -0.24918553314984057 (7.0,1.0) (0,0) 1e-07 -0.24918553314984057 
6.0 (9.476486206054688,2.9318599700927734) (0.7513432502746582,-0.025232680141925812) 0.5 -0.24918553314984057 (10.0,2.5074256653367186) 3.0 -0.03357080848263944 (10.170992851257324,0.5) (4.016031951437071e-09,0.0) 0.5 -0.1271236173163685 (11.471689224243164,1.1214900016784668) (0.28491687774658203,0.0356275737285614) 0.5 -0.2408038896553531 (10.529690742492676,4.0) (0.15224628150463104,0.02435779571533203) 0.5 -0.33421738286388025 (11.444820404052734,5.5) (-2.612257787859562e-07,0.0) 0.5 -0.17149791705003348 (7.0,5.0) (0,0) 1e-07 -0.24918553314984057 (7.0,1.0) (0,0) 1e-07 -0.24918553314984057 
7.0 (10.43608283996582,2.911451578140259) (0.9595969915390015,-0.020408347249031067) 0.5 -0.24918553314984057 (10.0,2.5074256653367186) 3.0 -0.021264417547150145 (10.170992851257324,0.5) (4.016031951437071e-09,0.0) 0.5 -0.1271236173163685 (11.385415077209473,1.1172027587890625) (-0.08627445995807648,-0.004287272691726685) 0.5 -0.2408038896553531 (10.529690742492676,4.0) (-1.9513916527102992e-07,0.0) 0.5 -0.33421738286388025 (11.444820404052734,5.5) (-2.612257787859562e-07,0.0) 0.5 -0.17149791705003348 (7.0,5.0) (0,0) 1e-07 -0.24918553314984057 (7.0,1.0) (0,0) 1e-07 -0.24918553314984057 
