timestamp position0 velocity0 radius0 goal pref_speed theta position1 velocity1 radius1 position2 velocity2 radius2 position3 velocity3 radius3 position4 velocity4 radius4 position5 velocity5 radius5 position6 velocity6 radius6 
2.299999952316284 (1.1518877744674683,2.6868114471435547) (-4.2235141707765156e-13,0.0) 0.2199999988079071 (1.1518877744674683,2.6868114471435547) 1.5 3.141592653589793 (2.6700243949890137,0.6719955801963806) (-0.0006859110435470939,-0.0001695181999821216) 0.2199999988079071 (0.5235569477081299,1.8495601415634155) (0.1395113319158554,0.2532298266887665) 0.2199999988079071 (1.5707744359970093,0.7150797843933105) (-0.00037148030241951346,0.0007657823152840137) 0.2199999988079071 (0.4271529244312844,1.5708718251549851) (0,0) 0.3 (1.1734476195337393,1.1050089244878063) (0,0) 0.3 
2.3999998569488525 (1.1518877744674683,2.6868114471435547) (-4.2235141707765156e-13,0.0) 0.2199999988079071 (1.1518877744674683,2.6868114471435547) 1.5 3.141592653589793 (2.6699557304382324,0.6719786524772644) (-0.0006860974244773388,-0.00016956428589764982) 0.2199999988079071 (0.5409299731254578,1.881094217300415) (0.17373017966747284,0.31534111499786377) 0.2199999988079071 (1.5707372426986694,0.7151563763618469) (-0.000371604401152581,0.0007660380797460675) 0.2199999988079071 (0.4271529244312844,1.5708718251549851) (0,0) 0.3 (1.1734476195337393,1.1050089244878063) (0,0) 0.3 
2.499999761581421 (1.1518877744674683,2.6868114471435547) (-7.991333705881232e-10,3.310118845689658e-10) 0.2199999988079071 (1.1518877744674683,2.6868114471435547) 1.5 2.7488935672700032 (2.669887065887451,0.6719616651535034) (-0.0006862839218229055,-0.00016961037181317806) 0.2199999988079071 (0.5639363527297974,1.9228535890579224) (0.2300637662410736,0.4175933301448822) 0.2199999988079071 (1.5707000494003296,0.7152330279350281) (-0.00037172852898947895,0.000766294018831104) 0.2199999988079071 (0.4271529244312844,1.5708718251549851) (0,0) 0.3 (1.1734476195337393,1.1050089244878063) (0,0) 0.3 
2.5999996662139893 (1.159298300743103,2.685447931289673) (0.07410526275634766,-0.013635095208883286) 0.2199999988079071 (1.159298300743103,2.685447931289673) 1.5 -0.18196112084242025 (2.66981840133667,0.6719446778297424) (-0.0006864704773761332,-0.00016965647228062153) 0.2199999988079071 (0.5833874940872192,1.9869296550750732) (0.19451168179512024,0.6407607793807983) 0.2199999988079071 (1.5706628561019897,0.7153096795082092) (-0.00037185277324169874,0.0007665501907467842) 0.2199999988079071 (0.4271529244312844,1.5708718251549851) (0,0) 0.3 (1.1734476195337393,1.1050089244878063) (0,0) 0.3 
2.6999995708465576 (1.1447045803070068,2.722655773162842) (-0.1459367871284485,0.372078001499176) 0.2199999988079071 (1.1447045803070068,2.722655773162842) 1.5 1.944578690467308 (2.6697497367858887,0.6719276905059814) (-0.0006866570911370218,-0.00016970258729998022) 0.2199999988079071 (0.6575024724006653,2.0589308738708496) (0.7411496639251709,0.7200118899345398) 0.2199999988079071 (1.57062566280365,0.7153863310813904) (-0.00037197707570157945,0.0007668064208701253) 0.2199999988079071 (0.4271529244312844,1.5708718251549851) (0,0) 0.3 (1.1734476195337393,1.1050089244878063) (0,0) 0.3 
2.799999475479126 (1.1374077796936035,2.7412595748901367) (-0.07296839356422424,0.18603898584842682) 0.2199999988079071 (1.1374077796936035,2.7412595748901367) 1.5 1.9445787176944695 (2.6696810722351074,0.6719107031822205) (-0.0006868437631055713,-0.00016974871687125415) 0.2199999988079071 (0.7886037826538086,2.13181734085083) (1.3110129833221436,0.7288655042648315) 0.2199999988079071 (1.57058846950531,0.7154630422592163) (-0.0003721014363691211,0.0007670627674087882) 0.2199999988079071 (0.4271529244312844,1.5708718251549851) (0,0) 0.3 (1.1734476195337393,1.1050089244878063) (0,0) 0.3 
2.8999993801116943 (1.1374077796936035,2.7412595748901367) (2.98647554169279e-13,-2.98647554169279e-13) 0.2199999988079071 (1.1374077796936035,2.7412595748901367) 1.5 -0.7853981633974483 (2.669612407684326,0.6718937158584595) (-0.0006870304932817817,-0.0001697948609944433) 0.2199999988079071 (0.9352911710739136,2.1631672382354736) (1.4668735265731812,0.3134995996952057) 0.2199999988079071 (1.5705512762069702,0.7155397534370422) (-0.0003722259134519845,0.0007673193467780948) 0.2199999988079071 (0.4271529244312844,1.5708718251549851) (0,0) 0.3 (1.1734476195337393,1.1050089244878063) (0,0) 0.3 
2.9999992847442627 (1.1374077796936035,2.7412595748901367) (-6.116301909386834e-10,-6.116301909386834e-10) 0.2199999988079071 (1.1374077796936035,2.7412595748901367) 1.5 -2.356194490192345 (2.669543743133545,0.6718767285346985) (-0.000687217281665653,-0.00016984101966954768) 0.2199999988079071 (1.0836942195892334,2.1849966049194336) (1.484031081199646,0.21829348802566528) 0.2199999988079071 (1.5705140829086304,0.7156165242195129) (-0.0003723504487425089,0.0007675760425627232) 0.2199999988079071 (0.4271529244312844,1.5708718251549851) (0,0) 0.3 (1.1734476195337393,1.1050089244878063) (0,0) 0.3 
3.099999189376831 (1.1373991966247559,2.7412729263305664) (-8.571147918701172e-05,0.000134393572807312) 0.2199999988079071 (1.1373991966247559,2.7412729263305664) 1.5 2.138522152651058 (2.6694750785827637,0.6718597412109375) (-0.0006874040700495243,-0.00016988719289656729) 0.2199999988079071 (1.2101271152496338,2.2657103538513184) (1.264328956604004,0.8071384429931641) 0.2199999988079071 (1.5704768896102905,0.7156932950019836) (-0.0003724751004483551,0.0007678330293856561) 0.2199999988079071 (0.4271529244312844,1.5708718251549851) (0,0) 0.3 (1.1734476195337393,1.1050089244878063) (0,0) 0.3 
3.1999990940093994 (1.137394905090332,2.7412796020507812) (-4.284516035113484e-05,6.712982576573268e-05) 0.2199999988079071 (1.137394905090332,2.7412796020507812) 1.5 2.138862271260964 (2.6694064140319824,0.6718427538871765) (-0.0006875909748487175,-0.00016993338067550212) 0.2199999988079071 (1.336564302444458,2.3464174270629883) (1.2643717527389526,0.8070712685585022) 0.2199999988079071 (1.5704395771026611,0.7157701253890991) (-0.0003725998103618622,0.00076809007441625) 0.2199999988079071 (0.4271529244312844,1.5708718251549851) (0,0) 0.3 (1.1734476195337393,1.1050089244878063) (0,0) 0.3 
3.2999989986419678 (1.137394905090332,2.7412796020507812) (6.116301909386834e-10,-6.116301909386834e-10) 0.2199999988079071 (1.137394905090332,2.7412796020507812) 1.5 -0.7853981633974483 (2.669337749481201,0.6718257665634155) (-0.0006877779378555715,-0.00016997956845443696) 0.2199999988079071 (1.4863117933273315,2.355116605758667) (1.4974753856658936,0.08699161559343338) 0.2199999988079071 (1.5704022645950317,0.7158469557762146) (-0.000372724694898352,0.0007683475269004703) 0.2199999988079071 (0.4271529244312844,1.5708718251549851) (0,0) 0.3 (1.1734476195337393,1.1050089244878063) (0,0) 0.3 
3.399998903274536 (1.137394905090332,2.7412796020507812) (0.0,0.0) 0.2199999988079071 (1.137394905090332,2.7412796020507812) 1.5 0.0 (2.669268846511841,0.6718087792396545) (-0.0006879649590700865,-0.00017002578533720225) 0.2199999988079071 (1.5902135372161865,2.463303565979004) (1.0390172004699707,1.081870198249817) 0.2199999988079071 (1.5703649520874023,0.7159238457679749) (-0.0003728496376425028,0.0007686050958000124) 0.2199999988079071 (0.4271529244312844,1.5708718251549851) (0,0) 0.3 (1.1734476195337393,1.1050089244878063) (0,0) 0.3 
3.4999988079071045 (1.137394905090332,2.7412796020507812) (-3.90201841107482e-13,1.6162689676219033e-13) 0.2199999988079071 (1.137394905090332,2.7412796020507812) 1.5 2.7488935672700032 (2.6691999435424805,0.6717917919158936) (-0.0006881526205688715,-0.00017007217684295028) 0.2199999988079071 (1.6039139032363892,2.6126766204833984) (0.13700424134731293,1.4937301874160767) 0.2199999988079071 (1.570327639579773,0.7160007357597351) (-0.00037297469680197537,0.0007688628975301981) 0.2199999988079071 (0.4271529244312844,1.5708718251549851) (0,0) 0.3 (1.1734476195337393,1.1050089244878063) (0,0) 0.3 
3.599998712539673 (1.137394905090332,2.7412796020507812) (7.991333705881232e-10,3.310118845689658e-10) 0.2199999988079071 (1.137394905090332,2.7412796020507812) 1.5 0.3926990863197901 (2.66913104057312,0.6717748045921326) (-0.0006883403402753174,-0.00017011858290061355) 0.2199999988079071 (1.6754528284072876,2.7445180416107178) (0.7153896689414978,1.3184148073196411) 0.2199999988079071 (1.5702903270721436,0.7160776257514954) (-0.00037309981416910887,0.0007691208156757057) 0.2199999988079071 (0.4271529244312844,1.5708718251549851) (0,0) 0.3 (1.1734476195337393,1.1050089244878063) (0,0) 0.3 
3.699998617172241 (1.137394905090332,2.7412796020507812) (7.991333705881232e-10,3.310118845689658e-10) 0.2199999988079071 (1.137394905090332,2.7412796020507812) 1.5 0.3926990863197901 (2.6690621376037598,0.6717578172683716) (-0.0006885281181894243,-0.00017016501806210726) 0.2199999988079071 (1.7593010663986206,2.868894338607788) (0.8384819030761719,1.2437636852264404) 0.2199999988079071 (1.5702530145645142,0.7161545753479004) (-0.0003732249606400728,0.0007693788502365351) 0.2199999988079071 (0.4271529244312844,1.5708718251549851) (0,0) 0.3 (1.1734476195337393,1.1050089244878063) (0,0) 0.3 
3.7999985218048096 (1.137394905090332,2.7412796020507812) (2.98647554169279e-13,-2.98647554169279e-13) 0.2199999988079071 (1.137394905090332,2.7412796020507812) 1.5 -0.7853981633974483 (2.6689932346343994,0.6717407703399658) (-0.000688716012518853,-0.00017021145322360098) 0.2199999988079071 (1.6813331842422485,2.9970388412475586) (-0.7796788215637207,1.281444787979126) 0.2199999988079071 (1.5702157020568848,0.7162315249443054) (-0.00037335025263018906,0.0007696371176280081) 0.2199999988079071 (0.4271529244312844,1.5708718251549851) (0,0) 0.3 (1.1734476195337393,1.1050089244878063) (0,0) 0.3 
3.899998426437378 (1.137394905090332,2.7412796020507812) (0.0,0.0) 0.2199999988079071 (1.137394905090332,2.7412796020507812) 1.5 0.0 (2.668924331665039,0.6717237234115601) (-0.0006889039068482816,-0.0001702578883850947) 0.2199999988079071 (1.565266728401184,3.092057704925537) (-1.1606650352478027,0.9501877427101135) 0.2199999988079071 (1.5701783895492554,0.7163085341453552) (-0.0003734756028279662,0.000769895501434803) 0.2199999988079071 (0.4271529244312844,1.5708718251549851) (0,0) 0.3 (1.1734476195337393,1.1050089244878063) (0,0) 0.3 
3.9999983310699463 (1.137394905090332,2.7412796020507812) (-2.98647554169279e-13,2.98647554169279e-13) 0.2199999988079071 (1.137394905090332,2.7412796020507812) 1.5 2.356194490192345 (2.6688554286956787,0.6717066764831543) (-0.0006890919175930321,-0.00017030435265041888) 0.2199999988079071 (1.4406683444976807,3.1755757331848145) (-1.2459834814071655,0.8351797461509705) 0.2199999988079071 (1.570141077041626,0.716385543346405) (-0.0003736010694410652,0.0007701541180722415) 0.2199999988079071 (0.4271529244312844,1.5708718251549851) (0,0) 0.3 (1.1734476195337393,1.1050089244878063) (0,0) 0.3 
4.099998474121094 (1.13713800907135,2.727810859680176) (-0.002568840980529785,-0.13468673825263977) 0.2199999988079071 (1.13713800907135,2.727810859680176) 1.5 -1.589866723734039 (2.6687865257263184,0.6716896295547485) (-0.0006892799865454435,-0.00017035081691574305) 0.2199999988079071 (1.4406527280807495,3.1755623817443848) (-0.00015582400374114513,-0.00013277852849569172) 0.2199999988079071 (1.570103645324707,0.7164626121520996) (-0.0003737265942618251,0.0007704128511250019) 0.2199999988079071 (0.4271529244312844,1.5708718251549851) (0,0) 0.3 (1.1734476195337393,1.1050089244878063) (0,0) 0.3 
4.199998378753662 (1.1113226413726807,2.718261957168579) (-0.25815334916114807,-0.09549003839492798) 0.2199999988079071 (1.1113226413726807,2.718261957168579) 1.5 -2.7873037129669584 (2.668717622756958,0.6716725826263428) (-0.0006894681137055159,-0.00017039731028489769) 0.2199999988079071 (1.440651774406433,3.1755576133728027) (-9.761298315424938e-06,-4.71196326543577e-05) 0.2199999988079071 (1.570066213607788,0.7165396809577942) (-0.0003738522937055677,0.0007706719916313887) 0.2199999988079071 (0.4271529244312844,1.5708718251549851) (0,0) 0.3 (1.1734476195337393,1.1050089244878063) (0,0) 0.3 
4.2999982833862305 (1.1113226413726807,2.718261957168579) (0.0,0.0) 0.2199999988079071 (1.1113226413726807,2.718261957168579) 1.5 0.0 (2.6686487197875977,0.671655535697937) (-0.0006896562408655882,-0.00017044380365405232) 0.2199999988079071 (1.4406508207321167,3.1755528450012207) (-9.761433830135502e-06,-4.712028385256417e-05) 0.2199999988079071 (1.5700287818908691,0.7166167497634888) (-0.0003739780222531408,0.0007709311903454363) 0.2199999988079071 (0.4271529244312844,1.5708718251549851) (0,0) 0.3 (1.1734476195337393,1.1050089244878063) (0,0) 0.3 
4.399998188018799 (1.0828839540481567,2.710336685180664) (-0.28438740968704224,-0.07925337553024292) 0.2199999988079071 (1.0828839540481567,2.710336685180664) 1.5 -2.869807451735455 (2.6685798168182373,0.6716384887695312) (-0.0006898444844409823,-0.0001704903261270374) 0.2199999988079071 (1.4406498670578003,3.1755480766296387) (-9.761569344846066e-06,-4.712093868874945e-05) 0.2199999988079071 (1.5699913501739502,0.7166938781738281) (-0.0003741038090083748,0.0007711905636824667) 0.2199999988079071 (0.4271529244312844,1.5708718251549851) (0,0) 0.3 (1.1734476195337393,1.1050089244878063) (0,0) 0.3 
4.499998092651367 (1.0828839540481567,2.710336685180664) (3.90201841107482e-13,1.6162689676219033e-13) 0.2199999988079071 (1.0828839540481567,2.710336685180664) 1.5 0.3926990863197901 (2.668510913848877,0.6716214418411255) (-0.0006900327862240374,-0.0001705368486000225) 0.2199999988079071 (1.4398400783538818,3.187497615814209) (-0.008097665384411812,0.1194949746131897) 0.2199999988079071 (1.5699539184570312,0.7167710065841675) (-0.0003742297412827611,0.0007714501116424799) 0.2199999988079071 (0.4271529244312844,1.5708718251549851) (0,0) 0.3 (1.1734476195337393,1.1050089244878063) (0,0) 0.3 
