timestamp position0 velocity0 radius0 goal pref_speed theta position1 velocity1 radius1 position2 velocity2 radius2 position3 velocity3 radius3 position4 velocity4 radius4
0 (1.04771,1.22701) (0,0) 0.149527 (0.900002,5.82137) 1.78205 0 (0.740258,2.37753) (0,0) 0.188026 (1.41801,2.39348) (0,0) 0.136271 (0,1.22701) (0,0) 0.3 (2.1,1.22701) (0,0) 0.3
0.25 (1.03969,1.47686) (-0.0321108,0.999418) 0.149527 (0.900002,5.82137) 1.78205 1.60291 (0.724455,2.41258) (-0.0632136,0.140211) 0.188026 (1.4478,2.45635) (0.119138,0.251506) 0.136271 (0,1.47686) (0,0) 0.3 (2.1,1.47686) (0,0) 0.3
0.5 (1.03167,1.72673) (-0.0320869,0.999483) 0.149527 (0.900002,5.82137) 1.78205 1.60289 (0.70865,2.44763) (-0.063218,0.140209) 0.188026 (1.47758,2.51923) (0.119127,0.251512) 0.136271 (0,1.72673) (0,0) 0.3 (2.1,1.72673) (0,0) 0.3
0.75 (1.02362,1.9766) (-0.0321695,0.999492) 0.149527 (0.900002,5.82137) 1.78205 1.60297 (0.692845,2.48269) (-0.0632214,0.140207) 0.188026 (1.50737,2.58211) (0.119139,0.251506) 0.136271 (0,1.9766) (0,0) 0.3 (2.1,1.9766) (0,0) 0.3
1 (1.0156,2.22647) (-0.0321025,0.999474) 0.149527 (0.900002,5.82137) 1.78205 1.6029 (0.677042,2.51774) (-0.0632086,0.140213) 0.188026 (1.53715,2.64498) (0.119149,0.251501) 0.136271 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.25 (1.00755,2.47635) (-0.0321861,0.999499) 0.149527 (0.900002,5.82137) 1.78205 1.60299 (0.66124,2.55279) (-0.063209,0.140213) 0.188026 (1.56694,2.70786) (0.119132,0.251509) 0.136271 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.5 (0.999507,2.72622) (-0.0321746,0.999486) 0.149527 (0.900002,5.82137) 1.78205 1.60298 (0.645435,2.58784) (-0.0632224,0.140207) 0.188026 (1.59673,2.77073) (0.119159,0.251496) 0.136271 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.75 (0.991482,2.97611) (-0.0320987,0.999552) 0.149527 (0.900002,5.82137) 1.78205 1.6029 (0.629631,2.6229) (-0.0632152,0.14021) 0.188026 (1.62651,2.83361) (0.119134,0.251508) 0.136271 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2 (0.983446,3.22598) (-0.0321436,0.999494) 0.149527 (0.900002,5.82137) 1.78205 1.60295 (0.613831,2.65795) (-0.0632,0.140217) 0.188026 (1.65629,2.89649) (0.119124,0.251513) 0.136271 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.25 (0.975411,3.47586) (-0.0321402,0.999508) 0.149527 (0.900002,5.82137) 1.78205 1.60294 (0.598026,2.693) (-0.0632189,0.140208) 0.188026 (1.68607,2.95937) (0.119126,0.251512) 0.136271 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.5 (0.967363,3.72572) (-0.0321943,0.999448) 0.149527 (0.900002,5.82137) 1.78205 1.603 (0.582223,2.72806) (-0.0632109,0.140212) 0.188026 (1.71585,3.02224) (0.119127,0.251512) 0.136271 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.75 (0.959315,3.97558) (-0.0321902,0.999423) 0.149527 (0.900002,5.82137) 1.78205 1.60299 (0.566419,2.76311) (-0.0632193,0.140208) 0.188026 (1.74565,3.08512) (0.119169,0.251492) 0.136271 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3 (0.951275,4.22544) (-0.0321586,0.999469) 0.149527 (0.900002,5.82137) 1.78205 1.60296 (0.550615,2.79816) (-0.0632154,0.14021) 0.188026 (1.77543,3.14799) (0.119148,0.251502) 0.136271 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3.25 (0.943228,4.47531) (-0.0321908,0.999455) 0.149527 (0.900002,5.82137) 1.78205 1.60299 (0.534808,2.83321) (-0.0632272,0.140205) 0.188026 (1.80522,3.21087) (0.119136,0.251507) 0.136271 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3.5 (0.935191,4.72519) (-0.0321487,0.999543) 0.149527 (0.900002,5.82137) 1.78205 1.60295 (0.519005,2.86826) (-0.0632126,0.140211) 0.188026 (1.83501,3.27374) (0.119153,0.251499) 0.136271 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3.75 (0.927163,4.97508) (-0.0321092,0.99954) 0.149527 (0.900002,5.82137) 1.78205 1.60291 (0.503199,2.90332) (-0.0632236,0.140206) 0.188026 (1.86479,3.33662) (0.119125,0.251512) 0.136271 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
4 (0.920367,5.18665) (-0.027184,0.846284) 0.149527 (0.900002,5.82137) 1.78205 1.60291 (0.487397,2.93837) (-0.0632065,0.140214) 0.188026 (1.89457,3.3995) (0.119135,0.251508) 0.136271 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
4.25 (0.915293,5.34534) (-0.0202954,0.634754) 0.149527 (0.900002,5.82137) 1.78205 1.60276 (0.471595,2.97342) (-0.0632104,0.140212) 0.188026 (1.92437,3.46237) (0.119184,0.251485) 0.136271 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
