timestamp position0 velocity0 radius0 goal pref_speed theta position1 velocity1 radius1 position2 velocity2 radius2 position3 velocity3 radius3 position4 velocity4 radius4 position5 velocity5 radius5
0 (1.07659,1.00377) (0,0) 0.183255 (0.900002,5.82137) 1.62056 0 (0.545907,2.23519) (0,0) 0.176526 (1.17005,2.24779) (0,0) 0.181905 (1.48317,2.33174) (0,0) 0.157772 (0,1.00377) (0,0) 0.3 (2.1,1.00377) (0,0) 0.3
0.25 (1.06742,1.25359) (-0.0366634,0.999298) 0.183255 (0.900002,5.82137) 1.62056 1.60747 (0.530473,2.28422) (-0.0617354,0.196142) 0.176526 (1.16352,2.24225) (-0.0261413,-0.0221921) 0.181905 (1.50269,2.37538) (0.0780615,0.174564) 0.157772 (0,1.25359) (0,0) 0.3 (2.1,1.25359) (0,0) 0.3
0.5 (1.02561,1.49405) (-0.167265,0.961829) 0.183255 (0.900002,5.82137) 1.62056 1.74298 (0.515038,2.33326) (-0.0617397,0.19614) 0.176526 (1.18846,2.24383) (0.0997642,0.00634911) 0.181905 (1.52221,2.41902) (0.0780651,0.174563) 0.157772 (0,1.49405) (0,0) 0.3 (2.1,1.49405) (0,0) 0.3
0.75 (0.982795,1.73365) (-0.171242,0.958413) 0.183255 (0.900002,5.82137) 1.62056 1.7476 (0.499601,2.38229) (-0.061746,0.196138) 0.176526 (1.20796,2.26848) (0.0779997,0.0985666) 0.181905 (1.54172,2.46266) (0.0780589,0.174565) 0.157772 (0,1.73365) (0,0) 0.3 (2.1,1.73365) (0,0) 0.3
1 (0.940142,1.97271) (-0.17061,0.956233) 0.183255 (0.900002,5.82137) 1.62056 1.74736 (0.484163,2.43132) (-0.0617521,0.196136) 0.176526 (1.22411,2.30467) (0.0646095,0.144761) 0.181905 (1.56123,2.5063) (0.0780549,0.174567) 0.157772 (0,1.97271) (0,0) 0.3 (2.1,1.97271) (0,0) 0.3
1.25 (0.897672,2.21114) (-0.169881,0.95372) 0.183255 (0.900002,5.82137) 1.62056 1.74707 (0.468726,2.48036) (-0.0617481,0.196138) 0.176526 (1.23707,2.35188) (0.0518325,0.18884) 0.181905 (1.58075,2.54994) (0.0780698,0.17456) 0.157772 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.5 (0.855412,2.44885) (-0.16904,0.95082) 0.183255 (0.900002,5.82137) 1.62056 1.74674 (0.453289,2.52939) (-0.0617493,0.196137) 0.176526 (1.25003,2.39909) (0.0518322,0.18884) 0.181905 (1.60027,2.59359) (0.0780605,0.174565) 0.157772 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.75 (0.858709,2.69883) (0.0131875,0.999939) 0.183255 (0.900002,5.82137) 1.62056 1.55761 (0.43785,2.57843) (-0.0617558,0.196135) 0.176526 (1.2374,2.44638) (-0.0505176,0.189196) 0.181905 (1.61978,2.63723) (0.078066,0.174562) 0.157772 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2 (0.862001,2.9488) (0.0131677,0.999865) 0.183255 (0.900002,5.82137) 1.62056 1.55763 (0.422413,2.62746) (-0.0617467,0.196138) 0.176526 (1.21044,2.48725) (-0.107839,0.163456) 0.181905 (1.6393,2.68087) (0.0780696,0.174561) 0.157772 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.25 (0.865292,3.19876) (0.0131655,0.999853) 0.183255 (0.900002,5.82137) 1.62056 1.55763 (0.406981,2.6765) (-0.0617306,0.196143) 0.176526 (1.18197,2.52708) (-0.113874,0.15931) 0.181905 (1.65882,2.72451) (0.0780614,0.174564) 0.157772 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.5 (0.8686,3.44874) (0.0132317,0.999912) 0.183255 (0.900002,5.82137) 1.62056 1.55756 (0.391541,2.72553) (-0.0617593,0.196134) 0.176526 (1.1535,2.56691) (-0.113865,0.159317) 0.181905 (1.67833,2.76815) (0.0780545,0.174567) 0.157772 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
