timestamp position0 velocity0 radius0 goal pref_speed theta position1 velocity1 radius1 position2 velocity2 radius2 position3 velocity3 radius3 position4 velocity4 radius4 position5 velocity5 radius5
0 (0.930536,1.37133) (0,0) 0.120756 (0.900002,5.82137) 1.99363 0 (0.662291,2.28638) (0,0) 0.199994 (0.91259,2.26672) (0,0) 0.126913 (1.64924,2.24696) (0,0) 0.149115 (0,1.37133) (0,0) 0.3 (2.1,1.37133) (0,0) 0.3
0.25 (0.933512,1.38759) (0.0119032,0.0650417) 0.120756 (0.900002,5.82137) 1.99363 1.38979 (0.628482,2.34019) (-0.135235,0.215247) 0.199994 (0.935866,2.23848) (0.0931042,-0.112958) 0.126913 (1.66435,2.30228) (0.0604593,0.221262) 0.149115 (0,1.38759) (0,0) 0.3 (2.1,1.38759) (0,0) 0.3
0.5 (0.907874,1.51029) (-0.102551,0.490795) 0.120756 (0.900002,5.82137) 1.99363 1.77678 (0.60343,2.3986) (-0.100209,0.23362) 0.199994 (0.941719,2.25664) (0.0234107,0.0726249) 0.126913 (1.67947,2.35759) (0.0604522,0.221264) 0.149115 (0,1.51029) (0,0) 0.3 (2.1,1.51029) (0,0) 0.3
0.75 (0.88307,1.63022) (-0.0992161,0.479722) 0.120756 (0.900002,5.82137) 1.99363 1.77474 (0.577486,2.45661) (-0.103777,0.232057) 0.199994 (0.947524,2.31095) (0.0232223,0.217259) 0.126913 (1.69459,2.41291) (0.060472,0.221258) 0.149115 (0,1.63022) (0,0) 0.3 (2.1,1.63022) (0,0) 0.3
1 (0.858633,1.77004) (-0.0977509,0.559278) 0.120756 (0.900002,5.82137) 1.99363 1.74383 (0.551542,2.51463) (-0.103777,0.232057) 0.199994 (0.943826,2.40396) (-0.0147951,0.372026) 0.126913 (1.7097,2.46822) (0.0604575,0.221262) 0.149115 (0,1.77004) (0,0) 0.3 (2.1,1.77004) (0,0) 0.3
1.25 (0.834453,1.92386) (-0.0967197,0.615273) 0.120756 (0.900002,5.82137) 1.99363 1.72672 (0.525597,2.57264) (-0.103777,0.232057) 0.199994 (0.93615,2.49672) (-0.0307001,0.371052) 0.126913 (1.72481,2.52354) (0.0604421,0.221266) 0.149115 (0,1.92386) (0,0) 0.3 (2.1,1.92386) (0,0) 0.3
1.5 (0.810273,2.07768) (-0.0967197,0.615273) 0.120756 (0.900002,5.82137) 1.99363 1.72672 (0.499653,2.63065) (-0.103777,0.232057) 0.199994 (0.928475,2.58949) (-0.0307001,0.371052) 0.126913 (1.73992,2.57885) (0.0604355,0.221268) 0.149115 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.75 (0.786093,2.2315) (-0.0967197,0.615273) 0.120756 (0.900002,5.82137) 1.99363 1.72672 (0.473709,2.68867) (-0.103777,0.232057) 0.199994 (0.9208,2.68225) (-0.0307002,0.371052) 0.126913 (1.75503,2.63417) (0.0604492,0.221264) 0.149115 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2 (0.761913,2.38531) (-0.0967197,0.615273) 0.120756 (0.900002,5.82137) 1.99363 1.72672 (0.447764,2.74668) (-0.103777,0.232057) 0.199994 (0.913125,2.77501) (-0.0307001,0.371052) 0.126913 (1.77015,2.68949) (0.0604565,0.221262) 0.149115 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.25 (0.737733,2.53913) (-0.0967197,0.615273) 0.120756 (0.900002,5.82137) 1.99363 1.72672 (0.42182,2.8047) (-0.103777,0.232057) 0.199994 (0.90545,2.86778) (-0.0307001,0.371052) 0.126913 (1.78526,2.7448) (0.0604671,0.221259) 0.149115 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.5 (0.713553,2.69295) (-0.0967197,0.615273) 0.120756 (0.900002,5.82137) 1.99363 1.72672 (0.395876,2.86271) (-0.103777,0.232057) 0.199994 (0.897775,2.96054) (-0.0307001,0.371052) 0.126913 (1.80038,2.80011) (0.0604845,0.221255) 0.149115 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
