timestamp position0 velocity0 radius0 goal pref_speed theta position1 velocity1 radius1 position2 velocity2 radius2 position3 velocity3 radius3 position4 velocity4 radius4
0 (1.09562,1.07517) (0,0) 0.175615 (0.900002,5.82137) 1.57408 0 (0.589361,2.27755) (0,0) 0.218331 (1.49039,2.36912) (0,0) 0.134182 (0,1.07517) (0,0) 0.3 (2.1,1.07517) (0,0) 0.3
0.25 (1.08532,1.32497) (-0.0411808,0.999201) 0.175615 (0.900002,5.82137) 1.57408 1.61199 (0.574912,2.33129) (-0.0577953,0.214997) 0.218331 (1.51603,2.43141) (0.102557,0.24919) 0.134182 (0,1.32497) (0,0) 0.3 (2.1,1.32497) (0,0) 0.3
0.5 (1.07502,1.57477) (-0.0412067,0.999209) 0.175615 (0.900002,5.82137) 1.57408 1.61201 (0.560471,2.38505) (-0.057764,0.215006) 0.218331 (1.54167,2.49371) (0.102547,0.249195) 0.134182 (0,1.57477) (0,0) 0.3 (2.1,1.57477) (0,0) 0.3
0.75 (1.06473,1.82457) (-0.0411781,0.999199) 0.175615 (0.900002,5.82137) 1.57408 1.61198 (0.546026,2.4388) (-0.0577793,0.215002) 0.218331 (1.56731,2.55601) (0.102575,0.249183) 0.134182 (0,1.82457) (0,0) 0.3 (2.1,1.82457) (0,0) 0.3
1 (1.05443,2.07436) (-0.0411917,0.999158) 0.175615 (0.900002,5.82137) 1.57408 1.612 (0.531584,2.49255) (-0.0577689,0.215004) 0.218331 (1.59295,2.6183) (0.102562,0.249188) 0.134182 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.25 (1.04414,2.32415) (-0.0411646,0.999161) 0.175615 (0.900002,5.82137) 1.57408 1.61197 (0.517142,2.5463) (-0.0577684,0.215005) 0.218331 (1.61859,2.6806) (0.102553,0.249192) 0.134182 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.5 (1.03384,2.57393) (-0.0411697,0.999107) 0.175615 (0.900002,5.82137) 1.57408 1.61198 (0.502697,2.60005) (-0.0577818,0.215001) 0.218331 (1.64423,2.7429) (0.10257,0.249185) 0.134182 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.75 (1.02355,2.82371) (-0.0411922,0.999134) 0.175615 (0.900002,5.82137) 1.57408 1.612 (0.488248,2.6538) (-0.0577936,0.214998) 0.218331 (1.66987,2.8052) (0.102545,0.249195) 0.134182 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2 (1.01324,3.0735) (-0.0412284,0.999161) 0.175615 (0.900002,5.82137) 1.57408 1.61204 (0.473799,2.70755) (-0.0577988,0.214996) 0.218331 (1.69551,2.8675) (0.102559,0.24919) 0.134182 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.25 (1.00296,3.32328) (-0.0411138,0.999133) 0.175615 (0.900002,5.82137) 1.57408 1.61192 (0.45935,2.7613) (-0.0577955,0.214997) 0.218331 (1.72115,2.92979) (0.102554,0.249192) 0.134182 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.5 (0.99269,3.57307) (-0.041085,0.999144) 0.175615 (0.900002,5.82137) 1.57408 1.61189 (0.444908,2.81505) (-0.0577686,0.215004) 0.218331 (1.74678,2.99209) (0.102541,0.249197) 0.134182 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.75 (0.982401,3.82286) (-0.0411577,0.999176) 0.175615 (0.900002,5.82137) 1.57408 1.61196 (0.430456,2.8688) (-0.0578057,0.214994) 0.218331 (1.77241,3.05439) (0.102531,0.249201) 0.134182 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3 (0.972114,4.07264) (-0.0411461,0.999099) 0.175615 (0.900002,5.82137) 1.57408 1.61196 (0.416014,2.92255) (-0.0577674,0.215005) 0.218331 (1.79805,3.11669) (0.102557,0.249191) 0.134182 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3.25 (0.961824,4.32242) (-0.0411619,0.999116) 0.175615 (0.900002,5.82137) 1.57408 1.61197 (0.401571,2.9763) (-0.057772,0.215004) 0.218331 (1.82369,3.17899) (0.10256,0.249189) 0.134182 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3.5 (0.951513,4.57219) (-0.0412416,0.999091) 0.175615 (0.900002,5.82137) 1.57408 1.61205 (0.387136,3.03005) (-0.0577413,0.215012) 0.218331 (1.84934,3.24128) (0.10259,0.249177) 0.134182 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3.75 (0.94121,4.82198) (-0.041214,0.999147) 0.175615 (0.900002,5.82137) 1.57408 1.61202 (0.372679,3.0838) (-0.0578268,0.214989) 0.218331 (1.87498,3.30358) (0.102548,0.249194) 0.134182 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
4 (0.930905,5.07178) (-0.0412179,0.999198) 0.175615 (0.900002,5.82137) 1.57408 1.61202 (0.358243,3.13755) (-0.0577448,0.215011) 0.218331 (1.9006,3.36588) (0.102508,0.249211) 0.134182 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
4.25 (0.923176,5.25918) (-0.0309169,0.749612) 0.175615 (0.900002,5.82137) 1.57408 1.61202 (0.343805,3.1913) (-0.0577531,0.215009) 0.218331 (1.92624,3.42818) (0.102546,0.249195) 0.134182 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
4.5 (0.917383,5.39973) (-0.0231736,0.562193) 0.175615 (0.900002,5.82137) 1.57408 1.61199 (0.332905,3.23186) (-0.0435985,0.162223) 0.218331 (1.95188,3.49048) (0.102539,0.249198) 0.134182 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
