timestamp position0 velocity0 radius0 goal pref_speed theta position1 velocity1 radius1 position2 velocity2 radius2 position3 velocity3 radius3 position4 velocity4 radius4 position5 velocity5 radius5 position6 velocity6 radius6
0 (1.16523,1.11856) (0,0) 0.162891 (0.900002,5.82137) 1.84662 0 (0.562672,2.20904) (0,0) 0.164992 (0.78127,2.23925) (0,0) 0.132008 (1.28683,2.27088) (0,0) 0.144289 (1.66226,2.37696) (0,0) 0.208159 (0,1.11856) (0,0) 0.3 (2.1,1.11856) (0,0) 0.3
0.25 (1.15116,1.36816) (-0.0563111,0.998406) 0.162891 (0.900002,5.82137) 1.84662 1.62714 (0.513938,2.28294) (-0.194939,0.295581) 0.164992 (0.799748,2.27524) (0.0739107,0.143973) 0.132008 (1.27915,2.30155) (-0.0307468,0.122672) 0.144289 (1.67984,2.46865) (0.0702942,0.36674) 0.208159 (0,1.36816) (0,0) 0.3 (2.1,1.36816) (0,0) 0.3
0.5 (1.1595,1.4114) (0.0333617,0.172969) 0.162891 (0.900002,5.82137) 1.84662 1.38026 (0.484507,2.36642) (-0.117724,0.333931) 0.164992 (0.788888,2.31421) (-0.0434401,0.155897) 0.132008 (1.29759,2.3377) (0.0737788,0.144614) 0.144289 (1.69741,2.56034) (0.0702876,0.366742) 0.208159 (0,1.4114) (0,0) 0.3 (2.1,1.4114) (0,0) 0.3
0.75 (1.15834,1.4737) (-0.00463374,0.249166) 0.162891 (0.900002,5.82137) 1.84662 1.58939 (0.455074,2.4499) (-0.117729,0.33393) 0.164992 (0.771496,2.35074) (-0.0695665,0.146121) 0.132008 (1.31603,2.37386) (0.073765,0.144621) 0.144289 (1.71499,2.65202) (0.0703098,0.366737) 0.208159 (0,1.4737) (0,0) 0.3 (2.1,1.4737) (0,0) 0.3
1 (1.15371,1.55692) (-0.0185132,0.33291) 0.162891 (0.900002,5.82137) 1.84662 1.62635 (0.425644,2.53339) (-0.117723,0.333932) 0.164992 (0.754103,2.38727) (-0.0695726,0.146118) 0.132008 (1.33448,2.41001) (0.0737784,0.144614) 0.144289 (1.73257,2.7437) (0.0703155,0.366736) 0.208159 (0,1.55692) (0,0) 0.3 (2.1,1.55692) (0,0) 0.3
1.25 (1.13186,1.80541) (-0.0874105,0.993954) 0.162891 (0.900002,5.82137) 1.84662 1.65851 (0.396205,2.61687) (-0.117757,0.33392) 0.164992 (0.736713,2.4238) (-0.0695623,0.146123) 0.132008 (1.35292,2.44617) (0.0737744,0.144616) 0.144289 (1.75014,2.83539) (0.070292,0.366741) 0.208159 (0,1.80541) (0,0) 0.3 (2.1,1.80541) (0,0) 0.3
1.5 (1.11528,2.0547) (-0.066294,0.997145) 0.162891 (0.900002,5.82137) 1.84662 1.63718 (0.366765,2.70035) (-0.117756,0.33392) 0.164992 (0.719324,2.46033) (-0.0695526,0.146127) 0.132008 (1.37136,2.48232) (0.0737741,0.144616) 0.144289 (1.76772,2.92707) (0.0703053,0.366738) 0.208159 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.75 (1.10101,2.30428) (-0.0570995,0.998317) 0.162891 (0.900002,5.82137) 1.84662 1.62793 (0.337329,2.78383) (-0.117747,0.333923) 0.164992 (0.701936,2.49687) (-0.0695534,0.146127) 0.132008 (1.38981,2.51847) (0.0737801,0.144613) 0.144289 (1.78528,3.01876) (0.0702449,0.36675) 0.208159 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2 (1.08674,2.55389) (-0.0570624,0.998448) 0.162891 (0.900002,5.82137) 1.84662 1.62789 (0.307889,2.86731) (-0.117759,0.333919) 0.164992 (0.684545,2.5334) (-0.0695648,0.146122) 0.132008 (1.40825,2.55463) (0.0737696,0.144619) 0.144289 (1.80285,3.11045) (0.0702827,0.366743) 0.208159 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.25 (1.07248,2.80348) (-0.0570605,0.998376) 0.162891 (0.900002,5.82137) 1.84662 1.62789 (0.278447,2.95079) (-0.117766,0.333916) 0.164992 (0.667155,2.56993) (-0.069559,0.146124) 0.132008 (1.42669,2.59078) (0.0737669,0.14462) 0.144289 (1.82042,3.20213) (0.0702918,0.366741) 0.208159 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.5 (1.05821,3.05308) (-0.0570575,0.998371) 0.162891 (0.900002,5.82137) 1.84662 1.62788 (0.249034,3.03428) (-0.117651,0.333957) 0.164992 (0.649763,2.60646) (-0.0695668,0.146121) 0.132008 (1.44514,2.62694) (0.0737704,0.144618) 0.144289 (1.83801,3.29381) (0.0703448,0.366731) 0.208159 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.75 (1.04395,3.30269) (-0.0570459,0.998456) 0.162891 (0.900002,5.82137) 1.84662 1.62787 (0.220892,3.11411) (-0.112569,0.319351) 0.164992 (0.632372,2.64299) (-0.0695646,0.146122) 0.132008 (1.46358,2.66309) (0.0737747,0.144616) 0.144289 (1.85558,3.3855) (0.0702887,0.366742) 0.208159 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3 (1.02967,3.55227) (-0.0571387,0.99831) 0.162891 (0.900002,5.82137) 1.84662 1.62797 (0.199784,3.17399) (-0.0844332,0.239498) 0.164992 (0.614983,2.67952) (-0.0695568,0.146125) 0.132008 (1.48202,2.69925) (0.0737755,0.144616) 0.144289 (1.87149,3.46856) (0.0636625,0.33222) 0.208159 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3.25 (1.01539,3.80185) (-0.0571147,0.998348) 0.162891 (0.900002,5.82137) 1.84662 1.62794 (0.183965,3.21888) (-0.0632752,0.179549) 0.164992 (0.597592,2.71605) (-0.0695634,0.146122) 0.132008 (1.50047,2.7354) (0.0737756,0.144616) 0.144289 (1.88342,3.53083) (0.0477135,0.249088) 0.208159 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3.5 (1.00112,4.05147) (-0.0570588,0.998458) 0.162891 (0.900002,5.82137) 1.84662 1.62788 (0.172102,3.25254) (-0.0474534,0.13464) 0.164992 (0.580201,2.75258) (-0.0695643,0.146122) 0.132008 (1.51891,2.77156) (0.07376,0.144624) 0.144289 (1.89238,3.57753) (0.0358189,0.18683) 0.208159 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3.75 (0.986845,4.30108) (-0.0571147,0.998426) 0.162891 (0.900002,5.82137) 1.84662 1.62794 (0.161674,3.28004) (-0.0417095,0.110031) 0.164992 (0.562807,2.78911) (-0.0695776,0.146116) 0.132008 (1.53735,2.80771) (0.0737727,0.144617) 0.144289 (1.89908,3.61256) (0.0268069,0.140086) 0.208159 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
4 (0.972593,4.55065) (-0.0570045,0.998306) 0.162891 (0.900002,5.82137) 1.84662 1.62784 (0.150911,3.3037) (-0.0430529,0.0946227) 0.164992 (0.545416,2.82564) (-0.0695631,0.146122) 0.132008 (1.55579,2.84387) (0.0737582,0.144625) 0.144289 (1.90411,3.63883) (0.0201089,0.105113) 0.208159 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
4.25 (0.958314,4.80026) (-0.0571164,0.998419) 0.162891 (0.900002,5.82137) 1.84662 1.62794 (0.138464,3.32359) (-0.0497875,0.0795689) 0.164992 (0.528022,2.86217) (-0.0695742,0.146117) 0.132008 (1.57423,2.88002) (0.0737711,0.144618) 0.144289 (1.90796,3.65896) (0.0154054,0.0804889) 0.208159 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
4.5 (0.944061,5.04985) (-0.057012,0.998373) 0.162891 (0.900002,5.82137) 1.84662 1.62784 (0.123863,3.33733) (-0.0584071,0.0549546) 0.164992 (0.510634,2.8987) (-0.0695539,0.146127) 0.132008 (1.59267,2.91618) (0.0737612,0.144623) 0.144289 (1.91102,3.67645) (0.0122548,0.0699565) 0.208159 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
4.75 (0.933031,5.24273) (-0.0441231,0.771512) 0.162891 (0.900002,5.82137) 1.84662 1.62792 (0.110672,3.34055) (-0.0527627,0.0128642) 0.164992 (0.493241,2.93523) (-0.0695708,0.146119) 0.132008 (1.61111,2.95233) (0.0737487,0.144629) 0.144289 (1.91325,3.69309) (0.00892767,0.066584) 0.208159 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
5 (0.924763,5.38739) (-0.0330707,0.578647) 0.162891 (0.900002,5.82137) 1.84662 1.62789 (0.0993431,3.34031) (-0.0453152,-0.000961394) 0.164992 (0.47585,2.97176) (-0.0695643,0.146122) 0.132008 (1.6296,2.98846) (0.0739633,0.14452) 0.144289 (1.91409,3.70968) (0.00336566,0.0663586) 0.208159 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
