timestamp position0 velocity0 radius0 goal pref_speed theta position1 velocity1 radius1 position2 velocity2 radius2 position3 velocity3 radius3 position4 velocity4 radius4 position5 velocity5 radius5
0 (1.17289,1.48943) (0,0) 0.175573 (0.900002,5.82137) 1.59938 0 (0.4624,2.36987) (0,0) 0.159894 (1.09935,2.2693) (0,0) 0.133313 (1.56671,2.30987) (0,0) 0.12995 (0,1.48943) (0,0) 0.3 (2.1,1.48943) (0,0) 0.3
0.25 (1.17949,1.50197) (0.0264362,0.0501474) 0.175573 (0.900002,5.82137) 1.59938 1.08565 (0.437445,2.46126) (-0.0998195,0.365538) 0.159894 (1.09953,2.32678) (0.00070275,0.229916) 0.133313 (1.58453,2.35894) (0.0712727,0.196264) 0.12995 (0,1.50197) (0,0) 0.3 (2.1,1.50197) (0,0) 0.3
0.5 (1.18767,1.55064) (0.0327134,0.194684) 0.175573 (0.900002,5.82137) 1.59938 1.40432 (0.412489,2.55264) (-0.0998258,0.365536) 0.159894 (1.06949,2.38114) (-0.120162,0.217428) 0.133313 (1.60234,2.40801) (0.0712548,0.19627) 0.12995 (0,1.55064) (0,0) 0.3 (2.1,1.55064) (0,0) 0.3
0.75 (1.18931,1.62686) (0.00656293,0.304875) 0.175573 (0.900002,5.82137) 1.59938 1.54927 (0.387542,2.64403) (-0.0997859,0.365547) 0.159894 (1.03944,2.43549) (-0.120184,0.217415) 0.133313 (1.62016,2.45707) (0.071271,0.196264) 0.12995 (0,1.62686) (0,0) 0.3 (2.1,1.62686) (0,0) 0.3
1 (1.19152,1.73685) (0.00881169,0.439982) 0.175573 (0.900002,5.82137) 1.59938 1.55077 (0.362591,2.73541) (-0.0998046,0.365542) 0.159894 (1.0094,2.48985) (-0.120162,0.217427) 0.133313 (1.63798,2.50614) (0.0712765,0.196262) 0.12995 (0,1.73685) (0,0) 0.3 (2.1,1.73685) (0,0) 0.3
1.25 (1.20581,1.98062) (0.0571528,0.975072) 0.175573 (0.900002,5.82137) 1.59938 1.51225 (0.33764,2.8268) (-0.0998019,0.365543) 0.159894 (0.979351,2.5442) (-0.120198,0.217407) 0.133313 (1.6558,2.55521) (0.0712724,0.196264) 0.12995 (0,1.98062) (0,0) 0.3 (2.1,1.98062) (0,0) 0.3
1.5 (1.21259,2.22577) (0.0271357,0.980606) 0.175573 (0.900002,5.82137) 1.59938 1.54313 (0.312688,2.91818) (-0.0998106,0.36554) 0.159894 (0.949307,2.59856) (-0.120175,0.21742) 0.133313 (1.67361,2.60427) (0.0712572,0.196269) 0.12995 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.75 (1.21342,2.47193) (0.00330941,0.984611) 0.175573 (0.900002,5.82137) 1.59938 1.56744 (0.287734,3.00957) (-0.0998137,0.365539) 0.159894 (0.919268,2.65291) (-0.120157,0.21743) 0.133313 (1.69142,2.65334) (0.0712564,0.19627) 0.12995 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2 (1.20736,2.71934) (-0.0242138,0.98964) 0.175573 (0.900002,5.82137) 1.59938 1.59526 (0.264257,3.09558) (-0.0939116,0.344029) 0.159894 (0.889221,2.70727) (-0.120189,0.217412) 0.133313 (1.70924,2.70241) (0.0712616,0.196268) 0.12995 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.25 (1.18273,2.96812) (-0.0985244,0.995128) 0.175573 (0.900002,5.82137) 1.59938 1.66948 (0.246259,3.16087) (-0.0719886,0.261197) 0.159894 (0.859173,2.76162) (-0.12019,0.217412) 0.133313 (1.72706,2.75147) (0.0712658,0.196266) 0.12995 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.5 (1.15808,3.2169) (-0.0986179,0.995112) 0.175573 (0.900002,5.82137) 1.59938 1.66958 (0.229812,3.21461) (-0.0657895,0.214951) 0.159894 (0.829129,2.81597) (-0.120177,0.217419) 0.133313 (1.74487,2.80054) (0.0712741,0.196263) 0.12995 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.75 (1.13342,3.46568) (-0.0986316,0.995133) 0.175573 (0.900002,5.82137) 1.59938 1.66959 (0.211769,3.26001) (-0.0721719,0.181602) 0.159894 (0.799085,2.87033) (-0.120177,0.217419) 0.133313 (1.76268,2.84961) (0.0712342,0.196278) 0.12995 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3 (1.10875,3.71446) (-0.0986656,0.995116) 0.175573 (0.900002,5.82137) 1.59938 1.66962 (0.190037,3.29388) (-0.086929,0.135484) 0.159894 (0.769042,2.92468) (-0.12017,0.217423) 0.133313 (1.78049,2.89868) (0.0712382,0.196276) 0.12995 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3.25 (1.08408,3.96325) (-0.0986873,0.995158) 0.175573 (0.900002,5.82137) 1.59938 1.66964 (0.173385,3.30709) (-0.0666061,0.0528425) 0.159894 (0.739002,2.97904) (-0.120159,0.217429) 0.133313 (1.79831,2.94774) (0.071263,0.196267) 0.12995 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3.5 (1.05944,4.21204) (-0.0985564,0.99515) 0.175573 (0.900002,5.82137) 1.59938 1.66951 (0.168753,3.31233) (-0.0185276,0.0209379) 0.159894 (0.708953,3.03339) (-0.120197,0.217408) 0.133313 (1.81612,2.99681) (0.0712594,0.196268) 0.12995 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3.75 (1.03478,4.46081) (-0.0986285,0.9951) 0.175573 (0.900002,5.82137) 1.59938 1.66959 (0.167749,3.31777) (-0.00401542,0.0217653) 0.159894 (0.678907,3.08775) (-0.120185,0.217415) 0.133313 (1.83394,3.04588) (0.0712756,0.196263) 0.12995 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
4 (1.01016,4.70958) (-0.0985138,0.99506) 0.175573 (0.900002,5.82137) 1.59938 1.66948 (0.168937,3.32311) (0.00475136,0.0213404) 0.159894 (0.648867,3.1421) (-0.120158,0.21743) 0.133313 (1.85175,3.09495) (0.0712233,0.196282) 0.12995 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
4.25 (0.985521,4.95834) (-0.0985438,0.995075) 0.175573 (0.900002,5.82137) 1.59938 1.66951 (0.171498,3.32821) (0.0102424,0.0204211) 0.159894 (0.618822,3.19646) (-0.120181,0.217417) 0.133313 (1.86957,3.14401) (0.0712912,0.196257) 0.12995 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
4.5 (0.964129,5.17411) (-0.085566,0.863064) 0.175573 (0.900002,5.82137) 1.59938 1.66962 (0.174919,3.33309) (0.0136852,0.0195085) 0.159894 (0.588776,3.25081) (-0.120185,0.217414) 0.133313 (1.8874,3.19307) (0.0713124,0.196249) 0.12995 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
4.75 (0.948093,5.33592) (-0.0641432,0.647224) 0.175573 (0.900002,5.82137) 1.59938 1.66958 (0.178918,3.33774) (0.0159962,0.018602) 0.159894 (0.558732,3.30517) (-0.120175,0.21742) 0.133313 (1.90522,3.24214) (0.0713048,0.196252) 0.12995 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
