timestamp position0 velocity0 radius0 goal pref_speed theta position1 velocity1 radius1 position2 velocity2 radius2 position3 velocity3 radius3 position4 velocity4 radius4 position5 velocity5 radius5 position6 velocity6 radius6
0 (1.09124,1.02304) (0,0) 0.193443 (0.900002,5.82137) 1.80537 0 (0.455624,2.2272) (0,0) 0.178443 (0.801569,2.34332) (0,0) 0.144037 (1.22471,2.22013) (0,0) 0.188382 (1.54737,2.2789) (0,0) 0.154804 (0,1.02304) (0,0) 0.3 (2.1,1.02304) (0,0) 0.3
0.25 (1.08129,1.27284) (-0.0398215,0.99922) 0.193443 (0.900002,5.82137) 1.80537 1.61063 (0.43768,2.28399) (-0.0717762,0.227163) 0.178443 (0.76976,2.43475) (-0.127236,0.365712) 0.144037 (1.21887,2.20974) (-0.0233766,-0.0415547) 0.188382 (1.56356,2.34154) (0.0647654,0.250578) 0.154804 (0,1.27284) (0,0) 0.3 (2.1,1.27284) (0,0) 0.3
0.5 (1.03989,1.51397) (-0.165605,0.964498) 0.193443 (0.900002,5.82137) 1.80537 1.74084 (0.421531,2.34131) (-0.0645964,0.229308) 0.178443 (0.727876,2.52202) (-0.167537,0.349093) 0.144037 (1.23857,2.22267) (0.0788137,0.0516971) 0.188382 (1.57976,2.40418) (0.0647767,0.250575) 0.154804 (0,1.51397) (0,0) 0.3 (2.1,1.51397) (0,0) 0.3
0.75 (0.997437,1.75426) (-0.169796,0.96116) 0.193443 (0.900002,5.82137) 1.80537 1.74565 (0.405382,2.39864) (-0.064595,0.229308) 0.178443 (0.68405,2.60834) (-0.175305,0.345258) 0.144037 (1.25169,2.26378) (0.0524727,0.164471) 0.188382 (1.59594,2.46683) (0.0647531,0.250582) 0.154804 (0,1.75426) (0,0) 0.3 (2.1,1.75426) (0,0) 0.3
1 (0.956345,1.98968) (-0.164366,0.941699) 0.193443 (0.900002,5.82137) 1.80537 1.7436 (0.389244,2.45597) (-0.0645518,0.22932) 0.178443 (0.638706,2.69386) (-0.181376,0.342107) 0.144037 (1.26068,2.31969) (0.0359715,0.223618) 0.188382 (1.61214,2.52947) (0.0647813,0.250574) 0.154804 (0,1.98968) (0,0) 0.3 (2.1,1.98968) (0,0) 0.3
1.25 (0.915254,2.22511) (-0.164366,0.941699) 0.193443 (0.900002,5.82137) 1.80537 1.7436 (0.373098,2.5133) (-0.0645859,0.229311) 0.178443 (0.593362,2.77939) (-0.181376,0.342107) 0.144037 (1.26436,2.39463) (0.0147251,0.299772) 0.188382 (1.62833,2.59212) (0.0647836,0.250574) 0.154804 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.5 (0.874162,2.46053) (-0.164366,0.941699) 0.193443 (0.900002,5.82137) 1.80537 1.7436 (0.356955,2.57063) (-0.0645703,0.229315) 0.178443 (0.548018,2.86492) (-0.181376,0.342108) 0.144037 (1.2767,2.49242) (0.0493261,0.391161) 0.188382 (1.64453,2.65476) (0.0647852,0.250573) 0.154804 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.75 (0.876101,2.71051) (0.00775613,0.999918) 0.193443 (0.900002,5.82137) 1.80537 1.56304 (0.340813,2.62796) (-0.0645701,0.229315) 0.178443 (0.502674,2.95044) (-0.181376,0.342107) 0.144037 (1.29322,2.58959) (0.0660865,0.38868) 0.188382 (1.66072,2.71741) (0.0647436,0.250584) 0.154804 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2 (0.878002,2.96052) (0.00760136,1.00003) 0.193443 (0.900002,5.82137) 1.80537 1.5632 (0.324676,2.68529) (-0.0645471,0.229322) 0.178443 (0.459534,3.0371) (-0.172561,0.346637) 0.144037 (1.31221,2.68631) (0.0759866,0.386867) 0.188382 (1.67691,2.78005) (0.0647732,0.250576) 0.154804 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.25 (0.879908,3.21052) (0.00762627,0.999997) 0.193443 (0.900002,5.82137) 1.80537 1.56317 (0.308532,2.74261) (-0.0645735,0.229314) 0.178443 (0.416399,3.12376) (-0.17254,0.346648) 0.144037 (1.33272,2.78272) (0.0820402,0.385628) 0.188382 (1.6931,2.84269) (0.0647595,0.25058) 0.154804 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.5 (0.881821,3.46053) (0.00764939,1.00005) 0.193443 (0.900002,5.82137) 1.80537 1.56315 (0.292387,2.79994) (-0.0645806,0.229312) 0.178443 (0.373256,3.21042) (-0.172572,0.346632) 0.144037 (1.3542,2.87891) (0.0858835,0.384791) 0.188382 (1.7093,2.90534) (0.0647831,0.250574) 0.154804 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.75 (0.883749,3.71054) (0.00771221,1.00003) 0.193443 (0.900002,5.82137) 1.80537 1.56308 (0.276248,2.85727) (-0.0645583,0.229318) 0.178443 (0.330123,3.29709) (-0.172531,0.346652) 0.144037 (1.37632,2.97496) (0.0885166,0.384194) 0.188382 (1.72548,2.96798) (0.0647388,0.250585) 0.154804 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3 (0.885673,3.96054) (0.00769693,1.00002) 0.193443 (0.900002,5.82137) 1.80537 1.5631 (0.260099,2.9146) (-0.0645935,0.229308) 0.178443 (0.287004,3.38376) (-0.172477,0.346679) 0.144037 (1.39895,3.07089) (0.0905062,0.38373) 0.188382 (1.74167,3.03063) (0.0647444,0.250584) 0.154804 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3.25 (0.887608,4.21053) (0.007742,0.999951) 0.193443 (0.900002,5.82137) 1.80537 1.56305 (0.243962,2.97193) (-0.0645492,0.229321) 0.178443 (0.245235,3.46766) (-0.167076,0.335624) 0.144037 (1.42208,3.16671) (0.0925136,0.383251) 0.188382 (1.75786,3.09327) (0.064775,0.250576) 0.154804 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3.5 (0.889542,4.46053) (0.00773559,0.999986) 0.193443 (0.900002,5.82137) 1.80537 1.56306 (0.227817,3.02926) (-0.0645801,0.229312) 0.178443 (0.212661,3.53311) (-0.130296,0.261776) 0.144037 (1.44386,3.25357) (0.0871244,0.347451) 0.188382 (1.77405,3.15592) (0.0647691,0.250577) 0.154804 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3.75 (0.891451,4.71052) (0.00763595,0.999976) 0.193443 (0.900002,5.82137) 1.80537 1.56316 (0.211672,3.08659) (-0.0645822,0.229312) 0.178443 (0.1847,3.58891) (-0.111841,0.223233) 0.144037 (1.46239,3.32715) (0.0741321,0.294322) 0.188382 (1.79025,3.21856) (0.0648065,0.250568) 0.154804 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
4 (0.893384,4.96053) (0.00772976,1.00004) 0.193443 (0.900002,5.82137) 1.80537 1.56307 (0.19551,3.14391) (-0.0646458,0.229294) 0.178443 (0.158486,3.63946) (-0.104858,0.202175) 0.144037 (1.4766,3.38841) (0.0568184,0.245041) 0.188382 (1.80645,3.2812) (0.0647742,0.250576) 0.154804 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
4.25 (0.895035,5.17574) (0.00660338,0.860846) 0.193443 (0.900002,5.82137) 1.80537 1.56313 (0.180764,3.19632) (-0.0589823,0.209644) 0.178443 (0.131241,3.68605) (-0.108981,0.186369) 0.144037 (1.48416,3.41466) (0.0302583,0.105011) 0.188382 (1.82263,3.34385) (0.064742,0.250584) 0.154804 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
4.5 (0.896287,5.33715) (0.00501086,0.645631) 0.193443 (0.900002,5.82137) 1.80537 1.56304 (0.169694,3.23563) (-0.044282,0.157222) 0.178443 (0.102604,3.72652) (-0.114546,0.161883) 0.144037 (1.49301,3.4228) (0.0353805,0.0325327) 0.188382 (1.83882,3.4065) (0.0647588,0.25058) 0.154804 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
