timestamp position0 velocity0 radius0 goal pref_speed theta position1 velocity1 radius1 position2 velocity2 radius2 position3 velocity3 radius3 position4 velocity4 radius4 position5 velocity5 radius5 position6 velocity6 radius6
0 (1.17299,1.46153) (0,0) 0.197062 (0.900002,5.82137) 1.88786 0 (0.443865,2.35048) (0,0) 0.165448 (0.857936,2.24175) (0,0) 0.183632 (1.60929,2.39174) (0,0) 0.1942 (1.55102,2.25258) (0,0) 0.147214 (0,1.46153) (0,0) 0.3 (2.1,1.46153) (0,0) 0.3
0.25 (1.17564,1.47502) (0.0105769,0.053959) 0.197062 (0.900002,5.82137) 1.88786 1.37723 (0.427339,2.40441) (-0.0661003,0.215701) 0.165448 (0.862678,2.26759) (0.0189684,0.103353) 0.183632 (1.64297,2.47219) (0.134721,0.321784) 0.1942 (1.51967,2.20711) (-0.125393,-0.181865) 0.147214 (0,1.47502) (0,0) 0.3 (2.1,1.47502) (0,0) 0.3
0.5 (1.197,1.48862) (0.0854604,0.0544068) 0.197062 (0.900002,5.82137) 1.88786 0.56692 (0.410814,2.45833) (-0.0661015,0.215701) 0.165448 (0.878042,2.33664) (0.0614535,0.276204) 0.183632 (1.66154,2.5574) (0.0743011,0.340843) 0.1942 (1.51381,2.20074) (-0.0234551,-0.025483) 0.147214 (0,1.48862) (0,0) 0.3 (2.1,1.48862) (0,0) 0.3
0.75 (1.2173,1.50276) (0.0811874,0.0565594) 0.197062 (0.900002,5.82137) 1.88786 0.608476 (0.394291,2.51226) (-0.0660937,0.215703) 0.165448 (0.873177,2.41001) (-0.0194613,0.293484) 0.183632 (1.68012,2.64261) (0.0742936,0.340845) 0.1942 (1.52878,2.23551) (0.059882,0.139059) 0.147214 (0,1.50276) (0,0) 0.3 (2.1,1.50276) (0,0) 0.3
1 (1.18656,1.54684) (-0.122943,0.176309) 0.197062 (0.900002,5.82137) 1.88786 2.17972 (0.377767,2.56618) (-0.0660939,0.215703) 0.165448 (0.857636,2.48188) (-0.0621608,0.287485) 0.183632 (1.6987,2.72782) (0.0743373,0.340835) 0.1942 (1.56366,2.29477) (0.139516,0.23706) 0.147214 (0,1.54684) (0,0) 0.3 (2.1,1.54684) (0,0) 0.3
1.25 (1.17281,1.61897) (-0.054998,0.288509) 0.197062 (0.900002,5.82137) 1.88786 1.75916 (0.36124,2.62011) (-0.06611,0.215698) 0.165448 (0.836573,2.55233) (-0.0842521,0.281804) 0.183632 (1.71728,2.81303) (0.0743332,0.340836) 0.1942 (1.59939,2.37026) (0.142935,0.301943) 0.147214 (0,1.61897) (0,0) 0.3 (2.1,1.61897) (0,0) 0.3
1.5 (1.17952,1.72023) (0.0268188,0.40504) 0.197062 (0.900002,5.82137) 1.88786 1.50468 (0.344713,2.67403) (-0.066105,0.2157) 0.165448 (0.812613,2.62185) (-0.0958415,0.278076) 0.183632 (1.73586,2.89824) (0.0742899,0.340846) 0.1942 (1.62307,2.45035) (0.0946887,0.320366) 0.147214 (0,1.72023) (0,0) 0.3 (2.1,1.72023) (0,0) 0.3
1.75 (1.18198,1.86635) (0.0098374,0.584498) 0.197062 (0.900002,5.82137) 1.88786 1.55397 (0.328196,2.72796) (-0.0660719,0.21571) 0.165448 (0.787139,2.69083) (-0.101894,0.275916) 0.183632 (1.75443,2.98345) (0.0742988,0.340844) 0.1942 (1.64208,2.53167) (0.0760469,0.325296) 0.147214 (0,1.86635) (0,0) 0.3 (2.1,1.86635) (0,0) 0.3
2 (1.16805,2.11578) (-0.0557252,0.997712) 0.197062 (0.900002,5.82137) 1.88786 1.62659 (0.31167,2.78189) (-0.0661001,0.215701) 0.165448 (0.760877,2.75951) (-0.10505,0.27473) 0.183632 (1.773,3.06866) (0.0742919,0.340845) 0.1942 (1.66108,2.613) (0.0760143,0.325303) 0.147214 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.25 (1.15001,2.36513) (-0.0721436,0.99739) 0.197062 (0.900002,5.82137) 1.88786 1.643 (0.29514,2.83581) (-0.0661209,0.215695) 0.165448 (0.734194,2.82803) (-0.106732,0.27408) 0.183632 (1.79158,3.15387) (0.0742927,0.340845) 0.1942 (1.68008,2.69432) (0.076006,0.325305) 0.147214 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.5 (1.13199,2.61448) (-0.0720951,0.997432) 0.197062 (0.900002,5.82137) 1.88786 1.64295 (0.278615,2.88973) (-0.0660992,0.215701) 0.165448 (0.707285,2.89647) (-0.107637,0.273726) 0.183632 (1.8087,3.23413) (0.0684943,0.321022) 0.1942 (1.69908,2.77565) (0.0760021,0.325306) 0.147214 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
