timestamp position0 velocity0 radius0 goal pref_speed theta position1 velocity1 radius1 position2 velocity2 radius2 position3 velocity3 radius3 position4 velocity4 radius4 position5 velocity5 radius5
0 (1.16889,1.13252) (0,0) 0.201956 (0.900002,5.82137) 1.66977 0 (0.454197,2.25616) (0,0) 0.180726 (1.19964,2.33359) (0,0) 0.212058 (1.66023,2.37087) (0,0) 0.169435 (0,1.13252) (0,0) 0.3 (2.1,1.13252) (0,0) 0.3
0.25 (1.15458,1.3821) (-0.0572663,0.998322) 0.201956 (0.900002,5.82137) 1.66977 1.6281 (0.44546,2.29299) (-0.0349489,0.147335) 0.180726 (1.1862,2.37664) (-0.0537463,0.172193) 0.212058 (1.68017,2.43847) (0.079776,0.270396) 0.169435 (0,1.3821) (0,0) 0.3 (2.1,1.3821) (0,0) 0.3
0.5 (1.10378,1.61639) (-0.203183,0.937154) 0.201956 (0.900002,5.82137) 1.66977 1.7843 (0.436718,2.32982) (-0.0349647,0.147332) 0.180726 (1.22584,2.37721) (0.158563,0.00229347) 0.212058 (1.70012,2.50607) (0.0797726,0.270397) 0.169435 (0,1.61639) (0,0) 0.3 (2.1,1.61639) (0,0) 0.3
0.75 (1.04899,1.84764) (-0.21918,0.924984) 0.201956 (0.900002,5.82137) 1.66977 1.80346 (0.427976,2.36665) (-0.034971,0.14733) 0.180726 (1.25691,2.4099) (0.124274,0.130748) 0.212058 (1.72005,2.57367) (0.0797532,0.270403) 0.169435 (0,1.84764) (0,0) 0.3 (2.1,1.84764) (0,0) 0.3
1 (0.994582,2.07798) (-0.217615,0.921366) 0.201956 (0.900002,5.82137) 1.66977 1.80273 (0.419235,2.40349) (-0.0349632,0.147332) 0.180726 (1.28798,2.44259) (0.124274,0.130748) 0.212058 (1.74,2.64127) (0.0797792,0.270395) 0.169435 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.25 (0.94062,2.3073) (-0.215846,0.917274) 0.201956 (0.900002,5.82137) 1.66977 1.8019 (0.410493,2.44032) (-0.0349663,0.147331) 0.180726 (1.31905,2.47528) (0.124274,0.130748) 0.212058 (1.75994,2.70887) (0.0797648,0.270399) 0.169435 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.5 (0.887184,2.5354) (-0.213744,0.912411) 0.201956 (0.900002,5.82137) 1.66977 1.80091 (0.401753,2.47715) (-0.0349611,0.147332) 0.180726 (1.35012,2.50796) (0.124277,0.130746) 0.212058 (1.77988,2.77647) (0.0797529,0.270403) 0.169435 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.75 (0.888163,2.78539) (0.00391601,0.999965) 0.201956 (0.900002,5.82137) 1.66977 1.56688 (0.393013,2.51399) (-0.0349583,0.147333) 0.180726 (1.34773,2.55299) (-0.00956262,0.180132) 0.212058 (1.79983,2.84407) (0.0797964,0.27039) 0.169435 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2 (0.889135,3.03539) (0.00388684,1.00001) 0.201956 (0.900002,5.82137) 1.66977 1.56691 (0.384274,2.55082) (-0.0349575,0.147333) 0.180726 (1.32816,2.59362) (-0.0782719,0.16252) 0.212058 (1.81977,2.91167) (0.0797616,0.2704) 0.169435 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.25 (0.890122,3.2854) (0.0039481,1.00002) 0.201956 (0.900002,5.82137) 1.66977 1.56685 (0.375533,2.58765) (-0.0349627,0.147332) 0.180726 (1.30067,2.62937) (-0.109956,0.142999) 0.212058 (1.83972,2.97927) (0.0797981,0.270389) 0.169435 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.5 (0.891102,3.5354) (0.00391799,1.00002) 0.201956 (0.900002,5.82137) 1.66977 1.56688 (0.366797,2.62449) (-0.0349457,0.147336) 0.180726 (1.27067,2.66305) (-0.11998,0.134699) 0.212058 (1.85967,3.04686) (0.079809,0.270386) 0.169435 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
