timestamp position0 velocity0 radius0 goal pref_speed theta position1 velocity1 radius1 position2 velocity2 radius2 position3 velocity3 radius3 position4 velocity4 radius4 position5 velocity5 radius5
0 (1.00954,1.28777) (0,0) 0.163703 (0.900002,5.82137) 1.6059 0 (0.446174,2.36069) (0,0) 0.208746 (0.918383,2.37375) (0,0) 0.215913 (1.48157,2.37385) (0,0) 0.208432 (0,1.28777) (0,0) 0.3 (2.1,1.28777) (0,0) 0.3
0.25 (1.0035,1.53767) (-0.0241276,0.999617) 0.163703 (0.900002,5.82137) 1.6059 1.59493 (0.430327,2.42305) (-0.063388,0.249434) 0.208746 (0.916438,2.40093) (-0.00778097,0.108752) 0.215913 (1.51402,2.44338) (0.129785,0.278118) 0.208432 (0,1.53767) (0,0) 0.3 (2.1,1.53767) (0,0) 0.3
0.5 (1.03535,1.77367) (0.127367,0.943995) 0.163703 (0.900002,5.82137) 1.6059 1.43668 (0.414476,2.48541) (-0.0634019,0.24943) 0.208746 (0.890855,2.41034) (-0.102332,0.0376244) 0.215913 (1.54646,2.51291) (0.129781,0.27812) 0.208432 (0,1.77367) (0,0) 0.3 (2.1,1.77367) (0,0) 0.3
0.75 (1.07979,1.99482) (0.177794,0.884622) 0.163703 (0.900002,5.82137) 1.6059 1.37246 (0.398627,2.54777) (-0.0633964,0.249432) 0.208746 (0.865721,2.42089) (-0.100535,0.042193) 0.215913 (1.57891,2.58244) (0.129793,0.278114) 0.208432 (0,1.99482) (0,0) 0.3 (2.1,1.99482) (0,0) 0.3
1 (1.12842,2.19028) (0.194514,0.781803) 0.163703 (0.900002,5.82137) 1.6059 1.32695 (0.382777,2.61013) (-0.0634008,0.249431) 0.208746 (0.84124,2.43287) (-0.0979235,0.0479426) 0.215913 (1.61136,2.65197) (0.129797,0.278113) 0.208432 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.25 (1.19116,2.42693) (0.250961,0.946633) 0.163703 (0.900002,5.82137) 1.6059 1.31165 (0.366926,2.67248) (-0.0634051,0.24943) 0.208746 (0.814342,2.43729) (-0.10759,0.0176586) 0.215913 (1.64381,2.7215) (0.1298,0.278111) 0.208432 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.5 (1.17173,2.67695) (-0.0777193,1.00007) 0.163703 (0.900002,5.82137) 1.6059 1.64835 (0.351074,2.73484) (-0.0634066,0.249429) 0.208746 (0.804707,2.46279) (-0.0385425,0.10199) 0.215913 (1.67626,2.79103) (0.129789,0.278116) 0.208432 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.75 (1.15021,2.92605) (-0.0860917,0.996385) 0.163703 (0.900002,5.82137) 1.6059 1.65699 (0.335231,2.7972) (-0.0633713,0.249438) 0.208746 (0.79507,2.48828) (-0.0385469,0.101988) 0.215913 (1.70871,2.86056) (0.129794,0.278114) 0.208432 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2 (1.1287,3.17513) (-0.0860493,0.996348) 0.163703 (0.900002,5.82137) 1.6059 1.65695 (0.319373,2.85956) (-0.0634319,0.249423) 0.208746 (0.785434,2.51378) (-0.0385445,0.101989) 0.215913 (1.74116,2.93008) (0.129816,0.278104) 0.208432 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.25 (1.10717,3.42423) (-0.0861282,0.996379) 0.163703 (0.900002,5.82137) 1.6059 1.65702 (0.30352,2.92191) (-0.0634128,0.249428) 0.208746 (0.775795,2.53928) (-0.038556,0.101985) 0.215913 (1.77362,2.9996) (0.129835,0.278095) 0.208432 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.5 (1.08565,3.67331) (-0.0860787,0.996334) 0.163703 (0.900002,5.82137) 1.6059 1.65698 (0.287678,2.98427) (-0.0633693,0.249439) 0.208746 (0.766156,2.56477) (-0.0385546,0.101986) 0.215913 (1.80606,3.06914) (0.12977,0.278125) 0.208432 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.75 (1.06412,3.92238) (-0.0861086,0.996287) 0.163703 (0.900002,5.82137) 1.6059 1.65701 (0.271833,3.04663) (-0.0633781,0.249436) 0.208746 (0.756519,2.59027) (-0.0385504,0.101987) 0.215913 (1.83851,3.13866) (0.129808,0.278108) 0.208432 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3 (1.04258,4.17144) (-0.0861672,0.996222) 0.163703 (0.900002,5.82137) 1.6059 1.65708 (0.25598,3.10899) (-0.0634123,0.249428) 0.208746 (0.746882,2.61577) (-0.0385463,0.101989) 0.215913 (1.87098,3.20818) (0.129853,0.278086) 0.208432 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3.25 (1.02107,4.4205) (-0.0860354,0.996235) 0.163703 (0.900002,5.82137) 1.6059 1.65694 (0.240447,3.17013) (-0.0621329,0.244558) 0.208746 (0.737247,2.64127) (-0.0385411,0.101991) 0.215913 (1.89565,3.26104) (0.0986928,0.21144) 0.208432 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3.5 (0.999548,4.66957) (-0.0860832,0.996292) 0.163703 (0.900002,5.82137) 1.6059 1.65699 (0.228792,3.216) (-0.0466191,0.18348) 0.208746 (0.72761,2.66676) (-0.0385453,0.101989) 0.215913 (1.91415,3.3007) (0.074007,0.158609) 0.208432 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3.75 (0.978014,4.91863) (-0.0861338,0.996227) 0.163703 (0.900002,5.82137) 1.6059 1.65704 (0.220044,3.25039) (-0.0349917,0.137555) 0.208746 (0.717974,2.69226) (-0.0385465,0.101989) 0.215913 (1.92803,3.33044) (0.0554978,0.118954) 0.208432 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
4 (0.95851,5.14431) (-0.0780191,0.902745) 0.163703 (0.900002,5.82137) 1.6059 1.65701 (0.21347,3.27618) (-0.0262946,0.103189) 0.208746 (0.708338,2.71776) (-0.038542,0.10199) 0.215913 (1.93843,3.35272) (0.041606,0.0891306) 0.208432 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
4.25 (0.943869,5.31358) (-0.0585617,0.677071) 0.163703 (0.900002,5.82137) 1.6059 1.65707 (0.208571,3.29554) (-0.0195964,0.0774276) 0.208746 (0.698701,2.74325) (-0.0385485,0.101988) 0.215913 (1.94623,3.36944) (0.0312251,0.066889) 0.208432 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
