timestamp position0 velocity0 radius0 goal pref_speed theta position1 velocity1 radius1 position2 velocity2 radius2 position3 velocity3 radius3 position4 velocity4 radius4
0 (0.901902,1.29239) (0,0) 0.173866 (0.900002,5.82137) 1.64014 0 (0.350137,2.3088) (0,0) 0.201593 (1.33933,2.32537) (0,0) 0.18861 (0,1.29239) (0,0) 0.3 (2.1,1.29239) (0,0) 0.3
0.25 (0.9018,1.54239) (-0.000409202,1) 0.173866 (0.900002,5.82137) 1.64014 1.57121 (0.347608,2.36164) (-0.0101181,0.211331) 0.201593 (1.36115,2.36842) (0.0872983,0.172185) 0.18861 (0,1.54239) (0,0) 0.3 (2.1,1.54239) (0,0) 0.3
0.5 (0.901699,1.7924) (-0.000405699,1.00001) 0.173866 (0.900002,5.82137) 1.64014 1.5712 (0.345082,2.41447) (-0.0101022,0.211332) 0.201593 (1.38298,2.41146) (0.0873044,0.172182) 0.18861 (0,1.7924) (0,0) 0.3 (2.1,1.7924) (0,0) 0.3
0.75 (0.901581,2.0424) (-0.000471193,1.00001) 0.173866 (0.900002,5.82137) 1.64014 1.57127 (0.342556,2.4673) (-0.0101039,0.211332) 0.201593 (1.4048,2.45451) (0.0872892,0.172189) 0.18861 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1 (0.901472,2.29239) (-0.000437109,0.999945) 0.173866 (0.900002,5.82137) 1.64014 1.57123 (0.34003,2.52014) (-0.0101043,0.211332) 0.201593 (1.42663,2.49756) (0.0873102,0.172179) 0.18861 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.25 (0.901368,2.54239) (-0.000416549,1) 0.173866 (0.900002,5.82137) 1.64014 1.57121 (0.337505,2.57297) (-0.0100999,0.211332) 0.201593 (1.44845,2.5406) (0.0872902,0.172189) 0.18861 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.5 (0.901247,2.79238) (-0.000481972,0.999966) 0.173866 (0.900002,5.82137) 1.64014 1.57128 (0.334978,2.6258) (-0.0101073,0.211331) 0.201593 (1.47028,2.58365) (0.0873002,0.172184) 0.18861 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.75 (0.901149,3.04238) (-0.000392391,0.999997) 0.173866 (0.900002,5.82137) 1.64014 1.57119 (0.332451,2.67863) (-0.0101098,0.211331) 0.201593 (1.4921,2.6267) (0.0872976,0.172185) 0.18861 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2 (0.901023,3.29237) (-0.00050281,0.999969) 0.173866 (0.900002,5.82137) 1.64014 1.5713 (0.329922,2.73147) (-0.0101145,0.211331) 0.201593 (1.51393,2.66974) (0.0873028,0.172182) 0.18861 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.25 (0.900922,3.54238) (-0.00040411,1.00004) 0.173866 (0.900002,5.82137) 1.64014 1.5712 (0.3274,2.7843) (-0.0100874,0.211332) 0.201593 (1.53575,2.71279) (0.0872929,0.172187) 0.18861 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.5 (0.900818,3.79237) (-0.000419004,0.999957) 0.173866 (0.900002,5.82137) 1.64014 1.57122 (0.324876,2.83713) (-0.0100997,0.211332) 0.201593 (1.55757,2.75583) (0.0872999,0.172184) 0.18861 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.75 (0.900727,4.04238) (-0.000360451,1.00004) 0.173866 (0.900002,5.82137) 1.64014 1.57116 (0.322353,2.88997) (-0.0100915,0.211332) 0.201593 (1.5794,2.79888) (0.0872952,0.172186) 0.18861 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3 (0.90064,4.29239) (-0.000347874,1.00003) 0.173866 (0.900002,5.82137) 1.64014 1.57114 (0.319821,2.9428) (-0.0101252,0.21133) 0.201593 (1.60122,2.84193) (0.0873041,0.172182) 0.18861 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3.25 (0.900538,4.54239) (-0.000409456,1) 0.173866 (0.900002,5.82137) 1.64014 1.57121 (0.317287,2.99563) (-0.0101356,0.21133) 0.201593 (1.62305,2.88497) (0.0873028,0.172182) 0.18861 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3.5 (0.900421,4.7924) (-0.000467812,1.00006) 0.173866 (0.900002,5.82137) 1.64014 1.57126 (0.314754,3.04846) (-0.0101345,0.21133) 0.201593 (1.64487,2.92802) (0.087298,0.172185) 0.18861 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3.75 (0.900319,5.0424) (-0.000406893,0.999996) 0.173866 (0.900002,5.82137) 1.64014 1.5712 (0.312234,3.1013) (-0.0100802,0.211333) 0.201593 (1.6667,2.97107) (0.08729,0.172189) 0.18861 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
4 (0.900233,5.23714) (-0.000344711,0.77895) 0.173866 (0.900002,5.82137) 1.64014 1.57124 (0.309714,3.15413) (-0.0100793,0.211333) 0.201593 (1.68852,3.01411) (0.0872983,0.172185) 0.18861 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
4.25 (0.900175,5.38319) (-0.0002315,0.584221) 0.173866 (0.900002,5.82137) 1.64014 1.57119 (0.30735,3.204) (-0.00945495,0.199488) 0.201593 (1.71035,3.05716) (0.0873052,0.172181) 0.18861 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
