timestamp position0 velocity0 radius0 goal pref_speed theta position1 velocity1 radius1 position2 velocity2 radius2 position3 velocity3 radius3 position4 velocity4 radius4 position5 velocity5 radius5
0 (0.947556,1.1228) (0,0) 0.204677 (0.900002,5.82137) 1.83704 0 (0.401098,2.30004) (0,0) 0.150658 (0.915814,2.39493) (0,0) 0.210614 (1.46532,2.29258) (0,0) 0.214001 (0,1.1228) (0,0) 0.3 (2.1,1.1228) (0,0) 0.3
0.25 (0.945004,1.3728) (-0.010209,0.999978) 0.204677 (0.900002,5.82137) 1.83704 1.58101 (0.386939,2.37202) (-0.0566355,0.2879) 0.150658 (0.899996,2.45838) (-0.0632751,0.253806) 0.210614 (1.49718,2.36377) (0.127436,0.284778) 0.214001 (0,1.3728) (0,0) 0.3 (2.1,1.3728) (0,0) 0.3
0.5 (0.942452,1.62277) (-0.0102069,0.999914) 0.204677 (0.900002,5.82137) 1.83704 1.581 (0.372776,2.44399) (-0.0566498,0.287897) 0.150658 (0.880818,2.5209) (-0.0767114,0.250073) 0.210614 (1.52904,2.43497) (0.127433,0.284779) 0.214001 (0,1.62277) (0,0) 0.3 (2.1,1.62277) (0,0) 0.3
0.75 (0.967243,1.86085) (0.0991657,0.952289) 0.204677 (0.900002,5.82137) 1.83704 1.46704 (0.358615,2.51597) (-0.0566455,0.287898) 0.150658 (0.841278,2.57299) (-0.158161,0.208342) 0.210614 (1.5609,2.50616) (0.127432,0.28478) 0.214001 (0,1.86085) (0,0) 0.3 (2.1,1.86085) (0,0) 0.3
1 (1.00062,2.09326) (0.133515,0.929644) 0.204677 (0.900002,5.82137) 1.83704 1.42815 (0.337592,2.58624) (-0.0840912,0.28111) 0.150658 (0.778116,2.58993) (-0.252646,0.0677568) 0.210614 (1.59275,2.57736) (0.127402,0.284793) 0.214001 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.25 (1.03606,2.32296) (0.141755,0.918814) 0.204677 (0.900002,5.82137) 1.83704 1.41772 (0.312974,2.65534) (-0.098474,0.2764) 0.150658 (0.715352,2.60828) (-0.251058,0.0734244) 0.210614 (1.6246,2.64856) (0.127431,0.28478) 0.214001 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.5 (1.0741,2.54846) (0.152162,0.901977) 0.204677 (0.900002,5.82137) 1.83704 1.40367 (0.285368,2.72331) (-0.110424,0.271847) 0.150658 (0.654547,2.63235) (-0.243219,0.096258) 0.210614 (1.65646,2.71975) (0.127433,0.284779) 0.214001 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.75 (1.06083,2.79811) (-0.0530782,0.998609) 0.204677 (0.900002,5.82137) 1.83704 1.6239 (0.253783,2.78951) (-0.12634,0.264825) 0.150658 (0.635826,2.695) (-0.0748825,0.250627) 0.210614 (1.68833,2.79094) (0.127456,0.284769) 0.214001 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2 (1.04757,3.04776) (-0.0530344,0.998619) 0.204677 (0.900002,5.82137) 1.83704 1.62385 (0.230819,2.85918) (-0.0918572,0.278669) 0.150658 (0.617106,2.75766) (-0.0748811,0.250627) 0.210614 (1.72019,2.86214) (0.127444,0.284775) 0.214001 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.25 (1.03429,3.29739) (-0.0531211,0.998507) 0.204677 (0.900002,5.82137) 1.83704 1.62395 (0.213398,2.93043) (-0.0696832,0.285023) 0.150658 (0.598384,2.82032) (-0.0748858,0.250626) 0.210614 (1.75205,2.93333) (0.127442,0.284775) 0.214001 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.5 (1.02099,3.54703) (-0.0532133,0.998569) 0.204677 (0.900002,5.82137) 1.83704 1.62404 (0.199632,3.00249) (-0.0550643,0.288205) 0.150658 (0.579666,2.88297) (-0.0748748,0.250629) 0.210614 (1.78389,3.00453) (0.127381,0.284803) 0.214001 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.75 (1.00771,3.79668) (-0.0531206,0.998587) 0.204677 (0.900002,5.82137) 1.83704 1.62394 (0.188021,3.07492) (-0.0464415,0.289719) 0.150658 (0.560947,2.94563) (-0.0748766,0.250629) 0.210614 (1.81574,3.07573) (0.127381,0.284803) 0.214001 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
