timestamp position0 velocity0 radius0 goal pref_speed theta position1 velocity1 radius1 position2 velocity2 radius2 position3 velocity3 radius3 position4 velocity4 radius4 position5 velocity5 radius5 position6 velocity6 radius6
0 (1.02076,1.27531) (0,0) 0.14093 (0.900002,5.82137) 1.85764 0 (0.403113,2.39506) (0,0) 0.177311 (0.831221,2.2849) (0,0) 0.191913 (1.31789,2.25292) (0,0) 0.200711 (1.65399,2.32742) (0,0) 0.127426 (0,1.27531) (0,0) 0.3 (2.1,1.27531) (0,0) 0.3
0.25 (1.01412,1.52524) (-0.026576,0.999716) 0.14093 (0.900002,5.82137) 1.85764 1.59737 (0.389857,2.44272) (-0.0530244,0.190628) 0.177311 (0.835065,2.30714) (0.0153771,0.0889836) 0.191913 (1.31614,2.26265) (-0.0069726,0.0389089) 0.200711 (1.66084,2.36331) (0.027396,0.143556) 0.127426 (0,1.52524) (0,0) 0.3 (2.1,1.52524) (0,0) 0.3
0.5 (1.01024,1.64928) (-0.0155129,0.49613) 0.14093 (0.900002,5.82137) 1.85764 1.60205 (0.376602,2.49037) (-0.0530199,0.190629) 0.177311 (0.807665,2.31676) (-0.109601,0.0384776) 0.191913 (1.32054,2.28327) (0.0175999,0.0825044) 0.200711 (1.66769,2.3992) (0.027398,0.143556) 0.127426 (0,1.64928) (0,0) 0.3 (2.1,1.64928) (0,0) 0.3
0.75 (1.00761,1.77936) (-0.0105333,0.520351) 0.14093 (0.900002,5.82137) 1.85764 1.59104 (0.363344,2.53803) (-0.0530315,0.190626) 0.177311 (0.783735,2.34327) (-0.0957179,0.106008) 0.191913 (1.32284,2.31488) (0.00920518,0.126437) 0.200711 (1.67454,2.43509) (0.0273893,0.143557) 0.127426 (0,1.77936) (0,0) 0.3 (2.1,1.77936) (0,0) 0.3
1 (1.00497,1.90945) (-0.0105332,0.520352) 0.14093 (0.900002,5.82137) 1.85764 1.59104 (0.350084,2.58569) (-0.0530416,0.190623) 0.177311 (0.761593,2.37846) (-0.0885699,0.140776) 0.191913 (1.32937,2.34689) (0.026098,0.128053) 0.200711 (1.68139,2.47098) (0.0273895,0.143557) 0.127426 (0,1.90945) (0,0) 0.3 (2.1,1.90945) (0,0) 0.3
1.25 (1.00453,2.05018) (-0.00177958,0.56293) 0.14093 (0.900002,5.82137) 1.85764 1.57396 (0.336827,2.63334) (-0.053027,0.190627) 0.177311 (0.740377,2.41816) (-0.0848607,0.158818) 0.191913 (1.33867,2.37821) (0.0371967,0.12528) 0.200711 (1.68823,2.50687) (0.0273871,0.143558) 0.127426 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.5 (1.00732,2.20668) (0.0111824,0.625978) 0.14093 (0.900002,5.82137) 1.85764 1.55293 (0.32357,2.681) (-0.0530282,0.190627) 0.177311 (0.719713,2.46055) (-0.0826562,0.169541) 0.191913 (1.34978,2.40894) (0.0444341,0.122899) 0.200711 (1.69508,2.54276) (0.0273767,0.14356) 0.127426 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.75 (1.01461,2.38503) (0.0291607,0.713425) 0.14093 (0.900002,5.82137) 1.85764 1.52994 (0.310316,2.72866) (-0.0530162,0.19063) 0.177311 (0.699358,2.50444) (-0.0814222,0.175543) 0.191913 (1.36212,2.43919) (0.0493888,0.120993) 0.200711 (1.70192,2.57865) (0.027384,0.143558) 0.127426 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2 (1.03538,2.62892) (0.0830477,0.975529) 0.14093 (0.900002,5.82137) 1.85764 1.48587 (0.297054,2.77631) (-0.0530487,0.190621) 0.177311 (0.679155,2.54907) (-0.0808097,0.178525) 0.191913 (1.37538,2.46905) (0.053046,0.119435) 0.200711 (1.70877,2.61454) (0.0273888,0.143557) 0.127426 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.25 (1.02478,2.87869) (-0.042369,0.999103) 0.14093 (0.900002,5.82137) 1.85764 1.61318 (0.283801,2.82397) (-0.0530123,0.190631) 0.177311 (0.677774,2.60986) (-0.00552461,0.243178) 0.191913 (1.38924,2.49863) (0.0554072,0.118358) 0.200711 (1.71562,2.65043) (0.0273888,0.143557) 0.127426 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.5 (1.0142,3.12846) (-0.0423238,0.999079) 0.14093 (0.900002,5.82137) 1.85764 1.61313 (0.270548,2.87163) (-0.0530112,0.190631) 0.177311 (0.669811,2.67015) (-0.031852,0.241146) 0.191913 (1.40342,2.52807) (0.0567298,0.11773) 0.200711 (1.72247,2.68632) (0.0273852,0.143558) 0.127426 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
