timestamp position0 velocity0 radius0 goal pref_speed theta position1 velocity1 radius1 position2 velocity2 radius2 position3 velocity3 radius3 position4 velocity4 radius4 position5 velocity5 radius5 position6 velocity6 radius6
0 (1.03242,1.21572) (0,0) 0.183203 (0.900002,5.82137) 1.77484 0 (0.467052,2.32886) (0,0) 0.171078 (0.90412,2.33777) (0,0) 0.171209 (1.42626,2.22474) (0,0) 0.217565 (1.5301,2.30811) (0,0) 0.214647 (0,1.21572) (0,0) 0.3 (2.1,1.21572) (0,0) 0.3
0.25 (1.02523,1.46561) (-0.0287511,0.999573) 0.183203 (0.900002,5.82137) 1.77484 1.59955 (0.443099,2.4031) (-0.0958121,0.296972) 0.171078 (0.900137,2.41674) (-0.0159307,0.315883) 0.171209 (1.39284,2.15438) (-0.133688,-0.281453) 0.217565 (1.57194,2.34171) (0.167385,0.134391) 0.214647 (0,1.46561) (0,0) 0.3 (2.1,1.46561) (0,0) 0.3
0.5 (1.00425,1.56916) (-0.0839119,0.414199) 0.183203 (0.900002,5.82137) 1.77484 1.77068 (0.419152,2.47735) (-0.0957876,0.29698) 0.171078 (0.877855,2.49261) (-0.0891307,0.303466) 0.171209 (1.35797,2.08473) (-0.139487,-0.278624) 0.217565 (1.60724,2.38213) (0.141195,0.161688) 0.214647 (0,1.56916) (0,0) 0.3 (2.1,1.56916) (0,0) 0.3
0.75 (0.968579,1.66788) (-0.142688,0.394891) 0.183203 (0.900002,5.82137) 1.77484 1.91753 (0.3952,2.55159) (-0.0958055,0.296975) 0.171078 (0.851869,2.56729) (-0.103942,0.298717) 0.171209 (1.3339,2.06096) (-0.0962703,-0.0950729) 0.217565 (1.61945,2.43439) (0.048833,0.209032) 0.214647 (0,1.66788) (0,0) 0.3 (2.1,1.66788) (0,0) 0.3
1 (0.932733,1.76844) (-0.143386,0.402254) 0.183203 (0.900002,5.82137) 1.77484 1.91321 (0.371249,2.62583) (-0.0958056,0.296975) 0.171078 (0.824059,2.64131) (-0.111241,0.296076) 0.171209 (1.31082,2.08526) (-0.0923428,0.097206) 0.217565 (1.63166,2.48665) (0.0488325,0.209032) 0.214647 (0,1.76844) (0,0) 0.3 (2.1,1.76844) (0,0) 0.3
1.25 (0.900457,1.86825) (-0.129101,0.39922) 0.183203 (0.900002,5.82137) 1.77484 1.88357 (0.347301,2.70008) (-0.0957921,0.296979) 0.171078 (0.796658,2.71548) (-0.109603,0.296687) 0.171209 (1.28898,2.14386) (-0.0873401,0.234393) 0.217565 (1.64387,2.5389) (0.0488349,0.209031) 0.214647 (0,1.86825) (0,0) 0.3 (2.1,1.86825) (0,0) 0.3
1.5 (0.872474,1.96764) (-0.111932,0.397564) 0.183203 (0.900002,5.82137) 1.77484 1.84524 (0.323349,2.77432) (-0.0958093,0.296973) 0.171078 (0.770715,2.79017) (-0.103772,0.298776) 0.171209 (1.27879,2.22109) (-0.040763,0.308912) 0.217565 (1.65608,2.59116) (0.0488328,0.209032) 0.214647 (0,1.96764) (0,0) 0.3 (2.1,1.96764) (0,0) 0.3
1.75 (0.853651,2.06822) (-0.0752913,0.402306) 0.183203 (0.900002,5.82137) 1.77484 1.75581 (0.299402,2.84857) (-0.0957871,0.29698) 0.171078 (0.748625,2.86609) (-0.0883588,0.303692) 0.171209 (1.27764,2.29897) (-0.00459041,0.311556) 0.217565 (1.66828,2.64342) (0.0488333,0.209032) 0.214647 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2 (0.845251,2.17447) (-0.0336009,0.425009) 0.183203 (0.900002,5.82137) 1.77484 1.64969 (0.275454,2.92281) (-0.0957918,0.296979) 0.171078 (0.722965,2.94089) (-0.10264,0.299167) 0.171209 (1.2815,2.37678) (0.0154267,0.311207) 0.217565 (1.6805,2.69568) (0.0488451,0.209029) 0.214647 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.25 (0.855447,2.34826) (0.0407841,0.695167) 0.183203 (0.900002,5.82137) 1.77484 1.5122 (0.251501,2.99705) (-0.0958111,0.296973) 0.171078 (0.695545,3.01505) (-0.109681,0.296658) 0.171209 (1.28811,2.45439) (0.0264595,0.310464) 0.217565 (1.6927,2.74794) (0.0488292,0.209032) 0.214647 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.5 (0.884304,2.59009) (0.115427,0.967328) 0.183203 (0.900002,5.82137) 1.77484 1.45203 (0.227568,3.0713) (-0.0957336,0.296998) 0.171078 (0.667318,3.08891) (-0.112908,0.295445) 0.171209 (1.29625,2.53186) (0.0325453,0.309885) 0.217565 (1.70491,2.80019) (0.0488456,0.209029) 0.214647 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
