timestamp position0 velocity0 radius0 goal pref_speed theta position1 velocity1 radius1 position2 velocity2 radius2 position3 velocity3 radius3 position4 velocity4 radius4 position5 velocity5 radius5 position6 velocity6 radius6
0 (1.04662,1.0229) (0,0) 0.123713 (0.900002,5.82137) 1.54726 0 (0.518958,2.34518) (0,0) 0.187483 (0.832846,2.29665) (0,0) 0.139766 (1.64011,2.39524) (0,0) 0.177934 (1.52727,2.36873) (0,0) 0.164514 (0,1.0229) (0,0) 0.3 (2.1,1.0229) (0,0) 0.3
0.25 (1.039,1.27278) (-0.0304584,0.999517) 0.123713 (0.900002,5.82137) 1.54726 1.60126 (0.487449,2.42825) (-0.126035,0.332299) 0.187483 (0.840726,2.3161) (0.0315227,0.077807) 0.139766 (1.7336,2.41966) (0.373966,0.097686) 0.177934 (1.47165,2.35974) (-0.222454,-0.0359487) 0.164514 (0,1.27278) (0,0) 0.3 (2.1,1.27278) (0,0) 0.3
0.5 (1.03134,1.52267) (-0.0306357,0.999554) 0.123713 (0.900002,5.82137) 1.54726 1.60144 (0.455945,2.51133) (-0.126019,0.332304) 0.187483 (0.826691,2.34342) (-0.0561396,0.109281) 0.139766 (1.77197,2.50835) (0.153442,0.354751) 0.177934 (1.45264,2.3681) (-0.0760401,0.0334077) 0.164514 (0,1.52267) (0,0) 0.3 (2.1,1.52267) (0,0) 0.3
0.75 (1.02854,1.7722) (-0.0112122,0.998119) 0.123713 (0.900002,5.82137) 1.54726 1.58203 (0.424435,2.5944) (-0.126039,0.332297) 0.187483 (0.807534,2.36743) (-0.076628,0.0960325) 0.139766 (1.78016,2.60463) (0.0327687,0.385122) 0.177934 (1.45704,2.42426) (0.0175838,0.224653) 0.164514 (0,1.7722) (0,0) 0.3 (2.1,1.7722) (0,0) 0.3
1 (1.02573,2.02168) (-0.0112272,0.997912) 0.123713 (0.900002,5.82137) 1.54726 1.58205 (0.392922,2.67747) (-0.126052,0.332292) 0.187483 (0.788377,2.39144) (-0.076628,0.0960324) 0.139766 (1.78834,2.70091) (0.0327444,0.385124) 0.177934 (1.476,2.47731) (0.07583,0.212198) 0.164514 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.25 (1.02293,2.27113) (-0.0112347,0.997807) 0.123713 (0.900002,5.82137) 1.54726 1.58206 (0.361413,2.76055) (-0.126034,0.332299) 0.187483 (0.76922,2.41545) (-0.076628,0.0960324) 0.139766 (1.79654,2.79719) (0.0327704,0.385122) 0.177934 (1.49496,2.53036) (0.0758448,0.212193) 0.164514 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.5 (1.02012,2.52056) (-0.011241,0.997718) 0.123713 (0.900002,5.82137) 1.54726 1.58206 (0.329891,2.84362) (-0.126089,0.332278) 0.187483 (0.750063,2.43945) (-0.0766282,0.0960323) 0.139766 (1.80474,2.89347) (0.0328071,0.385119) 0.177934 (1.51392,2.58341) (0.0758441,0.212193) 0.164514 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.75 (1.01102,2.7704) (-0.0363643,0.999342) 0.123713 (0.900002,5.82137) 1.54726 1.60717 (0.298381,2.92669) (-0.126038,0.332298) 0.187483 (0.736497,2.46701) (-0.0542667,0.110223) 0.139766 (1.81291,2.98975) (0.0327035,0.385128) 0.177934 (1.53288,2.63645) (0.0758392,0.212195) 0.164514 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2 (1.00193,3.02023) (-0.0363613,0.999339) 0.123713 (0.900002,5.82137) 1.54726 1.60717 (0.266878,3.00977) (-0.126015,0.332306) 0.187483 (0.72293,2.49457) (-0.0542642,0.110225) 0.139766 (1.82111,3.08603) (0.0327907,0.38512) 0.177934 (1.55184,2.6895) (0.0758255,0.2122) 0.164514 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.25 (0.992854,3.27005) (-0.0363221,0.999277) 0.123713 (0.900002,5.82137) 1.54726 1.60713 (0.235366,3.09284) (-0.126045,0.332295) 0.187483 (0.709365,2.52212) (-0.0542616,0.110226) 0.139766 (1.82821,3.16944) (0.0284099,0.333647) 0.177934 (1.57079,2.74255) (0.0758279,0.212199) 0.164514 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.5 (0.983761,3.51988) (-0.0363732,0.999332) 0.123713 (0.900002,5.82137) 1.54726 1.60718 (0.210653,3.15804) (-0.0988557,0.260799) 0.187483 (0.6958,2.54968) (-0.0542609,0.110226) 0.139766 (1.83361,3.23559) (0.0215833,0.264579) 0.177934 (1.58975,2.7956) (0.0758286,0.212198) 0.164514 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
