timestamp position0 velocity0 radius0 goal pref_speed theta position1 velocity1 radius1 position2 velocity2 radius2 position3 velocity3 radius3 position4 velocity4 radius4 position5 velocity5 radius5
0 (0.934708,1.23874) (0,0) 0.19697 (0.900002,5.82137) 1.69491 0 (0.560398,2.2101) (0,0) 0.185908 (0.987872,2.37995) (0,0) 0.124872 (1.68443,2.38489) (0,0) 0.19828 (0,1.23874) (0,0) 0.3 (2.1,1.23874) (0,0) 0.3
0.25 (0.932813,1.48872) (-0.0075801,0.999914) 0.19697 (0.900002,5.82137) 1.69491 1.57838 (0.549612,2.24374) (-0.0431461,0.134576) 0.185908 (0.951075,2.46246) (-0.147187,0.330036) 0.124872 (1.7027,2.45116) (0.0730522,0.265095) 0.19828 (0,1.48872) (0,0) 0.3 (2.1,1.48872) (0,0) 0.3
0.5 (0.942908,1.73424) (0.0403771,0.982109) 0.19697 (0.900002,5.82137) 1.69491 1.52971 (0.538828,2.27739) (-0.0431347,0.134579) 0.185908 (0.896823,2.5347) (-0.217011,0.288953) 0.124872 (1.72096,2.51743) (0.0730664,0.265091) 0.19828 (0,1.73424) (0,0) 0.3 (2.1,1.73424) (0,0) 0.3
0.75 (0.952918,1.97955) (0.0400409,0.981203) 0.19697 (0.900002,5.82137) 1.69491 1.53001 (0.528042,2.31103) (-0.0431449,0.134576) 0.185908 (0.84257,2.60693) (-0.217011,0.288953) 0.124872 (1.73923,2.5837) (0.0730826,0.265086) 0.19828 (0,1.97955) (0,0) 0.3 (2.1,1.97955) (0,0) 0.3
1 (0.962823,2.22456) (0.0396209,0.980072) 0.19697 (0.900002,5.82137) 1.69491 1.53039 (0.517259,2.34468) (-0.0431316,0.13458) 0.185908 (0.788317,2.67917) (-0.217011,0.288953) 0.124872 (1.7575,2.64998) (0.0730631,0.265092) 0.19828 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.25 (0.972613,2.46927) (0.0391609,0.978833) 0.19697 (0.900002,5.82137) 1.69491 1.53081 (0.506471,2.37832) (-0.0431508,0.134574) 0.185908 (0.734064,2.75141) (-0.217011,0.288953) 0.124872 (1.77576,2.71625) (0.0730379,0.265098) 0.19828 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.5 (0.982276,2.71364) (0.0386525,0.977464) 0.19697 (0.900002,5.82137) 1.69491 1.53127 (0.495685,2.41197) (-0.0431471,0.134575) 0.185908 (0.679811,2.82365) (-0.217011,0.288953) 0.124872 (1.79403,2.78252) (0.0730988,0.265082) 0.19828 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.75 (0.990696,2.95818) (0.033679,0.978148) 0.19697 (0.900002,5.82137) 1.69491 1.53638 (0.484901,2.44561) (-0.0431326,0.13458) 0.185908 (0.627323,2.89718) (-0.209953,0.294122) 0.124872 (1.8123,2.84879) (0.0730599,0.265092) 0.19828 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2 (0.982785,3.20803) (-0.0316438,0.999421) 0.19697 (0.900002,5.82137) 1.69491 1.60245 (0.474114,2.47925) (-0.0431497,0.134574) 0.185908 (0.596581,2.98213) (-0.122967,0.339804) 0.124872 (1.83057,2.91507) (0.0730755,0.265088) 0.19828 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.25 (0.974878,3.45791) (-0.0316308,0.999522) 0.19697 (0.900002,5.82137) 1.69491 1.60243 (0.463328,2.5129) (-0.0431428,0.134577) 0.185908 (0.565836,3.06708) (-0.122981,0.339799) 0.124872 (1.84884,2.98134) (0.0730694,0.26509) 0.19828 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.5 (0.966962,3.70779) (-0.0316641,0.999496) 0.19697 (0.900002,5.82137) 1.69491 1.60247 (0.452542,2.54654) (-0.0431447,0.134576) 0.185908 (0.535098,3.15203) (-0.122954,0.339809) 0.124872 (1.8671,3.04761) (0.0730556,0.265094) 0.19828 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.75 (0.959049,3.95767) (-0.0316499,0.99954) 0.19697 (0.900002,5.82137) 1.69491 1.60245 (0.441756,2.58019) (-0.0431444,0.134576) 0.185908 (0.504354,3.23698) (-0.122973,0.339802) 0.124872 (1.88538,3.11388) (0.0731071,0.265079) 0.19828 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3 (0.951127,4.20755) (-0.0316876,0.999529) 0.19697 (0.900002,5.82137) 1.69491 1.60249 (0.430969,2.61383) (-0.0431492,0.134575) 0.185908 (0.473611,3.32193) (-0.122975,0.339801) 0.124872 (1.90363,3.18016) (0.0730159,0.265105) 0.19828 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3.25 (0.943221,4.45742) (-0.0316236,0.999476) 0.19697 (0.900002,5.82137) 1.69491 1.60243 (0.420179,2.64747) (-0.0431604,0.134571) 0.185908 (0.44287,3.40688) (-0.122962,0.339806) 0.124872 (1.92013,3.24003) (0.0659974,0.239493) 0.19828 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
