timestamp position0 velocity0 radius0 goal pref_speed theta position1 velocity1 radius1 position2 velocity2 radius2 position3 velocity3 radius3
0 (0,-1.88794) (0,0) 0.582533 (0,4.51121) 1.82518 0 (0,-0.645397) (0,0) 0.512099 (1.5,-2.38794) (0,0) 1 (-1.5,-0.887942) (0,0) 1
0.25 (5.48135e-06,-1.88424) (2.19254e-05,0.0147913) 0.582533 (0,4.51121) 1.82518 1.56931 (1.03516e-05,-0.395392) (4.14064e-05,1.00002) 0.512099 (1.55316,-2.31622) (0.212645,0.286906) 1 (-1.50082,-0.881695) (-0.00329282,0.0249902) 1
0.5 (0.0280156,-1.82861) (0.112041,0.222552) 0.582533 (0,4.51121) 1.82518 1.1044 (1.15507e-05,-0.145389) (4.79662e-06,1.00001) 0.512099 (1.58343,-2.23222) (0.121068,0.33597) 1 (-1.50082,-0.875393) (3.9936e-06,0.0252062) 1
0.75 (0.0501578,-1.66029) (0.0885688,0.673263) 0.582533 (0,4.51121) 1.82518 1.44 (1.27277e-05,0.104605) (4.70783e-06,0.999978) 0.512099 (1.6137,-2.14823) (0.121068,0.335969) 1 (-1.50082,-0.869092) (3.77196e-06,0.0252062) 1
1 (0.0670277,-1.43364) (0.0674794,0.906593) 0.582533 (0,4.51121) 1.82518 1.4965 (1.13242e-05,0.354606) (-5.61422e-06,1) 0.512099 (1.61658,-2.059) (0.0115547,0.356931) 1 (-1.50082,-0.86279) (4.98363e-06,0.0252062) 1
1.25 (0.0790192,-1.18406) (0.047966,0.998334) 0.582533 (0,4.51121) 1.82518 1.52279 (7.60253e-06,0.604591) (-1.48865e-05,0.999942) 0.512099 (1.615,-1.96973) (-0.00633427,0.357061) 1 (-1.50082,-0.856489) (4.97559e-06,0.0252062) 1
1.5 (0.0860398,-0.934159) (0.0280824,0.999601) 0.582533 (0,4.51121) 1.82518 1.54271 (1.98259e-05,0.854593) (4.88933e-05,1.00001) 0.512099 (1.61341,-1.88047) (-0.00635735,0.357061) 1 (-1.50082,-0.850187) (4.26418e-06,0.0252062) 1
1.75 (0.0849225,-0.684069) (-0.00446909,1.00036) 0.582533 (0,4.51121) 1.82518 1.57526 (9.32124e-06,1.10458) (-4.20185e-05,0.999947) 0.512099 (1.61183,-1.7912) (-0.00633557,0.357061) 1 (-1.50082,-0.843886) (4.3672e-06,0.0252062) 1
2 (0.0808277,-0.434113) (-0.016379,0.999823) 0.582533 (0,4.51121) 1.82518 1.58718 (6.4779e-06,1.35458) (-1.13734e-05,1.00001) 0.512099 (1.61024,-1.70194) (-0.00634017,0.357061) 1 (-1.50082,-0.837584) (2.67111e-06,0.0252062) 1
2.25 (0.0767202,-0.184144) (-0.0164303,0.999876) 0.582533 (0,4.51121) 1.82518 1.58723 (1.38643e-05,1.60459) (2.95455e-05,1.00002) 0.512099 (1.60866,-1.61267) (-0.00632674,0.357062) 1 (-1.50081,-0.831283) (5.09971e-06,0.0252062) 1
2.5 (0.0726472,0.0658011) (-0.0162918,0.999781) 0.582533 (0,4.51121) 1.82518 1.58709 (2.03953e-05,1.85457) (2.61243e-05,0.999926) 0.512099 (1.60708,-1.52341) (-0.00632727,0.357062) 1 (-1.50081,-0.824981) (2.74731e-06,0.0252062) 1
2.75 (0.0685669,0.315757) (-0.0163211,0.999824) 0.582533 (0,4.51121) 1.82518 1.58712 (2.19576e-05,2.10458) (6.24891e-06,1.00004) 0.512099 (1.6055,-1.43414) (-0.00632072,0.357062) 1 (-1.50081,-0.81868) (2.90303e-06,0.0252062) 1
3 (0.0644848,0.565746) (-0.0163284,0.999956) 0.582533 (0,4.51121) 1.82518 1.58712 (2.30879e-05,2.35458) (4.5215e-06,0.999999) 0.512099 (1.60391,-1.34488) (-0.0063596,0.357061) 1 (-1.50081,-0.812378) (3.6594e-06,0.0252062) 1
3.25 (0.0603993,0.815712) (-0.0163421,0.999863) 0.582533 (0,4.51121) 1.82518 1.58714 (1.88106e-05,2.60458) (-1.71095e-05,1.00002) 0.512099 (1.60233,-1.25561) (-0.00633194,0.357061) 1 (-1.50081,-0.806077) (3.63955e-06,0.0252062) 1
3.5 (0.0563178,1.06566) (-0.0163261,0.999796) 0.582533 (0,4.51121) 1.82518 1.58712 (2.33941e-06,2.85457) (-6.58846e-05,0.999971) 0.512099 (1.60074,-1.16634) (-0.00633563,0.357061) 1 (-1.50081,-0.799775) (3.24021e-06,0.0252062) 1
3.75 (0.05222,1.31563) (-0.0163914,0.999875) 0.582533 (0,4.51121) 1.82518 1.58719 (-5.83984e-06,3.10457) (-3.2717e-05,0.999994) 0.512099 (1.59916,-1.07708) (-0.00633261,0.357061) 1 (-1.50081,-0.793473) (3.06129e-06,0.0252062) 1
4 (0.048136,1.56559) (-0.0163359,0.999862) 0.582533 (0,4.51121) 1.82518 1.58713 (-2.32421e-05,3.35458) (-6.96089e-05,1.00002) 0.512099 (1.59757,-0.987814) (-0.00634416,0.357061) 1 (-1.50081,-0.787172) (6.36676e-06,0.0252062) 1
4.25 (0.0440507,1.81555) (-0.0163412,0.999832) 0.582533 (0,4.51121) 1.82518 1.58714 (-1.67829e-05,3.60457) (2.58365e-05,0.999981) 0.512099 (1.59598,-0.898549) (-0.00635137,0.357061) 1 (-1.50081,-0.78087) (3.84015e-06,0.0252062) 1
