timestamp position0 velocity0 radius0 goal pref_speed theta position1 velocity1 radius1 position2 velocity2 radius2 position3 velocity3 radius3 position4 velocity4 radius4 position5 velocity5 radius5
0 (1.09429,1.43658) (0,0) 0.169096 (0.900002,5.82137) 1.74466 0 (0.427368,2.24551) (0,0) 0.130197 (1.04825,2.26377) (0,0) 0.120309 (1.65529,2.2051) (0,0) 0.199478 (0,1.43658) (0,0) 0.3 (2.1,1.43658) (0,0) 0.3
0.25 (1.09637,1.45019) (0.00830262,0.0544528) 0.169096 (0.900002,5.82137) 1.74466 1.41949 (0.409158,2.3319) (-0.0728372,0.345552) 0.130197 (1.03617,2.35923) (-0.0483124,0.381833) 0.120309 (1.6767,2.28781) (0.0856447,0.330857) 0.199478 (0,1.45019) (0,0) 0.3 (2.1,1.45019) (0,0) 0.3
0.5 (1.10904,1.52274) (0.0506788,0.290187) 0.169096 (0.900002,5.82137) 1.74466 1.3979 (0.390943,2.41828) (-0.0728602,0.345547) 0.130197 (1.01111,2.45213) (-0.100234,0.371596) 0.120309 (1.69811,2.37053) (0.0856409,0.330858) 0.199478 (0,1.52274) (0,0) 0.3 (2.1,1.52274) (0,0) 0.3
0.75 (1.16698,1.66259) (0.231767,0.559396) 0.169096 (0.900002,5.82137) 1.74466 1.17801 (0.37274,2.50467) (-0.0728136,0.345556) 0.130197 (0.979837,2.54312) (-0.125095,0.363981) 0.120309 (1.71952,2.45324) (0.0856431,0.330858) 0.199478 (0,1.66259) (0,0) 0.3 (2.1,1.66259) (0,0) 0.3
1 (1.19556,1.90678) (0.114338,0.976762) 0.169096 (0.900002,5.82137) 1.74466 1.45427 (0.354526,2.59106) (-0.0728547,0.345548) 0.130197 (0.945764,2.63311) (-0.136291,0.359938) 0.120309 (1.75205,2.53225) (0.130123,0.316022) 0.199478 (0,1.90678) (0,0) 0.3 (2.1,1.90678) (0,0) 0.3
1.25 (1.19729,2.15494) (0.00690466,0.992674) 0.169096 (0.900002,5.82137) 1.74466 1.56384 (0.336318,2.67745) (-0.072834,0.345552) 0.130197 (0.910611,2.72268) (-0.140614,0.358272) 0.120309 (1.7724,2.61523) (0.0814001,0.331927) 0.199478 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.5 (1.18096,2.40412) (-0.0653103,0.996708) 0.169096 (0.900002,5.82137) 1.74466 1.63623 (0.318109,2.76383) (-0.0728359,0.345552) 0.130197 (0.875252,2.81216) (-0.141437,0.357948) 0.120309 (1.79275,2.69821) (0.0814097,0.331925) 0.199478 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.75 (1.16047,2.65327) (-0.0819553,0.996581) 0.169096 (0.900002,5.82137) 1.74466 1.65285 (0.299656,2.85017) (-0.0738119,0.345345) 0.130197 (0.840118,2.90174) (-0.140536,0.358302) 0.120309 (1.81309,2.78119) (0.0813646,0.331936) 0.199478 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2 (1.13998,2.90241) (-0.0819568,0.996566) 0.169096 (0.900002,5.82137) 1.74466 1.65285 (0.280866,2.93643) (-0.075161,0.345053) 0.130197 (0.805294,2.99144) (-0.139296,0.358786) 0.120309 (1.83344,2.86418) (0.0813867,0.33193) 0.199478 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.25 (1.11949,3.15156) (-0.0819784,0.996626) 0.169096 (0.900002,5.82137) 1.74466 1.65287 (0.261762,3.02263) (-0.0764161,0.344778) 0.130197 (0.770758,3.08124) (-0.138144,0.359231) 0.120309 (1.85379,2.94716) (0.0813854,0.331931) 0.199478 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.5 (1.09901,3.4007) (-0.0819198,0.996553) 0.169096 (0.900002,5.82137) 1.74466 1.65282 (0.244642,3.10527) (-0.068478,0.330581) 0.130197 (0.736489,3.17115) (-0.137075,0.359641) 0.120309 (1.87414,3.03014) (0.0813984,0.331927) 0.199478 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.75 (1.07853,3.64985) (-0.0819134,0.996587) 0.169096 (0.900002,5.82137) 1.74466 1.65281 (0.231923,3.16734) (-0.0508768,0.248281) 0.130197 (0.701999,3.26098) (-0.13796,0.359302) 0.120309 (1.89448,3.11313) (0.081379,0.331932) 0.199478 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3 (1.05806,3.89901) (-0.0818997,0.996643) 0.169096 (0.900002,5.82137) 1.74466 1.65279 (0.22239,3.2139) (-0.038133,0.18621) 0.130197 (0.655667,3.34531) (-0.185328,0.337319) 0.120309 (1.91329,3.18976) (0.0752216,0.306538) 0.199478 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3.25 (1.03755,4.14818) (-0.0820298,0.996682) 0.169096 (0.900002,5.82137) 1.74466 1.65291 (0.215265,3.24883) (-0.0284998,0.139738) 0.130197 (0.595533,3.42042) (-0.240535,0.300456) 0.120309 (1.92737,3.24721) (0.0563536,0.229811) 0.199478 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3.5 (1.01709,4.39734) (-0.0818387,0.99665) 0.169096 (0.900002,5.82137) 1.74466 1.65273 (0.209894,3.27503) (-0.0214813,0.104784) 0.130197 (0.531615,3.49234) (-0.255672,0.287685) 0.120309 (1.93795,3.29033) (0.0422842,0.172454) 0.199478 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3.75 (0.996603,4.6465) (-0.0819438,0.996648) 0.169096 (0.900002,5.82137) 1.74466 1.65283 (0.20587,3.29467) (-0.0160965,0.0785788) 0.130197 (0.48115,3.5491) (-0.201862,0.227043) 0.120309 (1.94587,3.32267) (0.03168,0.129387) 0.199478 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
4 (0.976126,4.89566) (-0.081906,0.996611) 0.169096 (0.900002,5.82137) 1.74466 1.6528 (0.202875,3.30939) (-0.0119806,0.0588921) 0.130197 (0.443305,3.59168) (-0.151379,0.17029) 0.120309 (1.9518,3.34692) (0.0237196,0.0969802) 0.199478 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
4.25 (0.957088,5.12707) (-0.0761547,0.925659) 0.169096 (0.900002,5.82137) 1.74466 1.65288 (0.200591,3.32046) (-0.00913663,0.0442729) 0.130197 (0.414924,3.6236) (-0.113524,0.127688) 0.120309 (1.95626,3.36511) (0.017857,0.0727598) 0.199478 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
4.5 (0.942808,5.30063) (-0.057118,0.694241) 0.169096 (0.900002,5.82137) 1.74466 1.65289 (0.198886,3.32877) (-0.00681946,0.0332103) 0.130197 (0.393642,3.64754) (-0.0851283,0.095773) 0.120309 (1.95961,3.37874) (0.0134035,0.0545326) 0.199478 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
