timestamp position0 velocity0 radius0 goal pref_speed theta position1 velocity1 radius1 position2 velocity2 radius2 position3 velocity3 radius3 position4 velocity4 radius4
0 (1.1689,1.27715) (0,0) 0.130421 (0.900002,5.82137) 1.74174 0 (0.565023,2.39793) (0,0) 0.201758 (1.62585,2.30158) (0,0) 0.196159 (0,1.27715) (0,0) 0.3 (2.1,1.27715) (0,0) 0.3
0.25 (1.15413,1.52673) (-0.0590864,0.998321) 0.130421 (0.900002,5.82137) 1.74174 1.62991 (0.556462,2.42883) (-0.034246,0.123614) 0.201758 (1.63421,2.32977) (0.0334247,0.112755) 0.196159 (0,1.52673) (0,0) 0.3 (2.1,1.52673) (0,0) 0.3
0.5 (1.13936,1.7763) (-0.0590734,0.998287) 0.130421 (0.900002,5.82137) 1.74174 1.6299 (0.547898,2.45974) (-0.0342547,0.123611) 0.201758 (1.64256,2.35796) (0.0334168,0.112757) 0.196159 (0,1.7763) (0,0) 0.3 (2.1,1.7763) (0,0) 0.3
0.75 (1.12459,2.02587) (-0.0590631,0.998256) 0.130421 (0.900002,5.82137) 1.74174 1.62989 (0.539334,2.49064) (-0.0342555,0.123611) 0.201758 (1.65092,2.38615) (0.0334252,0.112755) 0.196159 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1 (1.10982,2.27542) (-0.0590794,0.998217) 0.130421 (0.900002,5.82137) 1.74174 1.62991 (0.530772,2.52154) (-0.0342485,0.123613) 0.201758 (1.65928,2.41434) (0.0334225,0.112756) 0.196159 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.25 (1.09506,2.52499) (-0.0590656,0.998254) 0.130421 (0.900002,5.82137) 1.74174 1.6299 (0.522207,2.55245) (-0.0342576,0.12361) 0.201758 (1.66763,2.44252) (0.0334196,0.112757) 0.196159 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.5 (1.08029,2.77455) (-0.0590543,0.998244) 0.130421 (0.900002,5.82137) 1.74174 1.62989 (0.513644,2.58335) (-0.0342549,0.123611) 0.201758 (1.67599,2.47071) (0.0334213,0.112756) 0.196159 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.75 (1.06552,3.02413) (-0.0590853,0.998319) 0.130421 (0.900002,5.82137) 1.74174 1.62991 (0.505077,2.61425) (-0.034268,0.123607) 0.201758 (1.68434,2.4989) (0.0334209,0.112756) 0.196159 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2 (1.05076,3.27371) (-0.05906,0.998341) 0.130421 (0.900002,5.82137) 1.74174 1.62989 (0.496511,2.64515) (-0.034264,0.123609) 0.201758 (1.6927,2.52709) (0.0334244,0.112755) 0.196159 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.25 (1.036,3.52327) (-0.0590172,0.998216) 0.130421 (0.900002,5.82137) 1.74174 1.62985 (0.487947,2.67606) (-0.0342537,0.123611) 0.201758 (1.70105,2.55528) (0.0334267,0.112755) 0.196159 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.5 (1.02124,3.77283) (-0.0590555,0.998249) 0.130421 (0.900002,5.82137) 1.74174 1.62989 (0.479383,2.70696) (-0.0342583,0.12361) 0.201758 (1.70941,2.58347) (0.0334141,0.112758) 0.196159 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.75 (1.00646,4.02238) (-0.0590949,0.998191) 0.130421 (0.900002,5.82137) 1.74174 1.62993 (0.470822,2.73786) (-0.0342413,0.123615) 0.201758 (1.71776,2.61166) (0.0334261,0.112755) 0.196159 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3 (0.991698,4.27192) (-0.0590642,0.998171) 0.130421 (0.900002,5.82137) 1.74174 1.6299 (0.462259,2.76876) (-0.0342544,0.123611) 0.201758 (1.72612,2.63985) (0.0334295,0.112754) 0.196159 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3.25 (0.976927,4.52148) (-0.0590828,0.998246) 0.130421 (0.900002,5.82137) 1.74174 1.62991 (0.453692,2.79967) (-0.034269,0.123607) 0.201758 (1.73448,2.66804) (0.0334205,0.112756) 0.196159 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3.5 (0.962153,4.77102) (-0.0590973,0.998172) 0.130421 (0.900002,5.82137) 1.74174 1.62993 (0.445124,2.83057) (-0.0342707,0.123607) 0.201758 (1.74283,2.69622) (0.0334236,0.112755) 0.196159 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3.75 (0.947375,5.02057) (-0.0591122,0.998193) 0.130421 (0.900002,5.82137) 1.74174 1.62995 (0.436564,2.86147) (-0.0342388,0.123616) 0.201758 (1.75119,2.72441) (0.033417,0.112757) 0.196159 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
4 (0.935537,5.22076) (-0.0473502,0.80075) 0.130421 (0.900002,5.82137) 1.74174 1.62986 (0.428004,2.89238) (-0.0342405,0.123615) 0.201758 (1.75954,2.7526) (0.0334165,0.112758) 0.196159 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
4.25 (0.926646,5.3709) (-0.0355646,0.600558) 0.130421 (0.900002,5.82137) 1.74174 1.62995 (0.419438,2.92328) (-0.0342626,0.123609) 0.201758 (1.7679,2.78079) (0.0334218,0.112756) 0.196159 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
