timestamp position0 velocity0 radius0 goal pref_speed theta position1 velocity1 radius1 position2 velocity2 radius2 position3 velocity3 radius3 position4 velocity4 radius4 position5 velocity5 radius5
0 (1.00127,1.34545) (0,0) 0.213048 (0.900002,5.82137) 1.74882 0 (0.523228,2.32364) (0,0) 0.219549 (0.967321,2.30421) (0,0) 0.18082 (1.48336,2.37937) (0,0) 0.150178 (0,1.34545) (0,0) 0.3 (2.1,1.34545) (0,0) 0.3
0.25 (1.00397,1.3597) (0.0107771,0.0569662) 0.213048 (0.900002,5.82137) 1.74882 1.38382 (0.511266,2.36104) (-0.0478472,0.149593) 0.219549 (0.967396,2.33119) (0.000302037,0.107912) 0.18082 (1.52565,2.46984) (0.169167,0.361892) 0.150178 (0,1.3597) (0,0) 0.3 (2.1,1.3597) (0,0) 0.3
0.5 (1.01368,1.39539) (0.0388616,0.142781) 0.213048 (0.900002,5.82137) 1.74882 1.30506 (0.499304,2.39844) (-0.0478463,0.149593) 0.219549 (0.958016,2.35649) (-0.0375207,0.10118) 0.18082 (1.56794,2.56031) (0.169163,0.361894) 0.150178 (0,1.39539) (0,0) 0.3 (2.1,1.39539) (0,0) 0.3
0.75 (1.04841,1.45941) (0.138887,0.256081) 0.213048 (0.900002,5.82137) 1.74882 1.07384 (0.487343,2.43584) (-0.0478447,0.149594) 0.219549 (0.946724,2.38099) (-0.0451675,0.0980055) 0.18082 (1.61023,2.65079) (0.169179,0.361887) 0.150178 (0,1.45941) (0,0) 0.3 (2.1,1.45941) (0,0) 0.3
1 (1.12086,1.68165) (0.289803,0.888963) 0.213048 (0.900002,5.82137) 1.74882 1.25566 (0.475384,2.47324) (-0.0478363,0.149596) 0.219549 (0.93543,2.40549) (-0.0451753,0.0980019) 0.18082 (1.65252,2.74126) (0.169165,0.361893) 0.150178 (0,1.68165) (0,0) 0.3 (2.1,1.68165) (0,0) 0.3
1.25 (1.1836,1.90738) (0.250959,0.902924) 0.213048 (0.900002,5.82137) 1.74882 1.2997 (0.463425,2.51063) (-0.0478344,0.149597) 0.219549 (0.924137,2.42999) (-0.0451709,0.0980039) 0.18082 (1.69482,2.83173) (0.169171,0.36189) 0.150178 (0,1.90738) (0,0) 0.3 (2.1,1.90738) (0,0) 0.3
1.5 (1.23899,2.1356) (0.221569,0.912846) 0.213048 (0.900002,5.82137) 1.74882 1.33268 (0.451463,2.54803) (-0.0478484,0.149592) 0.219549 (0.912844,2.45449) (-0.0451757,0.0980017) 0.18082 (1.73712,2.9222) (0.169206,0.361874) 0.150178 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.75 (1.28729,2.36672) (0.193194,0.924497) 0.213048 (0.900002,5.82137) 1.74882 1.36479 (0.439502,2.58543) (-0.0478462,0.149593) 0.219549 (0.90155,2.47899) (-0.0451754,0.0980018) 0.18082 (1.77942,3.01267) (0.169187,0.361883) 0.150178 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2 (1.31565,2.61038) (0.113447,0.974632) 0.213048 (0.900002,5.82137) 1.74882 1.45492 (0.427537,2.62283) (-0.0478584,0.149589) 0.219549 (0.890256,2.50349) (-0.045174,0.0980025) 0.18082 (1.8217,3.10315) (0.169133,0.361908) 0.150178 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.25 (1.28355,2.85831) (-0.128393,0.99171) 0.213048 (0.900002,5.82137) 1.74882 1.69955 (0.415576,2.66023) (-0.0478447,0.149594) 0.219549 (0.878962,2.52799) (-0.0451755,0.0980018) 0.18082 (1.85868,3.18227) (0.147931,0.316498) 0.150178 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.5 (1.25145,3.10623) (-0.128402,0.991717) 0.213048 (0.900002,5.82137) 1.74882 1.69955 (0.403616,2.69763) (-0.0478416,0.149595) 0.219549 (0.867668,2.55249) (-0.0451764,0.0980014) 0.18082 (1.88644,3.24161) (0.111044,0.23736) 0.150178 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
