timestamp position0 velocity0 radius0 goal pref_speed theta position1 velocity1 radius1 position2 velocity2 radius2 position3 velocity3 radius3 position4 velocity4 radius4
0 (1.01952,1.49916) (0,0) 0.122276 (0.900002,5.82137) 1.75967 0 (1.0259,2.38898) (0,0) 0.159271 (1.4854,2.39897) (0,0) 0.16634 (0,1.49916) (0,0) 0.3 (2.1,1.49916) (0,0) 0.3
0.25 (1.01095,1.51442) (-0.0342843,0.0610774) 0.122276 (0.900002,5.82137) 1.75967 2.08229 (0.995755,2.42905) (-0.120581,0.160281) 0.159271 (1.50675,2.44925) (0.0853991,0.201106) 0.16634 (0,1.51442) (0,0) 0.3 (2.1,1.51442) (0,0) 0.3
0.5 (1.04429,1.57438) (0.133355,0.239836) 0.122276 (0.900002,5.82137) 1.75967 1.06334 (0.965609,2.46912) (-0.120582,0.16028) 0.159271 (1.52809,2.49953) (0.0853846,0.201112) 0.16634 (0,1.57438) (0,0) 0.3 (2.1,1.57438) (0,0) 0.3
0.75 (1.10714,1.79795) (0.251401,0.894253) 0.122276 (0.900002,5.82137) 1.75967 1.29674 (0.935463,2.50919) (-0.120585,0.160278) 0.159271 (1.54945,2.5498) (0.0854131,0.2011) 0.16634 (0,1.79795) (0,0) 0.3 (2.1,1.79795) (0,0) 0.3
1 (1.1411,2.04015) (0.135827,0.968816) 0.122276 (0.900002,5.82137) 1.75967 1.43151 (0.905317,2.54926) (-0.120583,0.160279) 0.159271 (1.57417,2.59851) (0.0988837,0.19483) 0.16634 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.25 (1.15276,2.2871) (0.0466661,0.987806) 0.122276 (0.900002,5.82137) 1.75967 1.52359 (0.875174,2.58933) (-0.120573,0.160287) 0.159271 (1.59536,2.64885) (0.0847811,0.201367) 0.16634 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.5 (1.14492,2.53633) (-0.0313801,0.996905) 0.122276 (0.900002,5.82137) 1.75967 1.60226 (0.84503,2.6294) (-0.120577,0.160284) 0.159271 (1.61656,2.69919) (0.0847855,0.201365) 0.16634 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.75 (1.12633,2.78564) (-0.0743476,0.997232) 0.122276 (0.900002,5.82137) 1.75967 1.64521 (0.814888,2.66948) (-0.120567,0.160292) 0.159271 (1.63776,2.74953) (0.0847907,0.201363) 0.16634 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2 (1.10774,3.03495) (-0.0743828,0.997258) 0.122276 (0.900002,5.82137) 1.75967 1.64525 (0.784743,2.70955) (-0.120581,0.160281) 0.159271 (1.65895,2.79988) (0.0847877,0.201364) 0.16634 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.25 (1.08916,3.28428) (-0.0743082,0.99731) 0.122276 (0.900002,5.82137) 1.75967 1.64517 (0.754597,2.74962) (-0.120583,0.160279) 0.159271 (1.68015,2.85022) (0.084778,0.201368) 0.16634 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.5 (1.07056,3.5336) (-0.0743721,0.997274) 0.122276 (0.900002,5.82137) 1.75967 1.64523 (0.724455,2.78969) (-0.12057,0.160289) 0.159271 (1.70134,2.90056) (0.0847697,0.201372) 0.16634 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.75 (1.05197,3.78288) (-0.0743654,0.997139) 0.122276 (0.900002,5.82137) 1.75967 1.64524 (0.694308,2.82976) (-0.120589,0.160275) 0.159271 (1.72254,2.9509) (0.0847825,0.201367) 0.16634 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
