timestamp position0 velocity0 radius0 goal pref_speed theta position1 velocity1 radius1 position2 velocity2 radius2 position3 velocity3 radius3 position4 velocity4 radius4
0 (1.10674,1.23076) (0,0) 0.187002 (0.900002,5.82137) 1.99634 0 (0.82533,2.25874) (0,0) 0.205797 (1.68495,2.34424) (0,0) 0.167046 (0,1.23076) (0,0) 0.3 (2.1,1.23076) (0,0) 0.3
0.25 (1.09551,1.48052) (-0.0449441,0.99906) 0.187002 (0.900002,5.82137) 1.99634 1.61575 (0.787922,2.33673) (-0.149631,0.311967) 0.205797 (1.6928,2.37416) (0.0314294,0.119667) 0.167046 (0,1.48052) (0,0) 0.3 (2.1,1.48052) (0,0) 0.3
0.5 (1.08427,1.73029) (-0.0449649,0.999082) 0.187002 (0.900002,5.82137) 1.99634 1.61577 (0.75052,2.41472) (-0.149609,0.311978) 0.205797 (1.70066,2.40407) (0.0314193,0.119669) 0.167046 (0,1.73029) (0,0) 0.3 (2.1,1.73029) (0,0) 0.3
0.75 (1.07303,1.98006) (-0.0449444,0.999053) 0.187002 (0.900002,5.82137) 1.99634 1.61575 (0.713117,2.49272) (-0.149612,0.311976) 0.205797 (1.70852,2.43399) (0.0314318,0.119666) 0.167046 (0,1.98006) (0,0) 0.3 (2.1,1.98006) (0,0) 0.3
1 (1.06177,2.22981) (-0.045039,0.999005) 0.187002 (0.900002,5.82137) 1.99634 1.61585 (0.67571,2.57071) (-0.149629,0.311968) 0.205797 (1.71637,2.46391) (0.0314211,0.119669) 0.167046 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.25 (1.05053,2.47955) (-0.0449677,0.998978) 0.187002 (0.900002,5.82137) 1.99634 1.61578 (0.638301,2.6487) (-0.149634,0.311965) 0.205797 (1.72423,2.49383) (0.0314213,0.119669) 0.167046 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.5 (1.03929,2.7293) (-0.0449726,0.999001) 0.187002 (0.900002,5.82137) 1.99634 1.61578 (0.600895,2.72669) (-0.149623,0.311971) 0.205797 (1.73209,2.52374) (0.0314367,0.119665) 0.167046 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.75 (1.02804,2.97905) (-0.0449892,0.99898) 0.187002 (0.900002,5.82137) 1.99634 1.6158 (0.563492,2.80469) (-0.149616,0.311974) 0.205797 (1.73994,2.55366) (0.0314286,0.119667) 0.167046 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2 (1.01678,3.22878) (-0.0450201,0.998927) 0.187002 (0.900002,5.82137) 1.99634 1.61583 (0.526078,2.88267) (-0.149654,0.311955) 0.205797 (1.7478,2.58357) (0.0314361,0.119665) 0.167046 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.25 (1.00555,3.47854) (-0.0449484,0.99902) 0.187002 (0.900002,5.82137) 1.99634 1.61576 (0.488665,2.96066) (-0.149651,0.311957) 0.205797 (1.75566,2.61349) (0.0314307,0.119666) 0.167046 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.5 (0.994296,3.7283) (-0.0450012,0.999072) 0.187002 (0.900002,5.82137) 1.99634 1.61581 (0.451262,3.03866) (-0.149613,0.311975) 0.205797 (1.76352,2.64341) (0.0314277,0.119667) 0.167046 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.75 (0.983041,3.97806) (-0.0450192,0.999017) 0.187002 (0.900002,5.82137) 1.99634 1.61583 (0.413852,3.11665) (-0.149638,0.311963) 0.205797 (1.77137,2.67333) (0.0314253,0.119668) 0.167046 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3 (0.971787,4.22781) (-0.0450167,0.998998) 0.187002 (0.900002,5.82137) 1.99634 1.61583 (0.38544,3.1759) (-0.113651,0.237023) 0.205797 (1.77923,2.70324) (0.0314286,0.119667) 0.167046 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3.25 (0.960541,4.47755) (-0.0449834,0.998992) 0.187002 (0.900002,5.82137) 1.99634 1.61579 (0.364128,3.22031) (-0.0852466,0.177629) 0.205797 (1.78709,2.73316) (0.0314269,0.119667) 0.167046 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3.5 (0.949282,4.72729) (-0.0450357,0.998941) 0.187002 (0.900002,5.82137) 1.99634 1.61585 (0.348139,3.25365) (-0.0639565,0.133356) 0.205797 (1.79495,2.76307) (0.0314356,0.119665) 0.167046 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3.75 (0.93804,4.97703) (-0.0449679,0.998956) 0.187002 (0.900002,5.82137) 1.99634 1.61578 (0.336161,3.27864) (-0.0479105,0.099937) 0.205797 (1.8028,2.79299) (0.0314302,0.119666) 0.167046 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
4 (0.928528,5.18812) (-0.0380471,0.844377) 0.187002 (0.900002,5.82137) 1.99634 1.61583 (0.327192,3.29737) (-0.0358778,0.0749407) 0.205797 (1.81066,2.82291) (0.0314268,0.119667) 0.167046 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
4.25 (0.921399,5.34644) (-0.0285178,0.633251) 0.187002 (0.900002,5.82137) 1.99634 1.6158 (0.320436,3.31144) (-0.0270243,0.0562899) 0.205797 (1.81852,2.85282) (0.0314288,0.119667) 0.167046 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
