timestamp position0 velocity0 radius0 goal pref_speed theta position1 velocity1 radius1 position2 velocity2 radius2 position3 velocity3 radius3 position4 velocity4 radius4
0 (1.05691,1.18896) (0,0) 0.170701 (0.900002,5.82137) 1.67184 0 (0.579773,2.30754) (0,0) 0.131013 (1.43907,2.37664) (0,0) 0.125608 (0,1.18896) (0,0) 0.3 (2.1,1.18896) (0,0) 0.3
0.25 (1.04844,1.43884) (-0.0338751,0.999523) 0.170701 (0.900002,5.82137) 1.67184 1.60467 (0.555586,2.39805) (-0.0967513,0.362057) 0.131013 (1.46627,2.43679) (0.108777,0.240597) 0.125608 (0,1.43884) (0,0) 0.3 (2.1,1.43884) (0,0) 0.3
0.5 (1.03996,1.68868) (-0.0339182,0.999376) 0.170701 (0.900002,5.82137) 1.67184 1.60472 (0.531395,2.48857) (-0.096764,0.362054) 0.131013 (1.49346,2.49694) (0.108781,0.240595) 0.125608 (0,1.68868) (0,0) 0.3 (2.1,1.68868) (0,0) 0.3
0.75 (1.03152,1.93855) (-0.033765,0.999477) 0.170701 (0.900002,5.82137) 1.67184 1.60457 (0.507204,2.57908) (-0.0967624,0.362054) 0.131013 (1.52065,2.55709) (0.108753,0.240607) 0.125608 (0,1.93855) (0,0) 0.3 (2.1,1.93855) (0,0) 0.3
1 (1.02305,2.18842) (-0.0338511,0.999472) 0.170701 (0.900002,5.82137) 1.67184 1.60465 (0.483015,2.66959) (-0.0967571,0.362056) 0.131013 (1.54784,2.61724) (0.108764,0.240603) 0.125608 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.25 (1.01459,2.43829) (-0.0338483,0.999474) 0.170701 (0.900002,5.82137) 1.67184 1.60465 (0.458815,2.76011) (-0.0967973,0.362045) 0.131013 (1.57504,2.67739) (0.108791,0.24059) 0.125608 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.5 (1.00612,2.68815) (-0.033903,0.999455) 0.170701 (0.900002,5.82137) 1.67184 1.6047 (0.434616,2.85062) (-0.096796,0.362045) 0.131013 (1.60223,2.73754) (0.108769,0.240601) 0.125608 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.75 (0.997642,2.938) (-0.0338942,0.999377) 0.170701 (0.900002,5.82137) 1.67184 1.6047 (0.410426,2.94113) (-0.0967624,0.362054) 0.131013 (1.62942,2.79769) (0.108771,0.240599) 0.125608 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2 (0.989174,3.18787) (-0.0338735,0.999495) 0.170701 (0.900002,5.82137) 1.67184 1.60467 (0.386237,3.03164) (-0.0967565,0.362056) 0.131013 (1.65662,2.85784) (0.108767,0.240601) 0.125608 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.25 (0.980713,3.43773) (-0.0338424,0.999426) 0.170701 (0.900002,5.82137) 1.67184 1.60465 (0.364735,3.11214) (-0.0860065,0.321988) 0.131013 (1.68381,2.91799) (0.108767,0.240601) 0.125608 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.5 (0.97225,3.68759) (-0.0338513,0.999463) 0.170701 (0.900002,5.82137) 1.67184 1.60465 (0.348609,3.17252) (-0.0645055,0.241503) 0.131013 (1.711,2.97814) (0.108782,0.240594) 0.125608 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.75 (0.963783,3.93744) (-0.0338672,0.999397) 0.170701 (0.900002,5.82137) 1.67184 1.60467 (0.336505,3.21778) (-0.048414,0.181055) 0.131013 (1.73819,3.03829) (0.108749,0.24061) 0.125608 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3 (0.955323,4.1873) (-0.0338428,0.999427) 0.170701 (0.900002,5.82137) 1.67184 1.60465 (0.327435,3.25173) (-0.0362792,0.13578) 0.131013 (1.76538,3.09844) (0.10875,0.240609) 0.125608 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3.25 (0.946855,4.43715) (-0.0338696,0.999419) 0.170701 (0.900002,5.82137) 1.67184 1.60467 (0.320627,3.2772) (-0.0272342,0.101912) 0.131013 (1.79258,3.15859) (0.108791,0.24059) 0.125608 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3.5 (0.938383,4.687) (-0.0338905,0.999366) 0.170701 (0.900002,5.82137) 1.67184 1.6047 (0.31552,3.2963) (-0.0204263,0.0763978) 0.131013 (1.81977,3.21874) (0.10877,0.2406) 0.125608 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3.75 (0.929912,4.93686) (-0.0338806,0.999473) 0.170701 (0.900002,5.82137) 1.67184 1.60468 (0.311691,3.31062) (-0.0153189,0.0572775) 0.131013 (1.84696,3.27889) (0.108748,0.24061) 0.125608 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
4 (0.922437,5.15799) (-0.0299029,0.884503) 0.170701 (0.900002,5.82137) 1.67184 1.60459 (0.308816,3.32137) (-0.0114999,0.0429726) 0.131013 (1.87414,3.33905) (0.108735,0.240616) 0.125608 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
4.25 (0.916827,5.32382) (-0.0224379,0.663313) 0.170701 (0.900002,5.82137) 1.67184 1.60461 (0.306658,3.32942) (-0.00862834,0.0322311) 0.131013 (1.90134,3.39919) (0.108813,0.24058) 0.125608 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
