timestamp position0 velocity0 radius0 goal pref_speed theta position1 velocity1 radius1 position2 velocity2 radius2 position3 velocity3 radius3 position4 velocity4 radius4 position5 velocity5 radius5 position6 velocity6 radius6
0 (1.07974,1.18334) (0,0) 0.205703 (0.900002,5.82137) 1.51351 0 (0.422071,2.33092) (0,0) 0.133163 (0.894426,2.3375) (0,0) 0.146202 (1.17878,2.30534) (0,0) 0.207702 (1.57732,2.27759) (0,0) 0.143219 (0,1.18334) (0,0) 0.3 (2.1,1.18334) (0,0) 0.3
0.25 (1.07004,1.43315) (-0.0387849,0.999242) 0.205703 (0.900002,5.82137) 1.51351 1.60959 (0.410223,2.37335) (-0.0473915,0.169749) 0.133163 (0.879126,2.42073) (-0.0612001,0.332927) 0.146202 (1.19426,2.28192) (0.0619167,-0.0937014) 0.207702 (1.59013,2.33154) (0.051247,0.215815) 0.143219 (0,1.43315) (0,0) 0.3 (2.1,1.43315) (0,0) 0.3
0.5 (1.0266,1.67035) (-0.173745,0.948805) 0.205703 (0.900002,5.82137) 1.51351 1.75191 (0.398373,2.41579) (-0.0473973,0.169748) 0.133163 (0.842658,2.49709) (-0.145872,0.305463) 0.146202 (1.21416,2.30324) (0.0796074,0.0852745) 0.207702 (1.60294,2.38549) (0.0512429,0.215816) 0.143219 (0,1.67035) (0,0) 0.3 (2.1,1.67035) (0,0) 0.3
0.75 (0.992432,1.85432) (-0.136681,0.735878) 0.205703 (0.900002,5.82137) 1.51351 1.75444 (0.386523,2.45823) (-0.0474017,0.169747) 0.133163 (0.790429,2.56368) (-0.208917,0.266345) 0.146202 (1.24115,2.31429) (0.107957,0.0442074) 0.207702 (1.61575,2.43945) (0.0512304,0.215819) 0.143219 (0,1.85432) (0,0) 0.3 (2.1,1.85432) (0,0) 0.3
1 (0.958418,2.02068) (-0.136057,0.665458) 0.205703 (0.900002,5.82137) 1.51351 1.77247 (0.374675,2.50067) (-0.0473924,0.169749) 0.133163 (0.735462,2.62802) (-0.219869,0.257379) 0.146202 (1.26783,2.32608) (0.106705,0.0471488) 0.207702 (1.62856,2.4934) (0.0512441,0.215815) 0.143219 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.25 (0.922557,2.17404) (-0.143443,0.613444) 0.205703 (0.900002,5.82137) 1.51351 1.8005 (0.362517,2.54301) (-0.0486323,0.169398) 0.133163 (0.680068,2.692) (-0.221577,0.25591) 0.146202 (1.29391,2.33914) (0.10431,0.052235) 0.207702 (1.64137,2.54736) (0.0512362,0.215817) 0.143219 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.5 (0.895038,2.36186) (-0.110078,0.751254) 0.205703 (0.900002,5.82137) 1.51351 1.71629 (0.34973,2.58518) (-0.0511477,0.168656) 0.133163 (0.624678,2.75598) (-0.221559,0.255925) 0.146202 (1.30899,2.3641) (0.060336,0.099843) 0.207702 (1.65418,2.60131) (0.0512447,0.215815) 0.143219 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.75 (0.895412,2.61184) (0.00149546,0.999944) 0.205703 (0.900002,5.82137) 1.51351 1.5693 (0.336549,2.62722) (-0.0527229,0.16817) 0.133163 (0.569277,2.81996) (-0.221604,0.255886) 0.146202 (1.32229,2.39005) (0.0531787,0.103832) 0.207702 (1.66699,2.65526) (0.0512412,0.215816) 0.143219 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2 (0.895758,2.86185) (0.00138392,1.00001) 0.205703 (0.900002,5.82137) 1.51351 1.56941 (0.323081,2.66917) (-0.0538725,0.167805) 0.133163 (0.530266,2.89505) (-0.156043,0.300394) 0.146202 (1.33558,2.41601) (0.0531651,0.103839) 0.207702 (1.6798,2.70922) (0.0512403,0.215816) 0.143219 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.25 (0.896127,3.11184) (0.00147686,0.999992) 0.205703 (0.900002,5.82137) 1.51351 1.56932 (0.311495,2.71168) (-0.0463449,0.170038) 0.133163 (0.492552,2.97081) (-0.150857,0.303032) 0.146202 (1.34887,2.44197) (0.0531699,0.103837) 0.207702 (1.69261,2.76317) (0.0512407,0.215816) 0.143219 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.5 (0.896489,3.36185) (0.00144638,1.00002) 0.205703 (0.900002,5.82137) 1.51351 1.56935 (0.299909,2.75419) (-0.0463449,0.170038) 0.133163 (0.45484,3.04657) (-0.150846,0.303037) 0.146202 (1.36216,2.46793) (0.0531634,0.10384) 0.207702 (1.70542,2.81713) (0.0512594,0.215812) 0.143219 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.75 (0.896843,3.61185) (0.00141953,1.00001) 0.205703 (0.900002,5.82137) 1.51351 1.56938 (0.288317,2.7967) (-0.0463658,0.170032) 0.133163 (0.417135,3.12233) (-0.150821,0.30305) 0.146202 (1.37545,2.49389) (0.0531721,0.103835) 0.207702 (1.71823,2.87108) (0.0512412,0.215816) 0.143219 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3 (0.897202,3.86185) (0.00143285,1) 0.205703 (0.900002,5.82137) 1.51351 1.56936 (0.276726,2.83921) (-0.0463642,0.170033) 0.133163 (0.379421,3.19809) (-0.150858,0.303031) 0.146202 (1.38874,2.51985) (0.0531654,0.103839) 0.207702 (1.73104,2.92503) (0.051246,0.215815) 0.143219 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3.25 (0.897549,4.11185) (0.00139065,0.999994) 0.205703 (0.900002,5.82137) 1.51351 1.56941 (0.265135,2.88172) (-0.0463623,0.170033) 0.133163 (0.341703,3.27385) (-0.15087,0.303025) 0.146202 (1.40204,2.54581) (0.0531722,0.103835) 0.207702 (1.74385,2.97899) (0.0512419,0.215816) 0.143219 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3.5 (0.897906,4.36186) (0.00142645,1.00004) 0.205703 (0.900002,5.82137) 1.51351 1.56937 (0.253552,2.92423) (-0.0463328,0.170041) 0.133163 (0.303995,3.34961) (-0.150834,0.303043) 0.146202 (1.41533,2.57177) (0.0531677,0.103838) 0.207702 (1.75667,3.03294) (0.0512635,0.215811) 0.143219 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3.75 (0.898267,4.61184) (0.00144346,0.999938) 0.205703 (0.900002,5.82137) 1.51351 1.56935 (0.241963,2.96673) (-0.046358,0.170035) 0.133163 (0.266293,3.42537) (-0.150809,0.303055) 0.146202 (1.42862,2.59773) (0.0531674,0.103838) 0.207702 (1.76948,3.08689) (0.0512508,0.215814) 0.143219 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
4 (0.898615,4.86183) (0.00139398,0.999935) 0.205703 (0.900002,5.82137) 1.51351 1.5694 (0.23037,3.00924) (-0.0463705,0.170031) 0.133163 (0.229682,3.49886) (-0.146443,0.293963) 0.146202 (1.44191,2.62369) (0.0531708,0.103836) 0.207702 (1.78229,3.14085) (0.0512321,0.215818) 0.143219 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
4.25 (0.898954,5.10172) (0.00135588,0.959554) 0.205703 (0.900002,5.82137) 1.51351 1.56938 (0.218779,3.05175) (-0.0463646,0.170033) 0.133163 (0.202261,3.55399) (-0.109685,0.220511) 0.146202 (1.45521,2.64965) (0.0531812,0.103831) 0.207702 (1.7951,3.1948) (0.0512355,0.215817) 0.143219 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
4.5 (0.899221,5.28164) (0.00106682,0.719674) 0.205703 (0.900002,5.82137) 1.51351 1.56931 (0.2072,3.09426) (-0.0463155,0.170046) 0.133163 (0.180968,3.59692) (-0.0851705,0.171702) 0.146202 (1.4685,2.6756) (0.053176,0.103833) 0.207702 (1.80791,3.24876) (0.0512468,0.215815) 0.143219 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
