timestamp position0 velocity0 radius0 goal pref_speed theta position1 velocity1 radius1 position2 velocity2 radius2 position3 velocity3 radius3 position4 velocity4 radius4
0 (1.13675,1.16403) (0,0) 0.190928 (0.900002,5.82137) 1.91445 0 (0.681283,2.26122) (0,0) 0.144982 (1.32761,2.39321) (0,0) 0.20501 (0,1.16403) (0,0) 0.3 (2.1,1.16403) (0,0) 0.3
0.25 (1.12407,1.41372) (-0.0507248,0.99875) 0.190928 (0.900002,5.82137) 1.91445 1.62154 (0.655135,2.33615) (-0.104593,0.299736) 0.144982 (1.35945,2.45199) (0.127375,0.23515) 0.20501 (0,1.41372) (0,0) 0.3 (2.1,1.41372) (0,0) 0.3
0.5 (1.11137,1.66338) (-0.0507881,0.998648) 0.190928 (0.900002,5.82137) 1.91445 1.62161 (0.628994,2.41109) (-0.104564,0.299746) 0.144982 (1.3913,2.51078) (0.127391,0.235142) 0.20501 (0,1.66338) (0,0) 0.3 (2.1,1.66338) (0,0) 0.3
0.75 (1.09866,1.91308) (-0.0508136,0.998785) 0.190928 (0.900002,5.82137) 1.91445 1.62163 (0.602852,2.48602) (-0.104568,0.299744) 0.144982 (1.42314,2.56957) (0.127381,0.235147) 0.20501 (0,1.91308) (0,0) 0.3 (2.1,1.91308) (0,0) 0.3
1 (1.08596,2.16276) (-0.0508315,0.99872) 0.190928 (0.900002,5.82137) 1.91445 1.62165 (0.576713,2.56096) (-0.104555,0.299749) 0.144982 (1.45499,2.62835) (0.127402,0.235136) 0.20501 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.25 (1.07326,2.41243) (-0.0507715,0.998666) 0.190928 (0.900002,5.82137) 1.91445 1.62159 (0.550574,2.6359) (-0.104559,0.299747) 0.144982 (1.48684,2.68714) (0.127379,0.235148) 0.20501 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.5 (1.06057,2.66211) (-0.0507609,0.998733) 0.190928 (0.900002,5.82137) 1.91445 1.62158 (0.524427,2.71083) (-0.104586,0.299738) 0.144982 (1.51869,2.74592) (0.127389,0.235143) 0.20501 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.75 (1.04787,2.91178) (-0.0508057,0.998668) 0.190928 (0.900002,5.82137) 1.91445 1.62163 (0.498294,2.78577) (-0.104534,0.299756) 0.144982 (1.55054,2.80471) (0.127402,0.235136) 0.20501 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2 (1.0352,3.16144) (-0.0506893,0.998675) 0.190928 (0.900002,5.82137) 1.91445 1.62151 (0.472154,2.86071) (-0.104557,0.299748) 0.144982 (1.58239,2.86349) (0.127405,0.235134) 0.20501 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.25 (1.02251,3.41114) (-0.0507526,0.998797) 0.190928 (0.900002,5.82137) 1.91445 1.62157 (0.446011,2.93564) (-0.104571,0.299743) 0.144982 (1.61424,2.92228) (0.127394,0.23514) 0.20501 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.5 (1.00982,3.66084) (-0.0507606,0.998772) 0.190928 (0.900002,5.82137) 1.91445 1.62158 (0.419867,3.01058) (-0.104577,0.299741) 0.144982 (1.64609,2.98106) (0.127409,0.235132) 0.20501 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.75 (0.997149,3.91051) (-0.0506933,0.998691) 0.190928 (0.900002,5.82137) 1.91445 1.62151 (0.393728,3.08552) (-0.104555,0.299749) 0.144982 (1.67794,3.03984) (0.127422,0.235125) 0.20501 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3 (0.984475,4.16018) (-0.0506942,0.998692) 0.190928 (0.900002,5.82137) 1.91445 1.62151 (0.370342,3.15254) (-0.093544,0.268083) 0.144982 (1.70979,3.09863) (0.127397,0.235139) 0.20501 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3.25 (0.97178,4.40986) (-0.0507798,0.998706) 0.190928 (0.900002,5.82137) 1.91445 1.6216 (0.35282,3.2028) (-0.0700895,0.201062) 0.144982 (1.74163,3.15741) (0.127366,0.235155) 0.20501 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3.5 (0.959104,4.65953) (-0.0507056,0.99867) 0.190928 (0.900002,5.82137) 1.91445 1.62153 (0.339665,3.2405) (-0.0526215,0.150799) 0.144982 (1.77349,3.2162) (0.127423,0.235124) 0.20501 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3.75 (0.946416,4.9092) (-0.0507502,0.998694) 0.190928 (0.900002,5.82137) 1.91445 1.62157 (0.329798,3.26878) (-0.039468,0.113097) 0.144982 (1.80534,3.27498) (0.127394,0.23514) 0.20501 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
4 (0.934803,5.13725) (-0.0464522,0.912192) 0.190928 (0.900002,5.82137) 1.91445 1.62168 (0.322395,3.28998) (-0.0296103,0.0848154) 0.144982 (1.83719,3.33377) (0.127387,0.235144) 0.20501 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
4.25 (0.926108,5.3083) (-0.0347812,0.684197) 0.190928 (0.900002,5.82137) 1.91445 1.62159 (0.316848,3.30588) (-0.0221892,0.0635868) 0.144982 (1.86904,3.39255) (0.127429,0.235121) 0.20501 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
