timestamp position0 velocity0 radius0 goal pref_speed theta position1 velocity1 radius1 position2 velocity2 radius2 position3 velocity3 radius3 position4 velocity4 radius4 position5 velocity5 radius5
0 (0.952709,1.4641) (0,0) 0.20897 (0.900002,5.82137) 1.63406 0 (0.56715,2.2547) (0,0) 0.153237 (1.09156,2.38496) (0,0) 0.200758 (1.41389,2.22932) (0,0) 0.128789 (0,1.4641) (0,0) 0.3 (2.1,1.4641) (0,0) 0.3
0.25 (0.950821,1.47757) (-0.0075497,0.053882) 0.20897 (0.900002,5.82137) 1.63406 1.71001 (0.556641,2.28562) (-0.0420355,0.123716) 0.153237 (1.08064,2.40959) (-0.0436746,0.0985194) 0.200758 (1.42816,2.25989) (0.057097,0.12229) 0.128789 (0,1.47757) (0,0) 0.3 (2.1,1.47757) (0,0) 0.3
0.5 (0.95744,1.5101) (0.0264757,0.13011) 0.20897 (0.900002,5.82137) 1.63406 1.37005 (0.546133,2.31655) (-0.0420317,0.123717) 0.153237 (1.06725,2.43297) (-0.0535907,0.0934965) 0.200758 (1.44244,2.29046) (0.0571039,0.122286) 0.128789 (0,1.5101) (0,0) 0.3 (2.1,1.5101) (0,0) 0.3
0.75 (0.972659,1.55635) (0.0608754,0.184989) 0.20897 (0.900002,5.82137) 1.63406 1.25288 (0.535626,2.34748) (-0.0420288,0.123718) 0.153237 (1.05385,2.45634) (-0.0535912,0.0934962) 0.200758 (1.45672,2.32104) (0.0571042,0.122286) 0.128789 (0,1.55635) (0,0) 0.3 (2.1,1.55635) (0,0) 0.3
1 (0.988697,1.61289) (0.0641525,0.226179) 0.20897 (0.900002,5.82137) 1.63406 1.29442 (0.525116,2.37841) (-0.0420365,0.123716) 0.153237 (1.04045,2.47971) (-0.0536043,0.0934887) 0.200758 (1.47099,2.35161) (0.0570914,0.122292) 0.128789 (0,1.61289) (0,0) 0.3 (2.1,1.61289) (0,0) 0.3
1.25 (1.0052,1.67757) (0.0660302,0.258706) 0.20897 (0.900002,5.82137) 1.63406 1.3209 (0.514609,2.40934) (-0.0420306,0.123718) 0.153237 (1.02705,2.50309) (-0.0535974,0.0934926) 0.200758 (1.48526,2.38218) (0.0570907,0.122292) 0.128789 (0,1.67757) (0,0) 0.3 (2.1,1.67757) (0,0) 0.3
1.5 (1.02379,1.74964) (0.0743295,0.288295) 0.20897 (0.900002,5.82137) 1.63406 1.31847 (0.504101,2.44027) (-0.0420306,0.123718) 0.153237 (1.01365,2.52646) (-0.0535998,0.0934912) 0.200758 (1.49954,2.41275) (0.0570956,0.12229) 0.128789 (0,1.74964) (0,0) 0.3 (2.1,1.74964) (0,0) 0.3
1.75 (1.04593,1.8298) (0.0885702,0.320626) 0.20897 (0.900002,5.82137) 1.63406 1.30128 (0.493594,2.4712) (-0.0420267,0.123719) 0.153237 (1.00025,2.54983) (-0.0535959,0.0934935) 0.200758 (1.51381,2.44333) (0.0570984,0.122289) 0.128789 (0,1.8298) (0,0) 0.3 (2.1,1.8298) (0,0) 0.3
2 (1.07002,1.91442) (0.0963605,0.338464) 0.20897 (0.900002,5.82137) 1.63406 1.29343 (0.483085,2.50213) (-0.0420361,0.123716) 0.153237 (0.986849,2.57321) (-0.0535958,0.0934936) 0.200758 (1.52809,2.4739) (0.0571018,0.122287) 0.128789 (0,1.91442) (0,0) 0.3 (2.1,1.91442) (0,0) 0.3
2.25 (1.09519,2.00152) (0.100665,0.348423) 0.20897 (0.900002,5.82137) 1.63406 1.28954 (0.47258,2.53306) (-0.0420222,0.123721) 0.153237 (0.973451,2.59658) (-0.0535931,0.0934951) 0.200758 (1.54236,2.50447) (0.0570977,0.122289) 0.128789 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.5 (1.12095,2.09004) (0.103066,0.354057) 0.20897 (0.900002,5.82137) 1.63406 1.28752 (0.46207,2.56399) (-0.0420412,0.123714) 0.153237 (0.960051,2.61995) (-0.0535999,0.0934912) 0.200758 (1.55663,2.53504) (0.05709,0.122293) 0.128789 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.75 (1.14706,2.17936) (0.104424,0.357309) 0.20897 (0.900002,5.82137) 1.63406 1.28646 (0.451565,2.59492) (-0.0420181,0.123722) 0.153237 (0.946653,2.64333) (-0.0535924,0.0934955) 0.200758 (1.57091,2.56562) (0.0570984,0.122289) 0.128789 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
