timestamp position0 velocity0 radius0 goal pref_speed theta position1 velocity1 radius1 position2 velocity2 radius2 position3 velocity3 radius3 position4 velocity4 radius4
0 (0.905304,1.06382) (0,0) 0.156178 (0.900002,5.82137) 1.70029 0 (0.840611,2.34789) (0,0) 0.170724 (1.07393,2.2488) (0,0) 0.196677 (0,1.06382) (0,0) 0.3 (2.1,1.06382) (0,0) 0.3
0.25 (0.905029,1.31382) (-0.00109976,1.00001) 0.156178 (0.900002,5.82137) 1.70029 1.5719 (0.81057,2.36065) (-0.120167,0.051034) 0.170724 (1.09872,2.23309) (0.0991521,-0.0628383) 0.196677 (0,1.31382) (0,0) 0.3 (2.1,1.31382) (0,0) 0.3
0.5 (0.893823,1.56185) (-0.0448226,0.992116) 0.156178 (0.900002,5.82137) 1.70029 1.61594 (0.792141,2.38759) (-0.0737135,0.107753) 0.170724 (1.12395,2.2441) (0.100921,0.044008) 0.196677 (0,1.56185) (0,0) 0.3 (2.1,1.56185) (0,0) 0.3
0.75 (0.891291,1.74185) (-0.010128,0.720002) 0.156178 (0.900002,5.82137) 1.70029 1.58486 (0.760785,2.39665) (-0.125424,0.0362404) 0.170724 (1.15278,2.24955) (0.115344,0.0218061) 0.196677 (0,1.74185) (0,0) 0.3 (2.1,1.74185) (0,0) 0.3
1 (0.893037,1.89376) (0.00698289,0.607616) 0.156178 (0.900002,5.82137) 1.70029 1.5593 (0.729752,2.40676) (-0.124134,0.0404372) 0.170724 (1.1816,2.2551) (0.115266,0.022217) 0.196677 (0,1.89376) (0,0) 0.3 (2.1,1.89376) (0,0) 0.3
1.25 (0.897433,2.02784) (0.0175855,0.536358) 0.156178 (0.900002,5.82137) 1.70029 1.53802 (0.69903,2.41778) (-0.122888,0.0440789) 0.170724 (1.2104,2.26076) (0.115182,0.0226466) 0.196677 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.5 (0.90355,2.14965) (0.0244673,0.487204) 0.156178 (0.900002,5.82137) 1.70029 1.52062 (0.668637,2.42968) (-0.12157,0.047594) 0.170724 (1.23916,2.26657) (0.115068,0.0232218) 0.196677 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.75 (0.910621,2.26081) (0.0282846,0.444674) 0.156178 (0.900002,5.82137) 1.70029 1.50727 (0.63869,2.44266) (-0.119787,0.0519191) 0.170724 (1.26783,2.27285) (0.114671,0.0251074) 0.196677 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2 (0.936626,2.38367) (0.104022,0.491416) 0.156178 (0.900002,5.82137) 1.70029 1.3622 (0.610902,2.45978) (-0.111155,0.0684768) 0.170724 (1.28173,2.29869) (0.0556133,0.103378) 0.196677 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.25 (0.938615,2.63358) (0.00795512,0.999635) 0.156178 (0.900002,5.82137) 1.70029 1.56284 (0.600186,2.49061) (-0.0428626,0.123318) 0.170724 (1.29564,2.32453) (0.0556204,0.103374) 0.196677 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.5 (0.935593,2.88354) (-0.0120893,0.999871) 0.156178 (0.900002,5.82137) 1.70029 1.58289 (0.58947,2.52144) (-0.0428635,0.123317) 0.170724 (1.30954,2.35038) (0.0556257,0.103371) 0.196677 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
