timestamp position0 velocity0 radius0 goal pref_speed theta position1 velocity1 radius1 position2 velocity2 radius2 position3 velocity3 radius3 position4 velocity4 radius4 position5 velocity5 radius5
0 (1.13409,1.1801) (0,0) 0.210288 (0.900002,5.82137) 1.84862 0 (0.5536,2.2412) (0,0) 0.18425 (1.07454,2.21906) (0,0) 0.20537 (1.68999,2.24391) (0,0) 0.207787 (0,1.1801) (0,0) 0.3 (2.1,1.1801) (0,0) 0.3
0.25 (1.1215,1.42978) (-0.0503623,0.998744) 0.210288 (0.900002,5.82137) 1.84862 1.62118 (0.533053,2.30474) (-0.0821908,0.254165) 0.18425 (1.07286,2.25726) (-0.0066949,0.152829) 0.20537 (1.70231,2.29572) (0.0492954,0.207245) 0.207787 (0,1.42978) (0,0) 0.3 (2.1,1.42978) (0,0) 0.3
0.5 (1.15573,1.65586) (0.136939,0.904318) 0.210288 (0.900002,5.82137) 1.84862 1.42051 (0.512499,2.36828) (-0.0822145,0.254158) 0.18425 (1.03871,2.27447) (-0.136625,0.0688123) 0.20537 (1.71464,2.34753) (0.0493107,0.207241) 0.207787 (0,1.65586) (0,0) 0.3 (2.1,1.65586) (0,0) 0.3
0.75 (1.18529,1.82741) (0.118229,0.686183) 0.210288 (0.900002,5.82137) 1.84862 1.40017 (0.491947,2.43182) (-0.0822067,0.25416) 0.18425 (1.00579,2.29394) (-0.131667,0.0778804) 0.20537 (1.72697,2.39935) (0.0493,0.207244) 0.207787 (0,1.82741) (0,0) 0.3 (2.1,1.82741) (0,0) 0.3
1 (1.21071,1.96131) (0.101673,0.535618) 0.210288 (0.900002,5.82137) 1.84862 1.3832 (0.471394,2.49536) (-0.0822156,0.254157) 0.18425 (0.974543,2.31599) (-0.124985,0.0882064) 0.20537 (1.73929,2.45116) (0.0492979,0.207244) 0.207787 (0,1.96131) (0,0) 0.3 (2.1,1.96131) (0,0) 0.3
1.25 (1.23169,2.06437) (0.0839442,0.41221) 0.210288 (0.900002,5.82137) 1.84862 1.3699 (0.450841,2.5589) (-0.0822104,0.254159) 0.18425 (0.94686,2.34238) (-0.110732,0.105546) 0.20537 (1.75161,2.50297) (0.0492755,0.20725) 0.207787 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.5 (1.24614,2.13134) (0.0577788,0.267911) 0.210288 (0.900002,5.82137) 1.84862 1.35839 (0.430284,2.62244) (-0.0822278,0.254153) 0.18425 (0.91412,2.36214) (-0.13096,0.0790639) 0.20537 (1.76393,2.55478) (0.0492954,0.207245) 0.207787 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.75 (1.26073,2.20511) (0.0583714,0.295057) 0.210288 (0.900002,5.82137) 1.84862 1.37549 (0.409735,2.68598) (-0.0821945,0.254164) 0.18425 (0.888842,2.39084) (-0.101111,0.114797) 0.20537 (1.77626,2.60659) (0.0492941,0.207245) 0.207787 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2 (1.27872,2.30453) (0.0719465,0.397677) 0.210288 (0.900002,5.82137) 1.84862 1.39182 (0.389186,2.74952) (-0.0821973,0.254163) 0.18425 (0.874006,2.42609) (-0.0593461,0.140995) 0.20537 (1.78858,2.6584) (0.0492824,0.207248) 0.207787 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.25 (1.29983,2.54777) (0.0844566,0.972964) 0.210288 (0.900002,5.82137) 1.84862 1.48421 (0.368632,2.81306) (-0.0822144,0.254158) 0.18425 (0.859173,2.46134) (-0.0593327,0.141001) 0.20537 (1.8009,2.71021) (0.0492952,0.207245) 0.207787 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.5 (1.26951,2.79591) (-0.121281,0.992555) 0.210288 (0.900002,5.82137) 1.84862 1.69238 (0.348078,2.8766) (-0.0822172,0.254157) 0.18425 (0.844339,2.49659) (-0.0593359,0.140999) 0.20537 (1.81323,2.76202) (0.049324,0.207238) 0.207787 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.75 (1.23921,3.04406) (-0.121218,0.992611) 0.210288 (0.900002,5.82137) 1.84862 1.69232 (0.327539,2.94014) (-0.0821583,0.254176) 0.18425 (0.829505,2.53184) (-0.0593337,0.141) 0.20537 (1.82556,2.81384) (0.0492892,0.207246) 0.207787 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3 (1.2089,3.29222) (-0.121221,0.992639) 0.210288 (0.900002,5.82137) 1.84862 1.69231 (0.306985,3.00368) (-0.0822149,0.254158) 0.18425 (0.814671,2.56709) (-0.0593366,0.140999) 0.20537 (1.83787,2.86565) (0.0492765,0.207249) 0.207787 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3.25 (1.17858,3.54038) (-0.121295,0.99263) 0.210288 (0.900002,5.82137) 1.84862 1.69239 (0.286446,3.06722) (-0.0821559,0.254177) 0.18425 (0.799836,2.60234) (-0.0593407,0.140997) 0.20537 (1.8502,2.91746) (0.0492955,0.207245) 0.207787 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3.5 (1.14828,3.78855) (-0.121184,0.992686) 0.210288 (0.900002,5.82137) 1.84862 1.69227 (0.265893,3.13076) (-0.0822118,0.254159) 0.18425 (0.785001,2.63759) (-0.0593378,0.140999) 0.20537 (1.86252,2.96927) (0.049301,0.207244) 0.207787 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3.75 (1.11798,4.0367) (-0.121196,0.992622) 0.210288 (0.900002,5.82137) 1.84862 1.69229 (0.247857,3.18646) (-0.0721414,0.222781) 0.18425 (0.770167,2.67284) (-0.0593388,0.140998) 0.20537 (1.87485,3.02108) (0.0493097,0.207242) 0.207787 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
4 (1.08768,4.28486) (-0.121233,0.992634) 0.210288 (0.900002,5.82137) 1.84862 1.69233 (0.234354,3.22824) (-0.0540125,0.167115) 0.18425 (0.755333,2.70809) (-0.0593363,0.140999) 0.20537 (1.88718,3.07289) (0.049302,0.207243) 0.207787 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
4.25 (1.05738,4.533) (-0.12118,0.992553) 0.210288 (0.900002,5.82137) 1.84862 1.69228 (0.224211,3.25957) (-0.040574,0.125319) 0.18425 (0.740497,2.74334) (-0.0593442,0.140996) 0.20537 (1.8995,3.1247) (0.0492752,0.20725) 0.207787 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
4.5 (1.02707,4.78118) (-0.121255,0.992721) 0.210288 (0.900002,5.82137) 1.84862 1.69234 (0.215283,3.28447) (-0.0357107,0.0996095) 0.18425 (0.725664,2.77859) (-0.0593301,0.141002) 0.20537 (1.91182,3.17652) (0.0492968,0.207245) 0.207787 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
4.75 (0.996747,5.02935) (-0.121278,0.992674) 0.210288 (0.900002,5.82137) 1.84862 1.69237 (0.206034,3.30468) (-0.0369959,0.0808341) 0.18425 (0.710832,2.81384) (-0.0593272,0.141003) 0.20537 (1.92414,3.22833) (0.0492857,0.207247) 0.207787 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
5 (0.972571,5.22737) (-0.0967024,0.792097) 0.210288 (0.900002,5.82137) 1.84862 1.69228 (0.195883,3.32032) (-0.0406062,0.0625566) 0.18425 (0.695997,2.84909) (-0.0593427,0.140997) 0.20537 (1.93553,3.27616) (0.0455551,0.191335) 0.207787 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
