timestamp position0 velocity0 radius0 goal pref_speed theta position1 velocity1 radius1 position2 velocity2 radius2 position3 velocity3 radius3 position4 velocity4 radius4 position5 velocity5 radius5
0 (1.08395,1.2411) (0,0) 0.180932 (0.900002,5.82137) 1.911 0 (0.437511,2.30309) (0,0) 0.162841 (1.04467,2.35814) (0,0) 0.162683 (1.41503,2.2004) (0,0) 0.129933 (0,1.2411) (0,0) 0.3 (2.1,1.2411) (0,0) 0.3
0.25 (1.07391,1.4909) (-0.0401754,0.999202) 0.180932 (0.900002,5.82137) 1.911 1.61098 (0.425741,2.35383) (-0.0470824,0.202948) 0.162841 (1.02996,2.44168) (-0.0588233,0.334139) 0.162683 (1.44042,2.25622) (0.101559,0.223275) 0.129933 (0,1.4909) (0,0) 0.3 (2.1,1.4909) (0,0) 0.3
0.5 (1.08679,1.733) (0.0515544,0.968397) 0.180932 (0.900002,5.82137) 1.911 1.51761 (0.413972,2.40457) (-0.0470773,0.202949) 0.162841 (0.992252,2.51765) (-0.15084,0.303902) 0.162683 (1.46581,2.31204) (0.101554,0.223277) 0.129933 (0,1.733) (0,0) 0.3 (2.1,1.733) (0,0) 0.3
0.75 (1.10228,1.97352) (0.0619547,0.962086) 0.180932 (0.900002,5.82137) 1.911 1.50649 (0.402201,2.4553) (-0.0470822,0.202948) 0.162841 (0.950708,2.5916) (-0.166177,0.295794) 0.162683 (1.4912,2.36785) (0.101567,0.223271) 0.129933 (0,1.97352) (0,0) 0.3 (2.1,1.97352) (0,0) 0.3
1 (1.11757,2.21345) (0.0611443,0.95972) 0.180932 (0.900002,5.82137) 1.911 1.50717 (0.39043,2.50604) (-0.047085,0.202947) 0.162841 (0.909164,2.66555) (-0.166177,0.295794) 0.162683 (1.51659,2.42367) (0.101576,0.223267) 0.129933 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.25 (1.13262,2.45269) (0.0601942,0.956945) 0.180932 (0.900002,5.82137) 1.911 1.50798 (0.378659,2.55678) (-0.0470846,0.202947) 0.162841 (0.86762,2.7395) (-0.166177,0.295794) 0.162683 (1.54198,2.47949) (0.101553,0.223278) 0.129933 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.5 (1.1474,2.69115) (0.0591366,0.953855) 0.180932 (0.900002,5.82137) 1.911 1.50888 (0.366883,2.60751) (-0.047101,0.202943) 0.162841 (0.826076,2.81345) (-0.166177,0.295794) 0.162683 (1.56737,2.53531) (0.101575,0.223268) 0.129933 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.75 (1.16187,2.92869) (0.0578709,0.950159) 0.180932 (0.900002,5.82137) 1.911 1.50996 (0.355113,2.65825) (-0.0470799,0.202948) 0.162841 (0.784531,2.88739) (-0.166177,0.295794) 0.162683 (1.59277,2.59112) (0.101572,0.223269) 0.129933 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2 (1.13933,3.17768) (-0.0901604,0.995942) 0.180932 (0.900002,5.82137) 1.911 1.66108 (0.343336,2.70899) (-0.0471077,0.202942) 0.162841 (0.74385,2.96182) (-0.162727,0.297706) 0.162683 (1.61816,2.64694) (0.101567,0.223271) 0.129933 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.25 (1.11679,3.42664) (-0.0901521,0.995841) 0.180932 (0.900002,5.82137) 1.911 1.66108 (0.331564,2.75972) (-0.0470913,0.202946) 0.162841 (0.703169,3.03625) (-0.162722,0.297709) 0.162683 (1.64355,2.70276) (0.101575,0.223267) 0.129933 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.5 (1.09426,3.67562) (-0.0901442,0.995923) 0.180932 (0.900002,5.82137) 1.911 1.66106 (0.319792,2.81046) (-0.0470864,0.202947) 0.162841 (0.662491,3.11068) (-0.162711,0.297715) 0.162683 (1.66894,2.75858) (0.101559,0.223275) 0.129933 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.75 (1.07171,3.9246) (-0.0902011,0.995939) 0.180932 (0.900002,5.82137) 1.911 1.66112 (0.308021,2.8612) (-0.0470846,0.202947) 0.162841 (0.621808,3.1851) (-0.162734,0.297702) 0.162683 (1.69433,2.8144) (0.101559,0.223275) 0.129933 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3 (1.04914,4.17358) (-0.0902487,0.995897) 0.180932 (0.900002,5.82137) 1.911 1.66117 (0.29625,2.91193) (-0.0470818,0.202948) 0.162841 (0.581126,3.25953) (-0.162726,0.297706) 0.162683 (1.71972,2.87021) (0.101556,0.223276) 0.129933 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3.25 (1.02661,4.42255) (-0.0901322,0.995912) 0.180932 (0.900002,5.82137) 1.911 1.66105 (0.284485,2.96267) (-0.0470616,0.202952) 0.162841 (0.540449,3.33396) (-0.162711,0.297715) 0.162683 (1.74511,2.92604) (0.101545,0.223281) 0.129933 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3.5 (1.00407,4.67155) (-0.0901777,0.995997) 0.180932 (0.900002,5.82137) 1.911 1.66109 (0.272714,3.01341) (-0.0470832,0.202947) 0.162841 (0.49977,3.40839) (-0.162716,0.297712) 0.162683 (1.77051,2.98185) (0.101592,0.22326) 0.129933 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3.75 (0.981528,4.92056) (-0.0901488,0.996007) 0.180932 (0.900002,5.82137) 1.911 1.66106 (0.26095,3.06415) (-0.0470562,0.202954) 0.162841 (0.459083,3.48281) (-0.162748,0.297694) 0.162683 (1.79589,3.03767) (0.10155,0.223279) 0.129933 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
4 (0.961129,5.14575) (-0.081596,0.900786) 0.180932 (0.900002,5.82137) 1.911 1.66113 (0.249193,3.11489) (-0.0470298,0.20296) 0.162841 (0.426384,3.54303) (-0.130795,0.240889) 0.162683 (1.82129,3.09348) (0.101591,0.22326) 0.129933 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
4.25 (0.945854,5.31465) (-0.0610995,0.67559) 0.180932 (0.900002,5.82137) 1.911 1.66099 (0.237421,3.16562) (-0.0470887,0.202946) 0.162841 (0.39869,3.59614) (-0.110775,0.212443) 0.162683 (1.84668,3.1493) (0.101572,0.223269) 0.129933 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
