timestamp position0 velocity0 radius0 goal pref_speed theta position1 velocity1 radius1 position2 velocity2 radius2 position3 velocity3 radius3 position4 velocity4 radius4 position5 velocity5 radius5
0 (1.13302,1.26581) (0,0) 0.132878 (0.900002,5.82137) 1.7277 0 (0.534805,2.24699) (0,0) 0.210087 (1.08741,2.31849) (0,0) 0.209591 (1.49624,2.30314) (0,0) 0.197345 (0,1.26581) (0,0) 0.3 (2.1,1.26581) (0,0) 0.3
0.25 (1.12026,1.51547) (-0.0510523,0.998659) 0.132878 (0.900002,5.82137) 1.7277 1.62187 (0.508166,2.33343) (-0.106557,0.345752) 0.210087 (1.07541,2.38446) (-0.048013,0.263915) 0.209591 (1.51493,2.34723) (0.0747658,0.176355) 0.197345 (0,1.51547) (0,0) 0.3 (2.1,1.51547) (0,0) 0.3
0.5 (1.12829,1.7287) (0.0321165,0.852928) 0.132878 (0.900002,5.82137) 1.7277 1.53316 (0.481533,2.41987) (-0.106531,0.34576) 0.210087 (1.01308,2.38363) (-0.249326,-0.00334704) 0.209591 (1.53362,2.39132) (0.0747816,0.176348) 0.197345 (0,1.7287) (0,0) 0.3 (2.1,1.7287) (0,0) 0.3
0.75 (1.15086,1.96429) (0.0902883,0.942349) 0.132878 (0.900002,5.82137) 1.7277 1.47528 (0.454898,2.50631) (-0.106541,0.345757) 0.210087 (0.956308,2.41275) (-0.227089,0.11647) 0.209591 (1.55232,2.43541) (0.0747684,0.176354) 0.197345 (0,1.96429) (0,0) 0.3 (2.1,1.96429) (0,0) 0.3
1 (1.17309,2.199) (0.088929,0.938812) 0.132878 (0.900002,5.82137) 1.7277 1.47635 (0.428262,2.59275) (-0.106543,0.345757) 0.210087 (0.90489,2.4558) (-0.205668,0.172213) 0.209591 (1.57101,2.47949) (0.0747686,0.176354) 0.197345 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.25 (1.19493,2.43268) (0.0873694,0.934753) 0.132878 (0.900002,5.82137) 1.7277 1.4776 (0.401631,2.67919) (-0.106525,0.345762) 0.210087 (0.853473,2.49885) (-0.205668,0.172213) 0.209591 (1.5897,2.52358) (0.0747771,0.17635) 0.197345 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.5 (1.18191,2.68161) (-0.0521064,0.995714) 0.132878 (0.900002,5.82137) 1.7277 1.62308 (0.374993,2.76563) (-0.106552,0.345754) 0.210087 (0.827026,2.56048) (-0.10579,0.246506) 0.209591 (1.6084,2.56767) (0.0747756,0.176351) 0.197345 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.75 (1.15955,2.93061) (-0.0894208,0.995992) 0.132878 (0.900002,5.82137) 1.7277 1.66034 (0.348348,2.85206) (-0.106579,0.345746) 0.210087 (0.800579,2.6221) (-0.105786,0.246507) 0.209591 (1.62709,2.61176) (0.0747722,0.176352) 0.197345 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2 (1.1372,3.1796) (-0.0893926,0.995954) 0.132878 (0.900002,5.82137) 1.7277 1.66031 (0.321708,2.9385) (-0.106561,0.345751) 0.210087 (0.774138,2.68373) (-0.105767,0.246516) 0.209591 (1.64578,2.65584) (0.0747728,0.176352) 0.197345 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.25 (1.11485,3.42861) (-0.0893935,0.996049) 0.132878 (0.900002,5.82137) 1.7277 1.6603 (0.295082,3.02494) (-0.106503,0.345769) 0.210087 (0.747696,2.74536) (-0.105767,0.246516) 0.209591 (1.66448,2.69993) (0.074778,0.17635) 0.197345 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.5 (1.09248,3.6776) (-0.0895047,0.995963) 0.132878 (0.900002,5.82137) 1.7277 1.66042 (0.269752,3.10709) (-0.101322,0.328593) 0.210087 (0.721251,2.80699) (-0.105779,0.24651) 0.209591 (1.68317,2.74402) (0.0747785,0.176349) 0.197345 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.75 (1.07012,3.92659) (-0.0894486,0.995965) 0.132878 (0.900002,5.82137) 1.7277 1.66037 (0.245288,3.17778) (-0.0978553,0.282739) 0.210087 (0.694808,2.86862) (-0.105771,0.246514) 0.209591 (1.70186,2.78811) (0.0747728,0.176352) 0.197345 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3 (1.04776,4.17561) (-0.0894093,0.996068) 0.132878 (0.900002,5.82137) 1.7277 1.66032 (0.218012,3.23896) (-0.109105,0.244733) 0.210087 (0.668361,2.93025) (-0.10579,0.246506) 0.209591 (1.72056,2.8322) (0.0747673,0.176354) 0.197345 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
