timestamp position0 velocity0 radius0 goal pref_speed theta position1 velocity1 radius1 position2 velocity2 radius2 position3 velocity3 radius3 position4 velocity4 radius4
0 (0.925829,1.01467) (0,0) 0.138076 (0.900002,5.82137) 1.55139 0 (0.905659,2.2831) (0,0) 0.160294 (1.60564,2.28255) (0,0) 0.132545 (0,1.01467) (0,0) 0.3 (2.1,1.01467) (0,0) 0.3
0.25 (0.924488,1.26465) (-0.00536541,0.999949) 0.138076 (0.900002,5.82137) 1.55139 1.57616 (0.887121,2.31587) (-0.0741537,0.131106) 0.160294 (1.62349,2.34081) (0.0714311,0.233038) 0.132545 (0,1.26465) (0,0) 0.3 (2.1,1.26465) (0,0) 0.3
0.5 (0.92313,1.51465) (-0.0054298,0.999982) 0.138076 (0.900002,5.82137) 1.55139 1.57623 (0.868583,2.34865) (-0.0741498,0.131108) 0.160294 (1.64135,2.39907) (0.0714386,0.233036) 0.132545 (0,1.51465) (0,0) 0.3 (2.1,1.51465) (0,0) 0.3
0.75 (0.944566,1.75758) (0.0857427,0.971735) 0.138076 (0.900002,5.82137) 1.55139 1.48279 (0.832606,2.35977) (-0.143908,0.0444747) 0.160294 (1.65921,2.45733) (0.0714374,0.233036) 0.132545 (0,1.75758) (0,0) 0.3 (2.1,1.75758) (0,0) 0.3
1 (0.974954,1.99638) (0.121551,0.95519) 0.138076 (0.900002,5.82137) 1.55139 1.44422 (0.796921,2.37179) (-0.14274,0.0480924) 0.160294 (1.67707,2.51559) (0.0714327,0.233038) 0.132545 (0,1.99638) (0,0) 0.3 (2.1,1.99638) (0,0) 0.3
1.25 (1.01292,2.23026) (0.151872,0.935535) 0.138076 (0.900002,5.82137) 1.55139 1.40986 (0.761656,2.385) (-0.14106,0.0528181) 0.160294 (1.69493,2.57385) (0.0714258,0.23304) 0.132545 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.5 (1.0299,2.48519) (0.067907,1.01969) 0.138076 (0.900002,5.82137) 1.55139 1.5043 (0.739589,2.41551) (-0.0882676,0.122051) 0.160294 (1.71279,2.6321) (0.0714495,0.233032) 0.132545 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.75 (1.02018,2.73501) (-0.038888,0.999277) 0.138076 (0.900002,5.82137) 1.55139 1.60969 (0.723619,2.44961) (-0.0638809,0.136407) 0.160294 (1.73065,2.69036) (0.0714586,0.23303) 0.132545 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2 (1.01044,2.9848) (-0.0389571,0.999185) 0.138076 (0.900002,5.82137) 1.55139 1.60977 (0.707648,2.48371) (-0.063885,0.136405) 0.160294 (1.74851,2.74862) (0.0714272,0.233039) 0.132545 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.25 (1.00071,3.2346) (-0.0389041,0.999182) 0.138076 (0.900002,5.82137) 1.55139 1.60971 (0.691675,2.51781) (-0.06389,0.136403) 0.160294 (1.76637,2.80688) (0.0714268,0.233039) 0.132545 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.5 (0.990975,3.48443) (-0.0389421,0.999312) 0.138076 (0.900002,5.82137) 1.55139 1.60975 (0.675705,2.55191) (-0.0638818,0.136406) 0.160294 (1.78422,2.86514) (0.0714148,0.233043) 0.132545 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
