timestamp position0 velocity0 radius0 goal pref_speed theta position1 velocity1 radius1 position2 velocity2 radius2 position3 velocity3 radius3 position4 velocity4 radius4
0 (1.02729,1.22069) (0,0) 0.156702 (0.900002,5.82137) 1.75115 0 (0.344284,2.27663) (0,0) 0.132372 (1.20666,2.34757) (0,0) 0.201323 (0,1.22069) (0,0) 0.3 (2.1,1.22069) (0,0) 0.3
0.25 (1.02038,1.4706) (-0.0276687,0.999615) 0.156702 (0.900002,5.82137) 1.75115 1.59847 (0.341986,2.33275) (-0.00919218,0.224489) 0.132372 (1.22085,2.37075) (0.0567527,0.092753) 0.201323 (0,1.4706) (0,0) 0.3 (2.1,1.4706) (0,0) 0.3
0.5 (1.00376,1.71873) (-0.0664799,0.992523) 0.156702 (0.900002,5.82137) 1.75115 1.63768 (0.339688,2.38888) (-0.00919482,0.224489) 0.132372 (1.2476,2.37561) (0.10699,0.0194213) 0.201323 (0,1.71873) (0,0) 0.3 (2.1,1.71873) (0,0) 0.3
0.75 (0.98661,1.96668) (-0.0685876,0.991812) 0.156702 (0.900002,5.82137) 1.75115 1.63984 (0.337391,2.445) (-0.0091847,0.224489) 0.132372 (1.27434,2.3805) (0.106964,0.0195599) 0.201323 (0,1.96668) (0,0) 0.3 (2.1,1.96668) (0,0) 0.3
1 (0.969033,2.21439) (-0.0703071,0.990846) 0.156702 (0.900002,5.82137) 1.75115 1.64163 (0.335089,2.50112) (-0.00920965,0.224488) 0.132372 (1.30107,2.38543) (0.106934,0.0197257) 0.201323 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.25 (0.950732,2.46179) (-0.0732074,0.989601) 0.156702 (0.900002,5.82137) 1.75115 1.64464 (0.332786,2.55724) (-0.00921143,0.224488) 0.132372 (1.32779,2.39048) (0.106847,0.0201909) 0.201323 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.5 (0.946955,2.71176) (-0.0151067,0.999869) 0.156702 (0.900002,5.82137) 1.75115 1.5859 (0.330487,2.61336) (-0.00919558,0.224489) 0.132372 (1.34071,2.41439) (0.0517094,0.0956563) 0.201323 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.75 (0.943201,2.96174) (-0.0150174,0.999913) 0.156702 (0.900002,5.82137) 1.75115 1.58581 (0.328195,2.66949) (-0.00916757,0.22449) 0.132372 (1.35364,2.43831) (0.0517132,0.0956542) 0.201323 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2 (0.939449,3.21171) (-0.015008,0.9999) 0.156702 (0.900002,5.82137) 1.75115 1.5858 (0.325898,2.72561) (-0.00919089,0.224489) 0.132372 (1.36657,2.46222) (0.0517094,0.0956563) 0.201323 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.25 (0.93567,3.46169) (-0.0151135,0.999885) 0.156702 (0.900002,5.82137) 1.75115 1.58591 (0.323602,2.78173) (-0.00918225,0.224489) 0.132372 (1.3795,2.48613) (0.0517101,0.0956559) 0.201323 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.5 (0.931891,3.71166) (-0.0151158,0.999884) 0.156702 (0.900002,5.82137) 1.75115 1.58591 (0.321303,2.83785) (-0.00919601,0.224489) 0.132372 (1.39242,2.51005) (0.0517007,0.095661) 0.201323 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.75 (0.92812,3.96161) (-0.0150846,0.999818) 0.156702 (0.900002,5.82137) 1.75115 1.58588 (0.319005,2.89398) (-0.00919108,0.224489) 0.132372 (1.40535,2.53396) (0.0517077,0.0956572) 0.201323 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3 (0.924341,4.21158) (-0.0151174,0.999886) 0.156702 (0.900002,5.82137) 1.75115 1.58591 (0.316714,2.9501) (-0.00916428,0.22449) 0.132372 (1.41828,2.55788) (0.0517078,0.0956572) 0.201323 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3.25 (0.920557,4.46155) (-0.0151352,0.99987) 0.156702 (0.900002,5.82137) 1.75115 1.58593 (0.314418,3.00622) (-0.00918674,0.224489) 0.132372 (1.4312,2.58179) (0.0517003,0.0956612) 0.201323 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3.5 (0.916782,4.71151) (-0.015101,0.999849) 0.156702 (0.900002,5.82137) 1.75115 1.5859 (0.312112,3.06234) (-0.00922321,0.224487) 0.132372 (1.44413,2.60571) (0.0517118,0.095655) 0.201323 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3.75 (0.912982,4.96147) (-0.0151973,0.999833) 0.156702 (0.900002,5.82137) 1.75115 1.58599 (0.309808,3.11846) (-0.00921455,0.224488) 0.132372 (1.45705,2.62962) (0.0517036,0.0956594) 0.201323 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
4 (0.909749,5.17647) (-0.0129329,0.859976) 0.156702 (0.900002,5.82137) 1.75115 1.58583 (0.307514,3.17459) (-0.00917825,0.224489) 0.132372 (1.46998,2.65354) (0.0517102,0.0956558) 0.201323 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
4.25 (0.907313,5.33769) (-0.00974523,0.644913) 0.156702 (0.900002,5.82137) 1.75115 1.58591 (0.305685,3.21936) (-0.00731267,0.17908) 0.132372 (1.48291,2.67745) (0.0517049,0.0956587) 0.201323 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
