timestamp position0 velocity0 radius0 goal pref_speed theta position1 velocity1 radius1 position2 velocity2 radius2 position3 velocity3 radius3
0 (0,-1.98309) (0,0) 0.609538 (0,4.51121) 1.80456 0 (0,-0.825475) (0,0) 0.457595 (1.5,-2.48309) (0,0) 1 (-1.5,-0.983092) (0,0) 1
0.25 (-0.0241293,-2.01058) (-0.0965174,-0.10994) 0.609538 (0,4.51121) 1.80456 -2.29127 (1.68341e-06,-0.575466) (6.73365e-06,1.00004) 0.457595 (1.5611,-2.40157) (0.244414,0.326093) 1 (-1.5,-0.979777) (9.03769e-07,0.0132581) 1
0.5 (-0.00714586,-2.00411) (0.0679339,0.0258755) 0.609538 (0,4.51121) 1.80456 0.363927 (1.46396e-05,-0.325459) (5.18248e-05,1.00003) 0.457595 (1.58486,-2.3025) (0.0950358,0.396287) 1 (-1.5,-0.976463) (-6.08334e-07,0.0132581) 1
0.75 (0.0119419,-1.96888) (0.0763509,0.140914) 0.609538 (0,4.51121) 1.80456 1.07425 (-6.46764e-07,-0.0754698) (-6.11455e-05,0.999957) 0.457595 (1.60862,-2.20342) (0.0950359,0.396287) 1 (-1.5,-0.973148) (6.83318e-07,0.0132581) 1
1 (0.0361442,-1.86375) (0.0968094,0.420526) 0.609538 (0,4.51121) 1.80456 1.34453 (-1.77361e-05,0.174527) (-6.83573e-05,0.999986) 0.457595 (1.63238,-2.10435) (0.0950359,0.396287) 1 (-1.5,-0.969834) (-7.72642e-07,0.0132581) 1
1.25 (0.0615428,-1.66055) (0.101594,0.812773) 0.609538 (0,4.51121) 1.80456 1.44644 (-2.99717e-05,0.42452) (-4.89424e-05,0.999974) 0.457595 (1.65569,-2.00517) (0.0932319,0.396715) 1 (-1.5,-0.966519) (-9.69548e-07,0.0132581) 1
1.5 (0.0852152,-1.41255) (0.0946895,0.992018) 0.609538 (0,4.51121) 1.80456 1.47563 (-3.60774e-05,0.674519) (-2.44226e-05,0.999996) 0.457595 (1.66058,-1.90341) (0.0195525,0.407054) 1 (-1.5,-0.963205) (3.97461e-07,0.0132581) 1
1.75 (0.104516,-1.16397) (0.0772034,0.994312) 0.609538 (0,4.51121) 1.80456 1.49331 (-5.16377e-05,0.924504) (-6.22414e-05,0.99994) 0.457595 (1.65803,-1.80156) (-0.0101959,0.407395) 1 (-1.5,-0.95989) (-8.58633e-07,0.0132581) 1
2 (0.117577,-0.914512) (0.0522433,0.997841) 0.609538 (0,4.51121) 1.80456 1.51849 (-5.99921e-05,1.17451) (-3.34176e-05,1) 0.457595 (1.65548,-1.69971) (-0.0102042,0.407395) 1 (-1.5,-0.956576) (-1.32914e-07,0.0132581) 1
2.25 (0.112157,-0.664554) (-0.0216784,0.999834) 0.609538 (0,4.51121) 1.80456 1.59247 (-7.85245e-05,1.4245) (-7.41295e-05,0.999982) 0.457595 (1.65293,-1.59786) (-0.0101963,0.407395) 1 (-1.5,-0.953261) (-8.48589e-07,0.0132581) 1
2.5 (0.106756,-0.41462) (-0.0216048,0.999733) 0.609538 (0,4.51121) 1.80456 1.5924 (-6.64625e-05,1.67449) (4.82481e-05,0.999952) 0.457595 (1.65038,-1.49602) (-0.0101974,0.407395) 1 (-1.5,-0.949947) (2.70535e-07,0.0132581) 1
2.75 (0.101339,-0.164679) (-0.0216679,0.999765) 0.609538 (0,4.51121) 1.80456 1.59247 (-5.42715e-05,1.92449) (4.87638e-05,0.999989) 0.457595 (1.64783,-1.39417) (-0.0101913,0.407396) 1 (-1.5,-0.946632) (6.43322e-07,0.0132581) 1
3 (0.0959297,0.0852694) (-0.0216378,0.999794) 0.609538 (0,4.51121) 1.80456 1.59244 (-5.22368e-05,2.17448) (8.13868e-06,0.999958) 0.457595 (1.64529,-1.29232) (-0.0101736,0.407396) 1 (-1.5,-0.943318) (4.74447e-07,0.0132581) 1
3.25 (0.0905082,0.335217) (-0.021686,0.99979) 0.609538 (0,4.51121) 1.80456 1.59248 (-4.62431e-05,2.42447) (2.3975e-05,0.999966) 0.457595 (1.64274,-1.19047) (-0.0101999,0.407395) 1 (-1.5,-0.940003) (-5.75999e-07,0.0132581) 1
3.5 (0.0850919,0.585161) (-0.021665,0.999776) 0.609538 (0,4.51121) 1.80456 1.59246 (-1.93679e-05,2.67446) (0.000107501,0.999986) 0.457595 (1.64018,-1.08862) (-0.0102137,0.407395) 1 (-1.5,-0.936689) (7.36053e-08,0.0132581) 1
3.75 (0.0796756,0.835103) (-0.0216655,0.99977) 0.609538 (0,4.51121) 1.80456 1.59246 (-9.8087e-06,2.92447) (3.82368e-05,1.00004) 0.457595 (1.63763,-0.986771) (-0.0102243,0.407395) 1 (-1.5,-0.933374) (-4.84752e-07,0.0132581) 1
4 (0.0742539,1.08504) (-0.0216867,0.99974) 0.609538 (0,4.51121) 1.80456 1.59249 (1.06606e-05,3.17448) (8.18773e-05,1.00003) 0.457595 (1.63509,-0.884922) (-0.0101687,0.407396) 1 (-1.5,-0.93006) (8.31718e-07,0.0132581) 1
4.25 (0.0688438,1.33499) (-0.0216401,0.999816) 0.609538 (0,4.51121) 1.80456 1.59244 (2.83589e-05,3.42448) (7.0793e-05,1.00002) 0.457595 (1.63253,-0.783074) (-0.0102335,0.407395) 1 (-1.5,-0.926745) (-1.95445e-07,0.0132581) 1
4.5 (0.0634181,1.58493) (-0.021703,0.999745) 0.609538 (0,4.51121) 1.80456 1.5925 (2.68179e-05,3.67447) (-6.16382e-06,0.999951) 0.457595 (1.62998,-0.681225) (-0.0101822,0.407396) 1 (-1.5,-0.923431) (-8.70229e-07,0.0132581) 1
