timestamp position0 velocity0 radius0 goal pref_speed theta position1 velocity1 radius1 position2 velocity2 radius2 position3 velocity3 radius3 position4 velocity4 radius4
0 (1.09087,1.01707) (0,0) 0.191478 (0.900002,5.82137) 1.64108 0 (0.763073,2.22983) (0,0) 0.152343 (1.50071,2.2401) (0,0) 0.161506 (0,1.01707) (0,0) 0.3 (2.1,1.01707) (0,0) 0.3
0.25 (1.08094,1.2669) (-0.0397123,0.999295) 0.191478 (0.900002,5.82137) 1.64108 1.61052 (0.727575,2.31601) (-0.141992,0.344724) 0.152343 (1.53462,2.33208) (0.135612,0.367918) 0.161506 (0,1.2669) (0,0) 0.3 (2.1,1.2669) (0,0) 0.3
0.5 (1.07101,1.51669) (-0.0397025,0.999178) 0.191478 (0.900002,5.82137) 1.64108 1.61051 (0.692077,2.40219) (-0.141991,0.344725) 0.152343 (1.56853,2.42405) (0.135633,0.367911) 0.161506 (0,1.51669) (0,0) 0.3 (2.1,1.51669) (0,0) 0.3
0.75 (1.06107,1.76651) (-0.0397636,0.999282) 0.191478 (0.900002,5.82137) 1.64108 1.61057 (0.656583,2.48837) (-0.141977,0.34473) 0.152343 (1.60244,2.51603) (0.135647,0.367906) 0.161506 (0,1.76651) (0,0) 0.3 (2.1,1.76651) (0,0) 0.3
1 (1.05113,2.01631) (-0.0397821,0.9992) 0.191478 (0.900002,5.82137) 1.64108 1.61059 (0.621085,2.57456) (-0.141993,0.344724) 0.152343 (1.63634,2.60801) (0.135627,0.367913) 0.161506 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.25 (1.04121,2.26612) (-0.0396743,0.99923) 0.191478 (0.900002,5.82137) 1.64108 1.61048 (0.585588,2.66074) (-0.141988,0.344726) 0.152343 (1.67026,2.69998) (0.135665,0.367899) 0.161506 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.5 (1.03128,2.51592) (-0.0397155,0.999192) 0.191478 (0.900002,5.82137) 1.64108 1.61052 (0.550092,2.74692) (-0.141981,0.344729) 0.152343 (1.70417,2.79196) (0.135639,0.367908) 0.161506 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.75 (1.02135,2.76574) (-0.039728,0.999291) 0.191478 (0.900002,5.82137) 1.64108 1.61053 (0.514598,2.8331) (-0.141979,0.344729) 0.152343 (1.73807,2.88394) (0.135616,0.367917) 0.161506 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2 (1.01143,3.01553) (-0.0396651,0.999174) 0.191478 (0.900002,5.82137) 1.64108 1.61047 (0.479092,2.91928) (-0.142021,0.344712) 0.152343 (1.77198,2.97592) (0.135644,0.367906) 0.161506 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.25 (1.0015,3.26532) (-0.0397345,0.999132) 0.191478 (0.900002,5.82137) 1.64108 1.61054 (0.443585,3.00546) (-0.142031,0.344708) 0.152343 (1.80589,3.06789) (0.135643,0.367907) 0.161506 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.5 (0.991576,3.51512) (-0.0396876,0.999213) 0.191478 (0.900002,5.82137) 1.64108 1.61049 (0.408081,3.09163) (-0.142016,0.344714) 0.152343 (1.83981,3.15987) (0.135653,0.367903) 0.161506 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.75 (0.981658,3.76491) (-0.0396746,0.999182) 0.191478 (0.900002,5.82137) 1.64108 1.61048 (0.38113,3.15713) (-0.107801,0.261976) 0.152343 (1.87372,3.25185) (0.135636,0.367909) 0.161506 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3 (0.971739,4.01472) (-0.0396723,0.999226) 0.191478 (0.900002,5.82137) 1.64108 1.61048 (0.360915,3.20623) (-0.08086,0.196407) 0.152343 (1.90763,3.34382) (0.135645,0.367906) 0.161506 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3.25 (0.961807,4.26454) (-0.0397293,0.999277) 0.191478 (0.900002,5.82137) 1.64108 1.61053 (0.345729,3.24307) (-0.0607442,0.147366) 0.152343 (1.94153,3.4358) (0.135597,0.367924) 0.161506 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3.5 (0.95189,4.51434) (-0.0396675,0.999206) 0.191478 (0.900002,5.82137) 1.64108 1.61047 (0.334363,3.27071) (-0.045464,0.11057) 0.152343 (1.96768,3.50668) (0.104617,0.283513) 0.161506 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3.75 (0.941971,4.76416) (-0.0396788,0.999273) 0.191478 (0.900002,5.82137) 1.64108 1.61048 (0.325826,3.29145) (-0.0341495,0.0829441) 0.152343 (1.98728,3.55986) (0.0783829,0.212736) 0.161506 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
4 (0.932039,5.01398) (-0.0397261,0.999284) 0.191478 (0.900002,5.82137) 1.64108 1.61053 (0.319408,3.307) (-0.0256709,0.0622052) 0.152343 (2.00198,3.59974) (0.0587951,0.159481) 0.161506 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
4.25 (0.924052,5.21584) (-0.0319487,0.807437) 0.191478 (0.900002,5.82137) 1.64108 1.61034 (0.314596,3.31866) (-0.0192496,0.0466498) 0.152343 (2.01301,3.62964) (0.0441426,0.119628) 0.161506 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
4.5 (0.918056,5.36721) (-0.0239833,0.60548) 0.191478 (0.900002,5.82137) 1.64108 1.61039 (0.311014,3.3274) (-0.0143255,0.0349492) 0.152343 (2.02128,3.65207) (0.0330749,0.0897196) 0.161506 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
