timestamp position0 velocity0 radius0 goal pref_speed theta position1 velocity1 radius1 position2 velocity2 radius2 position3 velocity3 radius3 position4 velocity4 radius4
0 (1.08391,1.04519) (0,0) 0.179669 (0.900002,5.82137) 1.82255 0 (0.920188,2.398) (0,0) 0.144989 (1.14752,2.25314) (0,0) 0.134557 (0,1.04519) (0,0) 0.3 (2.1,1.04519) (0,0) 0.3
0.25 (1.07429,1.29499) (-0.0384566,0.999191) 0.179669 (0.900002,5.82137) 1.82255 1.60927 (0.868222,2.47809) (-0.207863,0.320379) 0.144989 (1.1899,2.31037) (0.169553,0.228911) 0.134557 (0,1.29499) (0,0) 0.3 (2.1,1.29499) (0,0) 0.3
0.5 (1.06467,1.54478) (-0.0384848,0.999175) 0.179669 (0.900002,5.82137) 1.82255 1.60929 (0.816251,2.55819) (-0.207885,0.320365) 0.144989 (1.22689,2.37123) (0.147926,0.243447) 0.134557 (0,1.54478) (0,0) 0.3 (2.1,1.54478) (0,0) 0.3
0.75 (1.05504,1.7946) (-0.0385318,0.999299) 0.179669 (0.900002,5.82137) 1.82255 1.60934 (0.764279,2.63828) (-0.207888,0.320363) 0.144989 (1.26387,2.43209) (0.147932,0.243443) 0.134557 (0,1.7946) (0,0) 0.3 (2.1,1.7946) (0,0) 0.3
1 (1.04541,2.04443) (-0.0385059,0.999312) 0.179669 (0.900002,5.82137) 1.82255 1.60931 (0.712316,2.71837) (-0.20785,0.320388) 0.144989 (1.30085,2.49295) (0.147937,0.24344) 0.134557 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.25 (1.03582,2.29425) (-0.0383836,0.999268) 0.179669 (0.900002,5.82137) 1.82255 1.60919 (0.660351,2.79847) (-0.207858,0.320382) 0.144989 (1.33784,2.55381) (0.14795,0.243432) 0.134557 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.5 (1.02619,2.54404) (-0.0385045,0.999179) 0.179669 (0.900002,5.82137) 1.82255 1.60931 (0.608394,2.87857) (-0.207828,0.320402) 0.144989 (1.37482,2.61467) (0.147926,0.243447) 0.134557 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.75 (1.01657,2.79386) (-0.0384748,0.99926) 0.179669 (0.900002,5.82137) 1.82255 1.60928 (0.556427,2.95866) (-0.20787,0.320375) 0.144989 (1.41181,2.67553) (0.147935,0.243442) 0.134557 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2 (1.00695,3.04368) (-0.0384732,0.999269) 0.179669 (0.900002,5.82137) 1.82255 1.60928 (0.504452,3.03875) (-0.2079,0.320355) 0.144989 (1.44879,2.7364) (0.147922,0.243449) 0.134557 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.25 (0.997335,3.29349) (-0.038474,0.999238) 0.179669 (0.900002,5.82137) 1.82255 1.60928 (0.453391,3.11747) (-0.204244,0.314854) 0.144989 (1.48577,2.79726) (0.147927,0.243446) 0.134557 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.5 (0.987695,3.54331) (-0.03856,0.999286) 0.179669 (0.900002,5.82137) 1.82255 1.60936 (0.415081,3.17649) (-0.153242,0.236111) 0.144989 (1.52275,2.85812) (0.147939,0.243439) 0.134557 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.75 (0.978078,3.79313) (-0.038466,0.999292) 0.179669 (0.900002,5.82137) 1.82255 1.60927 (0.386362,3.22077) (-0.114874,0.177117) 0.144989 (1.55973,2.91898) (0.14791,0.243456) 0.134557 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3 (0.968458,4.04296) (-0.0384821,0.999314) 0.179669 (0.900002,5.82137) 1.82255 1.60929 (0.364839,3.25398) (-0.0860939,0.132845) 0.144989 (1.59671,2.97985) (0.147906,0.243459) 0.134557 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3.25 (0.958851,4.2928) (-0.038427,0.99935) 0.179669 (0.900002,5.82137) 1.82255 1.60923 (0.348698,3.27889) (-0.0645635,0.0996327) 0.144989 (1.63369,3.04071) (0.147932,0.243443) 0.134557 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3.5 (0.949247,4.54263) (-0.0384148,0.999328) 0.179669 (0.900002,5.82137) 1.82255 1.60922 (0.336578,3.29758) (-0.0484791,0.0747331) 0.144989 (1.67067,3.10157) (0.147925,0.243448) 0.134557 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3.75 (0.939619,4.79245) (-0.0385151,0.999281) 0.179669 (0.900002,5.82137) 1.82255 1.60932 (0.327487,3.31159) (-0.0363647,0.0560716) 0.144989 (1.70765,3.16243) (0.147926,0.243447) 0.134557 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
4 (0.93,5.04226) (-0.0384729,0.999252) 0.179669 (0.900002,5.82137) 1.82255 1.60928 (0.320669,3.32209) (-0.0272713,0.0419842) 0.144989 (1.74464,3.22329) (0.147949,0.243433) 0.134557 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
4.25 (0.922501,5.23704) (-0.0299977,0.779106) 0.179669 (0.900002,5.82137) 1.82255 1.60928 (0.315561,3.32996) (-0.0204331,0.0314908) 0.144989 (1.78162,3.28415) (0.14794,0.243439) 0.134557 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
