timestamp position0 velocity0 radius0 goal pref_speed theta position1 velocity1 radius1 position2 velocity2 radius2 position3 velocity3 radius3
0 (0,-1.62094) (0,0) 0.448309 (0,4.51121) 1.88336 0 (0,-1.14062) (0,0) 0.428929 (1.5,-2.12094) (0,0) 1 (-1.5,-0.62094) (0,0) 1
0.25 (-0.0626526,-1.8194) (-0.25061,-0.793835) 0.448309 (0,4.51121) 1.88336 -1.87659 (0.0735793,-0.916134) (0.294317,0.897945) 0.428929 (1.56576,-2.00374) (0.263031,0.468821) 1 (-1.5,-0.580288) (4.65313e-06,0.162609) 1
0.5 (-0.048867,-1.89117) (0.0551424,-0.287093) 0.448309 (0,4.51121) 1.88336 -1.38104 (0.0776468,-0.664114) (0.0162697,1.00808) 0.428929 (1.57152,-1.86947) (0.0230616,0.537072) 1 (-1.5,-0.539636) (-1.03385e-06,0.162609) 1
0.75 (-0.0248029,-1.88746) (0.0962562,0.0148345) 0.448309 (0,4.51121) 1.88336 0.152912 (0.0738846,-0.414154) (-0.0150486,0.999838) 0.428929 (1.57002,-1.73508) (-0.00600915,0.537533) 1 (-1.5,-0.498983) (8.15327e-06,0.162609) 1
1 (-0.00270405,-1.83659) (0.0883955,0.2035) 0.448309 (0,4.51121) 1.88336 1.16101 (0.0701227,-0.164182) (-0.0150475,0.999888) 0.428929 (1.56851,-1.6007) (-0.00605123,0.537533) 1 (-1.5,-0.458331) (-9.77096e-07,0.162609) 1
1.25 (0.0143766,-1.75449) (0.0683225,0.328413) 0.448309 (0,4.51121) 1.88336 1.36568 (0.0663751,0.0857909) (-0.0149904,0.999893) 0.428929 (1.56701,-1.46632) (-0.00600362,0.537533) 1 (-1.5,-0.417679) (1.04967e-06,0.162609) 1
1.5 (0.0250892,-1.65058) (0.0428506,0.415642) 0.448309 (0,4.51121) 1.88336 1.46806 (0.0626293,0.335766) (-0.0149834,0.999902) 0.428929 (1.5655,-1.33193) (-0.00604182,0.537533) 1 (-1.5,-0.377026) (-8.95886e-06,0.162609) 1
1.75 (0.0286054,-1.52986) (0.0140646,0.482865) 0.448309 (0,4.51121) 1.88336 1.54168 (0.0588687,0.585748) (-0.0150421,0.999928) 0.428929 (1.56399,-1.19755) (-0.00603249,0.537533) 1 (-1.5,-0.336374) (-7.80468e-06,0.162609) 1
2 (0.0264459,-1.38868) (-0.00863788,0.564726) 0.448309 (0,4.51121) 1.88336 1.58609 (0.055132,0.835704) (-0.0149471,0.999821) 0.428929 (1.56248,-1.06317) (-0.00601993,0.537533) 1 (-1.5,-0.295722) (7.8274e-06,0.162609) 1
2.25 (0.0163419,-1.15944) (-0.0404161,0.916967) 0.448309 (0,4.51121) 1.88336 1.61484 (0.0513702,1.08566) (-0.0150472,0.999824) 0.428929 (1.56097,-0.928784) (-0.0060389,0.537533) 1 (-1.5,-0.255069) (-4.20183e-06,0.162609) 1
2.5 (0.0156202,-0.90944) (-0.00288686,0.999982) 0.448309 (0,4.51121) 1.88336 1.57368 (0.0476173,1.33565) (-0.0150117,0.999952) 0.428929 (1.55947,-0.794401) (-0.00601476,0.537533) 1 (-1.5,-0.214417) (6.0558e-06,0.162609) 1
2.75 (0.0149228,-0.65944) (-0.00278957,0.999999) 0.448309 (0,4.51121) 1.88336 1.57359 (0.0438594,1.58563) (-0.0150313,0.999922) 0.428929 (1.55796,-0.660017) (-0.00603299,0.537533) 1 (-1.5,-0.173765) (-3.49437e-06,0.162609) 1
3 (0.0142125,-0.40943) (-0.002841,1.00004) 0.448309 (0,4.51121) 1.88336 1.57364 (0.0401229,1.8356) (-0.0149463,0.999901) 0.428929 (1.55645,-0.525634) (-0.0060309,0.537533) 1 (-1.5,-0.133112) (3.8596e-07,0.162609) 1
3.25 (0.0135103,-0.15943) (-0.00280906,1) 0.448309 (0,4.51121) 1.88336 1.57361 (0.0363676,2.08557) (-0.0150209,0.999877) 0.428929 (1.55494,-0.391251) (-0.00603958,0.537533) 1 (-1.5,-0.0924599) (-1.16618e-05,0.162609) 1
3.5 (0.0127903,0.0905645) (-0.00287991,0.999976) 0.448309 (0,4.51121) 1.88336 1.57368 (0.0326107,2.33555) (-0.0150278,0.999896) 0.428929 (1.55344,-0.256868) (-0.00602062,0.537533) 1 (-1.5,-0.0518075) (2.79399e-06,0.162609) 1
3.75 (0.0120721,0.340554) (-0.00287259,0.999959) 0.448309 (0,4.51121) 1.88336 1.57367 (0.0288678,2.58551) (-0.0149715,0.999863) 0.428929 (1.55194,-0.122484) (-0.00601627,0.537533) 1 (-1.5,-0.0111552) (8.83449e-06,0.162609) 1
4 (0.0113406,0.590562) (-0.00292603,1.00003) 0.448309 (0,4.51121) 1.88336 1.57372 (0.0251041,2.83547) (-0.0150547,0.99982) 0.428929 (1.55043,0.011899) (-0.00602699,0.537533) 1 (-1.5,0.0294972) (-9.1356e-06,0.162609) 1
4.25 (0.0106173,0.840539) (-0.00289345,0.999909) 0.448309 (0,4.51121) 1.88336 1.57369 (0.0213611,3.08544) (-0.0149721,0.999896) 0.428929 (1.54892,0.146282) (-0.00604785,0.537533) 1 (-1.5,0.0701495) (-9.28245e-06,0.162609) 1
4.5 (0.00989463,1.09054) (-0.00289057,0.999996) 0.448309 (0,4.51121) 1.88336 1.57369 (0.0176203,3.33541) (-0.0149633,0.999879) 0.428929 (1.54742,0.280666) (-0.0059965,0.537534) 1 (-1.5,0.110802) (-1.96197e-06,0.162609) 1
4.75 (0.00915385,1.34053) (-0.00296313,0.999951) 0.448309 (0,4.51121) 1.88336 1.57376 (0.0138826,3.58537) (-0.0149506,0.999831) 0.428929 (1.54591,0.415049) (-0.00602946,0.537533) 1 (-1.50001,0.151454) (-4.92826e-06,0.162609) 1
5 (0.00842794,1.59052) (-0.00290363,0.999968) 0.448309 (0,4.51121) 1.88336 1.5737 (0.0104195,3.81682) (-0.0138525,0.925809) 0.428929 (1.54441,0.549432) (-0.00601183,0.537533) 1 (-1.50001,0.192107) (2.02845e-06,0.162609) 1
