timestamp position0 velocity0 radius0 goal pref_speed theta position1 velocity1 radius1 position2 velocity2 radius2 position3 velocity3 radius3 position4 velocity4 radius4
0 (1.0495,1.2481) (0,0) 0.218571 (0.900002,5.82137) 1.92962 0 (0.321203,2.22791) (0,0) 0.142677 (1.07676,2.34715) (0,0) 0.177922 (0,1.2481) (0,0) 0.3 (2.1,1.2481) (0,0) 0.3
0.25 (1.04133,1.49796) (-0.0326755,0.999431) 0.218571 (0.900002,5.82137) 1.92962 1.60348 (0.320263,2.27829) (-0.00375977,0.20154) 0.142677 (1.13288,2.42659) (0.224472,0.317788) 0.177922 (0,1.49796) (0,0) 0.3 (2.1,1.49796) (0,0) 0.3
0.5 (1.03317,1.74781) (-0.0326364,0.99942) 0.218571 (0.900002,5.82137) 1.92962 1.60344 (0.319325,2.32868) (-0.00375231,0.20154) 0.142677 (1.189,2.50604) (0.22448,0.317782) 0.177922 (0,1.74781) (0,0) 0.3 (2.1,1.74781) (0,0) 0.3
0.75 (1.025,1.99768) (-0.032688,0.999486) 0.218571 (0.900002,5.82137) 1.92962 1.60349 (0.318388,2.37906) (-0.00374892,0.20154) 0.142677 (1.24512,2.58549) (0.224483,0.31778) 0.177922 (0,1.99768) (0,0) 0.3 (2.1,1.99768) (0,0) 0.3
1 (1.01684,2.24755) (-0.0326438,0.999469) 0.218571 (0.900002,5.82137) 1.92962 1.60345 (0.317447,2.42945) (-0.00376288,0.20154) 0.142677 (1.30124,2.66493) (0.224461,0.317795) 0.177922 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.25 (1.00868,2.49743) (-0.0326163,0.999537) 0.218571 (0.900002,5.82137) 1.92962 1.60342 (0.316504,2.47983) (-0.00377027,0.20154) 0.142677 (1.35735,2.74438) (0.224461,0.317795) 0.177922 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.5 (1.00052,2.7473) (-0.0326399,0.999472) 0.218571 (0.900002,5.82137) 1.92962 1.60344 (0.315568,2.53022) (-0.00374452,0.20154) 0.142677 (1.41348,2.82383) (0.224495,0.317771) 0.177922 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.75 (0.992362,2.99717) (-0.0326538,0.999486) 0.218571 (0.900002,5.82137) 1.92962 1.60346 (0.314623,2.5806) (-0.00378078,0.20154) 0.142677 (1.4696,2.90327) (0.22448,0.317782) 0.177922 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2 (0.984194,3.24704) (-0.0326718,0.999479) 0.218571 (0.900002,5.82137) 1.92962 1.60347 (0.313681,2.63099) (-0.00376703,0.20154) 0.142677 (1.52571,2.98272) (0.224475,0.317785) 0.177922 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.25 (0.976017,3.49692) (-0.0327071,0.999509) 0.218571 (0.900002,5.82137) 1.92962 1.60351 (0.312739,2.68137) (-0.00376907,0.20154) 0.142677 (1.58184,3.06216) (0.224492,0.317773) 0.177922 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.5 (0.967843,3.74678) (-0.0326956,0.999446) 0.218571 (0.900002,5.82137) 1.92962 1.6035 (0.311793,2.73176) (-0.00378302,0.20154) 0.142677 (1.63796,3.1416) (0.224489,0.317776) 0.177922 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.75 (0.959662,3.99663) (-0.0327231,0.9994) 0.218571 (0.900002,5.82137) 1.92962 1.60353 (0.310854,2.78214) (-0.00375754,0.20154) 0.142677 (1.69409,3.22104) (0.224516,0.317756) 0.177922 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3 (0.95149,4.24648) (-0.0326876,0.999383) 0.218571 (0.900002,5.82137) 1.92962 1.60349 (0.30991,2.83253) (-0.00377556,0.20154) 0.142677 (1.75021,3.30049) (0.224474,0.317786) 0.177922 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3.25 (0.943322,4.49634) (-0.0326733,0.999456) 0.218571 (0.900002,5.82137) 1.92962 1.60348 (0.308966,2.88291) (-0.00377627,0.20154) 0.142677 (1.80633,3.37993) (0.224495,0.317771) 0.177922 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3.5 (0.935157,4.74621) (-0.0326599,0.999477) 0.218571 (0.900002,5.82137) 1.92962 1.60346 (0.308025,2.9333) (-0.0037647,0.20154) 0.142677 (1.86245,3.45938) (0.224464,0.317793) 0.177922 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3.75 (0.926983,4.99608) (-0.0326967,0.999452) 0.218571 (0.900002,5.82137) 1.92962 1.6035 (0.307092,2.98368) (-0.00373056,0.201541) 0.142677 (1.90836,3.52437) (0.18364,0.259961) 0.177922 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
4 (0.920251,5.20239) (-0.0269262,0.825251) 0.218571 (0.900002,5.82137) 1.92962 1.60341 (0.306152,3.03407) (-0.00376146,0.20154) 0.142677 (1.94279,3.57314) (0.137752,0.195062) 0.177922 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
