timestamp position0 velocity0 radius0 goal pref_speed theta position1 velocity1 radius1 position2 velocity2 radius2 position3 velocity3 radius3 position4 velocity4 radius4 position5 velocity5 radius5 position6 velocity6 radius6
0 (1.13222,1.31236) (0,0) 0.158369 (0.900002,5.82137) 1.84335 0 (0.56414,2.20379) (0,0) 0.145306 (0.855933,2.35402) (0,0) 0.17513 (1.64548,2.37453) (0,0) 0.212114 (1.66035,2.26103) (0,0) 0.138228 (0,1.31236) (0,0) 0.3 (2.1,1.31236) (0,0) 0.3
0.25 (1.11937,1.56203) (-0.0514074,0.998692) 0.158369 (0.900002,5.82137) 1.84335 1.62223 (0.545343,2.24072) (-0.0751901,0.147735) 0.145306 (0.820239,2.42292) (-0.142773,0.275608) 0.17513 (1.63604,2.44651) (-0.0377351,0.287908) 0.212114 (1.60493,2.22243) (-0.221696,-0.154398) 0.138228 (0,1.56203) (0,0) 0.3 (2.1,1.56203) (0,0) 0.3
0.5 (1.1065,1.8117) (-0.051475,0.998677) 0.158369 (0.900002,5.82137) 1.84335 1.62229 (0.53105,2.27962) (-0.0571718,0.155597) 0.145306 (0.783359,2.4912) (-0.147521,0.273096) 0.17513 (1.6516,2.51742) (0.0622233,0.283625) 0.212114 (1.58821,2.17136) (-0.0668635,-0.204276) 0.138228 (0,1.8117) (0,0) 0.3 (2.1,1.8117) (0,0) 0.3
0.75 (1.09364,2.06138) (-0.0514099,0.998716) 0.158369 (0.900002,5.82137) 1.84335 1.62223 (0.51676,2.31852) (-0.0571596,0.155602) 0.145306 (0.74648,2.55947) (-0.147517,0.273098) 0.17513 (1.66715,2.58832) (0.062215,0.283627) 0.212114 (1.58128,2.18292) (-0.0277491,0.0462126) 0.138228 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1 (1.08079,2.31104) (-0.051428,0.998638) 0.158369 (0.900002,5.82137) 1.84335 1.62225 (0.502465,2.35742) (-0.0571784,0.155595) 0.145306 (0.7096,2.62775) (-0.147519,0.273097) 0.17513 (1.68271,2.65923) (0.062216,0.283627) 0.212114 (1.56918,2.23128) (-0.04839,0.193461) 0.138228 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.25 (1.06792,2.5607) (-0.051488,0.99866) 0.158369 (0.900002,5.82137) 1.84335 1.62231 (0.488175,2.39632) (-0.0571587,0.155602) 0.145306 (0.67272,2.69602) (-0.14752,0.273097) 0.17513 (1.69826,2.73014) (0.0622063,0.283629) 0.212114 (1.56328,2.29856) (-0.0236097,0.269129) 0.138228 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.5 (1.05506,2.81037) (-0.0514439,0.998681) 0.158369 (0.900002,5.82137) 1.84335 1.62226 (0.473886,2.43522) (-0.0571589,0.155602) 0.145306 (0.635842,2.7643) (-0.147513,0.2731) 0.17513 (1.71382,2.80104) (0.0622409,0.283621) 0.212114 (1.57117,2.36564) (0.0315899,0.26831) 0.138228 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.75 (1.04218,3.06004) (-0.0514995,0.998647) 0.158369 (0.900002,5.82137) 1.84335 1.62232 (0.459591,2.47412) (-0.0571771,0.155595) 0.145306 (0.59896,2.83257) (-0.14753,0.273091) 0.17513 (1.72937,2.87195) (0.0622111,0.283628) 0.212114 (1.58801,2.43105) (0.0673509,0.261633) 0.138228 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2 (1.02932,3.3097) (-0.0514331,0.998665) 0.158369 (0.900002,5.82137) 1.84335 1.62225 (0.4453,2.51302) (-0.0571667,0.155599) 0.145306 (0.562076,2.90084) (-0.147533,0.27309) 0.17513 (1.74492,2.94286) (0.0622097,0.283628) 0.212114 (1.60485,2.49646) (0.0673549,0.261632) 0.138228 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.25 (1.01645,3.55937) (-0.0514995,0.998681) 0.158369 (0.900002,5.82137) 1.84335 1.62232 (0.431006,2.55192) (-0.057177,0.155595) 0.145306 (0.525196,2.96911) (-0.147524,0.273095) 0.17513 (1.76047,3.01376) (0.0622048,0.283629) 0.212114 (1.62169,2.56187) (0.0673635,0.26163) 0.138228 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.5 (1.00359,3.80906) (-0.0514097,0.998768) 0.158369 (0.900002,5.82137) 1.84335 1.62222 (0.416712,2.59082) (-0.0571762,0.155596) 0.145306 (0.488313,3.03739) (-0.147529,0.273091) 0.17513 (1.77603,3.08467) (0.0622245,0.283625) 0.212114 (1.63853,2.62727) (0.0673506,0.261633) 0.138228 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.75 (0.99074,4.05873) (-0.0514199,0.998677) 0.158369 (0.900002,5.82137) 1.84335 1.62224 (0.40242,2.62972) (-0.0571663,0.155599) 0.145306 (0.451436,3.10566) (-0.147507,0.273104) 0.17513 (1.79158,3.15558) (0.0622088,0.283628) 0.212114 (1.65537,2.69268) (0.0673539,0.261632) 0.138228 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3 (0.977902,4.30839) (-0.051349,0.998625) 0.158369 (0.900002,5.82137) 1.84335 1.62217 (0.388131,2.66862) (-0.0571538,0.155604) 0.145306 (0.414556,3.17394) (-0.147521,0.273096) 0.17513 (1.80605,3.22159) (0.0578633,0.26407) 0.212114 (1.67221,2.75809) (0.0673579,0.261631) 0.138228 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3.25 (0.965032,4.55804) (-0.0514837,0.998619) 0.158369 (0.900002,5.82137) 1.84335 1.62231 (0.373843,2.70752) (-0.0571539,0.155604) 0.145306 (0.377685,3.24222) (-0.147484,0.273116) 0.17513 (1.81934,3.28444) (0.0531637,0.251392) 0.212114 (1.68905,2.8235) (0.0673694,0.261628) 0.138228 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3.5 (0.952199,4.80772) (-0.0513282,0.998685) 0.158369 (0.900002,5.82137) 1.84335 1.62215 (0.359549,2.74642) (-0.0571747,0.155596) 0.145306 (0.340805,3.31049) (-0.147518,0.273098) 0.17513 (1.83089,3.34593) (0.0461917,0.245966) 0.212114 (1.70589,2.8889) (0.0673591,0.261631) 0.138228 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3.75 (0.939338,5.05738) (-0.0514449,0.998644) 0.158369 (0.900002,5.82137) 1.84335 1.62227 (0.34526,2.78532) (-0.0571582,0.155602) 0.145306 (0.303923,3.37876) (-0.14753,0.273091) 0.17513 (1.8377,3.40694) (0.027235,0.244037) 0.212114 (1.72273,2.95431) (0.0673583,0.261631) 0.138228 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
4 (0.929515,5.24839) (-0.0392946,0.764055) 0.158369 (0.900002,5.82137) 1.84335 1.62218 (0.330965,2.82422) (-0.0571805,0.155594) 0.145306 (0.267051,3.44704) (-0.147488,0.273114) 0.17513 (1.82812,3.46348) (-0.0382886,0.226157) 0.212114 (1.73957,3.01972) (0.0673521,0.261633) 0.138228 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
4.25 (0.922143,5.39165) (-0.0294845,0.573029) 0.158369 (0.900002,5.82137) 1.84335 1.6222 (0.316667,2.86311) (-0.0571915,0.15559) 0.145306 (0.230269,3.51513) (-0.147129,0.272334) 0.17513 (1.80329,3.50933) (-0.0993353,0.183401) 0.212114 (1.75641,3.08513) (0.0673669,0.261629) 0.138228 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
