timestamp position0 velocity0 radius0 goal pref_speed theta position1 velocity1 radius1 position2 velocity2 radius2 position3 velocity3 radius3 position4 velocity4 radius4 position5 velocity5 radius5
0 (1.10387,1.33846) (0,0) 0.213896 (0.900002,5.82137) 1.54216 0 (0.535688,2.34108) (0,0) 0.127322 (0.982201,2.23381) (0,0) 0.189918 (1.5442,2.27596) (0,0) 0.217769 (0,1.33846) (0,0) 0.3 (2.1,1.33846) (0,0) 0.3
0.25 (1.12435,1.35385) (0.0819161,0.0615675) 0.213896 (0.900002,5.82137) 1.54216 0.644519 (0.512004,2.41124) (-0.0947365,0.280621) 0.127322 (0.984311,2.25778) (0.00843884,0.0959047) 0.189918 (1.55553,2.30642) (0.0453159,0.121821) 0.217769 (0,1.35385) (0,0) 0.3 (2.1,1.35385) (0,0) 0.3
0.5 (1.14744,1.39219) (0.0923503,0.15334) 0.213896 (0.900002,5.82137) 1.54216 1.02872 (0.488321,2.48139) (-0.0947307,0.280623) 0.127322 (0.970017,2.2897) (-0.0571746,0.127677) 0.189918 (1.56686,2.33687) (0.0453198,0.12182) 0.217769 (0,1.39219) (0,0) 0.3 (2.1,1.39219) (0,0) 0.3
0.75 (1.24391,1.55002) (0.385861,0.63133) 0.213896 (0.900002,5.82137) 1.54216 1.02219 (0.464631,2.55154) (-0.0947629,0.280612) 0.127322 (0.955723,2.32162) (-0.0571745,0.127677) 0.189918 (1.57819,2.36733) (0.0453286,0.121816) 0.217769 (0,1.55002) (0,0) 0.3 (2.1,1.55002) (0,0) 0.3
1 (1.31628,1.65885) (0.289478,0.435322) 0.213896 (0.900002,5.82137) 1.54216 0.983966 (0.440948,2.6217) (-0.0947322,0.280622) 0.127322 (0.941431,2.35354) (-0.057171,0.127678) 0.189918 (1.56312,2.39612) (-0.0602514,0.115168) 0.217769 (0,1.65885) (0,0) 0.3 (2.1,1.65885) (0,0) 0.3
1.25 (1.38021,1.75499) (0.255721,0.384557) 0.213896 (0.900002,5.82137) 1.54216 0.983966 (0.41726,2.69185) (-0.0947521,0.280616) 0.127322 (0.927134,2.38546) (-0.0571852,0.127672) 0.189918 (1.54323,2.42181) (-0.0795989,0.102752) 0.217769 (0,1.75499) (0,0) 0.3 (2.1,1.75499) (0,0) 0.3
1.5 (1.43969,1.84445) (0.237946,0.357828) 0.213896 (0.900002,5.82137) 1.54216 0.983966 (0.393577,2.76201) (-0.0947284,0.280624) 0.127322 (0.912839,2.41738) (-0.0571811,0.127674) 0.189918 (1.52353,2.44766) (-0.0787604,0.103396) 0.217769 (0,1.84445) (0,0) 0.3 (2.1,1.84445) (0,0) 0.3
1.75 (1.49648,1.92985) (0.22716,0.341607) 0.213896 (0.900002,5.82137) 1.54216 0.983966 (0.369887,2.83216) (-0.0947603,0.280613) 0.127322 (0.898543,2.4493) (-0.0571826,0.127673) 0.189918 (1.504,2.47362) (-0.0781298,0.103873) 0.217769 (0,1.92985) (0,0) 0.3 (2.1,1.92985) (0,0) 0.3
2 (1.55155,2.01267) (0.220292,0.331278) 0.213896 (0.900002,5.82137) 1.54216 0.983966 (0.346202,2.90232) (-0.0947399,0.28062) 0.127322 (0.88425,2.48122) (-0.0571751,0.127676) 0.189918 (1.4846,2.49969) (-0.077622,0.104253) 0.217769 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.25 (1.60544,2.09371) (0.215557,0.324158) 0.213896 (0.900002,5.82137) 1.54216 0.983965 (0.322508,2.97247) (-0.0947795,0.280606) 0.127322 (0.869956,2.51314) (-0.0571748,0.127676) 0.189918 (1.46531,2.52584) (-0.0771598,0.104596) 0.217769 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.5 (1.65838,2.17331) (0.211726,0.318398) 0.213896 (0.900002,5.82137) 1.54216 0.983966 (0.298813,3.04262) (-0.0947782,0.280607) 0.127322 (0.85566,2.54505) (-0.0571816,0.127673) 0.189918 (1.44615,2.55208) (-0.0766239,0.104989) 0.217769 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.75 (1.72088,2.25868) (0.250024,0.3415) 0.213896 (0.900002,5.82137) 1.54216 0.938828 (0.275117,3.11277) (-0.094784,0.280605) 0.127322 (0.841365,2.57697) (-0.0571812,0.127674) 0.189918 (1.42732,2.57856) (-0.0753433,0.105912) 0.217769 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3 (1.80182,2.38188) (0.323745,0.492801) 0.213896 (0.900002,5.82137) 1.54216 0.989552 (0.254787,3.17299) (-0.0813194,0.240882) 0.127322 (0.827071,2.60889) (-0.0571759,0.127676) 0.189918 (1.42854,2.61103) (0.00491561,0.129883) 0.217769 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3.25 (1.88503,2.56509) (0.332838,0.73284) 0.213896 (0.900002,5.82137) 1.54216 1.14448 (0.239543,3.21815) (-0.060977,0.18061) 0.127322 (0.812779,2.64081) (-0.0571683,0.127679) 0.189918 (1.44662,2.63804) (0.0722891,0.108019) 0.217769 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3.5 (1.92488,2.81287) (0.159425,0.991109) 0.213896 (0.900002,5.82137) 1.54216 1.41131 (0.228101,3.25201) (-0.0457661,0.135471) 0.127322 (0.798487,2.67273) (-0.0571695,0.127679) 0.189918 (1.46469,2.66504) (0.0722783,0.108026) 0.217769 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3.75 (1.85031,3.05545) (-0.298308,0.970305) 0.213896 (0.900002,5.82137) 1.54216 1.86906 (0.219506,3.27741) (-0.0343795,0.101589) 0.127322 (0.78419,2.70465) (-0.0571877,0.127671) 0.189918 (1.48276,2.69205) (0.0722888,0.108019) 0.217769 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
4 (1.76906,3.29187) (-0.324983,0.945705) 0.213896 (0.900002,5.82137) 1.54216 1.90179 (0.21308,3.29647) (-0.0257048,0.0762202) 0.127322 (0.769895,2.73657) (-0.0571778,0.127675) 0.189918 (1.50083,2.71905) (0.0722844,0.108022) 0.217769 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
4.25 (1.68784,3.52829) (-0.3249,0.945683) 0.213896 (0.900002,5.82137) 1.54216 1.90172 (0.208258,3.31075) (-0.019289,0.0571571) 0.127322 (0.755602,2.76849) (-0.0571748,0.127677) 0.189918 (1.5189,2.74606) (0.0722827,0.108024) 0.217769 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
4.5 (1.60662,3.76471) (-0.324872,0.94566) 0.213896 (0.900002,5.82137) 1.54216 1.9017 (0.204166,3.32173) (-0.0163697,0.0439096) 0.127322 (0.74131,2.80041) (-0.0571688,0.127679) 0.189918 (1.53697,2.77307) (0.0722847,0.108022) 0.217769 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
4.75 (1.52539,4.00114) (-0.324925,0.945736) 0.213896 (0.900002,5.82137) 1.54216 1.90173 (0.200101,3.33014) (-0.0162603,0.0336151) 0.127322 (0.727015,2.83232) (-0.0571792,0.127675) 0.189918 (1.55504,2.80007) (0.0722814,0.108024) 0.217769 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
5 (1.44414,4.23758) (-0.324983,0.945745) 0.213896 (0.900002,5.82137) 1.54216 1.90178 (0.195995,3.33623) (-0.0164215,0.0243759) 0.127322 (0.712722,2.86424) (-0.0571716,0.127678) 0.189918 (1.57311,2.82708) (0.0722933,0.108016) 0.217769 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
5.25 (1.36291,4.47402) (-0.324926,0.945747) 0.213896 (0.900002,5.82137) 1.54216 1.90173 (0.192178,3.3401) (-0.0152696,0.0154883) 0.127322 (0.698455,2.89618) (-0.0570659,0.127725) 0.189918 (1.59119,2.85408) (0.0722837,0.108023) 0.217769 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
5.5 (1.28168,4.71044) (-0.324905,0.94569) 0.213896 (0.900002,5.82137) 1.54216 1.90173 (0.189104,3.34216) (-0.0122967,0.00825225) 0.127322 (0.684162,2.92809) (-0.057173,0.127677) 0.189918 (1.60925,2.88109) (0.0722716,0.108031) 0.217769 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
5.75 (1.20047,4.94686) (-0.324834,0.945701) 0.213896 (0.900002,5.82137) 1.54216 1.90165 (0.186312,3.34352) (-0.011168,0.00542736) 0.127322 (0.669867,2.96001) (-0.0571799,0.127674) 0.189918 (1.62732,2.90809) (0.0722839,0.108023) 0.217769 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
6 (1.12536,5.16549) (-0.300455,0.874521) 0.213896 (0.900002,5.82137) 1.54216 1.90173 (0.183723,3.34436) (-0.0103559,0.00335166) 0.127322 (0.655573,2.99193) (-0.057177,0.127676) 0.189918 (1.6454,2.9351) (0.0722866,0.108021) 0.217769 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
6.25 (1.06904,5.32947) (-0.225274,0.655902) 0.213896 (0.900002,5.82137) 1.54216 1.90163 (0.181291,3.34479) (-0.00972656,0.00172866) 0.127322 (0.641275,3.02385) (-0.0571921,0.127669) 0.189918 (1.66347,2.9621) (0.0722913,0.108018) 0.217769 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
