timestamp position0 velocity0 radius0 goal pref_speed theta position1 velocity1 radius1 position2 velocity2 radius2 position3 velocity3 radius3 position4 velocity4 radius4 position5 velocity5 radius5
0 (1.02503,1.38236) (0,0) 0.145726 (0.900002,5.82137) 1.89676 0 (0.622672,2.3689) (0,0) 0.201896 (1.12297,2.31465) (0,0) 0.160306 (1.44336,2.39068) (0,0) 0.128291 (0,1.38236) (0,0) 0.3 (2.1,1.38236) (0,0) 0.3
0.25 (0.996068,1.40128) (-0.115861,0.075657) 0.145726 (0.900002,5.82137) 1.89676 2.56311 (0.606538,2.40595) (-0.0645374,0.14818) 0.201896 (1.12086,2.32793) (-0.00842485,0.0531215) 0.160306 (1.47141,2.44552) (0.112208,0.219372) 0.128291 (0,1.40128) (0,0) 0.3 (2.1,1.40128) (0,0) 0.3
0.5 (0.968551,1.44296) (-0.110068,0.166734) 0.145726 (0.900002,5.82137) 1.89676 2.15427 (0.590405,2.44299) (-0.0645311,0.148183) 0.201896 (1.12219,2.37267) (0.00529779,0.178962) 0.160306 (1.49946,2.50036) (0.112204,0.219374) 0.128291 (0,1.44296) (0,0) 0.3 (2.1,1.44296) (0,0) 0.3
0.75 (0.870581,1.56531) (-0.391879,0.489405) 0.145726 (0.900002,5.82137) 1.89676 2.24598 (0.574269,2.48004) (-0.0645458,0.148177) 0.201896 (1.11053,2.41588) (-0.0466264,0.172862) 0.160306 (1.52751,2.55521) (0.112195,0.219379) 0.128291 (0,1.56531) (0,0) 0.3 (2.1,1.56531) (0,0) 0.3
1 (0.753573,1.71867) (-0.468031,0.613431) 0.145726 (0.900002,5.82137) 1.89676 2.22255 (0.558135,2.51708) (-0.0645351,0.148181) 0.201896 (1.0924,2.45681) (-0.0725232,0.163694) 0.160306 (1.55556,2.61005) (0.112224,0.219364) 0.128291 (0,1.71867) (0,0) 0.3 (2.1,1.71867) (0,0) 0.3
1.25 (0.641108,1.87101) (-0.449859,0.609351) 0.145726 (0.900002,5.82137) 1.89676 2.20674 (0.542,2.55413) (-0.0645413,0.148178) 0.201896 (1.07101,2.49613) (-0.0855496,0.157279) 0.160306 (1.58362,2.66489) (0.112207,0.219373) 0.128291 (0,1.87101) (0,0) 0.3 (2.1,1.87101) (0,0) 0.3
1.5 (0.532657,2.02122) (-0.433804,0.600837) 0.145726 (0.900002,5.82137) 1.89676 2.19613 (0.525866,2.59117) (-0.0645354,0.148181) 0.201896 (1.04805,2.53455) (-0.0918539,0.153682) 0.160306 (1.61166,2.71974) (0.112186,0.219384) 0.128291 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.75 (0.428003,2.16855) (-0.418616,0.589353) 0.145726 (0.900002,5.82137) 1.89676 2.1884 (0.509731,2.62822) (-0.0645374,0.14818) 0.201896 (1.02485,2.57282) (-0.0928044,0.15311) 0.160306 (1.63971,2.77458) (0.112208,0.219373) 0.128291 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2 (0.327122,2.31249) (-0.403526,0.575747) 0.145726 (0.900002,5.82137) 1.89676 2.18211 (0.493593,2.66526) (-0.0645524,0.148174) 0.201896 (1.00164,2.6111) (-0.0928278,0.153096) 0.160306 (1.66777,2.82942) (0.11222,0.219366) 0.128291 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.25 (0.230019,2.45281) (-0.388411,0.56128) 0.145726 (0.900002,5.82137) 1.89676 2.17614 (0.477459,2.7023) (-0.0645373,0.14818) 0.201896 (0.978438,2.64937) (-0.0928197,0.153101) 0.160306 (1.69582,2.88427) (0.112217,0.219368) 0.128291 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.5 (0.136187,2.59117) (-0.375331,0.553418) 0.145726 (0.900002,5.82137) 1.89676 2.16674 (0.461285,2.73933) (-0.0646952,0.148111) 0.201896 (0.955273,2.68767) (-0.0926595,0.153198) 0.160306 (1.72387,2.93911) (0.1122,0.219376) 0.128291 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
