timestamp position0 velocity0 radius0 goal pref_speed theta position1 velocity1 radius1 position2 velocity2 radius2 position3 velocity3 radius3 position4 velocity4 radius4 position5 velocity5 radius5
0 (0.971324,1.40078) (0,0) 0.187758 (0.900002,5.82137) 1.57519 0 (0.520305,2.37358) (0,0) 0.148785 (1.12654,2.29754) (0,0) 0.122217 (1.61897,2.23301) (0,0) 0.21446 (0,1.40078) (0,0) 0.3 (2.1,1.40078) (0,0) 0.3
0.25 (0.947146,1.42019) (-0.0967131,0.0776439) 0.187758 (0.900002,5.82137) 1.57519 2.46513 (0.490914,2.46181) (-0.117564,0.352947) 0.148785 (1.12667,2.36692) (0.000541799,0.277514) 0.122217 (1.64368,2.31663) (0.0988617,0.334496) 0.21446 (0,1.42019) (0,0) 0.3 (2.1,1.42019) (0,0) 0.3
0.5 (0.924176,1.48534) (-0.0918774,0.260615) 0.187758 (0.900002,5.82137) 1.57519 1.90973 (0.461517,2.55005) (-0.117586,0.35294) 0.148785 (1.09614,2.42922) (-0.12212,0.249201) 0.122217 (1.66839,2.40026) (0.0988422,0.334501) 0.21446 (0,1.48534) (0,0) 0.3 (2.1,1.48534) (0,0) 0.3
0.75 (0.918778,1.56452) (-0.021591,0.316693) 0.187758 (0.900002,5.82137) 1.57519 1.63887 (0.432117,2.63828) (-0.1176,0.352935) 0.148785 (1.06071,2.48887) (-0.141745,0.238585) 0.122217 (1.6931,2.48388) (0.0988502,0.334499) 0.21446 (0,1.56452) (0,0) 0.3 (2.1,1.56452) (0,0) 0.3
1 (0.993866,1.72586) (0.300349,0.645364) 0.187758 (0.900002,5.82137) 1.57519 1.13521 (0.402716,2.72652) (-0.117605,0.352933) 0.148785 (1.02528,2.54852) (-0.14173,0.238594) 0.122217 (1.71782,2.56751) (0.0988557,0.334497) 0.21446 (0,1.72586) (0,0) 0.3 (2.1,1.72586) (0,0) 0.3
1.25 (1.06167,1.94258) (0.271216,0.866903) 0.187758 (0.900002,5.82137) 1.57519 1.26759 (0.373312,2.81475) (-0.117616,0.35293) 0.148785 (0.989846,2.60817) (-0.14172,0.238599) 0.122217 (1.74253,2.65113) (0.098838,0.334503) 0.21446 (0,1.94258) (0,0) 0.3 (2.1,1.94258) (0,0) 0.3
1.5 (1.11226,2.16844) (0.202343,0.90342) 0.187758 (0.900002,5.82137) 1.57519 1.35046 (0.343925,2.90299) (-0.117548,0.352953) 0.148785 (0.954412,2.66781) (-0.141735,0.23859) 0.122217 (1.76724,2.73476) (0.0988357,0.334503) 0.21446 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.75 (1.15007,2.40028) (0.15126,0.927358) 0.187758 (0.900002,5.82137) 1.57519 1.40911 (0.314523,2.99122) (-0.117608,0.352932) 0.148785 (0.91898,2.72746) (-0.141728,0.238594) 0.122217 (1.79196,2.81838) (0.0988928,0.334486) 0.21446 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2 (1.17651,2.63725) (0.105741,0.947895) 0.187758 (0.900002,5.82137) 1.57519 1.4597 (0.285126,3.07946) (-0.117589,0.352939) 0.148785 (0.883548,2.78711) (-0.141728,0.238594) 0.122217 (1.81667,2.902) (0.0988534,0.334498) 0.21446 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.25 (1.18473,2.88242) (0.0328819,0.980667) 0.187758 (0.900002,5.82137) 1.57519 1.53728 (0.261072,3.15018) (-0.0962146,0.282903) 0.148785 (0.848117,2.84676) (-0.141725,0.238596) 0.122217 (1.84138,2.98563) (0.0988385,0.334502) 0.21446 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.5 (1.16061,3.13126) (-0.0964671,0.99536) 0.187758 (0.900002,5.82137) 1.57519 1.66741 (0.237839,3.2104) (-0.0929301,0.240884) 0.148785 (0.812684,2.90641) (-0.141732,0.238592) 0.122217 (1.86609,3.06926) (0.0988429,0.334501) 0.21446 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
