timestamp position0 velocity0 radius0 goal pref_speed theta position1 velocity1 radius1 position2 velocity2 radius2 position3 velocity3 radius3 position4 velocity4 radius4 position5 velocity5 radius5
0 (0.918989,1.40407) (0,0) 0.172931 (0.900002,5.82137) 1.5241 0 (0.562783,2.33338) (0,0) 0.132755 (1.1846,2.3019) (0,0) 0.147245 (1.6774,2.38995) (0,0) 0.195973 (0,1.40407) (0,0) 0.3 (2.1,1.40407) (0,0) 0.3
0.25 (0.915457,1.42118) (-0.0141284,0.0684316) 0.172931 (0.900002,5.82137) 1.5241 1.7744 (0.536077,2.40722) (-0.106824,0.295352) 0.132755 (1.17777,2.3363) (-0.0273396,0.137611) 0.147245 (1.70036,2.47087) (0.0918446,0.323674) 0.195973 (0,1.42118) (0,0) 0.3 (2.1,1.42118) (0,0) 0.3
0.5 (0.89333,1.46537) (-0.0885052,0.176761) 0.172931 (0.900002,5.82137) 1.5241 2.03501 (0.509365,2.48105) (-0.106849,0.295343) 0.132755 (1.15944,2.36621) (-0.0733303,0.119611) 0.147245 (1.72333,2.55179) (0.0918619,0.323669) 0.195973 (0,1.46537) (0,0) 0.3 (2.1,1.46537) (0,0) 0.3
0.75 (0.842746,1.53635) (-0.202338,0.283939) 0.172931 (0.900002,5.82137) 1.5241 2.18993 (0.482657,2.55489) (-0.106833,0.295349) 0.132755 (1.1411,2.39611) (-0.07334,0.119605) 0.147245 (1.7463,2.6327) (0.0918746,0.323665) 0.195973 (0,1.53635) (0,0) 0.3 (2.1,1.53635) (0,0) 0.3
1 (0.80062,1.7845) (-0.168504,0.992604) 0.172931 (0.900002,5.82137) 1.5241 1.73895 (0.455953,2.62873) (-0.106815,0.295355) 0.132755 (1.12277,2.42601) (-0.0733317,0.11961) 0.147245 (1.76926,2.71362) (0.0918567,0.32367) 0.195973 (0,1.7845) (0,0) 0.3 (2.1,1.7845) (0,0) 0.3
1.25 (0.770731,2.03453) (-0.119553,1.00009) 0.172931 (0.900002,5.82137) 1.5241 1.68977 (0.425595,2.70114) (-0.121434,0.289651) 0.132755 (1.10444,2.45591) (-0.0733342,0.119609) 0.147245 (1.79223,2.79454) (0.0918674,0.323667) 0.195973 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.5 (0.750136,2.28531) (-0.0823815,1.00314) 0.172931 (0.900002,5.82137) 1.5241 1.65274 (0.399313,2.77513) (-0.105129,0.295959) 0.132755 (1.0861,2.48581) (-0.0733407,0.119605) 0.147245 (1.81519,2.87546) (0.091845,0.323674) 0.195973 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.75 (0.738927,2.53671) (-0.0448375,1.00561) 0.172931 (0.900002,5.82137) 1.5241 1.61535 (0.373024,2.84912) (-0.105156,0.295949) 0.132755 (1.06777,2.51572) (-0.0733366,0.119607) 0.147245 (1.83816,2.95637) (0.0918821,0.323663) 0.195973 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2 (0.751188,2.7864) (0.0490467,0.998768) 0.172931 (0.900002,5.82137) 1.5241 1.52173 (0.346738,2.92311) (-0.105143,0.295954) 0.132755 (1.04943,2.54562) (-0.0733349,0.119608) 0.147245 (1.86112,3.03729) (0.0918256,0.323679) 0.195973 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.25 (0.763438,3.03612) (0.0489975,0.998864) 0.172931 (0.900002,5.82137) 1.5241 1.52178 (0.320446,2.99709) (-0.105168,0.295945) 0.132755 (1.0311,2.57552) (-0.0733331,0.11961) 0.147245 (1.88408,3.11821) (0.0918719,0.323666) 0.195973 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.5 (0.775684,3.28581) (0.0489864,0.998758) 0.172931 (0.900002,5.82137) 1.5241 1.52179 (0.294164,3.07108) (-0.105127,0.29596) 0.132755 (1.01276,2.60542) (-0.0733381,0.119607) 0.147245 (1.90548,3.19356) (0.0855791,0.301415) 0.195973 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
