timestamp position0 velocity0 radius0 goal pref_speed theta position1 velocity1 radius1 position2 velocity2 radius2 position3 velocity3 radius3 position4 velocity4 radius4
0 (1.13395,1.27286) (0,0) 0.20123 (0.900002,5.82137) 1.68019 0 (0.832422,2.24445) (0,0) 0.216949 (1.40504,2.25056) (0,0) 0.172952 (0,1.27286) (0,0) 0.3 (2.1,1.27286) (0,0) 0.3
0.25 (1.12111,1.52253) (-0.0513715,0.998684) 0.20123 (0.900002,5.82137) 1.68019 1.62219 (0.813215,2.28448) (-0.0768272,0.160125) 0.216949 (1.43448,2.31803) (0.117771,0.269885) 0.172952 (0,1.52253) (0,0) 0.3 (2.1,1.52253) (0,0) 0.3
0.5 (1.12062,1.77031) (-0.00194396,0.991126) 0.20123 (0.900002,5.82137) 1.68019 1.57276 (0.779724,2.31363) (-0.133966,0.1166) 0.216949 (1.46393,2.3855) (0.117782,0.26988) 0.172952 (0,1.77031) (0,0) 0.3 (2.1,1.77031) (0,0) 0.3
0.75 (1.12011,2.01797) (-0.0020166,0.990645) 0.20123 (0.900002,5.82137) 1.68019 1.57283 (0.746232,2.34278) (-0.133966,0.1166) 0.216949 (1.49338,2.45297) (0.117786,0.269878) 0.172952 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1 (1.11958,2.26546) (-0.00212417,0.989933) 0.20123 (0.900002,5.82137) 1.68019 1.57294 (0.71274,2.37193) (-0.133966,0.1166) 0.216949 (1.52282,2.52044) (0.117777,0.269882) 0.172952 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.25 (1.11902,2.51275) (-0.00224183,0.989152) 0.20123 (0.900002,5.82137) 1.68019 1.57306 (0.679249,2.40108) (-0.133967,0.116599) 0.216949 (1.55227,2.58791) (0.11778,0.269881) 0.172952 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.5 (1.10252,2.76221) (-0.0660153,0.997856) 0.20123 (0.900002,5.82137) 1.68019 1.63686 (0.662833,2.44234) (-0.0656645,0.165017) 0.216949 (1.58171,2.65538) (0.117787,0.269878) 0.172952 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.75 (1.08601,3.01166) (-0.0660382,0.997812) 0.20123 (0.900002,5.82137) 1.68019 1.63688 (0.646415,2.48359) (-0.0656716,0.165014) 0.216949 (1.61116,2.72285) (0.117803,0.269871) 0.172952 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2 (1.06949,3.26111) (-0.0660723,0.997802) 0.20123 (0.900002,5.82137) 1.68019 1.63692 (0.629994,2.52484) (-0.0656844,0.165009) 0.216949 (1.64061,2.79032) (0.117778,0.269882) 0.172952 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.25 (1.05299,3.51059) (-0.0660041,0.997889) 0.20123 (0.900002,5.82137) 1.68019 1.63684 (0.613576,2.5661) (-0.0656706,0.165015) 0.216949 (1.67006,2.85779) (0.117788,0.269877) 0.172952 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.5 (1.03648,3.76003) (-0.0660446,0.997774) 0.20123 (0.900002,5.82137) 1.68019 1.63689 (0.59716,2.60735) (-0.0656629,0.165018) 0.216949 (1.6995,2.92526) (0.117765,0.269887) 0.172952 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.75 (1.01995,4.00948) (-0.0661052,0.997793) 0.20123 (0.900002,5.82137) 1.68019 1.63695 (0.580745,2.64861) (-0.0656615,0.165018) 0.216949 (1.72894,2.99273) (0.117793,0.269875) 0.172952 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3 (1.00346,4.25893) (-0.06596,0.997826) 0.20123 (0.900002,5.82137) 1.68019 1.6368 (0.564328,2.68986) (-0.0656654,0.165017) 0.216949 (1.75838,3.0602) (0.117759,0.26989) 0.172952 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3.25 (0.986964,4.50839) (-0.0659959,0.997809) 0.20123 (0.900002,5.82137) 1.68019 1.63684 (0.547907,2.73111) (-0.065686,0.165009) 0.216949 (1.78782,3.12767) (0.117762,0.269889) 0.172952 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3.5 (0.970439,4.75784) (-0.0661012,0.997807) 0.20123 (0.900002,5.82137) 1.68019 1.63695 (0.53149,2.77237) (-0.0656682,0.165016) 0.216949 (1.81728,3.19514) (0.117804,0.269871) 0.172952 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3.75 (0.953911,5.00727) (-0.0661132,0.997736) 0.20123 (0.900002,5.82137) 1.68019 1.63696 (0.515077,2.81362) (-0.0656521,0.165022) 0.216949 (1.84672,3.26261) (0.117794,0.269875) 0.172952 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
4 (0.940446,5.21079) (-0.053861,0.814076) 0.20123 (0.900002,5.82137) 1.68019 1.63686 (0.498665,2.85488) (-0.0656473,0.165024) 0.216949 (1.87616,3.33008) (0.117751,0.269893) 0.172952 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
4.25 (0.930322,5.36343) (-0.0404947,0.610562) 0.20123 (0.900002,5.82137) 1.68019 1.63702 (0.48225,2.89613) (-0.0656595,0.165019) 0.216949 (1.90561,3.39755) (0.117796,0.269874) 0.172952 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
