timestamp position0 velocity0 radius0 goal pref_speed theta position1 velocity1 radius1 position2 velocity2 radius2 position3 velocity3 radius3 position4 velocity4 radius4
0 (1.08913,1.2696) (0,0) 0.126199 (0.900002,5.82137) 1.95711 0 (0.513585,2.25941) (0,0) 0.143716 (1.51511,2.37053) (0,0) 0.130344 (0,1.2696) (0,0) 0.3 (2.1,1.2696) (0,0) 0.3
0.25 (1.07874,1.51937) (-0.0415484,0.999076) 0.126199 (0.900002,5.82137) 1.95711 1.61236 (0.495872,2.35023) (-0.0708528,0.363276) 0.143716 (1.54066,2.43544) (0.102182,0.259624) 0.130344 (0,1.51937) (0,0) 0.3 (2.1,1.51937) (0,0) 0.3
0.5 (1.06835,1.76915) (-0.0415602,0.999137) 0.126199 (0.900002,5.82137) 1.95711 1.61237 (0.478152,2.44105) (-0.0708786,0.363271) 0.143716 (1.56621,2.50034) (0.102205,0.259615) 0.130344 (0,1.76915) (0,0) 0.3 (2.1,1.76915) (0,0) 0.3
0.75 (1.05796,2.01895) (-0.0415701,0.999198) 0.126199 (0.900002,5.82137) 1.95711 1.61238 (0.460442,2.53187) (-0.0708394,0.363279) 0.143716 (1.59176,2.56524) (0.102188,0.259622) 0.130344 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1 (1.04758,2.26874) (-0.0415061,0.999142) 0.126199 (0.900002,5.82137) 1.95711 1.61231 (0.442737,2.62269) (-0.070823,0.363282) 0.143716 (1.61731,2.63015) (0.102219,0.25961) 0.130344 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.25 (1.03722,2.51852) (-0.0414608,0.999129) 0.126199 (0.900002,5.82137) 1.95711 1.61227 (0.425019,2.7135) (-0.0708699,0.363273) 0.143716 (1.64286,2.69505) (0.102205,0.259615) 0.130344 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.5 (1.02684,2.7683) (-0.0415161,0.999133) 0.126199 (0.900002,5.82137) 1.95711 1.61232 (0.407308,2.80432) (-0.0708451,0.363278) 0.143716 (1.66841,2.75996) (0.102178,0.259626) 0.130344 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.75 (1.01644,3.01807) (-0.0415779,0.999072) 0.126199 (0.900002,5.82137) 1.95711 1.61239 (0.389591,2.89514) (-0.0708677,0.363274) 0.143716 (1.69396,2.82486) (0.102206,0.259615) 0.130344 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2 (1.00607,3.26786) (-0.041487,0.999148) 0.126199 (0.900002,5.82137) 1.95711 1.61229 (0.371884,2.98596) (-0.0708265,0.363282) 0.143716 (1.71951,2.88976) (0.102208,0.259614) 0.130344 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.25 (0.995715,3.51765) (-0.0414235,0.999163) 0.126199 (0.900002,5.82137) 1.95711 1.61223 (0.354185,3.07678) (-0.0707957,0.363288) 0.143716 (1.74506,2.95467) (0.102191,0.259621) 0.130344 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.5 (0.98536,3.76744) (-0.0414197,0.999163) 0.126199 (0.900002,5.82137) 1.95711 1.61223 (0.340685,3.14599) (-0.0540027,0.276812) 0.143716 (1.77061,3.01957) (0.102194,0.25962) 0.130344 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.75 (0.974974,4.01722) (-0.0415422,0.999135) 0.126199 (0.900002,5.82137) 1.95711 1.61235 (0.330553,3.19788) (-0.0405254,0.207576) 0.143716 (1.79616,3.08448) (0.102204,0.259616) 0.130344 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3 (0.964579,4.26701) (-0.0415791,0.999144) 0.126199 (0.900002,5.82137) 1.95711 1.61239 (0.322961,3.23679) (-0.0303695,0.155638) 0.143716 (1.82171,3.14938) (0.102204,0.259615) 0.130344 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3.25 (0.954199,4.51679) (-0.0415202,0.999111) 0.126199 (0.900002,5.82137) 1.95711 1.61233 (0.317263,3.266) (-0.0227898,0.116822) 0.143716 (1.84726,3.21429) (0.102205,0.259615) 0.130344 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3.5 (0.943827,4.76658) (-0.041488,0.999177) 0.126199 (0.900002,5.82137) 1.95711 1.61229 (0.313004,3.28789) (-0.0170362,0.0875607) 0.143716 (1.87281,3.27919) (0.102195,0.259619) 0.130344 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
3.75 (0.933452,5.01635) (-0.0415028,0.999081) 0.126199 (0.900002,5.82137) 1.95711 1.61231 (0.30979,3.30434) (-0.0128589,0.0657949) 0.143716 (1.89837,3.34409) (0.102232,0.259605) 0.130344 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
4 (0.925089,5.21762) (-0.0334487,0.805067) 0.126199 (0.900002,5.82137) 1.95711 1.61232 (0.307386,3.31665) (-0.00961622,0.0492649) 0.143716 (1.92391,3.409) (0.10218,0.259625) 0.130344 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
4.25 (0.918822,5.36856) (-0.0250713,0.603765) 0.126199 (0.900002,5.82137) 1.95711 1.6123 (0.305608,3.32589) (-0.00711087,0.0369506) 0.143716 (1.94946,3.4739) (0.102205,0.259615) 0.130344 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
