timestamp position0 velocity0 radius0 goal pref_speed theta position1 velocity1 radius1 position2 velocity2 radius2 position3 velocity3 radius3 position4 velocity4 radius4 position5 velocity5 radius5 position6 velocity6 radius6
0 (1.06608,1.3161) (0,0) 0.187869 (0.900002,5.82137) 1.84253 0 (0.542114,2.32476) (0,0) 0.201309 (0.838426,2.291) (0,0) 0.197599 (1.64363,2.26781) (0,0) 0.217219 (1.65074,2.36421) (0,0) 0.162973 (0,1.3161) (0,0) 0.3 (2.1,1.3161) (0,0) 0.3
0.25 (1.05688,1.56593) (-0.0368396,0.999322) 0.187869 (0.900002,5.82137) 1.84253 1.60764 (0.497996,2.38222) (-0.176472,0.229818) 0.201309 (0.867061,2.26964) (0.11454,-0.0854347) 0.197599 (1.59194,2.23225) (-0.206752,-0.142238) 0.217219 (1.65486,2.42013) (0.0164986,0.223687) 0.162973 (0,1.56593) (0,0) 0.3 (2.1,1.56593) (0,0) 0.3
0.5 (1.03325,1.62398) (-0.0944804,0.232203) 0.187869 (0.900002,5.82137) 1.84253 1.95723 (0.472732,2.45011) (-0.101056,0.271563) 0.201309 (0.848588,2.26335) (-0.0738924,-0.0251576) 0.197599 (1.56505,2.169) (-0.107535,-0.253013) 0.217219 (1.6768,2.47174) (0.0877342,0.206424) 0.162973 (0,1.62398) (0,0) 0.3 (2.1,1.62398) (0,0) 0.3
0.75 (1.01723,1.66422) (-0.06409,0.160957) 0.187869 (0.900002,5.82137) 1.84253 1.94973 (0.447464,2.518) (-0.10107,0.271558) 0.201309 (0.82892,2.29317) (-0.0786709,0.119286) 0.197599 (1.5489,2.13762) (-0.0646299,-0.12549) 0.217219 (1.6875,2.52678) (0.0428374,0.220166) 0.162973 (0,1.66422) (0,0) 0.3 (2.1,1.66422) (0,0) 0.3
1 (1.01228,1.71456) (-0.0198195,0.201359) 0.187869 (0.900002,5.82137) 1.84253 1.66891 (0.422197,2.58589) (-0.101071,0.271557) 0.201309 (0.813018,2.32516) (-0.0636094,0.127953) 0.197599 (1.549,2.14941) (0.000400595,0.0471629) 0.217219 (1.69821,2.58182) (0.0428407,0.220165) 0.162973 (0,1.71456) (0,0) 0.3 (2.1,1.71456) (0,0) 0.3
1.25 (1.02415,1.79867) (0.0474766,0.336476) 0.187869 (0.900002,5.82137) 1.84253 1.43062 (0.396933,2.65378) (-0.101054,0.271564) 0.201309 (0.797116,2.35715) (-0.0636092,0.127953) 0.197599 (1.54904,2.18631) (0.000175236,0.147569) 0.217219 (1.70892,2.63686) (0.0428269,0.220168) 0.162973 (0,1.79867) (0,0) 0.3 (2.1,1.79867) (0,0) 0.3
1.5 (1.07217,2.01425) (0.192101,0.862281) 0.187869 (0.900002,5.82137) 1.84253 1.35159 (0.371672,2.72167) (-0.101046,0.271567) 0.201309 (0.781213,2.38913) (-0.0636102,0.127953) 0.197599 (1.55206,2.23599) (0.0120857,0.198748) 0.217219 (1.71963,2.69191) (0.0428364,0.220166) 0.162973 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
1.75 (1.12033,2.24637) (0.192646,0.928495) 0.187869 (0.900002,5.82137) 1.84253 1.36622 (0.346404,2.78956) (-0.101073,0.271556) 0.201309 (0.765313,2.42112) (-0.0636006,0.127958) 0.197599 (1.5569,2.29236) (0.0193362,0.225474) 0.217219 (1.73034,2.74695) (0.0428383,0.220166) 0.162973 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2 (1.16086,2.48283) (0.162093,0.945855) 0.187869 (0.900002,5.82137) 1.84253 1.40107 (0.321139,2.85745) (-0.10106,0.271561) 0.201309 (0.749413,2.45311) (-0.0636002,0.127958) 0.197599 (1.55893,2.35479) (0.00812736,0.249703) 0.217219 (1.74105,2.80199) (0.0428277,0.220168) 0.162973 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.25 (1.14139,2.73209) (-0.0778796,0.997047) 0.187869 (0.900002,5.82137) 1.84253 1.64875 (0.295871,2.92534) (-0.101071,0.271557) 0.201309 (0.73351,2.4851) (-0.0636122,0.127952) 0.197599 (1.55842,2.42352) (-0.00202073,0.27491) 0.217219 (1.75176,2.85703) (0.0428577,0.220162) 0.162973 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
2.5 (1.12192,2.98134) (-0.0778863,0.996972) 0.187869 (0.900002,5.82137) 1.84253 1.64876 (0.270604,2.99323) (-0.101068,0.271558) 0.201309 (0.717605,2.51709) (-0.0636207,0.127948) 0.197599 (1.55971,2.49223) (0.0051517,0.274869) 0.217219 (1.76248,2.91207) (0.0428608,0.220161) 0.162973 (0,2) (0,0) 0.3 (2.1,2) (0,0) 0.3
