[[(2, 2.1), (0, 2.1), (0, 1.8), (2, 1.8)], [(2, 0.3), (0, 0.3), (0, 0), (2, 0)]]
timestamp position0 velocity0 radius0 goal pref_speed theta position1 velocity1 radius1 position2 velocity2 radius2 position3 velocity3 radius3 position4 velocity4 radius4 position5 velocity5 radius5 position6 velocity6 radius6
0 (1.28981,1.09443) (0,0) 0.207627 (5.98029,1.15206) 1.77012 0 (2.24054,0.454014) (0,0) 0.18713 (2.20051,0.783578) (0,0) 0.145855 (2.32278,1.27634) (0,0) 0.14147 (2.34347,1.55705) (0,0) 0.206897 (1.28981,1.8) (0,0) 0.001 (1.28981,0.3) (0,0) 0.001
0.25 (1.31439,1.11933) (0.0983233,0.0995877) 0.207627 (5.98029,1.15206) 1.77012 0.791787 (2.33015,0.438617) (0.358432,-0.0615901) 0.18713 (2.21451,0.785782) (0.0559897,0.00881381) 0.145855 (2.37948,1.24838) (0.226785,-0.11184) 0.14147 (2.42089,1.58488) (0.309679,0.111342) 0.206897 (1.31439,1.8) (0,0) 0.001 (1.31439,0.3) (0,0) 0.001
0.5 (1.36385,1.14298) (0.197831,0.0946083) 0.207627 (5.98029,1.15206) 1.77012 0.446078 (2.41976,0.423219) (0.358431,-0.0615915) 0.18713 (2.25192,0.7658) (0.14963,-0.0799269) 0.145855 (2.42408,1.20359) (0.178423,-0.179175) 0.14147 (2.50313,1.58724) (0.328952,0.00943497) 0.206897 (1.36385,1.8) (0,0) 0.001 (1.36385,0.3) (0,0) 0.001
0.75 (1.57413,1.22023) (0.84114,0.308975) 0.207627 (5.98029,1.15206) 1.77012 0.352029 (2.50936,0.407819) (0.35843,-0.061601) 0.18713 (2.29228,0.735652) (0.161428,-0.120593) 0.145855 (2.46869,1.1588) (0.178423,-0.179175) 0.14147 (2.58347,1.56951) (0.321353,-0.0709278) 0.206897 (1.57413,1.8) (0,0) 0.001 (1.57413,0.3) (0,0) 0.001
1 (1.80496,1.27202) (0.923298,0.207158) 0.207627 (5.98029,1.15206) 1.77012 0.220712 (2.59897,0.392424) (0.358434,-0.0615785) 0.18713 (2.33271,0.705609) (0.161743,-0.120169) 0.145855 (2.51321,1.11391) (0.178071,-0.179525) 0.14147 (2.6638,1.55178) (0.321353,-0.0709292) 0.206897 (1.80496,1.8) (0,0) 0.001 (1.80496,0.3) (0,0) 0.001
1.25 (1.995,1.32394) (0.760167,0.207698) 0.207627 (5.98029,1.15206) 1.77012 0.266717 (2.68858,0.377026) (0.358431,-0.0615913) 0.18713 (2.37311,0.67551) (0.161574,-0.120397) 0.145855 (2.55777,1.06908) (0.178258,-0.179339) 0.14147 (2.72501,1.4968) (0.244829,-0.219903) 0.206897 (1.995,1.8) (0,0) 0.001 (1.995,0.3) (0,0) 0.001
1.5 (2.17405,1.37943) (0.716188,0.221965) 0.207627 (5.98029,1.15206) 1.77012 0.300538 (2.77819,0.36163) (0.358433,-0.0615848) 0.18713 (2.41347,0.645373) (0.161461,-0.120549) 0.145855 (2.60237,1.02428) (0.178382,-0.179216) 0.14147 (2.78505,1.44055) (0.240146,-0.225008) 0.206897 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
1.75 (2.3442,1.4356) (0.680624,0.224687) 0.207627 (5.98029,1.15206) 1.77012 0.318855 (2.8678,0.346231) (0.358431,-0.0615962) 0.18713 (2.45382,0.615217) (0.161406,-0.120623) 0.145855 (2.64698,0.979486) (0.178442,-0.179157) 0.14147 (2.84635,1.38568) (0.245217,-0.21947) 0.206897 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
2 (2.50621,1.49055) (0.648043,0.219763) 0.207627 (5.98029,1.15206) 1.77012 0.326947 (2.9574,0.330832) (0.358431,-0.0615942) 0.18713 (2.49417,0.58506) (0.1614,-0.12063) 0.145855 (2.69159,0.934698) (0.178447,-0.179151) 0.14147 (2.90896,1.33231) (0.250436,-0.213495) 0.206897 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
2.25 (2.6584,1.54215) (0.608754,0.2064) 0.207627 (5.98029,1.15206) 1.77012 0.32689 (3.04701,0.31543) (0.358428,-0.0616109) 0.18713 (2.53452,0.554902) (0.1614,-0.12063) 0.145855 (2.7362,0.889911) (0.178447,-0.179151) 0.14147 (2.97368,1.28152) (0.258888,-0.203163) 0.206897 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
