[[(2, 2.1), (0, 2.1), (0, 1.8), (2, 1.8)], [(2, 0.3), (0, 0.3), (0, 0), (2, 0)]]
timestamp position0 velocity0 radius0 goal pref_speed theta position1 velocity1 radius1 position2 velocity2 radius2 position3 velocity3 radius3 position4 velocity4 radius4 position5 velocity5 radius5 position6 velocity6 radius6
0 (1.3274,1.01983) (0,0) 0.171213 (5.98029,1.15206) 1.58118 0 (2.38878,0.433345) (0,0) 0.18838 (2.24401,0.840399) (0,0) 0.122729 (2.25249,1.26187) (0,0) 0.13117 (2.39517,1.69284) (0,0) 0.197673 (1.3274,1.8) (0,0) 0.001 (1.3274,0.3) (0,0) 0.001
0.25 (1.34396,1.02113) (0.0662335,0.00516779) 0.171213 (5.98029,1.15206) 1.58118 0.077866 (2.48461,0.416541) (0.383338,-0.0672174) 0.18838 (2.26371,0.844195) (0.0787832,0.0151847) 0.122729 (2.27657,1.2572) (0.0963143,-0.0187066) 0.13117 (2.46738,1.67502) (0.288832,-0.0712755) 0.197673 (1.34396,1.8) (0,0) 0.001 (1.34396,0.3) (0,0) 0.001
0.5 (1.37929,1.03181) (0.141332,0.0427268) 0.171213 (5.98029,1.15206) 1.58118 0.293579 (2.58044,0.399725) (0.38333,-0.0672636) 0.18838 (2.29036,0.845138) (0.106609,0.00377395) 0.122729 (2.31532,1.2462) (0.15501,-0.0439671) 0.13117 (2.53959,1.6572) (0.288831,-0.0712818) 0.197673 (1.37929,1.8) (0,0) 0.001 (1.37929,0.3) (0,0) 0.001
0.75 (1.43829,1.06589) (0.236018,0.136326) 0.171213 (5.98029,1.15206) 1.58118 0.523793 (2.67628,0.382909) (0.38333,-0.0672617) 0.18838 (2.31701,0.846084) (0.106608,0.00378136) 0.122729 (2.35354,1.23348) (0.152877,-0.0508918) 0.13117 (2.6118,1.63938) (0.28883,-0.0712828) 0.197673 (1.43829,1.8) (0,0) 0.001 (1.43829,0.3) (0,0) 0.001
1 (1.62649,1.16564) (0.752799,0.398989) 0.171213 (5.98029,1.15206) 1.58118 0.487364 (2.77211,0.366091) (0.383328,-0.0672733) 0.18838 (2.34366,0.847028) (0.106609,0.00377578) 0.122729 (2.39145,1.21987) (0.151648,-0.0544432) 0.13117 (2.684,1.62156) (0.288831,-0.0712797) 0.197673 (1.62649,1.8) (0,0) 0.001 (1.62649,0.3) (0,0) 0.001
1.25 (1.82987,1.25528) (0.813509,0.35857) 0.171213 (5.98029,1.15206) 1.58118 0.415152 (2.86794,0.349272) (0.383328,-0.0672747) 0.18838 (2.37031,0.847974) (0.106608,0.0037841) 0.122729 (2.42919,1.20579) (0.150966,-0.056307) 0.13117 (2.75621,1.60374) (0.288826,-0.0713024) 0.197673 (1.82987,1.8) (0,0) 0.001 (1.82987,0.3) (0,0) 0.001
1.5 (2.00764,1.32781) (0.711061,0.29014) 0.171213 (5.98029,1.15206) 1.58118 0.387416 (2.96377,0.332468) (0.383338,-0.0672189) 0.18838 (2.39697,0.848918) (0.106608,0.00377763) 0.122729 (2.46684,1.19147) (0.150594,-0.0572944) 0.13117 (2.8256,1.57697) (0.277565,-0.10706) 0.197673 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
1.75 (2.1829,1.39806) (0.701067,0.280983) 0.171213 (5.98029,1.15206) 1.58118 0.38119 (3.05961,0.315661) (0.383336,-0.0672272) 0.18838 (2.42362,0.849862) (0.106609,0.00377394) 0.122729 (2.50444,1.17701) (0.150391,-0.0578265) 0.13117 (2.89499,1.55021) (0.277565,-0.10706) 0.197673 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
2 (2.35547,1.46583) (0.690276,0.271095) 0.171213 (5.98029,1.15206) 1.58118 0.374227 (3.15544,0.298846) (0.383331,-0.0672596) 0.18838 (2.45027,0.850806) (0.106608,0.00377751) 0.122729 (2.54201,1.16248) (0.150279,-0.0581157) 0.13117 (2.96438,1.52344) (0.277565,-0.10706) 0.197673 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
2.25 (2.52515,1.53096) (0.678702,0.26049) 0.171213 (5.98029,1.15206) 1.58118 0.366469 (3.25127,0.282037) (0.383335,-0.0672379) 0.18838 (2.47692,0.851749) (0.106609,0.00377056) 0.122729 (2.57956,1.14792) (0.150218,-0.0582724) 0.13117 (3.03378,1.49668) (0.277565,-0.10706) 0.197673 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
