timestamp position0 velocity0 radius0 goal pref_speed theta position1 velocity1 radius1 position2 velocity2 radius2 position3 velocity3 radius3 position4 velocity4 radius4 position5 velocity5 radius5 position6 velocity6 radius6 position7 velocity7 radius7 
1.500000238418579 (1.5110726356506348,0.9507038593292236) (0.0,0.0) 0.2199999988079071 (1.5110726356506348,0.9507038593292236) 1.5 0.0 (1.5110726356506348,1.8) (0,0) 0.05 (1.5110726356506348,0.3) (0,0) 0.05 (2.2,0.9) (0,0) 0.05 (2.2,0.9507038593292236) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
1.600000262260437 (1.5110726356506348,0.9507038593292236) (0.0,0.0) 0.2199999988079071 (1.5110726356506348,0.9507038593292236) 1.5 0.0 (1.5110726356506348,1.8) (0,0) 0.05 (1.5110726356506348,0.3) (0,0) 0.05 (2.2,0.9) (0,0) 0.05 (2.2,0.9507038593292236) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
1.700000286102295 (1.5110726356506348,0.9507038593292236) (0.0,0.0) 0.2199999988079071 (1.5110726356506348,0.9507038593292236) 1.5 0.0 (1.5110726356506348,1.8) (0,0) 0.05 (1.5110726356506348,0.3) (0,0) 0.05 (2.2,0.9) (0,0) 0.05 (2.2,0.9507038593292236) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
1.8000003099441528 (1.5110726356506348,0.9507038593292236) (0.0,0.0) 0.2199999988079071 (1.5110726356506348,0.9507038593292236) 1.5 0.0 (1.5110726356506348,1.8) (0,0) 0.05 (1.5110726356506348,0.3) (0,0) 0.05 (2.2,0.9) (0,0) 0.05 (2.2,0.9507038593292236) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
1.9000003337860107 (1.5110726356506348,0.9507038593292236) (0.0,0.0) 0.2199999988079071 (1.5110726356506348,0.9507038593292236) 1.5 0.0 (1.5110726356506348,1.8) (0,0) 0.05 (1.5110726356506348,0.3) (0,0) 0.05 (2.2,0.9) (0,0) 0.05 (2.2,0.9507038593292236) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
2.000000238418579 (1.5110726356506348,0.9507038593292236) (0.0,0.0) 0.2199999988079071 (1.5110726356506348,0.9507038593292236) 1.5 0.0 (1.5110726356506348,1.8) (0,0) 0.05 (1.5110726356506348,0.3) (0,0) 0.05 (2.2,0.9) (0,0) 0.05 (2.2,0.9507038593292236) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
2.1000001430511475 (1.5110726356506348,0.9507038593292236) (0.0,0.0) 0.2199999988079071 (1.5110726356506348,0.9507038593292236) 1.5 0.0 (1.5110726356506348,1.8) (0,0) 0.05 (1.5110726356506348,0.3) (0,0) 0.05 (2.2,0.9) (0,0) 0.05 (2.2,0.9507038593292236) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
2.200000047683716 (1.5110726356506348,0.9507038593292236) (0.0,0.0) 0.2199999988079071 (1.5110726356506348,0.9507038593292236) 1.5 0.0 (1.5110726356506348,1.8) (0,0) 0.05 (1.5110726356506348,0.3) (0,0) 0.05 (2.2,0.9) (0,0) 0.05 (2.2,0.9507038593292236) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
2.299999952316284 (1.5110726356506348,0.9507038593292236) (0.0,0.0) 0.2199999988079071 (1.5110726356506348,0.9507038593292236) 1.5 0.0 (1.5110726356506348,1.8) (0,0) 0.05 (1.5110726356506348,0.3) (0,0) 0.05 (2.2,0.9) (0,0) 0.05 (2.2,0.9507038593292236) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
2.3999998569488525 (1.5110726356506348,0.9507038593292236) (0.0,0.0) 0.2199999988079071 (1.5110726356506348,0.9507038593292236) 1.5 0.0 (1.5110726356506348,1.8) (0,0) 0.05 (1.5110726356506348,0.3) (0,0) 0.05 (2.2,0.9) (0,0) 0.05 (2.2,0.9507038593292236) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
