timestamp position0 velocity0 radius0 goal pref_speed theta position1 velocity1 radius1 position2 velocity2 radius2 position3 velocity3 radius3 position4 velocity4 radius4 position5 velocity5 radius5 position6 velocity6 radius6 position7 velocity7 radius7 
5.799996852874756 (-0.39683765172958374,1.1024882793426514) (-1.3773342370986938,0.5940964221954346) 0.2199999988079071 (-0.39683765172958374,1.1024882793426514) 1.5 2.7343660404491716 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.9) (0,0) 0.05 (2.2,1.1024882793426514) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
5.899996757507324 (-0.5029036402702332,0.996422290802002) (-1.0606601238250732,-1.0606601238250732) 0.2199999988079071 (-0.5029036402702332,0.996422290802002) 1.5 -2.356194490192345 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.9) (0,0) 0.05 (2.2,0.996422290802002) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
5.999996662139893 (-0.4630383551120758,0.8518167734146118) (0.39865273237228394,-1.446055293083191) 0.2199999988079071 (-0.4630383551120758,0.8518167734146118) 1.5 -1.3017953300729526 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.8518167734146118) (0,0) 0.05 (2.2,0.8518167734146118) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
6.099996566772461 (-0.42317306995391846,0.7072112560272217) (0.39865270256996155,-1.4460554122924805) 0.2199999988079071 (-0.42317306995391846,0.7072112560272217) 1.5 -1.3017953703480247 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.7072112560272217) (0,0) 0.05 (2.2,0.775) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
6.199996471405029 (-0.5617550015449524,0.7646137475967407) (-1.3858193159103394,0.5740251541137695) 0.2199999988079071 (-0.5617550015449524,0.7646137475967407) 1.5 2.748893572836443 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.7646137475967407) (0,0) 0.05 (2.2,0.775) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
6.299996376037598 (-0.6191574931144714,0.6260318160057068) (-0.5740251541137695,-1.3858193159103394) 0.2199999988079071 (-0.6191574931144714,0.6260318160057068) 1.5 -1.9634954075482471 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.6260318160057068) (0,0) 0.05 (2.2,0.775) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
6.399996280670166 (-0.6946433186531067,0.7556539177894592) (-0.7548580169677734,1.2962210178375244) 0.2199999988079071 (-0.6946433186531067,0.7556539177894592) 1.5 2.0981389181946217 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.7556539177894592) (0,0) 0.05 (2.2,0.775) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
6.499996185302734 (-0.6946433186531067,0.7556539177894592) (0.0,0.0) 0.2199999988079071 (-0.6946433186531067,0.7556539177894592) 1.5 0.0 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.7556539177894592) (0,0) 0.05 (2.2,0.775) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
6.599996089935303 (-0.8332252502441406,0.8130564093589783) (-1.3858193159103394,0.5740251541137695) 0.2199999988079071 (-0.8332252502441406,0.8130564093589783) 1.5 2.748893572836443 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.8130564093589783) (0,0) 0.05 (2.2,0.8130564093589783) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
6.699995994567871 (-0.8332252502441406,0.8130564093589783) (0.0,0.0) 0.2199999988079071 (-0.8332252502441406,0.8130564093589783) 1.5 0.0 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.8130564093589783) (0,0) 0.05 (2.2,0.8130564093589783) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
6.7999958992004395 (-0.8332252502441406,0.8130564093589783) (0.0,0.0) 0.2199999988079071 (-0.8332252502441406,0.8130564093589783) 1.5 0.0 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.8130564093589783) (0,0) 0.05 (2.2,0.8130564093589783) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
6.899995803833008 (-0.8332252502441406,0.8130564093589783) (0.0,0.0) 0.2199999988079071 (-0.8332252502441406,0.8130564093589783) 1.5 0.0 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.8130564093589783) (0,0) 0.05 (2.2,0.8130564093589783) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
6.999995708465576 (-0.8332252502441406,0.8130564093589783) (0.0,0.0) 0.2199999988079071 (-0.8332252502441406,0.8130564093589783) 1.5 0.0 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.8130564093589783) (0,0) 0.05 (2.2,0.8130564093589783) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
7.0999956130981445 (-0.8332252502441406,0.8130564093589783) (0.0,0.0) 0.2199999988079071 (-0.8332252502441406,0.8130564093589783) 1.5 0.0 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.8130564093589783) (0,0) 0.05 (2.2,0.8130564093589783) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
7.199995517730713 (-0.8332252502441406,0.8130564093589783) (0.0,0.0) 0.2199999988079071 (-0.8332252502441406,0.8130564093589783) 1.5 0.0 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.8130564093589783) (0,0) 0.05 (2.2,0.8130564093589783) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
7.299995422363281 (-0.8332252502441406,0.8130564093589783) (0.0,0.0) 0.2199999988079071 (-0.8332252502441406,0.8130564093589783) 1.5 0.0 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.8130564093589783) (0,0) 0.05 (2.2,0.8130564093589783) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
7.39999532699585 (-0.8332252502441406,0.8130564093589783) (0.0,0.0) 0.2199999988079071 (-0.8332252502441406,0.8130564093589783) 1.5 0.0 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.8130564093589783) (0,0) 0.05 (2.2,0.8130564093589783) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
7.499995231628418 (-0.8332252502441406,0.8130564093589783) (0.0,0.0) 0.2199999988079071 (-0.8332252502441406,0.8130564093589783) 1.5 0.0 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.8130564093589783) (0,0) 0.05 (2.2,0.8130564093589783) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
7.599995136260986 (-0.8332252502441406,0.8130564093589783) (0.0,0.0) 0.2199999988079071 (-0.8332252502441406,0.8130564093589783) 1.5 0.0 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.8130564093589783) (0,0) 0.05 (2.2,0.8130564093589783) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
7.699995040893555 (-0.8332252502441406,0.8130564093589783) (0.0,0.0) 0.2199999988079071 (-0.8332252502441406,0.8130564093589783) 1.5 0.0 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.8130564093589783) (0,0) 0.05 (2.2,0.8130564093589783) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
7.799994945526123 (-0.8332252502441406,0.8130564093589783) (0.0,0.0) 0.2199999988079071 (-0.8332252502441406,0.8130564093589783) 1.5 0.0 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.8130564093589783) (0,0) 0.05 (2.2,0.8130564093589783) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
7.899994850158691 (-0.8332252502441406,0.8130564093589783) (0.0,0.0) 0.2199999988079071 (-0.8332252502441406,0.8130564093589783) 1.5 0.0 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.8130564093589783) (0,0) 0.05 (2.2,0.8130564093589783) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
7.99999475479126 (-0.8332252502441406,0.8130564093589783) (0.0,0.0) 0.2199999988079071 (-0.8332252502441406,0.8130564093589783) 1.5 0.0 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.8130564093589783) (0,0) 0.05 (2.2,0.8130564093589783) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
8.099994659423828 (-0.8332252502441406,0.8130564093589783) (0.0,0.0) 0.2199999988079071 (-0.8332252502441406,0.8130564093589783) 1.5 0.0 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.8130564093589783) (0,0) 0.05 (2.2,0.8130564093589783) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
8.199995040893555 (-0.8332252502441406,0.8130564093589783) (0.0,0.0) 0.2199999988079071 (-0.8332252502441406,0.8130564093589783) 1.5 0.0 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.8130564093589783) (0,0) 0.05 (2.2,0.8130564093589783) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
8.299995422363281 (-0.8332252502441406,0.8130564093589783) (0.0,0.0) 0.2199999988079071 (-0.8332252502441406,0.8130564093589783) 1.5 0.0 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.8130564093589783) (0,0) 0.05 (2.2,0.8130564093589783) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
8.399995803833008 (-0.8332252502441406,0.8130564093589783) (0.0,0.0) 0.2199999988079071 (-0.8332252502441406,0.8130564093589783) 1.5 0.0 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.8130564093589783) (0,0) 0.05 (2.2,0.8130564093589783) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
8.499996185302734 (-0.8332252502441406,0.8130564093589783) (0.0,0.0) 0.2199999988079071 (-0.8332252502441406,0.8130564093589783) 1.5 0.0 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.8130564093589783) (0,0) 0.05 (2.2,0.8130564093589783) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
8.599996566772461 (-0.8332252502441406,0.8130564093589783) (0.0,0.0) 0.2199999988079071 (-0.8332252502441406,0.8130564093589783) 1.5 0.0 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.8130564093589783) (0,0) 0.05 (2.2,0.8130564093589783) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
8.699996948242188 (-0.8332252502441406,0.8130564093589783) (0.0,0.0) 0.2199999988079071 (-0.8332252502441406,0.8130564093589783) 1.5 0.0 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.8130564093589783) (0,0) 0.05 (2.2,0.8130564093589783) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
8.799997329711914 (-0.9832252264022827,0.8130564093589783) (-1.5,0.0) 0.2199999988079071 (-0.9832252264022827,0.8130564093589783) 1.5 3.141592653589793 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.8130564093589783) (0,0) 0.05 (2.2,0.8130564093589783) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
8.89999771118164 (-0.9832252264022827,0.8130564093589783) (0.0,0.0) 0.2199999988079071 (-0.9832252264022827,0.8130564093589783) 1.5 0.0 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.8130564093589783) (0,0) 0.05 (2.2,0.8130564093589783) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
8.999998092651367 (-1.0716240406036377,0.9342406988143921) (-0.8839887380599976,1.2118428945541382) 0.2199999988079071 (-1.0716240406036377,0.9342406988143921) 1.5 2.201020545908458 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.9) (0,0) 0.05 (2.2,0.9342406988143921) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
9.099998474121094 (-1.0716240406036377,0.9342406988143921) (-1.4901161193847656e-08,0.0) 0.2199999988079071 (-1.0716240406036377,0.9342406988143921) 1.5 3.141592653589793 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.9) (0,0) 0.05 (2.2,0.9342406988143921) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
9.19999885559082 (-1.1296602487564087,0.7959229946136475) (-0.5803623199462891,-1.3831772804260254) 0.2199999988079071 (-1.1296602487564087,0.7959229946136475) 1.5 -1.9680726510659556 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.7959229946136475) (0,0) 0.05 (2.2,0.7959229946136475) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
9.299999237060547 (-1.1296602487564087,0.7959229946136475) (0.0,0.0) 0.2199999988079071 (-1.1296602487564087,0.7959229946136475) 1.5 0.0 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.7959229946136475) (0,0) 0.05 (2.2,0.7959229946136475) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
9.399999618530273 (-1.1296602487564087,0.7959229946136475) (0.0,0.0) 0.2199999988079071 (-1.1296602487564087,0.7959229946136475) 1.5 0.0 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.7959229946136475) (0,0) 0.05 (2.2,0.7959229946136475) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
9.5 (-1.2796602249145508,0.7959229946136475) (-1.5,0.0) 0.2199999988079071 (-1.2796602249145508,0.7959229946136475) 1.5 3.141592653589793 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.7959229946136475) (0,0) 0.05 (2.2,0.7959229946136475) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
9.600000381469727 (-1.2796602249145508,0.7959229946136475) (0.0,0.0) 0.2199999988079071 (-1.2796602249145508,0.7959229946136475) 1.5 0.0 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.7959229946136475) (0,0) 0.05 (2.2,0.7959229946136475) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
9.700000762939453 (-1.2796602249145508,0.7959229946136475) (0.0,0.0) 0.2199999988079071 (-1.2796602249145508,0.7959229946136475) 1.5 0.0 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.7959229946136475) (0,0) 0.05 (2.2,0.7959229946136475) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
9.80000114440918 (-1.2796602249145508,0.7959229946136475) (0.0,0.0) 0.2199999988079071 (-1.2796602249145508,0.7959229946136475) 1.5 0.0 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.7959229946136475) (0,0) 0.05 (2.2,0.7959229946136475) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
9.900001525878906 (-1.4296602010726929,0.7959229946136475) (-1.5,0.0) 0.2199999988079071 (-1.4296602010726929,0.7959229946136475) 1.5 3.141592653589793 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.7959229946136475) (0,0) 0.05 (2.2,0.7959229946136475) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
10.000001907348633 (-1.4296602010726929,0.7959229946136475) (0.0,0.0) 0.2199999988079071 (-1.4296602010726929,0.7959229946136475) 1.5 0.0 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.7959229946136475) (0,0) 0.05 (2.2,0.7959229946136475) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
10.10000228881836 (-1.579660177230835,0.7959229946136475) (-1.5,0.0) 0.2199999988079071 (-1.579660177230835,0.7959229946136475) 1.5 3.141592653589793 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.7959229946136475) (0,0) 0.05 (2.2,0.7959229946136475) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
10.200002670288086 (-1.579660177230835,0.7959229946136475) (0.0,0.0) 0.2199999988079071 (-1.579660177230835,0.7959229946136475) 1.5 0.0 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.7959229946136475) (0,0) 0.05 (2.2,0.7959229946136475) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
10.300003051757812 (-1.579660177230835,0.7959229946136475) (0.0,0.0) 0.2199999988079071 (-1.579660177230835,0.7959229946136475) 1.5 0.0 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.7959229946136475) (0,0) 0.05 (2.2,0.7959229946136475) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
10.400003433227539 (-1.579660177230835,0.7959229946136475) (0.0,0.0) 0.2199999988079071 (-1.579660177230835,0.7959229946136475) 1.5 0.0 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.7959229946136475) (0,0) 0.05 (2.2,0.7959229946136475) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
10.500003814697266 (-1.579660177230835,0.7959229946136475) (0.0,0.0) 0.2199999988079071 (-1.579660177230835,0.7959229946136475) 1.5 0.0 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.7959229946136475) (0,0) 0.05 (2.2,0.7959229946136475) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
10.600004196166992 (-1.579660177230835,0.7959229946136475) (0.0,0.0) 0.2199999988079071 (-1.579660177230835,0.7959229946136475) 1.5 0.0 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.7959229946136475) (0,0) 0.05 (2.2,0.7959229946136475) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
10.700004577636719 (-1.729660153388977,0.7959229946136475) (-1.5,0.0) 0.2199999988079071 (-1.729660153388977,0.7959229946136475) 1.5 3.141592653589793 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.7959229946136475) (0,0) 0.05 (2.2,0.7959229946136475) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
10.800004959106445 (-1.729660153388977,0.7959229946136475) (0.0,0.0) 0.2199999988079071 (-1.729660153388977,0.7959229946136475) 1.5 0.0 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.7959229946136475) (0,0) 0.05 (2.2,0.7959229946136475) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
10.900005340576172 (-1.729660153388977,0.7959229946136475) (0.0,0.0) 0.2199999988079071 (-1.729660153388977,0.7959229946136475) 1.5 0.0 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.7959229946136475) (0,0) 0.05 (2.2,0.7959229946136475) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
11.000005722045898 (-1.694055199623108,0.8054975867271423) (0.3560490608215332,0.09574586153030396) 0.2199999988079071 (-1.694055199623108,0.8054975867271423) 1.5 0.26269747387351605 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.8054975867271423) (0,0) 0.05 (2.2,0.8054975867271423) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
11.100006103515625 (-1.84405517578125,0.8054975867271423) (-1.5,0.0) 0.2199999988079071 (-1.84405517578125,0.8054975867271423) 1.5 3.141592653589793 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.8054975867271423) (0,0) 0.05 (2.2,0.8054975867271423) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
11.200006484985352 (-1.84405517578125,0.8054975867271423) (0.0,0.0) 0.2199999988079071 (-1.84405517578125,0.8054975867271423) 1.5 0.0 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.8054975867271423) (0,0) 0.05 (2.2,0.8054975867271423) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
11.300006866455078 (-1.84405517578125,0.8054975867271423) (0.0,0.0) 0.2199999988079071 (-1.84405517578125,0.8054975867271423) 1.5 0.0 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.8054975867271423) (0,0) 0.05 (2.2,0.8054975867271423) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
11.400007247924805 (-1.994055151939392,0.8054975867271423) (-1.5,0.0) 0.2199999988079071 (-1.994055151939392,0.8054975867271423) 1.5 3.141592653589793 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.8054975867271423) (0,0) 0.05 (2.2,0.8054975867271423) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
11.500007629394531 (-2.1326370239257812,0.7480950951576233) (-1.3858193159103394,-0.5740251541137695) 0.2199999988079071 (-2.1326370239257812,0.7480950951576233) 1.5 -2.748893572836443 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.7480950951576233) (0,0) 0.05 (2.2,0.775) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
11.600008010864258 (-2.1331331729888916,0.8980942964553833) (-0.004960358142852783,1.499991774559021) 0.2199999988079071 (-2.1331331729888916,0.8980942964553833) 1.5 1.5741032383029248 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.8980942964553833) (0,0) 0.05 (2.2,0.8980942964553833) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
11.700008392333984 (-2.1331331729888916,0.8980942964553833) (0.0,0.0) 0.2199999988079071 (-2.1331331729888916,0.8980942964553833) 1.5 0.0 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.8980942964553833) (0,0) 0.05 (2.2,0.8980942964553833) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
11.800008773803711 (-2.1506102085113525,1.0470726490020752) (-0.17477035522460938,1.489783525466919) 0.2199999988079071 (-2.1506102085113525,1.0470726490020752) 1.5 1.6875751501207252 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.9) (0,0) 0.05 (2.2,1.0470726490020752) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
11.900009155273438 (-2.2891921997070312,0.9896701574325562) (-1.3858193159103394,-0.5740251541137695) 0.2199999988079071 (-2.2891921997070312,0.9896701574325562) 1.5 -2.748893572836443 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.9) (0,0) 0.05 (2.2,0.9896701574325562) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
12.000009536743164 (-2.42777419090271,0.9322676658630371) (-1.3858193159103394,-0.5740251541137695) 0.2199999988079071 (-2.42777419090271,0.9322676658630371) 1.5 -2.748893572836443 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.9) (0,0) 0.05 (2.2,0.9322676658630371) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
12.10000991821289 (-2.5663561820983887,0.8748651742935181) (-1.3858193159103394,-0.5740251541137695) 0.2199999988079071 (-2.5663561820983887,0.8748651742935181) 1.5 -2.748893572836443 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.8748651742935181) (0,0) 0.05 (2.2,0.8748651742935181) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
