timestamp position0 velocity0 radius0 goal pref_speed theta position1 velocity1 radius1 position2 velocity2 radius2 position3 velocity3 radius3 position4 velocity4 radius4 position5 velocity5 radius5 position6 velocity6 radius6 position7 velocity7 radius7 
0.10000000149011612 (1.8046327829360962,0.8944000005722046) (0.04632864147424698,-0.0559999942779541) 0.2199999988079071 (1.8046327829360962,0.8944000005722046) 1.5 -0.8796309182211811 (1.8046327829360962,1.8) (0,0) 0.05 (1.8046327829360962,0.3) (0,0) 0.05 (2.2,0.8944000005722046) (0,0) 0.05 (2.2,0.8944000005722046) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
0.20000000298023224 (1.6635276079177856,0.903672993183136) (-1.4110515117645264,0.09272970259189606) 0.2199999988079071 (1.6635276079177856,0.903672993183136) 1.5 3.0759702745420086 (1.6635276079177856,1.8) (0,0) 0.05 (1.6635276079177856,0.3) (0,0) 0.05 (2.2,0.9) (0,0) 0.05 (2.2,0.903672993183136) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
0.30000001192092896 (1.5240905284881592,0.9589658379554749) (-1.3943707942962646,0.5529286861419678) 0.2199999988079071 (1.5240905284881592,0.9589658379554749) 1.5 2.764069557925125 (1.5240905284881592,1.8) (0,0) 0.05 (1.5240905284881592,0.3) (0,0) 0.05 (2.2,0.9) (0,0) 0.05 (2.2,0.9589658379554749) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
0.4000000059604645 (1.3846534490585327,1.0142587423324585) (-1.3943710327148438,0.5529286861419678) 0.2199999988079071 (1.3846534490585327,1.0142587423324585) 1.5 2.7640696165155467 (1.3846534490585327,1.8) (0,0) 0.05 (1.3846534490585327,0.3) (0,0) 0.05 (2.2,0.9) (0,0) 0.05 (2.2,1.0142587423324585) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
0.5 (1.3846534490585327,1.0142587423324585) (0.0,-7.450580596923828e-09) 0.2199999988079071 (1.3846534490585327,1.0142587423324585) 1.5 -1.5707963267948966 (1.3846534490585327,1.8) (0,0) 0.05 (1.3846534490585327,0.3) (0,0) 0.05 (2.2,0.9) (0,0) 0.05 (2.2,1.0142587423324585) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
0.6000000238418579 (1.2350808382034302,1.0255736112594604) (-1.495726466178894,0.11314824223518372) 0.2199999988079071 (1.2350808382034302,1.0255736112594604) 1.5 3.066088776472605 (1.2350808382034302,1.8) (0,0) 0.05 (1.2350808382034302,0.3) (0,0) 0.05 (2.2,0.9) (0,0) 0.05 (2.2,1.0255736112594604) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
0.7000000476837158 (1.2350808382034302,1.0255736112594604) (2.9802322387695312e-08,-7.450580596923828e-09) 0.2199999988079071 (1.2350808382034302,1.0255736112594604) 1.5 -0.24497866312686414 (1.2350808382034302,1.8) (0,0) 0.05 (1.2350808382034302,0.3) (0,0) 0.05 (2.2,0.9) (0,0) 0.05 (2.2,1.0255736112594604) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
0.8000000715255737 (1.0854912996292114,1.0366621017456055) (-1.4958958625793457,0.11088527739048004) 0.2199999988079071 (1.0854912996292114,1.0366621017456055) 1.5 3.0676016406906266 (1.0854912996292114,1.8) (0,0) 0.05 (1.0854912996292114,0.3) (0,0) 0.05 (2.2,0.9) (0,0) 0.05 (2.2,1.0366621017456055) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
0.9000000953674316 (0.9501855969429016,1.1014106273651123) (-1.353056788444519,0.6474851369857788) 0.2199999988079071 (0.9501855969429016,1.1014106273651123) 1.5 2.6952639642708234 (0.9501855969429016,1.8) (0,0) 0.05 (0.9501855969429016,0.3) (0,0) 0.05 (2.2,0.9) (0,0) 0.05 (2.2,1.1014106273651123) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
1.0000001192092896 (0.9501855969429016,1.1014106273651123) (0.0,0.0) 0.2199999988079071 (0.9501855969429016,1.1014106273651123) 1.5 0.0 (0.9501855969429016,1.8) (0,0) 0.05 (0.9501855969429016,0.3) (0,0) 0.05 (2.2,0.9) (0,0) 0.05 (2.2,1.1014106273651123) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
1.1000001430511475 (0.8001855611801147,1.1014106273651123) (-1.5,0.0) 0.2199999988079071 (0.8001855611801147,1.1014106273651123) 1.5 3.141592653589793 (0.8001855611801147,1.8) (0,0) 0.05 (0.8001855611801147,0.3) (0,0) 0.05 (2.2,0.9) (0,0) 0.05 (2.2,1.1014106273651123) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
1.2000001668930054 (0.8001855611801147,1.1014106273651123) (1.4901161193847656e-08,-7.450580596923828e-09) 0.2199999988079071 (0.8001855611801147,1.1014106273651123) 1.5 -0.4636476090008061 (0.8001855611801147,1.8) (0,0) 0.05 (0.8001855611801147,0.3) (0,0) 0.05 (2.2,0.9) (0,0) 0.05 (2.2,1.1014106273651123) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
1.3000001907348633 (0.6504912376403809,1.1109824180603027) (-1.4969428777694702,0.09571786224842072) 0.2199999988079071 (0.6504912376403809,1.1109824180603027) 1.5 3.077737357706572 (0.6504912376403809,1.8) (0,0) 0.05 (0.6504912376403809,0.3) (0,0) 0.05 (2.2,0.9) (0,0) 0.05 (2.2,1.1109824180603027) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
1.4000002145767212 (0.5340015292167664,1.016482949256897) (-1.164896845817566,-0.9449948072433472) 0.2199999988079071 (0.5340015292167664,1.016482949256897) 1.5 -2.4600438721696465 (0.5340015292167664,1.8) (0,0) 0.05 (0.5340015292167664,0.3) (0,0) 0.05 (2.2,0.9) (0,0) 0.05 (2.2,1.016482949256897) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
1.500000238418579 (0.41751185059547424,0.9219834804534912) (-1.164896845817566,-0.9449949264526367) 0.2199999988079071 (0.41751185059547424,0.9219834804534912) 1.5 -2.46004381045119 (0.41751185059547424,1.8) (0,0) 0.05 (0.41751185059547424,0.3) (0,0) 0.05 (2.2,0.9) (0,0) 0.05 (2.2,0.9219834804534912) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
1.600000262260437 (0.30102217197418213,0.8274840116500854) (-1.1648967266082764,-0.9449949860572815) 0.2199999988079071 (0.30102217197418213,0.8274840116500854) 1.5 -2.4600437295243287 (0.30102217197418213,1.8) (0,0) 0.05 (0.30102217197418213,0.3) (0,0) 0.05 (2.2,0.8274840116500854) (0,0) 0.05 (2.2,0.8274840116500854) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
1.700000286102295 (0.3052259087562561,0.8308941721916199) (0.04203743487596512,0.034101858735084534) 0.2199999988079071 (0.3052259087562561,0.8308941721916199) 1.5 0.6815486583761465 (0.3052259087562561,1.8) (0,0) 0.05 (0.3052259087562561,0.3) (0,0) 0.05 (2.2,0.8308941721916199) (0,0) 0.05 (2.2,0.8308941721916199) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
1.8000003099441528 (0.3359142541885376,0.8458762764930725) (0.3068835139274597,0.14982116222381592) 0.2199999988079071 (0.3359142541885376,0.8458762764930725) 1.5 0.454164784985866 (0.3359142541885376,1.8) (0,0) 0.05 (0.3359142541885376,0.3) (0,0) 0.05 (2.2,0.8458762764930725) (0,0) 0.05 (2.2,0.8458762764930725) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
1.9000003337860107 (0.36982882022857666,0.8413587808609009) (0.3391457796096802,-0.045175254344940186) 0.2199999988079071 (0.36982882022857666,0.8413587808609009) 1.5 -0.13242352857295864 (0.36982882022857666,1.8) (0,0) 0.05 (0.36982882022857666,0.3) (0,0) 0.05 (2.2,0.8413587808609009) (0,0) 0.05 (2.2,0.8413587808609009) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
2.000000238418579 (0.39926156401634216,0.8559494018554688) (0.29432734847068787,0.14590607583522797) 0.2199999988079071 (0.39926156401634216,0.8559494018554688) 1.5 0.4602235397286097 (0.39926156401634216,1.8) (0,0) 0.05 (0.39926156401634216,0.3) (0,0) 0.05 (2.2,0.8559494018554688) (0,0) 0.05 (2.2,0.8559494018554688) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
2.1000001430511475 (0.24926155805587769,0.8559494018554688) (-1.5,0.0) 0.2199999988079071 (0.24926155805587769,0.8559494018554688) 1.5 3.141592653589793 (0.24926155805587769,1.8) (0,0) 0.05 (0.24926155805587769,0.3) (0,0) 0.05 (2.2,0.8559494018554688) (0,0) 0.05 (2.2,0.8559494018554688) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
2.200000047683716 (0.1792757362127304,0.9886218905448914) (-0.6998581886291504,1.3267247676849365) 0.2199999988079071 (0.1792757362127304,0.9886218905448914) 1.5 2.0562075468155294 (0.1792757362127304,1.8) (0,0) 0.05 (0.1792757362127304,0.3) (0,0) 0.05 (2.2,0.9) (0,0) 0.05 (2.2,0.9886218905448914) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
2.299999952316284 (0.04069380462169647,0.9312193989753723) (-1.3858193159103394,-0.5740251541137695) 0.2199999988079071 (0.04069380462169647,0.9312193989753723) 1.5 -2.748893572836443 (0.04069380462169647,1.8) (0,0) 0.05 (0.04069380462169647,0.3) (0,0) 0.05 (2.2,0.9) (0,0) 0.05 (2.2,0.9312193989753723) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
2.3999998569488525 (-0.09788812696933746,0.9886218905448914) (-1.3858193159103394,0.5740251541137695) 0.2199999988079071 (-0.09788812696933746,0.9886218905448914) 1.5 2.748893572836443 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.9) (0,0) 0.05 (2.2,0.9886218905448914) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
2.499999761581421 (-0.20395413041114807,1.0946879386901855) (-1.0606601238250732,1.0606601238250732) 0.2199999988079071 (-0.20395413041114807,1.0946879386901855) 1.5 2.356194490192345 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.9) (0,0) 0.05 (2.2,1.0946879386901855) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
2.5999996662139893 (-0.30823177099227905,0.9868631958961487) (-1.0427762269973755,-1.0782475471496582) 0.2199999988079071 (-0.30823177099227905,0.9868631958961487) 1.5 -2.3394723703134606 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.9) (0,0) 0.05 (2.2,0.9868631958961487) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
2.6999995708465576 (-0.29500335454940796,0.8374476432800293) (0.132284015417099,-1.4941554069519043) 0.2199999988079071 (-0.29500335454940796,0.8374476432800293) 1.5 -1.4824922568617487 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.8374476432800293) (0,0) 0.05 (2.2,0.8374476432800293) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
2.799999475479126 (-0.4335852861404419,0.8948501348495483) (-1.3858193159103394,0.5740251541137695) 0.2199999988079071 (-0.4335852861404419,0.8948501348495483) 1.5 2.748893572836443 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.8948501348495483) (0,0) 0.05 (2.2,0.8948501348495483) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
2.8999993801116943 (-0.5396512746810913,0.7887841463088989) (-1.0606601238250732,-1.0606601238250732) 0.2199999988079071 (-0.5396512746810913,0.7887841463088989) 1.5 -2.356194490192345 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.7887841463088989) (0,0) 0.05 (2.2,0.7887841463088989) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
2.9999992847442627 (-0.4857255220413208,0.6488126516342163) (0.5392575263977051,-1.399714708328247) 0.2199999988079071 (-0.4857255220413208,0.6488126516342163) 1.5 -1.203058929216912 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.6488126516342163) (0,0) 0.05 (2.2,0.775) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
3.099999189376831 (-0.4857255220413208,0.6488126516342163) (0.0,0.0) 0.2199999988079071 (-0.4857255220413208,0.6488126516342163) 1.5 0.0 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.6488126516342163) (0,0) 0.05 (2.2,0.775) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
3.1999990940093994 (-0.46626636385917664,0.6629491448402405) (0.1945914626121521,0.1413652002811432) 0.2199999988079071 (-0.46626636385917664,0.6629491448402405) 1.5 0.6282722040240054 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.6629491448402405) (0,0) 0.05 (2.2,0.775) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
3.2999989986419678 (-0.6162638664245605,0.6620901823043823) (-1.499975323677063,-0.008589830249547958) 0.2199999988079071 (-0.6162638664245605,0.6620901823043823) 1.5 -3.1358660684812953 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.6620901823043823) (0,0) 0.05 (2.2,0.775) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
3.399998903274536 (-0.7662638425827026,0.6620901823043823) (-1.5,0.0) 0.2199999988079071 (-0.7662638425827026,0.6620901823043823) 1.5 3.141592653589793 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.6620901823043823) (0,0) 0.05 (2.2,0.775) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
3.4999988079071045 (-0.7728757262229919,0.8119443655014038) (-0.06611884385347366,1.498542070388794) 0.2199999988079071 (-0.7728757262229919,0.8119443655014038) 1.5 1.6148898423159765 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.8119443655014038) (0,0) 0.05 (2.2,0.8119443655014038) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
3.599998712539673 (-0.7153681516647339,0.9504827260971069) (0.575075626373291,1.3853836059570312) 0.2199999988079071 (-0.7153681516647339,0.9504827260971069) 1.5 1.177339080053346 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.9) (0,0) 0.05 (2.2,0.9504827260971069) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
3.699998617172241 (-0.865368127822876,0.9504827260971069) (-1.5,0.0) 0.2199999988079071 (-0.865368127822876,0.9504827260971069) 1.5 3.141592653589793 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.9) (0,0) 0.05 (2.2,0.9504827260971069) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
3.7999985218048096 (-0.865368127822876,0.9504827260971069) (0.0,0.0) 0.2199999988079071 (-0.865368127822876,0.9504827260971069) 1.5 0.0 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.9) (0,0) 0.05 (2.2,0.9504827260971069) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
3.899998426437378 (-0.9411089420318604,0.8210094571113586) (-0.7574082612991333,-1.294732689857483) 0.2199999988079071 (-0.9411089420318604,0.8210094571113586) 1.5 -2.100107433705245 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.8210094571113586) (0,0) 0.05 (2.2,0.8210094571113586) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
3.9999983310699463 (-1.035003900527954,0.9379869699478149) (-0.9389491081237793,1.169775366783142) 0.2199999988079071 (-1.035003900527954,0.9379869699478149) 1.5 2.247166065669614 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.9) (0,0) 0.05 (2.2,0.9379869699478149) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
4.099998474121094 (-0.9520739316940308,1.0629774332046509) (0.8292993903160095,1.2499051094055176) 0.2199999988079071 (-0.9520739316940308,1.0629774332046509) 1.5 0.984996263329275 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.9) (0,0) 0.05 (2.2,1.0629774332046509) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
4.199998378753662 (-1.035003900527954,0.9379869103431702) (-0.82929927110672,-1.2499051094055176) 0.2199999988079071 (-1.035003900527954,0.9379869103431702) 1.5 -2.1565963240381674 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.9) (0,0) 0.05 (2.2,0.9379869103431702) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
4.2999982833862305 (-1.1735858917236328,0.9953894019126892) (-1.3858193159103394,0.5740251541137695) 0.2199999988079071 (-1.1735858917236328,0.9953894019126892) 1.5 2.748893572836443 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.9) (0,0) 0.05 (2.2,0.9953894019126892) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
4.399998188018799 (-1.1282740831375122,1.138381838798523) (0.45311760902404785,1.4299246072769165) 0.2199999988079071 (-1.1282740831375122,1.138381838798523) 1.5 1.2639241590849288 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.9) (0,0) 0.05 (2.2,1.138381838798523) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
4.499998092651367 (-1.1282740831375122,1.138381838798523) (0.0,0.0) 0.2199999988079071 (-1.1282740831375122,1.138381838798523) 1.5 0.0 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.9) (0,0) 0.05 (2.2,1.138381838798523) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
4.5999979972839355 (-1.197580099105835,1.0053529739379883) (-0.693060040473938,-1.3302887678146362) 0.2199999988079071 (-1.197580099105835,1.0053529739379883) 1.5 -2.0510903845366983 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.9) (0,0) 0.05 (2.2,1.0053529739379883) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
4.699997901916504 (-1.347580075263977,1.0053529739379883) (-1.5,0.0) 0.2199999988079071 (-1.347580075263977,1.0053529739379883) 1.5 3.141592653589793 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.9) (0,0) 0.05 (2.2,1.0053529739379883) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
4.799997806549072 (-1.3370578289031982,1.1549835205078125) (0.10522228479385376,1.496304988861084) 0.2199999988079071 (-1.3370578289031982,1.1549835205078125) 1.5 1.5005904841169064 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.9) (0,0) 0.05 (2.2,1.1549835205078125) (0,0) 0.05 (2.2,1.1549835205078125) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
4.899997711181641 (-1.3370578289031982,1.1549835205078125) (-2.9802322387695312e-08,-1.4901161193847656e-08) 0.2199999988079071 (-1.3370578289031982,1.1549835205078125) 1.5 -2.677945044588987 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.9) (0,0) 0.05 (2.2,1.1549835205078125) (0,0) 0.05 (2.2,1.1549835205078125) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
4.999997615814209 (-1.3934787511825562,1.0159990787506104) (-0.5642090439796448,-1.389844536781311) 0.2199999988079071 (-1.3934787511825562,1.0159990787506104) 1.5 -1.9564224890224677 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.9) (0,0) 0.05 (2.2,1.0159990787506104) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
5.099997520446777 (-1.2845381498336792,0.912887692451477) (1.0894056558609009,-1.0311137437820435) 0.2199999988079071 (-1.2845381498336792,0.912887692451477) 1.5 -0.7579156345437283 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.9) (0,0) 0.05 (2.2,0.912887692451477) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
5.199997425079346 (-1.1784721612930298,0.8068217039108276) (1.0606601238250732,-1.0606601238250732) 0.2199999988079071 (-1.1784721612930298,0.8068217039108276) 1.5 -0.7853981633974483 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.8068217039108276) (0,0) 0.05 (2.2,0.8068217039108276) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
5.299997329711914 (-1.0692307949066162,0.7040290236473083) (1.0924134254455566,-1.0279265642166138) 0.2199999988079071 (-1.0692307949066162,0.7040290236473083) 1.5 -0.7549940821690797 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.7040290236473083) (0,0) 0.05 (2.2,0.775) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
