[[(2, 2.1), (0, 2.1), (0, 1.8), (2, 1.8)], [(2, 0.3), (0, 0.3), (0, 0), (2, 0)]]
timestamp position0 velocity0 radius0 goal pref_speed theta position1 velocity1 radius1 position2 velocity2 radius2 position3 velocity3 radius3 position4 velocity4 radius4 position5 velocity5 radius5 position6 velocity6 radius6
0 (1.28943,1.09129) (0,0) 0.159322 (5.99563,1.71825) 1.66025 0 (2.28644,0.442741) (0,0) 0.176525 (2.33288,0.84793) (0,0) 0.132777 (2.32015,1.19177) (0,0) 0.18694 (2.24389,1.55749) (0,0) 0.129267 (1.28943,1.8) (0,0) 0.001 (1.28943,0.3) (0,0) 0.001
0.25 (1.53724,1.11876) (0.991246,0.109878) 0.159322 (5.99563,1.71825) 1.66025 0.110397 (2.3398,0.434981) (0.213433,-0.0310379) 0.176525 (2.3794,0.850262) (0.186075,0.00932706) 0.132777 (2.41157,1.19455) (0.365674,0.0111003) 0.18694 (2.30381,1.56852) (0.239657,0.044111) 0.129267 (1.53724,1.8) (0,0) 0.001 (1.53724,0.3) (0,0) 0.001
0.5 (1.7288,1.14565) (0.766248,0.107546) 0.159322 (5.99563,1.71825) 1.66025 0.139443 (2.39316,0.427224) (0.213435,-0.0310299) 0.176525 (2.4244,0.862285) (0.179994,0.0480929) 0.132777 (2.50124,1.17654) (0.358681,-0.0720346) 0.18694 (2.36472,1.56919) (0.243668,0.00269153) 0.129267 (1.7288,1.8) (0,0) 0.001 (1.7288,0.3) (0,0) 0.001
0.75 (1.90454,1.16947) (0.702936,0.0953017) 0.159322 (5.99563,1.71825) 1.66025 0.134755 (2.44652,0.419467) (0.213435,-0.0310278) 0.176525 (2.47062,0.868051) (0.184876,0.0230624) 0.132777 (2.59095,1.15873) (0.358835,-0.0712639) 0.18694 (2.42564,1.56986) (0.243668,0.00269497) 0.129267 (1.90454,1.8) (0,0) 0.001 (1.90454,0.3) (0,0) 0.001
1 (2.07106,1.19151) (0.666074,0.0881755) 0.159322 (5.99563,1.71825) 1.66025 0.131616 (2.49988,0.411709) (0.213434,-0.0310319) 0.176525 (2.51716,0.869873) (0.186166,0.00728721) 0.132777 (2.68068,1.14104) (0.358936,-0.0707502) 0.18694 (2.48656,1.57054) (0.243668,0.00270411) 0.129267 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
1.25 (2.2321,1.2125) (0.644188,0.0839525) 0.159322 (5.99563,1.71825) 1.66025 0.129593 (2.55323,0.40395) (0.213434,-0.0310349) 0.176525 (2.56335,0.875833) (0.184777,0.0238423) 0.132777 (2.76971,1.12008) (0.356107,-0.0838396) 0.18694 (2.54747,1.57121) (0.243668,0.00269781) 0.129267 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
1.5 (2.39455,1.23381) (0.649797,0.0852357) 0.159322 (5.99563,1.71825) 1.66025 0.130428 (2.60659,0.396191) (0.213433,-0.0310378) 0.176525 (2.60831,0.88802) (0.179819,0.0487451) 0.132777 (2.85764,1.09492) (0.35173,-0.100632) 0.18694 (2.60839,1.57189) (0.243668,0.00271468) 0.129267 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
1.75 (2.56431,1.25664) (0.67901,0.0912958) 0.159322 (5.99563,1.71825) 1.66025 0.133653 (2.65995,0.388437) (0.213436,-0.0310166) 0.176525 (2.65316,0.900571) (0.179416,0.0502063) 0.132777 (2.94157,1.05858) (0.335725,-0.14536) 0.18694 (2.66931,1.57257) (0.243668,0.00271623) 0.129267 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
2 (2.76111,1.285) (0.787211,0.113449) 0.159322 (5.99563,1.71825) 1.66025 0.14313 (2.71331,0.380679) (0.213435,-0.0310297) 0.176525 (2.69801,0.913121) (0.179418,0.0501988) 0.132777 (3.01683,1.00661) (0.301048,-0.207873) 0.18694 (2.73023,1.57325) (0.243668,0.00270088) 0.129267 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
2.25 (3.0089,1.3182) (0.991179,0.132823) 0.159322 (5.99563,1.71825) 1.66025 0.133212 (2.76667,0.372921) (0.213434,-0.0310321) 0.176525 (2.74287,0.925673) (0.179416,0.0502065) 0.132777 (3.08429,0.944847) (0.26982,-0.247059) 0.18694 (2.79114,1.57392) (0.243668,0.00270238) 0.129267 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
2.5 (3.25669,1.35139) (0.991148,0.132759) 0.159322 (5.99563,1.71825) 1.66025 0.133152 (2.82003,0.365166) (0.213436,-0.03102) 0.176525 (2.78772,0.93822) (0.179421,0.0501909) 0.132777 (3.14729,0.878547) (0.252011,-0.265201) 0.18694 (2.85206,1.5746) (0.243668,0.00269055) 0.129267 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
2.75 (3.50448,1.3846) (0.99117,0.13283) 0.159322 (5.99563,1.71825) 1.66025 0.133219 (2.87339,0.35741) (0.213435,-0.0310268) 0.176525 (2.83258,0.950766) (0.179422,0.0501846) 0.132777 (3.20776,0.809926) (0.241869,-0.274482) 0.18694 (2.91298,1.57527) (0.243668,0.0026896) 0.129267 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
3 (3.75226,1.41777) (0.991108,0.132677) 0.159322 (5.99563,1.71825) 1.66025 0.133076 (2.92675,0.349652) (0.213434,-0.0310315) 0.176525 (2.87743,0.963316) (0.179419,0.0501966) 0.132777 (3.26725,0.740455) (0.237952,-0.277884) 0.18694 (2.97389,1.57594) (0.243668,0.00268836) 0.129267 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
3.25 (4.00006,1.45097) (0.991222,0.132815) 0.159322 (5.99563,1.71825) 1.66025 0.133198 (2.9801,0.341895) (0.213435,-0.0310273) 0.176525 (2.92229,0.975866) (0.179418,0.0501998) 0.132777 (3.32673,0.670983) (0.237946,-0.27789) 0.18694 (3.03481,1.57662) (0.243668,0.0027072) 0.129267 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
