[[(7.0, 6.0), (0, 6.0), (0, 5.0), (7.0, 5.0)], [(7.0, 1.0), (0, 1.0), (0, 0), (7.0, 0)]]
timestamp position0 velocity0 radius0 heading0 goal pref_speed theta position1 velocity1 radius1 heading1 position2 velocity2 radius2 heading2 position3 velocity3 radius3 heading3 position4 velocity4 radius4 heading4 position5 velocity5 radius5 heading5 position6 velocity6 radius6 heading6 
0.0 (6.0,3.290984869003296) (0.0,0.0) 0.5 -0.3582519563155483 (10.0,3.437404055495504) 3.0 0.0 (7.224090099334717,1.5) (0.0,0.0) 0.5 -0.1262213062702438 (8.284503936767578,2.5) (0.0,0.0) 0.5 0.23885772923326587 (7.276585578918457,3.5) (0.0,0.0) 0.5 -0.2501716097030519 (8.130910873413086,4.5) (0.0,0.0) 0.5 -0.035392820682824566 (6.0,5.0) (0,0) 1e-07 -0.3582519563155483 (6.0,1.0) (0,0) 1e-07 -0.3582519563155483 
1.0 (6.093630313873291,3.1733694076538086) (0.09363026916980743,-0.11761534959077835) 0.5 -0.3582519563155483 (10.0,3.437404055495504) 3.0 -0.8984551906174162 (7.513574600219727,1.3597562313079834) (0.2894846200942993,-0.14024382829666138) 0.5 -0.1262213062702438 (8.914828300476074,2.195547580718994) (0.6303241848945618,-0.30445247888565063) 0.5 0.23885772923326587 (7.41226863861084,3.487738847732544) (0.13568329811096191,-0.012261230498552322) 0.5 -0.2501716097030519 (8.797513961791992,4.713635444641113) (0.666603147983551,0.21363553404808044) 0.5 -0.035392820682824566 (6.093630313873291,5.0) (0,0) 1e-07 -0.3582519563155483 (6.093630313873291,1.0) (0,0) 1e-07 -0.3582519563155483 
2.0 (6.3380327224731445,3.0079615116119385) (0.24440249800682068,-0.16540783643722534) 0.5 -0.3582519563155483 (10.0,3.437404055495504) 3.0 -0.5949746257046536 (8.139538764953613,1.0464370250701904) (0.6259641051292419,-0.31331923604011536) 0.5 -0.1262213062702438 (9.54515266418457,1.8910950422286987) (0.6303242444992065,-0.304452508687973) 0.5 0.23885772923326587 (8.111364364624023,3.5233168601989746) (0.6990952491760254,0.03557811677455902) 0.5 -0.2501716097030519 (9.464117050170898,4.927270889282227) (0.6666032075881958,0.21363557875156403) 0.5 -0.035392820682824566 (6.3380327224731445,5.0) (0,0) 1e-07 -0.3582519563155483 (6.3380327224731445,1.0) (0,0) 1e-07 -0.3582519563155483 
3.0 (7.0030293464660645,3.0305733680725098) (0.6649966239929199,0.022611938416957855) 0.5 -0.3582519563155483 (10.0,3.437404055495504) 3.0 0.03398999171713465 (8.814285278320312,0.8601131439208984) (0.6747469305992126,-0.18632389605045319) 0.5 -0.1262213062702438 (10.175477027893066,1.5866425037384033) (0.6303243041038513,-0.3044525682926178) 0.5 0.23885772923326587 (8.797393798828125,3.6624691486358643) (0.6860297322273254,0.13915219902992249) 0.5 -0.2501716097030519 (10.130720138549805,5.14090633392334) (0.6666032075881958,0.2136356085538864) 0.5 -0.035392820682824566 (7.0,5.0) (0,0) 1e-07 -0.3582519563155483 (7.0,1.0) (0,0) 1e-07 -0.3582519563155483 
4.0 (7.742348670959473,3.083184242248535) (0.739319384098053,0.05261087045073509) 0.5 -0.3582519563155483 (10.0,3.437404055495504) 3.0 0.07104146691498835 (9.489031791687012,0.6737893223762512) (0.6747469305992126,-0.1863238364458084) 0.5 -0.1262213062702438 (10.805801391601562,1.282189965248108) (0.6303241848945618,-0.3044525384902954) 0.5 0.23885772923326587 (9.483423233032227,3.801621198654175) (0.6860296726226807,0.13915212452411652) 0.5 -0.2501716097030519 (10.797323226928711,5.354541778564453) (0.6666032075881958,0.2136356383562088) 0.5 -0.035392820682824566 (7.0,5.0) (0,0) 1e-07 -0.3582519563155483 (7.0,1.0) (0,0) 1e-07 -0.3582519563155483 
5.0 (8.418914794921875,3.11190128326416) (0.6765660047531128,0.028717011213302612) 0.5 -0.3582519563155483 (10.0,3.437404055495504) 3.0 0.04241978479048241 (10.118387222290039,0.5) (0.629355251789093,-0.17378932237625122) 0.5 -0.1262213062702438 (11.390033721923828,1.0) (0.5842326283454895,-0.2821899652481079) 0.5 0.23885772923326587 (10.169452667236328,3.9407734870910645) (0.6860296726226807,0.1391521692276001) 0.5 -0.2501716097030519 (11.251193046569824,5.5) (0.45386993885040283,0.14545822143554688) 0.5 -0.035392820682824566 (7.0,5.0) (0,0) 1e-07 -0.3582519563155483 (7.0,1.0) (0,0) 1e-07 -0.3582519563155483 
6.0 (9.161540031433105,3.1473684310913086) (0.7426254749298096,0.0354672409594059) 0.5 -0.3582519563155483 (10.0,3.437404055495504) 3.0 0.04772299457313732 (10.118387222290039,0.5) (-1.835676926020824e-07,0.0) 0.5 -0.1262213062702438 (11.826312065124512,1.1045820713043213) (0.43627840280532837,0.10458201169967651) 0.5 0.23885772923326587 (10.560619354248047,4.058836460113525) (0.39116716384887695,0.11806286871433258) 0.5 -0.2501716097030519 (11.298407554626465,5.620197772979736) (0.0472140908241272,0.12019777297973633) 0.5 -0.035392820682824566 (7.0,5.0) (0,0) 1e-07 -0.3582519563155483 (7.0,1.0) (0,0) 1e-07 -0.3582519563155483 
7.0 (10.043375015258789,3.176814079284668) (0.8818345665931702,0.029445551335811615) 0.5 -0.3582519563155483 (10.0,3.437404055495504) 3.0 0.03337884006971394 (10.118387222290039,0.5) (-1.835676926020824e-07,0.0) 0.5 -0.1262213062702438 (11.836967468261719,1.1409388780593872) (0.010655311867594719,0.03635682910680771) 0.5 0.23885772923326587 (10.648371696472168,4.289095401763916) (0.08775255084037781,0.23025906085968018) 0.5 -0.2501716097030519 (11.254430770874023,5.601622581481934) (-0.043976638466119766,-0.01857508346438408) 0.5 -0.035392820682824566 (7.0,5.0) (0,0) 1e-07 -0.3582519563155483 (7.0,1.0) (0,0) 1e-07 -0.3582519563155483 
