[[(2, 2.1), (0, 2.1), (0, 1.8), (2, 1.8)], [(2, 0.3), (0, 0.3), (0, 0), (2, 0)]]
timestamp position0 velocity0 radius0 goal pref_speed theta position1 velocity1 radius1 position2 velocity2 radius2 position3 velocity3 radius3 position4 velocity4 radius4 position5 velocity5 radius5 position6 velocity6 radius6
0 (1.09254,0.961565) (0,0) 0.195215 (5.98029,1.15206) 1.7149 0 (2.24677,0.481633) (0,0) 0.160634 (2.29314,0.833989) (0,0) 0.164909 (2.24365,1.2971) (0,0) 0.165614 (2.33543,1.56945) (0,0) 0.131785 (1.09254,1.8) (0,0) 0.001 (1.09254,0.3) (0,0) 0.001
0.25 (1.34235,0.971296) (0.999274,0.0389209) 0.195215 (5.98029,1.15206) 1.7149 0.0389295 (2.31439,0.468695) (0.27048,-0.0517511) 0.160634 (2.33569,0.83563) (0.170195,0.00656345) 0.164909 (2.23942,1.29325) (-0.0169404,-0.0154099) 0.165614 (2.38109,1.56015) (0.182626,-0.0371681) 0.131785 (1.34235,1.8) (0,0) 0.001 (1.34235,0.3) (0,0) 0.001
0.5 (1.59161,0.968706) (0.997009,-0.0103596) 0.195215 (5.98029,1.15206) 1.7149 -0.0103903 (2.38201,0.455755) (0.270478,-0.0517624) 0.160634 (2.37824,0.837273) (0.170195,0.0065704) 0.164909 (2.2413,1.30148) (0.00751116,0.0329005) 0.165614 (2.42675,1.55086) (0.182625,-0.0371739) 0.131785 (1.59161,1.8) (0,0) 0.001 (1.59161,0.3) (0,0) 0.001
0.75 (1.74425,0.97034) (0.610571,0.00653514) 0.195215 (5.98029,1.15206) 1.7149 0.0107029 (2.44963,0.442816) (0.27048,-0.0517534) 0.160634 (2.37976,0.794719) (0.00606652,-0.170214) 0.164909 (2.2591,1.309) (0.0712117,0.0301157) 0.165614 (2.4724,1.54157) (0.182628,-0.0371599) 0.131785 (1.74425,1.8) (0,0) 0.001 (1.74425,0.3) (0,0) 0.001
1 (1.89147,0.97221) (0.588899,0.00748264) 0.195215 (5.98029,1.15206) 1.7149 0.0127055 (2.51725,0.429883) (0.270484,-0.0517321) 0.160634 (2.39267,0.754145) (0.0516665,-0.162296) 0.164909 (2.28474,1.31619) (0.102545,0.0287458) 0.165614 (2.51806,1.53227) (0.182624,-0.0371817) 0.131785 (1.89147,1.8) (0,0) 0.001 (1.89147,0.3) (0,0) 0.001
1.25 (2.03812,0.974106) (0.586591,0.00758357) 0.195215 (5.98029,1.15206) 1.7149 0.0129275 (2.58487,0.416947) (0.270482,-0.0517434) 0.160634 (2.40562,0.713581) (0.0517838,-0.162259) 0.164909 (2.31037,1.32338) (0.102545,0.0287458) 0.165614 (2.56372,1.52298) (0.182625,-0.0371766) 0.131785 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
1.5 (2.18433,0.976021) (0.584842,0.00765999) 0.195215 (5.98029,1.15206) 1.7149 0.0130968 (2.65249,0.404009) (0.27048,-0.0517543) 0.160634 (2.4186,0.673026) (0.0519033,-0.162221) 0.164909 (2.33601,1.33056) (0.102545,0.0287458) 0.165614 (2.60937,1.51368) (0.182623,-0.0371866) 0.131785 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
1.75 (2.33009,0.977956) (0.583037,0.00773883) 0.195215 (5.98029,1.15206) 1.7149 0.0132725 (2.72011,0.391074) (0.270483,-0.0517386) 0.160634 (2.43162,0.632486) (0.0520913,-0.16216) 0.164909 (2.36165,1.33775) (0.102545,0.0287459) 0.165614 (2.65503,1.50439) (0.182624,-0.0371819) 0.131785 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
2 (2.57917,0.975373) (0.996331,-0.0103321) 0.195215 (5.98029,1.15206) 1.7149 -0.0103698 (2.78773,0.378134) (0.270479,-0.0517593) 0.160634 (2.46411,0.604963) (0.129962,-0.110088) 0.164909 (2.38728,1.34494) (0.102545,0.0287465) 0.165614 (2.70068,1.4951) (0.182626,-0.0371705) 0.131785 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
2.25 (2.82882,0.988332) (0.998579,0.0518389) 0.195215 (5.98029,1.15206) 1.7149 0.0518661 (2.85535,0.365194) (0.270478,-0.0517626) 0.160634 (2.50657,0.60183) (0.16986,-0.012533) 0.164909 (2.40405,1.32425) (0.0670623,-0.0827311) 0.165614 (2.74634,1.4858) (0.182624,-0.0371796) 0.131785 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
2.5 (3.07848,1.0013) (0.998637,0.0518717) 0.195215 (5.98029,1.15206) 1.7149 0.0518959 (2.92297,0.352257) (0.270481,-0.0517468) 0.160634 (2.54889,0.606534) (0.169279,0.018814) 0.164909 (2.42081,1.30357) (0.0670674,-0.082727) 0.165614 (2.792,1.47651) (0.182625,-0.0371769) 0.131785 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
2.75 (3.32815,1.01428) (0.998678,0.051915) 0.195215 (5.98029,1.15206) 1.7149 0.0519369 (2.99059,0.339318) (0.270479,-0.0517563) 0.160634 (2.59121,0.611234) (0.169281,0.0188028) 0.164909 (2.43758,1.28289) (0.0670604,-0.0827327) 0.165614 (2.83765,1.46721) (0.182625,-0.0371737) 0.131785 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
3 (3.57782,1.02723) (0.99869,0.0518135) 0.195215 (5.98029,1.15206) 1.7149 0.051835 (3.05821,0.326378) (0.270478,-0.0517609) 0.160634 (2.63353,0.615941) (0.169278,0.0188265) 0.164909 (2.45434,1.26221) (0.0670646,-0.0827293) 0.165614 (2.88331,1.45792) (0.182627,-0.0371658) 0.131785 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
3.25 (3.82746,1.0402) (0.998559,0.051874) 0.195215 (5.98029,1.15206) 1.7149 0.0519022 (3.12583,0.313438) (0.270479,-0.0517591) 0.160634 (2.67585,0.620642) (0.16928,0.0188037) 0.164909 (2.47111,1.24152) (0.0670687,-0.082726) 0.165614 (2.92897,1.44863) (0.182623,-0.0371834) 0.131785 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
