[[(2, 2.1), (0, 2.1), (0, 1.8), (2, 1.8)], [(2, 0.3), (0, 0.3), (0, 0), (2, 0)]]
timestamp position0 velocity0 radius0 goal pref_speed theta position1 velocity1 radius1 position2 velocity2 radius2 position3 velocity3 radius3 position4 velocity4 radius4 position5 velocity5 radius5 position6 velocity6 radius6
0 (1.2785,0.937974) (0,0) 0.210535 (5.98029,1.15206) 1.57034 0 (2.22595,0.540124) (0,0) 0.169089 (2.21241,0.853159) (0,0) 0.208073 (2.35432,1.21777) (0,0) 0.214653 (2.36808,1.61218) (0,0) 0.179878 (1.2785,1.8) (0,0) 0.001 (1.2785,0.3) (0,0) 0.001
0.25 (1.29449,0.970548) (0.0639617,0.130298) 0.210535 (5.98029,1.15206) 1.57034 1.11447 (2.24168,0.514292) (0.0629316,-0.103327) 0.169089 (2.18308,0.866392) (-0.117328,0.0529322) 0.208073 (2.40884,1.21344) (0.218108,-0.017341) 0.214653 (2.39555,1.61121) (0.109877,-0.00384655) 0.179878 (1.29449,1.8) (0,0) 0.001 (1.29449,0.3) (0,0) 0.001
0.5 (1.30854,1.00149) (0.0562001,0.123783) 0.210535 (5.98029,1.15206) 1.57034 1.1446 (2.27084,0.506245) (0.116622,-0.032189) 0.169089 (2.1823,0.872965) (-0.00310922,0.0262922) 0.208073 (2.45943,1.19263) (0.202349,-0.0832266) 0.214653 (2.42258,1.60623) (0.108123,-0.0199274) 0.179878 (1.30854,1.8) (0,0) 0.001 (1.30854,0.3) (0,0) 0.001
0.75 (1.3365,1.03089) (0.111832,0.117594) 0.210535 (5.98029,1.15206) 1.57034 0.810508 (2.30043,0.499986) (0.118365,-0.0250348) 0.169089 (2.19956,0.87304) (0.0690088,0.000298627) 0.208073 (2.50647,1.16471) (0.188156,-0.111666) 0.214653 (2.44942,1.6003) (0.107351,-0.023737) 0.179878 (1.3365,1.8) (0,0) 0.001 (1.3365,0.3) (0,0) 0.001
1 (1.38441,1.05882) (0.191657,0.111715) 0.210535 (5.98029,1.15206) 1.57034 0.527743 (2.33002,0.493724) (0.118362,-0.0250484) 0.169089 (2.22266,0.86978) (0.0924118,-0.0130379) 0.208073 (2.55223,1.13474) (0.183032,-0.11988) 0.214653 (2.47626,1.59437) (0.107352,-0.0237341) 0.179878 (1.38441,1.8) (0,0) 0.001 (1.38441,0.3) (0,0) 0.001
1.25 (1.60029,1.14486) (0.863521,0.344174) 0.210535 (5.98029,1.15206) 1.57034 0.379273 (2.35961,0.487464) (0.118364,-0.0250388) 0.169089 (2.24841,0.864566) (0.102991,-0.0208577) 0.208073 (2.59744,1.10397) (0.180871,-0.123115) 0.214653 (2.5031,1.58843) (0.107352,-0.0237356) 0.179878 (1.60029,1.8) (0,0) 0.001 (1.60029,0.3) (0,0) 0.001
1.5 (1.82251,1.21116) (0.888851,0.265169) 0.210535 (5.98029,1.15206) 1.57034 0.289922 (2.3892,0.481205) (0.118364,-0.0250361) 0.169089 (2.27644,0.858686) (0.112116,-0.0235184) 0.208073 (2.64166,1.07177) (0.176875,-0.128791) 0.214653 (2.52993,1.5825) (0.107351,-0.023738) 0.179878 (1.82251,1.8) (0,0) 0.001 (1.82251,0.3) (0,0) 0.001
1.75 (1.94795,1.24136) (0.501754,0.120819) 0.210535 (5.98029,1.15206) 1.57034 0.236296 (2.41879,0.474947) (0.118365,-0.0250347) 0.169089 (2.30556,0.852311) (0.116507,-0.0255011) 0.208073 (2.68541,1.03893) (0.174989,-0.131342) 0.214653 (2.53068,1.60997) (0.00298538,0.109904) 0.179878 (1.94795,1.8) (0,0) 0.001 (1.94795,0.3) (0,0) 0.001
2 (2.1116,1.26639) (0.654616,0.10012) 0.210535 (5.98029,1.15206) 1.57034 0.151768 (2.44838,0.468687) (0.118363,-0.02504) 0.169089 (2.33625,0.845988) (0.122747,-0.0252904) 0.208073 (2.72814,1.00479) (0.170928,-0.136585) 0.214653 (2.53172,1.63744) (0.00416309,0.109866) 0.179878 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
2.25 (2.30206,1.28755) (0.761842,0.0846136) 0.210535 (5.98029,1.15206) 1.57034 0.110611 (2.47797,0.462428) (0.118365,-0.0250343) 0.169089 (2.36772,0.839608) (0.125888,-0.0255197) 0.208073 (2.77035,0.969998) (0.168844,-0.139153) 0.214653 (2.53302,1.6649) (0.0051753,0.109823) 0.179878 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
