[[(2, 2.1), (0, 2.1), (0, 1.8), (2, 1.8)], [(2, 0.3), (0, 0.3), (0, 0), (2, 0)]]
timestamp position0 velocity0 radius0 goal pref_speed theta position1 velocity1 radius1 position2 velocity2 radius2 position3 velocity3 radius3 position4 velocity4 radius4 position5 velocity5 radius5 position6 velocity6 radius6
0 (1.28688,0.996813) (0,0) 0.135264 (5.99563,1.71825) 1.74664 0 (2.27825,0.445772) (0,0) 0.179587 (2.33245,0.776511) (0,0) 0.186811 (2.25409,1.20909) (0,0) 0.128849 (2.24707,1.57659) (0,0) 0.171377 (1.28688,1.8) (0,0) 0.001 (1.28688,0.3) (0,0) 0.001
0.25 (1.30804,0.985073) (0.084646,-0.0469604) 0.135264 (5.99563,1.71825) 1.74664 -0.50651 (2.31631,0.423703) (0.152249,-0.0882784) 0.179587 (2.38656,0.789462) (0.216428,0.0518033) 0.186811 (2.28392,1.21134) (0.119304,0.00901494) 0.128849 (2.28531,1.57693) (0.152938,0.00134826) 0.171377 (1.30804,1.8) (0,0) 0.001 (1.30804,0.3) (0,0) 0.001
0.5 (1.55504,1.01906) (0.987986,0.135932) 0.135264 (5.99563,1.71825) 1.74664 0.136727 (2.35991,0.417746) (0.174371,-0.023826) 0.179587 (2.43998,0.805009) (0.213676,0.0621886) 0.186811 (2.3055,1.1875) (0.0863215,-0.0953375) 0.128849 (2.32354,1.57727) (0.152938,0.00135183) 0.171377 (1.55504,1.8) (0,0) 0.001 (1.55504,0.3) (0,0) 0.001
0.75 (1.72382,1.04524) (0.675124,0.104719) 0.135264 (5.99563,1.71825) 1.74664 0.153884 (2.4035,0.411788) (0.17437,-0.0238315) 0.179587 (2.49413,0.817777) (0.216603,0.0510694) 0.186811 (2.32819,1.1522) (0.0907832,-0.141221) 0.128849 (2.36177,1.5776) (0.152938,0.001338) 0.171377 (1.72382,1.8) (0,0) 0.001 (1.72382,0.3) (0,0) 0.001
1 (1.85918,1.06896) (0.541418,0.0948808) 0.135264 (5.99563,1.71825) 1.74664 0.173483 (2.44709,0.405829) (0.174369,-0.0238371) 0.179587 (2.5484,0.830035) (0.217073,0.0490338) 0.186811 (2.35258,1.11804) (0.0975482,-0.136636) 0.128849 (2.40001,1.57794) (0.152938,0.00134845) 0.171377 (1.85918,1.8) (0,0) 0.001 (1.85918,0.3) (0,0) 0.001
1.25 (1.97321,1.0903) (0.45612,0.0853621) 0.135264 (5.99563,1.71825) 1.74664 0.185008 (2.49068,0.39987) (0.17437,-0.0238348) 0.179587 (2.60251,0.842968) (0.216446,0.0517306) 0.186811 (2.37834,1.08491) (0.103051,-0.132535) 0.128849 (2.43824,1.57827) (0.152938,0.00133515) 0.171377 (1.97321,1.8) (0,0) 0.001 (1.97321,0.3) (0,0) 0.001
1.5 (2.07303,1.10944) (0.399291,0.0765706) 0.135264 (5.99563,1.71825) 1.74664 0.189466 (2.53428,0.393911) (0.174369,-0.0238363) 0.179587 (2.65649,0.856416) (0.215943,0.0537915) 0.186811 (2.40528,1.05272) (0.107732,-0.128759) 0.128849 (2.47648,1.5786) (0.152938,0.00133311) 0.171377 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
1.75 (2.16382,1.12719) (0.363183,0.0709977) 0.135264 (5.99563,1.71825) 1.74664 0.193053 (2.57787,0.387952) (0.174369,-0.0238382) 0.179587 (2.71047,0.869903) (0.215904,0.0539487) 0.186811 (2.43331,1.02148) (0.112123,-0.124954) 0.128849 (2.51471,1.57894) (0.152938,0.00133853) 0.171377 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
2 (2.2477,1.14371) (0.335511,0.0661024) 0.135264 (5.99563,1.71825) 1.74664 0.194529 (2.62146,0.381991) (0.174369,-0.0238428) 0.179587 (2.76448,0.883261) (0.216032,0.0534342) 0.186811 (2.46268,0.9915) (0.117501,-0.11991) 0.128849 (2.55295,1.57927) (0.152938,0.00133982) 0.171377 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
2.25 (2.32418,1.15866) (0.305901,0.0597982) 0.135264 (5.99563,1.71825) 1.74664 0.193048 (2.66505,0.376033) (0.17437,-0.0238324) 0.179587 (2.81855,0.896359) (0.216287,0.0523911) 0.186811 (2.48905,0.958848) (0.105478,-0.130612) 0.128849 (2.59118,1.57961) (0.152938,0.00133724) 0.171377 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
2.5 (2.44069,1.18743) (0.466043,0.11506) 0.135264 (5.99563,1.71825) 1.74664 0.242047 (2.70865,0.370075) (0.17437,-0.0238306) 0.179587 (2.87273,0.908989) (0.216732,0.0505196) 0.186811 (2.5226,0.933623) (0.134181,-0.100899) 0.128849 (2.62941,1.58042) (0.152909,0.00324787) 0.171377 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
2.75 (2.68785,1.22513) (0.988649,0.15082) 0.135264 (5.99563,1.71825) 1.74664 0.151384 (2.75224,0.36412) (0.174372,-0.0238213) 0.179587 (2.92603,0.924935) (0.213205,0.0637845) 0.186811 (2.55733,0.910065) (0.138945,-0.0942303) 0.128849 (2.66764,1.58123) (0.152909,0.00324791) 0.171377 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
3 (2.93512,1.26202) (0.989064,0.147527) 0.135264 (5.99563,1.71825) 1.74664 0.148067 (2.79583,0.35816) (0.174369,-0.0238386) 0.179587 (2.97933,0.940884) (0.213202,0.0637958) 0.186811 (2.59207,0.886505) (0.138938,-0.0942404) 0.128849 (2.70587,1.58156) (0.152938,0.00129875) 0.171377 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
