[[(2, 2.1), (0, 2.1), (0, 1.8), (2, 1.8)], [(2, 0.3), (0, 0.3), (0, 0), (2, 0)]]
timestamp position0 velocity0 radius0 goal pref_speed theta position1 velocity1 radius1 position2 velocity2 radius2 position3 velocity3 radius3 position4 velocity4 radius4 position5 velocity5 radius5 position6 velocity6 radius6
0 (1.42401,0.986257) (0,0) 0.188802 (5.99563,1.71825) 1.94851 0 (2.23077,0.414278) (0,0) 0.177964 (2.28845,0.805275) (0,0) 0.130396 (2.32314,1.16079) (0,0) 0.191984 (2.20851,1.68114) (0,0) 0.155701 (1.42401,1.8) (0,0) 0.001 (1.42401,0.3) (0,0) 0.001
0.25 (1.43801,0.98433) (0.0560076,-0.00770601) 0.188802 (5.99563,1.71825) 1.94851 -0.13673 (2.32171,0.402934) (0.363752,-0.045374) 0.177964 (2.37506,0.797696) (0.346466,-0.0303148) 0.130396 (2.4029,1.15213) (0.31901,-0.0346326) 0.191984 (2.26394,1.68861) (0.221718,0.029888) 0.155701 (1.43801,1.8) (0,0) 0.001 (1.43801,0.3) (0,0) 0.001
0.5 (1.49902,1.01567) (0.244027,0.125374) 0.188802 (5.99563,1.71825) 1.94851 0.474602 (2.41265,0.391584) (0.363748,-0.0453999) 0.177964 (2.46174,0.790875) (0.346717,-0.027285) 0.130396 (2.48256,1.1427) (0.318663,-0.0376938) 0.191984 (2.31985,1.68743) (0.223674,-0.00470678) 0.155701 (1.49902,1.8) (0,0) 0.001 (1.49902,0.3) (0,0) 0.001
0.75 (1.62644,1.11491) (0.509698,0.396947) 0.188802 (5.99563,1.71825) 1.94851 0.661673 (2.50358,0.380231) (0.363747,-0.0454121) 0.177964 (2.54842,0.78406) (0.34672,-0.0272576) 0.130396 (2.56223,1.13327) (0.31866,-0.0377216) 0.191984 (2.37577,1.68626) (0.223674,-0.00469506) 0.155701 (1.62644,1.8) (0,0) 0.001 (1.62644,0.3) (0,0) 0.001
1 (1.75347,1.22225) (0.508102,0.429348) 0.188802 (5.99563,1.71825) 1.94851 0.701587 (2.59452,0.368875) (0.363745,-0.0454241) 0.177964 (2.6351,0.777246) (0.34672,-0.0272576) 0.130396 (2.64189,1.12384) (0.31866,-0.0377216) 0.191984 (2.43038,1.67417) (0.218431,-0.048376) 0.155701 (1.75347,1.8) (0,0) 0.001 (1.75347,0.3) (0,0) 0.001
1.25 (1.87838,1.3261) (0.499643,0.415398) 0.188802 (5.99563,1.71825) 1.94851 0.69359 (2.68546,0.357522) (0.363747,-0.0454111) 0.177964 (2.72178,0.770431) (0.34672,-0.0272576) 0.130396 (2.72156,1.11441) (0.31866,-0.0377216) 0.191984 (2.48499,1.66207) (0.218431,-0.048376) 0.155701 (1.87838,1.8) (0,0) 0.001 (1.87838,0.3) (0,0) 0.001
1.5 (2.00108,1.4263) (0.490798,0.400811) 0.188802 (5.99563,1.71825) 1.94851 0.684812 (2.77639,0.346171) (0.363748,-0.0454046) 0.177964 (2.80846,0.763617) (0.34672,-0.0272576) 0.130396 (2.80122,1.10498) (0.31866,-0.0377216) 0.191984 (2.5396,1.64998) (0.218431,-0.0483761) 0.155701 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
1.75 (2.12147,1.52269) (0.48156,0.385575) 0.188802 (5.99563,1.71825) 1.94851 0.675155 (2.86733,0.334824) (0.36375,-0.0453901) 0.177964 (2.89514,0.756802) (0.34672,-0.0272576) 0.130396 (2.88089,1.09555) (0.31866,-0.0377216) 0.191984 (2.5942,1.63788) (0.218431,-0.0483761) 0.155701 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
2 (2.23946,1.61514) (0.471979,0.369775) 0.188802 (5.99563,1.71825) 1.94851 0.664572 (2.95827,0.323479) (0.363751,-0.0453791) 0.177964 (2.98182,0.749988) (0.34672,-0.0272576) 0.130396 (2.96055,1.08612) (0.31866,-0.0377216) 0.191984 (2.64881,1.62579) (0.218431,-0.0483762) 0.155701 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
2.25 (2.35498,1.7035) (0.462074,0.353439) 0.188802 (5.99563,1.71825) 1.94851 0.652968 (3.04921,0.312123) (0.363746,-0.0454222) 0.177964 (3.0685,0.743174) (0.34672,-0.0272576) 0.130396 (3.04022,1.07669) (0.31866,-0.0377216) 0.191984 (2.70342,1.6137) (0.218431,-0.0483761) 0.155701 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
2.5 (2.46793,1.78762) (0.451788,0.336476) 0.188802 (5.99563,1.71825) 1.94851 0.640143 (3.14014,0.300775) (0.363749,-0.0453913) 0.177964 (3.15518,0.736359) (0.34672,-0.0272576) 0.130396 (3.11988,1.06726) (0.31866,-0.0377216) 0.191984 (2.75803,1.6016) (0.21843,-0.048377) 0.155701 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
2.75 (2.58495,1.87272) (0.46809,0.340411) 0.188802 (5.99563,1.71825) 1.94851 0.628771 (3.23108,0.289419) (0.363745,-0.0454247) 0.177964 (3.24186,0.729545) (0.34672,-0.0272576) 0.130396 (3.19635,1.05664) (0.305876,-0.0424888) 0.191984 (2.81369,1.59609) (0.222636,-0.0220299) 0.155701 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
3 (2.79062,1.96386) (0.822663,0.364547) 0.188802 (5.99563,1.71825) 1.94851 0.417126 (3.32202,0.278064) (0.363746,-0.0454201) 0.177964 (3.32854,0.72273) (0.34672,-0.0272576) 0.130396 (3.26294,1.04233) (0.266362,-0.0572243) 0.191984 (2.86962,1.59633) (0.223721,0.000959422) 0.155701 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
3.25 (3.04782,1.98392) (1.0288,0.0802699) 0.188802 (5.99563,1.71825) 1.94851 0.0778654 (3.41295,0.266717) (0.363749,-0.0453902) 0.177964 (3.41522,0.715916) (0.34672,-0.0272575) 0.130396 (3.32068,1.02473) (0.230955,-0.0704284) 0.191984 (2.92555,1.59657) (0.223722,0.000948456) 0.155701 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
3.5 (3.29681,1.96147) (0.995953,-0.0898061) 0.188802 (5.99563,1.71825) 1.94851 -0.0899278 (3.50389,0.255377) (0.363753,-0.0453603) 0.177964 (3.5019,0.709102) (0.34672,-0.0272576) 0.130396 (3.37064,1.00422) (0.199823,-0.0820381) 0.191984 (2.98148,1.5968) (0.223722,0.000927173) 0.155701 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
3.75 (3.54579,1.93904) (0.995955,-0.0897431) 0.188802 (5.99563,1.71825) 1.94851 -0.0898648 (3.59483,0.24403) (0.36375,-0.0453876) 0.177964 (3.58876,0.705093) (0.347419,-0.0160358) 0.130396 (3.39231,0.966265) (0.0866927,-0.151807) 0.191984 (3.03741,1.59704) (0.223722,0.00094333) 0.155701 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
4 (3.79479,1.91661) (0.995987,-0.0897195) 0.188802 (5.99563,1.71825) 1.94851 -0.0898385 (3.68577,0.23267) (0.363744,-0.0454374) 0.177964 (3.67482,0.717491) (0.344235,0.049592) 0.130396 (3.39017,0.886072) (-0.00855696,-0.32077) 0.191984 (3.09334,1.59728) (0.223721,0.000963535) 0.155701 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
4.25 (4.04378,1.89416) (0.995963,-0.0897686) 0.188802 (5.99563,1.71825) 1.94851 -0.0898895 (3.76626,0.222626) (0.321972,-0.0401757) 0.177964 (3.75188,0.757749) (0.308263,0.161033) 0.130396 (3.4191,0.811248) (0.115707,-0.299297) 0.191984 (3.14927,1.59751) (0.223722,0.000935496) 0.155701 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
4.5 (4.29277,1.87172) (0.995963,-0.0897606) 0.188802 (5.99563,1.71825) 1.94851 -0.0898816 (3.82663,0.215078) (0.241472,-0.0301949) 0.177964 (3.82894,0.798014) (0.308248,0.161061) 0.130396 (3.46013,0.742315) (0.164129,-0.275733) 0.191984 (3.2052,1.59775) (0.223721,0.000951853) 0.155701 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
4.75 (4.54176,1.8493) (0.995932,-0.0897106) 0.188802 (5.99563,1.71825) 1.94851 -0.0898346 (3.87754,0.209394) (0.203655,-0.0227352) 0.177964 (3.90601,0.838273) (0.308261,0.161037) 0.130396 (3.50117,0.673386) (0.16416,-0.275714) 0.191984 (3.26113,1.59799) (0.223722,0.000941716) 0.155701 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
5 (4.79075,1.82685) (0.995997,-0.089777) 0.188802 (5.99563,1.71825) 1.94851 -0.0898949 (3.92306,0.205352) (0.182075,-0.0161692) 0.177964 (3.98307,0.878533) (0.308259,0.16104) 0.130396 (3.5422,0.604454) (0.164135,-0.275729) 0.191984 (3.31706,1.59822) (0.223722,0.000931208) 0.155701 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
5.25 (5.03974,1.8044) (0.995958,-0.0897884) 0.188802 (5.99563,1.71825) 1.94851 -0.0899097 (3.96542,0.202698) (0.169452,-0.0106132) 0.177964 (4.06014,0.918793) (0.30826,0.161038) 0.130396 (3.58324,0.535522) (0.164136,-0.275728) 0.191984 (3.37299,1.59846) (0.223721,0.000961894) 0.155701 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
5.5 (5.27873,1.78287) (0.955937,-0.0861296) 0.188802 (5.99563,1.71825) 1.94851 -0.089857 (4.00588,0.201225) (0.161846,-0.00589406) 0.177964 (4.13721,0.959051) (0.308263,0.161033) 0.130396 (3.62426,0.466585) (0.164108,-0.275745) 0.191984 (3.42892,1.5987) (0.223722,0.000947842) 0.155701 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
5.75 (5.45796,1.76672) (0.716934,-0.0646116) 0.188802 (5.99563,1.71825) 1.94851 -0.0898792 (4.04515,0.200706) (0.157051,-0.00207633) 0.177964 (4.21427,0.999306) (0.308269,0.161021) 0.130396 (3.66529,0.397647) (0.164094,-0.275754) 0.191984 (3.48485,1.59893) (0.223722,0.000944866) 0.155701 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
6 (5.59237,1.75459) (0.537618,-0.0485038) 0.188802 (5.99563,1.71825) 1.94851 -0.0899762 (4.08361,0.20096) (0.153835,0.00101868) 0.177964 (4.29134,1.03957) (0.308259,0.161041) 0.130396 (3.70632,0.328714) (0.164127,-0.275734) 0.191984 (3.54078,1.59917) (0.223722,0.000933716) 0.155701 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
6.25 (5.6932,1.74552) (0.403339,-0.0362945) 0.188802 (5.99563,1.71825) 1.94851 -0.0897435 (4.12147,0.201881) (0.15146,0.00368387) 0.177964 (4.36841,1.07982) (0.308271,0.161016) 0.130396 (3.74735,0.25978) (0.164127,-0.275734) 0.191984 (3.59671,1.5994) (0.223722,0.000947337) 0.155701 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
6.5 (5.7688,1.73871) (0.30239,-0.0272341) 0.188802 (5.99563,1.71825) 1.94851 -0.0898208 (4.15877,0.203516) (0.149182,0.00653943) 0.177964 (4.44547,1.12008) (0.308259,0.161039) 0.130396 (3.78647,0.194049) (0.156466,-0.262922) 0.191984 (3.65264,1.59964) (0.223722,0.000943193) 0.155701 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
6.75 (5.8255,1.73358) (0.226808,-0.0205056) 0.188802 (5.99563,1.71825) 1.94851 -0.0901641 (4.19141,0.210732) (0.130583,0.0288645) 0.177964 (4.52254,1.16034) (0.308261,0.161035) 0.130396 (3.81581,0.144766) (0.11737,-0.197134) 0.191984 (3.70857,1.59988) (0.223722,0.000944766) 0.155701 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
7 (5.86805,1.72975) (0.170202,-0.0153447) 0.188802 (5.99563,1.71825) 1.94851 -0.0899126 (4.20355,0.23203) (0.0485613,0.08519) 0.177964 (4.5996,1.2006) (0.308255,0.161048) 0.130396 (3.83784,0.107785) (0.0881215,-0.147923) 0.191984 (3.7645,1.60011) (0.223721,0.000955814) 0.155701 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
7.25 (5.89996,1.72687) (0.127638,-0.0115119) 0.188802 (5.99563,1.71825) 1.94851 -0.089948 (4.19938,0.254034) (-0.0167039,0.0880155) 0.177964 (4.67666,1.24087) (0.308246,0.161064) 0.130396 (3.85434,0.0800603) (0.0660154,-0.1109) 0.191984 (3.82043,1.60035) (0.223721,0.000954471) 0.155701 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
7.5 (5.92388,1.72472) (0.0956672,-0.0086166) 0.188802 (5.99563,1.71825) 1.94851 -0.0898261 (4.18614,0.271584) (-0.0529407,0.0702031) 0.177964 (4.75372,1.28113) (0.308255,0.161048) 0.130396 (3.86673,0.0592649) (0.0495586,-0.0831815) 0.191984 (3.87636,1.60059) (0.223721,0.000960253) 0.155701 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
7.75 (5.94181,1.7231) (0.0717333,-0.00647652) 0.188802 (5.99563,1.71825) 1.94851 -0.0900419 (4.1696,0.284015) (-0.0661493,0.0497206) 0.177964 (4.83079,1.32139) (0.308252,0.161053) 0.130396 (3.87601,0.0436713) (0.0370956,-0.0623744) 0.191984 (3.93229,1.60083) (0.223721,0.000960626) 0.155701 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
8 (5.95526,1.72188) (0.0538094,-0.00486609) 0.188802 (5.99563,1.71825) 1.94851 -0.0901867 (4.15333,0.292265) (-0.0651136,0.0330012) 0.177964 (4.90785,1.36165) (0.308264,0.16103) 0.130396 (3.88297,0.0319755) (0.0278386,-0.0467835) 0.191984 (3.98822,1.60107) (0.223722,0.000928086) 0.155701 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
8.25 (5.96535,1.72097) (0.0403433,-0.00363265) 0.188802 (5.99563,1.71825) 1.94851 -0.0898013 (4.13921,0.297515) (-0.0564602,0.0210008) 0.177964 (4.98492,1.4019) (0.308272,0.161014) 0.130396 (3.88806,0.0230623) (0.0203644,-0.0356527) 0.191984 (4.04415,1.6013) (0.223721,0.000952719) 0.155701 (2,1.8) (0,0) 0.001 (2,0.3) (0,0) 0.001
